MethodUUID,OrganizationUUID,ReportingUnitUUID,VariableSpecificUUID,WaterSourceUUID,AllocationCropDutyAmount,Amount,BeneficialUseCategory,CommunityWaterSupplySystem,CropTypeCV,CustomerTypeCV,DataPublicationDate,DataPublicationDOI,InterbasinTransferFromID,InterbasinTransferToID,IrrigatedAcreage,IrrigationMethodCV,PopulationServed,PowerGeneratedGWh,PowerType,PrimaryUseCategory,ReportYearCV,SDWISIdentifierCV,TimeframeEnd,TimeframeStart,ReasonRemoved,index
TWDB_Water Uses,TWDB,TXag_RU12,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,203437,,,Unspecified,2000,,12/31/2000,01/01/2000,Bad Amount,11.0
TWDB_Water Uses,TWDB,TXag_RU13,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,1299481,,,Unspecified,2000,,12/31/2000,01/01/2000,Bad Amount,12.0
TWDB_Water Uses,TWDB,TXag_RU14,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,561014,,,Unspecified,2000,,12/31/2000,01/01/2000,Bad Amount,13.0
TWDB_Water Uses,TWDB,TXag_RU15,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,1129152,,,Unspecified,2000,,12/31/2000,01/01/2000,Bad Amount,14.0
TWDB_Water Uses,TWDB,TXag_RU16,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,501816,,,Unspecified,2000,,12/31/2000,01/01/2000,Bad Amount,15.0
TWDB_Water Uses,TWDB,TXag_RU17,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,1518920,,,Unspecified,2000,,12/31/2000,01/01/2000,Bad Amount,16.0
TWDB_Water Uses,TWDB,TXag_RU18,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,119384,,,Unspecified,2000,,12/31/2000,01/01/2000,Bad Amount,17.0
TWDB_Water Uses,TWDB,TXag_RU19,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,3507295,,,Unspecified,2000,,12/31/2000,01/01/2000,Bad Amount,18.0
TWDB_Water Uses,TWDB,TXag_RU20,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,867029,,,Unspecified,2000,,12/31/2000,01/01/2000,Bad Amount,19.0
TWDB_Water Uses,TWDB,TXag_RU21,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,176439,,,Unspecified,2000,,12/31/2000,01/01/2000,Bad Amount,20.0
TWDB_Water Uses,TWDB,TXag_RU22,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,5424768,,,Unspecified,2000,,12/31/2000,01/01/2000,Bad Amount,21.0
TWDB_Water Uses,TWDB,TXag_RU23,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,93590,,,Unspecified,2000,,12/31/2000,01/01/2000,Bad Amount,22.0
TWDB_Water Uses,TWDB,TXag_RU1,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,2173827,,,Unspecified,2001,,12/31/2001,01/01/2001,Bad Amount,23.0
TWDB_Water Uses,TWDB,TXag_RU2,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,83000,,,Unspecified,2001,,12/31/2001,01/01/2001,Bad Amount,24.0
TWDB_Water Uses,TWDB,TXag_RU3,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,172360,,,Unspecified,2001,,12/31/2001,01/01/2001,Bad Amount,25.0
TWDB_Water Uses,TWDB,TXag_RU4,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,1625907,,,Unspecified,2001,,12/31/2001,01/01/2001,Bad Amount,26.0
TWDB_Water Uses,TWDB,TXag_RU5,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,24463,,,Unspecified,2001,,12/31/2001,01/01/2001,Bad Amount,27.0
TWDB_Water Uses,TWDB,TXag_RU6,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,140365,,,Unspecified,2001,,12/31/2001,01/01/2001,Bad Amount,28.0
TWDB_Water Uses,TWDB,TXag_RU7,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,398619,,,Unspecified,2001,,12/31/2001,01/01/2001,Bad Amount,29.0
TWDB_Water Uses,TWDB,TXag_RU8,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,48859,,,Unspecified,2001,,12/31/2001,01/01/2001,Bad Amount,30.0
TWDB_Water Uses,TWDB,TXag_RU9,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,48768,,,Unspecified,2001,,12/31/2001,01/01/2001,Bad Amount,31.0
TWDB_Water Uses,TWDB,TXag_RU10,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,624461,,,Unspecified,2001,,12/31/2001,01/01/2001,Bad Amount,32.0
TWDB_Water Uses,TWDB,TXag_RU11,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,207185,,,Unspecified,2001,,12/31/2001,01/01/2001,Bad Amount,33.0
TWDB_Water Uses,TWDB,TXag_RU12,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,205870,,,Unspecified,2001,,12/31/2001,01/01/2001,Bad Amount,34.0
TWDB_Water Uses,TWDB,TXag_RU13,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,1330849,,,Unspecified,2001,,12/31/2001,01/01/2001,Bad Amount,35.0
TWDB_Water Uses,TWDB,TXag_RU14,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,564171,,,Unspecified,2001,,12/31/2001,01/01/2001,Bad Amount,36.0
TWDB_Water Uses,TWDB,TXag_RU15,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,1148459,,,Unspecified,2001,,12/31/2001,01/01/2001,Bad Amount,37.0
TWDB_Water Uses,TWDB,TXag_RU16,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,508319,,,Unspecified,2001,,12/31/2001,01/01/2001,Bad Amount,38.0
TWDB_Water Uses,TWDB,TXag_RU17,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,1546234,,,Unspecified,2001,,12/31/2001,01/01/2001,Bad Amount,39.0
TWDB_Water Uses,TWDB,TXag_RU18,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,119843,,,Unspecified,2001,,12/31/2001,01/01/2001,Bad Amount,40.0
TWDB_Water Uses,TWDB,TXag_RU19,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,3590937,,,Unspecified,2001,,12/31/2001,01/01/2001,Bad Amount,41.0
TWDB_Water Uses,TWDB,TXag_RU20,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,887872,,,Unspecified,2001,,12/31/2001,01/01/2001,Bad Amount,42.0
TWDB_Water Uses,TWDB,TXag_RU21,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,177589,,,Unspecified,2001,,12/31/2001,01/01/2001,Bad Amount,43.0
TWDB_Water Uses,TWDB,TXag_RU22,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,5602531,,,Unspecified,2001,,12/31/2001,01/01/2001,Bad Amount,44.0
TWDB_Water Uses,TWDB,TXag_RU23,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,94536,,,Unspecified,2001,,12/31/2001,01/01/2001,Bad Amount,45.0
TWDB_Water Uses,TWDB,TXag_RU1,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,2214850,,,Unspecified,2002,,12/31/2002,01/01/2002,Bad Amount,46.0
TWDB_Water Uses,TWDB,TXag_RU2,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,83446,,,Unspecified,2002,,12/31/2002,01/01/2002,Bad Amount,47.0
TWDB_Water Uses,TWDB,TXag_RU3,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,172460,,,Unspecified,2002,,12/31/2002,01/01/2002,Bad Amount,48.0
TWDB_Water Uses,TWDB,TXag_RU4,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,1639347,,,Unspecified,2002,,12/31/2002,01/01/2002,Bad Amount,49.0
TWDB_Water Uses,TWDB,TXag_RU5,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,24737,,,Unspecified,2002,,12/31/2002,01/01/2002,Bad Amount,50.0
TWDB_Water Uses,TWDB,TXag_RU6,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,141050,,,Unspecified,2002,,12/31/2002,01/01/2002,Bad Amount,51.0
TWDB_Water Uses,TWDB,TXag_RU7,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,408556,,,Unspecified,2002,,12/31/2002,01/01/2002,Bad Amount,52.0
TWDB_Water Uses,TWDB,TXag_RU8,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,49405,,,Unspecified,2002,,12/31/2002,01/01/2002,Bad Amount,53.0
TWDB_Water Uses,TWDB,TXag_RU9,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,49105,,,Unspecified,2002,,12/31/2002,01/01/2002,Bad Amount,54.0
TWDB_Water Uses,TWDB,TXag_RU10,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,630410,,,Unspecified,2002,,12/31/2002,01/01/2002,Bad Amount,55.0
TWDB_Water Uses,TWDB,TXag_RU11,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,208447,,,Unspecified,2002,,12/31/2002,01/01/2002,Bad Amount,56.0
TWDB_Water Uses,TWDB,TXag_RU12,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,207261,,,Unspecified,2002,,12/31/2002,01/01/2002,Bad Amount,57.0
TWDB_Water Uses,TWDB,TXag_RU13,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,1367370,,,Unspecified,2002,,12/31/2002,01/01/2002,Bad Amount,58.0
TWDB_Water Uses,TWDB,TXag_RU14,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,569370,,,Unspecified,2002,,12/31/2002,01/01/2002,Bad Amount,59.0
TWDB_Water Uses,TWDB,TXag_RU15,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,1170791,,,Unspecified,2002,,12/31/2002,01/01/2002,Bad Amount,60.0
TWDB_Water Uses,TWDB,TXag_RU16,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,515833,,,Unspecified,2002,,12/31/2002,01/01/2002,Bad Amount,61.0
TWDB_Water Uses,TWDB,TXag_RU17,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,1578357,,,Unspecified,2002,,12/31/2002,01/01/2002,Bad Amount,62.0
TWDB_Water Uses,TWDB,TXag_RU18,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,120516,,,Unspecified,2002,,12/31/2002,01/01/2002,Bad Amount,63.0
TWDB_Water Uses,TWDB,TXag_RU19,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,3689189,,,Unspecified,2002,,12/31/2002,01/01/2002,Bad Amount,64.0
TWDB_Water Uses,TWDB,TXag_RU20,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,916445,,,Unspecified,2002,,12/31/2002,01/01/2002,Bad Amount,65.0
TWDB_Water Uses,TWDB,TXag_RU21,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,178917,,,Unspecified,2002,,12/31/2002,01/01/2002,Bad Amount,66.0
TWDB_Water Uses,TWDB,TXag_RU22,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,5745869,,,Unspecified,2002,,12/31/2002,01/01/2002,Bad Amount,67.0
TWDB_Water Uses,TWDB,TXag_RU23,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,95936,,,Unspecified,2002,,12/31/2002,01/01/2002,Bad Amount,68.0
TWDB_Water Uses,TWDB,TXag_RU1,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,2244173,,,Unspecified,2003,,12/31/2003,01/01/2003,Bad Amount,69.0
TWDB_Water Uses,TWDB,TXag_RU2,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,83453,,,Unspecified,2003,,12/31/2003,01/01/2003,Bad Amount,70.0
TWDB_Water Uses,TWDB,TXag_RU3,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,173167,,,Unspecified,2003,,12/31/2003,01/01/2003,Bad Amount,71.0
TWDB_Water Uses,TWDB,TXag_RU4,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,1666423,,,Unspecified,2003,,12/31/2003,01/01/2003,Bad Amount,72.0
TWDB_Water Uses,TWDB,TXag_RU5,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,24951,,,Unspecified,2003,,12/31/2003,01/01/2003,Bad Amount,73.0
TWDB_Water Uses,TWDB,TXag_RU6,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,142244,,,Unspecified,2003,,12/31/2003,01/01/2003,Bad Amount,74.0
TWDB_Water Uses,TWDB,TXag_RU7,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,416203,,,Unspecified,2003,,12/31/2003,01/01/2003,Bad Amount,75.0
TWDB_Water Uses,TWDB,TXag_RU8,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,49289,,,Unspecified,2003,,12/31/2003,01/01/2003,Bad Amount,76.0
TWDB_Water Uses,TWDB,TXag_RU9,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,49130,,,Unspecified,2003,,12/31/2003,01/01/2003,Bad Amount,77.0
TWDB_Water Uses,TWDB,TXag_RU10,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,632960,,,Unspecified,2003,,12/31/2003,01/01/2003,Bad Amount,78.0
TWDB_Water Uses,TWDB,TXag_RU11,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,207897,,,Unspecified,2003,,12/31/2003,01/01/2003,Bad Amount,79.0
TWDB_Water Uses,TWDB,TXag_RU12,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,209316,,,Unspecified,2003,,12/31/2003,01/01/2003,Bad Amount,80.0
TWDB_Water Uses,TWDB,TXag_RU13,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,1394404,,,Unspecified,2003,,12/31/2003,01/01/2003,Bad Amount,81.0
TWDB_Water Uses,TWDB,TXag_RU14,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,570116,,,Unspecified,2003,,12/31/2003,01/01/2003,Bad Amount,82.0
TWDB_Water Uses,TWDB,TXag_RU15,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,1189111,,,Unspecified,2003,,12/31/2003,01/01/2003,Bad Amount,83.0
TWDB_Water Uses,TWDB,TXag_RU16,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,518537,,,Unspecified,2003,,12/31/2003,01/01/2003,Bad Amount,84.0
TWDB_Water Uses,TWDB,TXag_RU17,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,1603418,,,Unspecified,2003,,12/31/2003,01/01/2003,Bad Amount,85.0
TWDB_Water Uses,TWDB,TXag_RU18,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,122439,,,Unspecified,2003,,12/31/2003,01/01/2003,Bad Amount,86.0
TWDB_Water Uses,TWDB,TXag_RU19,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,3758422,,,Unspecified,2003,,12/31/2003,01/01/2003,Bad Amount,87.0
TWDB_Water Uses,TWDB,TXag_RU20,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,934009,,,Unspecified,2003,,12/31/2003,01/01/2003,Bad Amount,88.0
TWDB_Water Uses,TWDB,TXag_RU21,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,191793,,,Unspecified,2003,,12/31/2003,01/01/2003,Bad Amount,89.0
TWDB_Water Uses,TWDB,TXag_RU22,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,5852548,,,Unspecified,2003,,12/31/2003,01/01/2003,Bad Amount,90.0
TWDB_Water Uses,TWDB,TXag_RU23,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,96228,,,Unspecified,2003,,12/31/2003,01/01/2003,Bad Amount,91.0
TWDB_Water Uses,TWDB,TXag_RU1,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,2273200,,,Unspecified,2004,,12/31/2004,01/01/2004,Bad Amount,92.0
TWDB_Water Uses,TWDB,TXag_RU2,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,83672,,,Unspecified,2004,,12/31/2004,01/01/2004,Bad Amount,93.0
TWDB_Water Uses,TWDB,TXag_RU3,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,173439,,,Unspecified,2004,,12/31/2004,01/01/2004,Bad Amount,94.0
TWDB_Water Uses,TWDB,TXag_RU4,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,1687051,,,Unspecified,2004,,12/31/2004,01/01/2004,Bad Amount,95.0
TWDB_Water Uses,TWDB,TXag_RU5,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,25042,,,Unspecified,2004,,12/31/2004,01/01/2004,Bad Amount,96.0
TWDB_Water Uses,TWDB,TXag_RU6,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,143978,,,Unspecified,2004,,12/31/2004,01/01/2004,Bad Amount,97.0
TWDB_Water Uses,TWDB,TXag_RU7,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,427095,,,Unspecified,2004,,12/31/2004,01/01/2004,Bad Amount,98.0
TWDB_Water Uses,TWDB,TXag_RU8,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,49459,,,Unspecified,2004,,12/31/2004,01/01/2004,Bad Amount,99.0
TWDB_Water Uses,TWDB,TXag_RU9,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,48969,,,Unspecified,2004,,12/31/2004,01/01/2004,Bad Amount,100.0
TWDB_Water Uses,TWDB,TXag_RU10,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,639729,,,Unspecified,2004,,12/31/2004,01/01/2004,Bad Amount,101.0
TWDB_Water Uses,TWDB,TXag_RU11,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,208365,,,Unspecified,2004,,12/31/2004,01/01/2004,Bad Amount,102.0
TWDB_Water Uses,TWDB,TXag_RU12,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,212872,,,Unspecified,2004,,12/31/2004,01/01/2004,Bad Amount,103.0
TWDB_Water Uses,TWDB,TXag_RU13,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,1425379,,,Unspecified,2004,,12/31/2004,01/01/2004,Bad Amount,104.0
TWDB_Water Uses,TWDB,TXag_RU14,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,569619,,,Unspecified,2004,,12/31/2004,01/01/2004,Bad Amount,105.0
TWDB_Water Uses,TWDB,TXag_RU15,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,1207434,,,Unspecified,2004,,12/31/2004,01/01/2004,Bad Amount,106.0
TWDB_Water Uses,TWDB,TXag_RU16,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,523675,,,Unspecified,2004,,12/31/2004,01/01/2004,Bad Amount,107.0
TWDB_Water Uses,TWDB,TXag_RU17,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,1633082,,,Unspecified,2004,,12/31/2004,01/01/2004,Bad Amount,108.0
TWDB_Water Uses,TWDB,TXag_RU18,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,124090,,,Unspecified,2004,,12/31/2004,01/01/2004,Bad Amount,109.0
TWDB_Water Uses,TWDB,TXag_RU19,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,3836341,,,Unspecified,2004,,12/31/2004,01/01/2004,Bad Amount,110.0
TWDB_Water Uses,TWDB,TXag_RU20,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,958600,,,Unspecified,2004,,12/31/2004,01/01/2004,Bad Amount,111.0
TWDB_Water Uses,TWDB,TXag_RU21,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,180115,,,Unspecified,2004,,12/31/2004,01/01/2004,Bad Amount,112.0
TWDB_Water Uses,TWDB,TXag_RU22,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,5961937,,,Unspecified,2004,,12/31/2004,01/01/2004,Bad Amount,113.0
TWDB_Water Uses,TWDB,TXag_RU23,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,96880,,,Unspecified,2004,,12/31/2004,01/01/2004,Bad Amount,114.0
TWDB_Water Uses,TWDB,TXag_RU1,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,2318362,,,Unspecified,2005,,12/31/2005,01/01/2005,Bad Amount,115.0
TWDB_Water Uses,TWDB,TXag_RU2,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,83254,,,Unspecified,2005,,12/31/2005,01/01/2005,Bad Amount,116.0
TWDB_Water Uses,TWDB,TXag_RU3,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,174132,,,Unspecified,2005,,12/31/2005,01/01/2005,Bad Amount,117.0
TWDB_Water Uses,TWDB,TXag_RU4,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,1712739,,,Unspecified,2005,,12/31/2005,01/01/2005,Bad Amount,118.0
TWDB_Water Uses,TWDB,TXag_RU5,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,25057,,,Unspecified,2005,,12/31/2005,01/01/2005,Bad Amount,119.0
TWDB_Water Uses,TWDB,TXag_RU6,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,144810,,,Unspecified,2005,,12/31/2005,01/01/2005,Bad Amount,120.0
TWDB_Water Uses,TWDB,TXag_RU7,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,436371,,,Unspecified,2005,,12/31/2005,01/01/2005,Bad Amount,121.0
TWDB_Water Uses,TWDB,TXag_RU8,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,49434,,,Unspecified,2005,,12/31/2005,01/01/2005,Bad Amount,122.0
TWDB_Water Uses,TWDB,TXag_RU9,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,48958,,,Unspecified,2005,,12/31/2005,01/01/2005,Bad Amount,123.0
