"YEAR","AMA","SECTOR","CATEGORY","PARENT WATER TYPE OR SECTOR","BUDGET ELEMENT","QUANTITY"
"1985","PINAL AMA","Agricultural","Supply","Surface Water","Surface Water","195409"
"1985","PINAL AMA","Agricultural","Supply","Effluent","Effluent","1839"
"1985","PINAL AMA","Indian","Demand","Municipal","Municipal","445"
"1985","PINAL AMA","Indian","Demand","Indian","Agricultural","45766"
"1985","PINAL AMA","Indian","Demand","Indian","Indian Agricultural Lost and Unaccounted for water","7434"
"1985","PINAL AMA","Indian","Supply","Groundwater","Groundwater","24525"
"1985","PINAL AMA","Indian","Supply","Surface Water","Surface Water","29120"
"1985","PRESCOTT AMA","Municipal","Demand","Municipal","Total Large Provider Demand","3660"
"1985","PRESCOTT AMA","Municipal","Demand","Municipal","Small Provider Deliveries","344"
"1985","PRESCOTT AMA","Municipal","Demand","Municipal","Domestic Exempt Volume","785"
"1985","PRESCOTT AMA","Municipal","Population","Municipal","Large Municipal Provider Population","34535"
"1985","PRESCOTT AMA","Municipal","Population","Municipal","Small Municipal Provider Population","2191"
"1985","PRESCOTT AMA","Municipal","Population","Municipal","AMA Exempt Well Population","7788"
"1985","PRESCOTT AMA","Municipal","Exempt Wells","Municipal","AMA Exempt Wells","4560"
"1985","PRESCOTT AMA","Municipal","Supply","Groundwater","Groundwater","4579"
"1985","PRESCOTT AMA","Municipal","Supply","Surface Water","Surface Water","210"
"1985","PRESCOTT AMA","Industrial","Demand","Industrial","Sand and Gravel Facilities","135"
"1985","PRESCOTT AMA","Industrial","Demand","Industrial","Non Facility Use","506"
"1985","PRESCOTT AMA","Industrial","Supply","Groundwater","Groundwater","641"
"1985","PRESCOTT AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","28078"
"1985","PRESCOTT AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","12406"
"1985","PRESCOTT AMA","Agricultural","Demand","Agricultural","Exempt IGFRs","522"
"1985","PRESCOTT AMA","Agricultural","Demand","Agricultural","Exception Users","3290"
"1985","PRESCOTT AMA","Agricultural","Demand","Agricultural","Agricultural Lost and Unaccounted","4770"
"1985","PRESCOTT AMA","Agricultural","Supply","Groundwater","Groundwater","11192"
"1985","PRESCOTT AMA","Agricultural","Supply","Surface Water","Surface Water","9795"
"1985","SANTA CRUZ AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","2283"
"1985","SANTA CRUZ AMA","Municipal","Demand","Municipal","Large Provider Non-Residential Deliveries","1055"
"1985","SANTA CRUZ AMA","Municipal","Demand","Municipal","Large Provider Lost and Unaccounted for Water","139"
"1985","SANTA CRUZ AMA","Municipal","Demand","Municipal","Small Provider Deliveries","550"
"1985","SANTA CRUZ AMA","Municipal","Demand","Municipal","Domestic Exempt Volume","113"
"1985","SANTA CRUZ AMA","Municipal","Population","Municipal","Large Municipal Provider Population","18146"
"1985","SANTA CRUZ AMA","Municipal","Population","Municipal","Small Municipal Provider Population","1642"
"1985","SANTA CRUZ AMA","Municipal","Population","Municipal","AMA Exempt Well Population","1111"
"1985","SANTA CRUZ AMA","Municipal","Exempt Wells","Municipal","AMA Exempt Wells","770"
"1985","SANTA CRUZ AMA","Municipal","Supply","Groundwater","Water withdrawn from wells","4140"
"1985","SANTA CRUZ AMA","Industrial","Demand","Industrial","Golf Courses","1198"
"1985","SANTA CRUZ AMA","Industrial","Demand","Industrial","Non Facility Use","209"
"1985","SANTA CRUZ AMA","Industrial","Supply","Groundwater","Water withdrawn from wells","1407"
"1985","SANTA CRUZ AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","26301"
"1985","SANTA CRUZ AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","8922"
"1985","SANTA CRUZ AMA","Agricultural","Demand","Agricultural","Exempt IGFRs","38"
"1985","SANTA CRUZ AMA","Agricultural","Supply","Groundwater","Water withdrawn from wells","8960"
"1985","TUCSON AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","70534"
"1985","TUCSON AMA","Municipal","Demand","Municipal","Large Provider Non-Residential Deliveries","27953"
"1985","TUCSON AMA","Municipal","Demand","Municipal","Large Provider Lost and Unaccounted for Water","11440"
"1985","TUCSON AMA","Municipal","Demand","Municipal","Small Provider Deliveries","2728"
"1985","TUCSON AMA","Municipal","Demand","Municipal","Domestic Exempt Volume","425"
"1985","TUCSON AMA","Municipal","Population","Municipal","Large Municipal Provider Population","556850"
"1985","TUCSON AMA","Municipal","Population","Municipal","Small Municipal Provider Population","13393"
"1985","TUCSON AMA","Municipal","Population","Municipal","AMA Exempt Well Population","3621"
"1985","TUCSON AMA","Municipal","Exempt Wells","Municipal","AMA Exempt Wells","3725"
"1985","TUCSON AMA","Municipal","Supply","Groundwater","Groundwater","113080"
"1985","TUCSON AMA","Industrial","Demand","Industrial","Sand and Gravel Facilities","4420"
"1985","TUCSON AMA","Industrial","Demand","Industrial","Mining Facilities","26945"
"1985","TUCSON AMA","Industrial","Demand","Industrial","Golf Courses","4490"
"1985","TUCSON AMA","Industrial","Demand","Industrial","Parks Schools Cemeteries HOAs","1933"
"1985","TUCSON AMA","Industrial","Demand","Industrial","Power Generation Facilities","2598"
"1985","TUCSON AMA","Industrial","Demand","Industrial","Dairy Facilities","449"
"1985","TUCSON AMA","Industrial","Demand","Industrial","Cattle Feedlots","21"
"1985","TUCSON AMA","Industrial","Demand","Industrial","Non Facility Use","5761"
"1985","TUCSON AMA","Industrial","Demand","Industrial","Non Conservation and Non Municipal Demand","9"
"1985","TUCSON AMA","Industrial","Demand","Industrial","Drainage and Dewatering Permits","29"
"1985","TUCSON AMA","Industrial","Supply","Groundwater","Groundwater","45896"
"1985","TUCSON AMA","Industrial","Supply","Surface Water","Surface Water","708"
"1985","TUCSON AMA","Industrial","Supply","Other","Other","12"
"1985","TUCSON AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","212718"
"1985","TUCSON AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","114879"
"1985","TUCSON AMA","Agricultural","Supply","Groundwater","Groundwater","111333"
"1985","TUCSON AMA","Agricultural","Supply","Effluent","Effluent","3546"
"1985","TUCSON AMA","Indian","Demand","Municipal","Municipal","72"
"1985","TUCSON AMA","Indian","Supply","Groundwater","Groundwater","72"
"1986","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","301662"
"1986","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Non-Residential Deliveries","173360"
"1986","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Lost and Unaccounted for Water","44975"
"1986","PHOENIX AMA","Municipal","Demand","Municipal","Small Provider Deliveries","9774"
"1986","PHOENIX AMA","Municipal","Demand","Municipal","Urban Irrigation","129662"
"1986","PHOENIX AMA","Municipal","Demand","Municipal","Domestic Exempt Volume","3414"
"1986","PHOENIX AMA","Municipal","Demand","Municipal","Irrigation District Add ons","1333"
"1986","PHOENIX AMA","Municipal","Population","Municipal","Large Municipal Provider Population","1882169"
"1986","PHOENIX AMA","Municipal","Population","Municipal","Small Municipal Provider Population","9728"
"1986","PHOENIX AMA","Municipal","Population","Municipal","AMA Exempt Well Population","24646"
"1986","PHOENIX AMA","Municipal","Population","Indian","Indian Reservation Population","10679"
"1986","PHOENIX AMA","Municipal","Exempt Wells","Municipal","AMA Exempt Wells","5454"
"1986","PHOENIX AMA","Municipal","Supply","Groundwater","Groundwater","292108"
"1986","PHOENIX AMA","Municipal","Supply","Surface Water","Surface Water","347865"
"1986","PHOENIX AMA","Municipal","Supply","CAP","CAP","13036"
"1986","PHOENIX AMA","Municipal","Supply","Effluent","Effluent","1713"
"1986","PHOENIX AMA","Municipal","Supply","Effluent","Direct Use Effluent","1713"
"1986","PHOENIX AMA","Municipal","Supply","Spill","Spill","9458"
"1986","PHOENIX AMA","Industrial","Demand","Industrial","Sand and Gravel Facilities","10582"
"1986","PHOENIX AMA","Industrial","Demand","Industrial","Total Turf Demand","44697"
"1986","PHOENIX AMA","Industrial","Demand","Industrial","Power Generation Facilities","31290"
"1986","PHOENIX AMA","Industrial","Demand","Industrial","Dairy Facilities","6197"
"1986","PHOENIX AMA","Industrial","Demand","Industrial","Cattle Feedlots","1104"
"1986","PHOENIX AMA","Industrial","Demand","Industrial","Non Facility Use","13614"
"1986","PHOENIX AMA","Industrial","Demand","Industrial","Drainage and Dewatering Permits","23940"
"1986","PHOENIX AMA","Industrial","Supply","Groundwater","Groundwater","71644"
"1986","PHOENIX AMA","Industrial","Supply","Groundwater","Poor Quality GW","1"
"1986","PHOENIX AMA","Industrial","Supply","Surface Water","Surface Water","5810"
"1986","PHOENIX AMA","Industrial","Supply","Effluent","Effluent","30029"
"1986","PHOENIX AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","1839274"
"1986","PHOENIX AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","940887"
"1986","PHOENIX AMA","Agricultural","Demand","Agricultural","Exempt IGFRs","18366"
"1986","PHOENIX AMA","Agricultural","Demand","Agricultural","Buckeye Waterlogged Area IGFRs","115130"
"1986","PHOENIX AMA","Agricultural","Demand","Agricultural","Agricultural Lost and Unaccounted","66109"
"1986","PHOENIX AMA","Agricultural","Supply","Groundwater","Groundwater","645950"
"1986","PHOENIX AMA","Agricultural","Supply","Surface Water","Surface Water","413154"
"1986","PHOENIX AMA","Agricultural","Supply","CAP","CAP","8574"
"1986","PHOENIX AMA","Agricultural","Supply","Effluent","Effluent","30015"
"1986","PHOENIX AMA","Agricultural","Supply","Spill","Spill","42767"
"1986","PHOENIX AMA","Agricultural","Supply","Other","Other","32"
"1986","PHOENIX AMA","Indian","Demand","Municipal","Municipal","682"
"1986","PHOENIX AMA","Indian","Demand","Indian","Agricultural","265923"
"1986","PHOENIX AMA","Indian","Supply","Groundwater","Groundwater","97093"
"1986","PHOENIX AMA","Indian","Supply","Surface Water","Surface Water","169512"
"1986","PINAL AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","6776"
"1986","PINAL AMA","Municipal","Demand","Municipal","Large Provider Non-Residential Deliveries","3786"
"1986","PINAL AMA","Municipal","Demand","Municipal","Large Provider Lost and Unaccounted for Water","455"
"1986","PINAL AMA","Municipal","Demand","Municipal","Small Provider Deliveries","2111"
"1986","PINAL AMA","Municipal","Demand","Municipal","Urban Irrigation","1188"
"1986","PINAL AMA","Municipal","Demand","Municipal","Domestic Exempt Volume","188"
"1986","PINAL AMA","Municipal","Population","Municipal","Large Municipal Provider Population","43529"
"1986","PINAL AMA","Municipal","Population","Municipal","Small Municipal Provider Population","8000"
"1986","PINAL AMA","Municipal","Population","Municipal","AMA Exempt Well Population","1490"
"1986","PINAL AMA","Municipal","Population","Indian","Indian Reservation Population","6928"
"1986","PINAL AMA","Municipal","Exempt Wells","Municipal","AMA Exempt Wells","960"
"1986","PINAL AMA","Municipal","Supply","Groundwater","Groundwater","13516"
"1986","PINAL AMA","Municipal","Supply","Surface Water","Surface Water","989"
"1986","PINAL AMA","Industrial","Demand","Industrial","Sand and Gravel Facilities","361"
"1986","PINAL AMA","Industrial","Demand","Industrial","Mining Facilities","27"
"1986","PINAL AMA","Industrial","Demand","Industrial","Golf Courses","1390"
"1986","PINAL AMA","Industrial","Demand","Industrial","Dairy Facilities","345"
"1986","PINAL AMA","Industrial","Demand","Industrial","Cattle Feedlots","2080"
"1986","PINAL AMA","Industrial","Demand","Industrial","Non Facility Use","489"
"1986","PINAL AMA","Industrial","Supply","Groundwater","Groundwater","4682"
"1986","PINAL AMA","Industrial","Supply","Effluent","Effluent","10"
"1986","PINAL AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","1228608"
"1986","PINAL AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","637677"
"1986","PINAL AMA","Agricultural","Demand","Agricultural","Exempt IGFRs","1500"
"1986","PINAL AMA","Agricultural","Demand","Agricultural","Agricultural Lost and Unaccounted","41983"
"1986","PINAL AMA","Agricultural","Supply","Groundwater","Groundwater","516756"
"1986","PINAL AMA","Agricultural","Supply","Surface Water","Surface Water","161870"
"1986","PINAL AMA","Agricultural","Supply","Effluent","Effluent","2534"
"1986","PINAL AMA","Indian","Demand","Municipal","Municipal","442"
"1986","PINAL AMA","Indian","Demand","Indian","Agricultural","80840"
"1986","PINAL AMA","Indian","Demand","Indian","Indian Agricultural Lost and Unaccounted for water","6240"
"1986","PINAL AMA","Indian","Supply","Groundwater","Groundwater","60962"
"1986","PINAL AMA","Indian","Supply","Surface Water","Surface Water","26560"
"1986","PRESCOTT AMA","Municipal","Demand","Municipal","Total Large Provider Demand","3972"
"1986","PRESCOTT AMA","Municipal","Demand","Municipal","Small Provider Deliveries","261"
"1986","PRESCOTT AMA","Municipal","Demand","Municipal","Domestic Exempt Volume","826"
"1986","PRESCOTT AMA","Municipal","Population","Municipal","Large Municipal Provider Population","36164"
"1986","PRESCOTT AMA","Municipal","Population","Municipal","Small Municipal Provider Population","2302"
"1986","PRESCOTT AMA","Municipal","Population","Municipal","AMA Exempt Well Population","8198"
"1986","PRESCOTT AMA","Municipal","Exempt Wells","Municipal","AMA Exempt Wells","4751"
"1986","PRESCOTT AMA","Municipal","Supply","Groundwater","Groundwater","4784"
"1986","PRESCOTT AMA","Municipal","Supply","Surface Water","Surface Water","276"
"1986","PRESCOTT AMA","Industrial","Demand","Industrial","Sand and Gravel Facilities","90"
"1986","PRESCOTT AMA","Industrial","Demand","Industrial","Non Facility Use","689"
"1986","PRESCOTT AMA","Industrial","Supply","Groundwater","Groundwater","779"
"1986","PRESCOTT AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","28091"
"1986","PRESCOTT AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","8638"
"1986","PRESCOTT AMA","Agricultural","Demand","Agricultural","Exempt IGFRs","353"
"1986","PRESCOTT AMA","Agricultural","Demand","Agricultural","Exception Users","3249"
"1986","PRESCOTT AMA","Agricultural","Demand","Agricultural","Agricultural Lost and Unaccounted","4230"
"1986","PRESCOTT AMA","Agricultural","Supply","Groundwater","Groundwater","7913"
"1986","PRESCOTT AMA","Agricultural","Supply","Surface Water","Surface Water","8556"
"1986","SANTA CRUZ AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","1714"
"1986","SANTA CRUZ AMA","Municipal","Demand","Municipal","Large Provider Non-Residential Deliveries","1397"
"1986","SANTA CRUZ AMA","Municipal","Demand","Municipal","Large Provider Lost and Unaccounted for Water","258"
"1986","SANTA CRUZ AMA","Municipal","Demand","Municipal","Small Provider Deliveries","554"
"1986","SANTA CRUZ AMA","Municipal","Demand","Municipal","Domestic Exempt Volume","115"
"1986","SANTA CRUZ AMA","Municipal","Population","Municipal","Large Municipal Provider Population","18730"
"1986","SANTA CRUZ AMA","Municipal","Population","Municipal","Small Municipal Provider Population","1642"
"1986","SANTA CRUZ AMA","Municipal","Population","Municipal","AMA Exempt Well Population","1133"
"1986","SANTA CRUZ AMA","Municipal","Exempt Wells","Municipal","AMA Exempt Wells","788"
"1986","SANTA CRUZ AMA","Municipal","Supply","Groundwater","Water withdrawn from wells","4038"
"1986","SANTA CRUZ AMA","Industrial","Demand","Industrial","Golf Courses","1205"
"1986","SANTA CRUZ AMA","Industrial","Demand","Industrial","Non Facility Use","166"
"1986","SANTA CRUZ AMA","Industrial","Supply","Groundwater","Water withdrawn from wells","1371"
"1986","SANTA CRUZ AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","26301"
"1986","SANTA CRUZ AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","10636"
"1986","SANTA CRUZ AMA","Agricultural","Demand","Agricultural","Exempt IGFRs","50"
"1986","SANTA CRUZ AMA","Agricultural","Supply","Groundwater","Water withdrawn from wells","10686"
"1986","TUCSON AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","75793"
"1986","TUCSON AMA","Municipal","Demand","Municipal","Large Provider Non-Residential Deliveries","32612"
"1986","TUCSON AMA","Municipal","Demand","Municipal","Large Provider Lost and Unaccounted for Water","8867"
"1986","TUCSON AMA","Municipal","Demand","Municipal","Small Provider Deliveries","2702"
"1986","TUCSON AMA","Municipal","Demand","Municipal","Domestic Exempt Volume","436"
"1986","TUCSON AMA","Municipal","Population","Municipal","Large Municipal Provider Population","582538"
"1986","TUCSON AMA","Municipal","Population","Municipal","Small Municipal Provider Population","13836"
"1986","TUCSON AMA","Municipal","Population","Municipal","AMA Exempt Well Population","3713"
"1986","TUCSON AMA","Municipal","Exempt Wells","Municipal","AMA Exempt Wells","3833"
"1986","TUCSON AMA","Municipal","Supply","Groundwater","Groundwater","120410"
"1986","TUCSON AMA","Industrial","Demand","Industrial","Sand and Gravel Facilities","4074"
"1986","TUCSON AMA","Industrial","Demand","Industrial","Mining Facilities","25005"
"1986","TUCSON AMA","Industrial","Demand","Industrial","Golf Courses","4220"
"1986","TUCSON AMA","Industrial","Demand","Industrial","Parks Schools Cemeteries HOAs","1877"
"1986","TUCSON AMA","Industrial","Demand","Industrial","Power Generation Facilities","2295"
"1986","TUCSON AMA","Industrial","Demand","Industrial","Dairy Facilities","399"
"1986","TUCSON AMA","Industrial","Demand","Industrial","Cattle Feedlots","21"
"1986","TUCSON AMA","Industrial","Demand","Industrial","Non Facility Use","5944"
"1986","TUCSON AMA","Industrial","Demand","Industrial","Non Conservation and Non Municipal Demand","1"
"1986","TUCSON AMA","Industrial","Demand","Industrial","Drainage and Dewatering Permits","7"
"1986","TUCSON AMA","Industrial","Supply","Groundwater","Groundwater","42905"
"1986","TUCSON AMA","Industrial","Supply","Surface Water","Surface Water","930"
"1986","TUCSON AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","214227"
"1986","TUCSON AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","102910"
"1986","TUCSON AMA","Agricultural","Supply","Groundwater","Groundwater","99808"
"1986","TUCSON AMA","Agricultural","Supply","Effluent","Effluent","3102"
"1986","TUCSON AMA","Indian","Demand","Municipal","Municipal","75"
"1986","TUCSON AMA","Indian","Supply","Groundwater","Groundwater","75"
"1987","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","343586"
"1987","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Non-Residential Deliveries","146174"
"1987","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Lost and Unaccounted for Water","64769"
"1987","PHOENIX AMA","Municipal","Demand","Municipal","Small Provider Deliveries","11370"
"1987","PHOENIX AMA","Municipal","Demand","Municipal","Urban Irrigation","130281"
"1987","PHOENIX AMA","Municipal","Demand","Municipal","Domestic Exempt Volume","3481"
"1987","PHOENIX AMA","Municipal","Demand","Municipal","Irrigation District Add ons","1013"
"1987","PHOENIX AMA","Municipal","Population","Municipal","Large Municipal Provider Population","1960262"
"1987","PHOENIX AMA","Municipal","Population","Municipal","Small Municipal Provider Population","9918"
"1987","PHOENIX AMA","Municipal","Population","Municipal","AMA Exempt Well Population","25127"
"1987","PHOENIX AMA","Municipal","Population","Indian","Indian Reservation Population","11053"
"1987","PHOENIX AMA","Municipal","Exempt Wells","Municipal","AMA Exempt Wells","5723"
"1987","PHOENIX AMA","Municipal","Supply","Groundwater","Groundwater","266605"
"1987","PHOENIX AMA","Municipal","Supply","Surface Water","Surface Water","351303"
"1987","PHOENIX AMA","Municipal","Supply","CAP","CAP","59518"
"1987","PHOENIX AMA","Municipal","Supply","Effluent","Effluent","1513"
"1987","PHOENIX AMA","Municipal","Supply","Effluent","Direct Use Effluent","1513"
"1987","PHOENIX AMA","Municipal","Supply","Spill","Spill","21735"
"1987","PHOENIX AMA","Industrial","Demand","Industrial","Sand and Gravel Facilities","11063"
"1987","PHOENIX AMA","Industrial","Demand","Industrial","Golf Courses","38779"
"1987","PHOENIX AMA","Industrial","Demand","Industrial","Parks Schools Cemeteries HOAs","5918"
"1987","PHOENIX AMA","Industrial","Demand","Industrial","Power Generation Facilities","38246"
"1987","PHOENIX AMA","Industrial","Demand","Industrial","Dairy Facilities","6256"
"1987","PHOENIX AMA","Industrial","Demand","Industrial","Cattle Feedlots","784"
"1987","PHOENIX AMA","Industrial","Demand","Industrial","Non Facility Use","17570"
"1987","PHOENIX AMA","Industrial","Demand","Industrial","Drainage and Dewatering Permits","37753"
"1987","PHOENIX AMA","Industrial","Supply","Groundwater","Groundwater","74670"
"1987","PHOENIX AMA","Industrial","Supply","Groundwater","Poor Quality GW","107"
"1987","PHOENIX AMA","Industrial","Supply","Surface Water","Surface Water","4917"
"1987","PHOENIX AMA","Industrial","Supply","CAP","CAP","894"
"1987","PHOENIX AMA","Industrial","Supply","Effluent","Effluent","38029"
"1987","PHOENIX AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","1784763"
"1987","PHOENIX AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","1003964"
"1987","PHOENIX AMA","Agricultural","Demand","Agricultural","Exempt IGFRs","22564"
"1987","PHOENIX AMA","Agricultural","Demand","Agricultural","Buckeye Waterlogged Area IGFRs","123210"
"1987","PHOENIX AMA","Agricultural","Demand","Agricultural","Agricultural Lost and Unaccounted","57693"
"1987","PHOENIX AMA","Agricultural","Supply","Groundwater","Groundwater","572866"
"1987","PHOENIX AMA","Agricultural","Supply","Surface Water","Surface Water","383850"
"1987","PHOENIX AMA","Agricultural","Supply","CAP","CAP","60597"
"1987","PHOENIX AMA","Agricultural","Supply","Effluent","Effluent","30003"
"1987","PHOENIX AMA","Agricultural","Supply","Spill","Spill","154638"
"1987","PHOENIX AMA","Agricultural","Supply","Other","Other","5477"
"1987","PHOENIX AMA","Indian","Demand","Municipal","Municipal","706"
"1987","PHOENIX AMA","Indian","Demand","Indian","Agricultural","283160"
"1987","PHOENIX AMA","Indian","Supply","Groundwater","Groundwater","94658"
"1987","PHOENIX AMA","Indian","Supply","Surface Water","Surface Water","189208"
"1987","PINAL AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","6928"
"1987","PINAL AMA","Municipal","Demand","Municipal","Large Provider Non-Residential Deliveries","3881"
"1987","PINAL AMA","Municipal","Demand","Municipal","Large Provider Lost and Unaccounted for Water","676"
"1987","PINAL AMA","Municipal","Demand","Municipal","Small Provider Deliveries","2710"
"1987","PINAL AMA","Municipal","Demand","Municipal","Urban Irrigation","1084"
"1987","PINAL AMA","Municipal","Demand","Municipal","Domestic Exempt Volume","202"
"1987","PINAL AMA","Municipal","Population","Municipal","Large Municipal Provider Population","44692"
