FILE_NUMBER,WATER_SOURCE_ID,WITHDRAWAL_WATER_BODY_NAME,WATER_CASE_ID,FILE_TYPE_x,CUSTOMER_NAME_x,TOTAL_PERMIT_QTY,TOTAL_PERMIT_QTY_UNIT,REPORT_FREQ,REPORT_INTERVAL,WATER_CASE_VERIFIED,WATER_SOURCE_TYPE,SOURCE_TYPE,WATER_TYPE,AQUIFER,REAA,ACTIVE_SOURCE,SOURCE_NOTES,HYDROLOGIC_UNIT_CODE,STATE_USE_SOURCE,STATE_USE,WUC_CODE_DESC,WUC_CODE_DESC_SOURCE,USGS_USE,USGS_AREA,BOROUGH,WATER_SOURCE_VERIFIED,INTAKE_NAME,INTAKE_LOCATION,INTAKE_NOTES,WELL_DEPTH,CASING_DEPTH,OPEN_INTERVALS,LAND_SURFACE_ELEVATION_FT,LAND_SURFACE_ELEVATION_SOURCE,WELL_INFO_SOURCE,ACTIVE_INTAKE,SOURCE_INTAKE_VERIFIED,METHODOLOGY,DAILY_PEAK_QTY_UNIT,WATER_SOURCE_USAGE_VERIFIED,FILE_TYPE_y,Priority Date,CUSTOMER_NAME_y,wswc_long,wswc_lat,wswc_QTY,wswc_SiteNativeID
2836,54563,Bradley Lake Powerhouse,54561,LAS,DCCED ALASKA ENERGY AUTHORITY,259024000000.0,gallons,M,M,T,lake,surface,fresh,,,T,,,las,,,las,,,,T,Bradley Lake Powerhouse,,,,,,,dem,,T,T,metered,gallons,T,,,,,,794916.16336,
3260,1902,Well #4,1901,LAS,ALASKA ZOO,20637.0,gallons,M,M,T,well,ground,fresh,Cook Inlet Aquifer System,,T,,19020401.0,hardcopy,Fish & Wildlife,Zoo,hardcopy,,,BAN,T,Well #4,POINT (-149.792672395706 61.1262987538558),,340.0,0.0,,0.0,,log,T,T,metered,gallons,T,,,,-149.792672395706,61.1262987538558,0.06333268293000001,WaDEAK_S28
3261,1882,Well #1,1881,LAS,ALASKA ZOO,251176.0,gallons,M,M,T,well,ground,fresh,Cook Inlet Aquifer System,,T,,19020401.0,hardcopy,Fish & Wildlife,Zoo,hardcopy,,,BAN,T,Well #1,POINT (-149.793101549149 61.1235528393395),,320.0,0.0,,0.0,,log,T,T,metered,gallons,T,,,,-149.793101549149,61.1235528393395,0.77083151464,WaDEAK_S29
3261,2061,Well #3,1881,LAS,ALASKA ZOO,251176.0,gallons,M,M,T,well,ground,fresh,Cook Inlet Aquifer System,,T,,19020401.0,hardcopy,Fish & Wildlife,Zoo,hardcopy,,,BAN,T,Well #3,POINT (-149.793691635132 61.1244336303691),,303.0,298.0,298-303 ft,0.0,,log,T,T,metered,gallons,T,,,,-149.793691635132,61.1244336303691,0.77083151464,WaDEAK_S30
3261,2062,Well #5,1881,LAS,ALASKA ZOO,251176.0,gallons,M,M,T,well,ground,fresh,Cook Inlet Aquifer System,,T,,19020401.0,hardcopy,Fish & Wildlife,Zoo,hardcopy,,,BAN,T,Well #5,POINT (-149.794946908951 61.1235321145491),,355.0,232.0,232-355,0.0,,log,T,T,metered,gallons,T,,,,-149.794946908951,61.1235321145491,0.77083151464,WaDEAK_S31
3261,57013,WELL #2,1881,LAS,ALASKA ZOO,251176.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,WELL #2,,,,,,,dem,,T,T,metered,gallons,T,,,,,,0.77083151464,
3395,37215,ER #06 MCALPINE,37204,LAS,MUNICIPALITY ANCHORAGE WATER AND WASTEWATER UTIL,109500000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,ER #06 MCALPINE,,,,,,,dem,,T,T,metered,gallons,T,,,,,,336.043455,
3485,37217,ER #09 PALO VERDES,37205,LAS,MUNICIPALITY ANCHORAGE WATER AND WASTEWATER UTIL,15695000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,ER #09 PALO VERDES,,,,,,,dem,,T,T,metered,gallons,T,,,,,,48.16622855,
5204,9321,Honnor Garden,9309,LAS,WASILLA CITY OF,750000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,Honnor Garden,,,,,,,dem,,T,T,metered,gallons,T,,,,,,2.3016675,
5204,9322,East Susitna,9309,LAS,WASILLA CITY OF,750000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,East Susitna,,,,,,,dem,,T,T,metered,gallons,T,,,,,,2.3016675,
5204,9323,Muck,9309,LAS,WASILLA CITY OF,750000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,Muck,,,,,,,dem,,T,T,metered,gallons,T,,,,,,2.3016675,
5204,9324,Spruce Avenue,9309,LAS,WASILLA CITY OF,750000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,Spruce Avenue,,,,,,,dem,,T,T,metered,gallons,T,,,,,,2.3016675,
5204,9325,Spruce Stand-by well,9309,LAS,WASILLA CITY OF,750000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,Spruce Stand-by well,,,,,,,dem,,T,T,metered,gallons,T,,,,,,2.3016675,
5204,9326,Wonderland Irrigation well,9309,LAS,WASILLA CITY OF,750000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,Wonderland Irrigation well,,,,,,,dem,,T,T,metered,gallons,T,,,,,,2.3016675,
6550,15542,City Creek,15541,LAS,PETERSBURG CITY OF,1022000000.0,gallons,M,M,T,river,surface,fresh,,,T,,,las,,,las,,,,T,City Creek,POINT (-132.908480077 56.7901615159999),,,,,,dem,,T,T,metered,gallons,T,,,,-132.908480077,56.7901615159999,3136.40558,WaDEAK_S41
6660,52111,Pump Station 6,52096,LAS,ALYESKA PIPELINE SERVICE COMPANY,3650000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,Pump Station 6,POINT (-149.829993938999 65.9194887249),,,,,,dem,,T,T,metered,gallons,T,,,,-149.829993938999,65.9194887249,11.2014485,WaDEAK_S42
6675,9957,WELL,9956,LAS,YAKUTAT CITY AND BOR,500000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,WELL,,,,,,,dem,,T,T,metered,gallons,T,,,,,,1.534445,
7207,58589,"Little Campbell Creek, Lot 11",58588,LAS,"ANCHORAGE CLEEK CORP., INC.",7181798400.0,gallons,M,M,T,creek,surface,fresh,,,T,2 cfs must be maintained in stream during any use!,,las,,,las,,,,T,"Little Campbell Creek, Lot 11",,,,,,,dem,,T,T,estimated,gallons,T,,,,,,22040.149291776,
7247,55877,Pillar Creek Hatchery,55867,LAS,DFG COMM FISH HQS,385807584.0,gallons,M,M,T,creek,surface,fresh,,,T,,,las,,,las,,,,T,Pillar Creek,,,,,,,dem,,T,T,metered,gallons,T,,,,,,1184.0010364617601,
7582,28541,Eyak Lake,1941,LAS,CORDOVA CITY OF,7461987.9,gallons,M,M,T,lake,surface,fresh,,,T,,,las,,,las,,,,T,Eyak Lake,,,,,,,dem,,T,T,metered,gallons,T,,,,,,22.900020046431003,
9889,16021,Wells #4 & #5,16018,LAS,PALMER  CITY OF,328490393.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,Wells #4 & #5,POINT (-149.096237833 61.5856010055999),,,,,,dem,,T,T,metered,gallons,T,,,,-149.096237833,61.5856010055999,1008.1008821737701,WaDEAK_S47
9889,16021,Wells #4 & #5,16018,LAS,PALMER  CITY OF,328490393.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,Wells #4 & #5,POINT (-149.096237833 61.5856010055999),,,,,,dem,,T,T,estimated,gallons,T,,,,-149.096237833,61.5856010055999,1008.1008821737701,WaDEAK_S47
11215,12119,Well E,12111,LAS,SOLDOTNA CITY OF,138.1,acre_feet,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,Well E,,,,,,,dem,,T,T,metered,gallons,T,,,,,,0.000423813709,
11327,55891,Fort Richardson Hatchery,55874,LAS,DFG SPORT FISH DIV REGION II,2996650000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,Old Field,,,,,,,dem,,T,T,metered,gallons,T,,,,,,9196.3892185,
11329,19899,Linkum Creek,19898,LAS,CITY OF KASAAN,7738000.0,gallons,M,M,T,creek,surface,fresh,,,T,,,las,,,las,,,,T,Linkum Creek,POINT (-132.398345424 55.5444175694999),,,,,,dem,,T,T,metered,gallons,T,,,,-132.398345424,55.5444175694999,23.74707082,WaDEAK_S50
11408,8146,Buskin Lake,8145,LAS,USCG COMMANDING OFFICER SILC PRODUCT LINE DIV,954.59,acre_feet,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,Buskin Lake,,,,,,,dem,,T,T,metered,gallons,T,,,,,,0.0029295317051,
11465,10575,Water Lake,10574,LAS,THORNE BAY CITY OF,36500000.0,gallons,M,M,T,lake,surface,fresh,,,T,,,las,,,las,,,,T,Water Lake,POINT (-132.515257593 55.693733663),,,,,,dem,,T,T,metered,gallons,T,,,,-132.515257593,55.693733663,112.01448500000001,WaDEAK_S52
11738,28140,St Nicholas - North Fork Lake,28139,LAS,CRAIG CITY OF,365000000.0,gallons,M,M,T,lake,surface,fresh,,,T,,,las,,,las,,,,T,St Nicholas - North Fork Lake,,,,,,,dem,,T,T,metered,gallons,T,,,,,,1120.1448500000001,
11794,55879,Pillar Creek Hatchery,55868,LAS,DFG COMM FISH HQS,209848044.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,wells,,,,,,,dem,,T,T,metered,gallons,T,,,,,,644.00056375116,
11795,14099,Humboldt Creek Reservoir,14098,LAS,SAND POINT  CITY OF,47450000.0,gallons,M,M,T,river,surface,fresh,,,T,,,las,,,las,,,,T,Humboldt Creek Reservoir,POINT (-160.483872676 55.3402411352999),,,,,,dem,,T,T,metered,gallons,T,,,,-160.483872676,55.3402411352999,145.6188305,WaDEAK_S55
11795,14099,Humboldt Creek Reservoir,14098,LAS,SAND POINT  CITY OF,47450000.0,gallons,M,M,T,river,surface,fresh,,,T,,,las,,,las,,,,T,Humboldt Creek Reservoir,POINT (-160.483872676 55.3402411352999),,,,,,dem,,T,T,estimated,gallons,T,,,,-160.483872676,55.3402411352999,145.6188305,WaDEAK_S55
11813,52113,Allison Creek/Marine Terminal,52097,LAS,ALYESKA PIPELINE SERVICE COMPANY,31024274.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,Allison Creek/Marine Terminal,POINT (-146.353251279999 61.0830499301),,,,,,dem,,T,T,metered,gallons,T,,,,-146.353251279999,61.0830499301,95.21008423586001,WaDEAK_S56
11878,53459,Haines - Lutak,53452,LAS,HAINES BOR,4010396985.0,gallons,M,M,T,lake,surface,fresh,,,T,,,las,,,las,,,,T,Haines - Lutak,,,,,,,dem,,T,T,metered,gallons,T,,,,,,12307.46720329665,
11878,53459,Haines - Lutak,53452,LAS,HAINES BOR,4010396985.0,gallons,M,M,T,lake,surface,fresh,,,T,,,las,,,las,,,,T,Haines - Lutak,,,,,,,dem,,T,T,estimated,acre_feet,T,,,,,,12307.46720329665,
11965,14823,creek,14822,LAS,PORT GRAHAM VILLAGE OF,42400000.0,gallons,M,M,T,creek,surface,fresh,,,T,,,las,,,las,,,,T,creek,,,,,,,dem,,T,T,metered,gallons,T,,,,,,130.120936,
12168,2672,North PRB State No. 2,2671,LAS,HILCORP NORTH SLOPE LLC,1834541.0,gallons,M,M,T,lake,surface,fresh,,,T,,,,,,,,,,T,North PRB State No. 2,,,,,,,dem,,T,T,metered,gallons,T,,,,,,5.63000452949,
12169,2670,Drill Site 12 Lake,2669,LAS,HILCORP NORTH SLOPE LLC,1665098.0,gallons,M,M,T,lake,surface,fresh,,,T,,,,,,,,,,T,Drill Site 12 Lake,POINT (-148.41794894 70.21845971),,0.0,0.0,,0.0,,,T,T,metered,gallons,T,,,,-148.41794894,70.21845971,5.110002601220001,WaDEAK_S60
12172,2666,Drill Site 13 Lake,2665,LAS,HILCORP NORTH SLOPE LLC,1749819.0,gallons,M,M,T,creek,surface,fresh,,,T,,,,,,,,,,T,Drill Site 13 Lake,POINT (-148.51648884 70.22536391),,0.0,0.0,,0.0,,,T,T,metered,gallons,T,,,,-148.51648884,70.22536391,5.37000203091,WaDEAK_S61
12173,2664,Drill Site 09 Lake (Exxon Pit),2663,LAS,HILCORP NORTH SLOPE LLC,475742.0,gallons,M,M,T,lake,surface,fresh,,,T,,,,,,,,,,T,Drill Site 09 Lake (Exxon Pit),POINT (-148.2313529 70.2500098),,0.0,0.0,,0.0,,,T,T,metered,gallons,T,,,,-148.2313529,70.2500098,1.45999986638,WaDEAK_S62
12174,2662,Drill Site 4 Lake,2661,LAS,HILCORP NORTH SLOPE LLC,993845.0,gallons,M,M,T,lake,surface,fresh,,,T,,,,,,,,,,T,Drill Site 4 Lake,POINT (-148.29254337 70.27420007),,0.0,0.0,,0.0,,,T,T,metered,gallons,T,,,,-148.29254337,70.27420007,3.0500009820500003,WaDEAK_S63
12174,33278,East Drill Site 4  Area Lake,2661,LAS,HILCORP NORTH SLOPE LLC,993845.0,gallons,M,M,T,lake,surface,fresh,,,T,,,las,,,las,,,,T,East Drill Site 4  Area Lake,,,,,,,dem,,T,T,metered,gallons,T,,,,,,3.0500009820500003,
12174,33280,South Drill Site 4  Area Lake,2661,LAS,HILCORP NORTH SLOPE LLC,993845.0,gallons,M,M,T,lake,surface,fresh,,,T,,,las,,,las,,,,T,South Drill Site 4  Area Lake,,,,,,,dem,,T,T,metered,gallons,T,,,,,,3.0500009820500003,
12174,33282,West Drill Site 4  Area Lake,2661,LAS,HILCORP NORTH SLOPE LLC,993845.0,gallons,M,M,T,lake,surface,fresh,,,T,,,las,,,las,,,,T,West Drill Site 4  Area Lake,,,,,,,dem,,T,T,metered,gallons,T,,,,,,3.0500009820500003,
12175,2658,MCC Lake,2657,LAS,HILCORP NORTH SLOPE LLC,12440991.0,gallons,M,M,T,lake,surface,fresh,,,T,,,,,,,,,,T,MCC Lake,POINT (-148.40716961 70.25508389),,0.0,0.0,,0.0,,,T,T,metered,gallons,T,,,,-148.40716961,70.25508389,38.18003286999,WaDEAK_S67
12177,2656,Drill Site 07 Lake,2655,LAS,HILCORP NORTH SLOPE LLC,8553588.0,gallons,M,M,T,lake,surface,fresh,,,T,,,,,,,,,,T,Drill Site 07 Lake,POINT (-148.5671812 70.26619275),,0.0,0.0,,0.0,,,T,T,metered,gallons,T,,,,-148.5671812,70.26619275,26.250020677320002,WaDEAK_S68
12180,2650,Drill Site L-3 Lake,2649,LAS,HILCORP NORTH SLOPE LLC,4392471.0,gallons,M,M,T,lake,surface,fresh,,,T,,,,,,,,,,T,Drill Site L-3 Lake,POINT (-148.3014878 70.28661979),,0.0,0.0,,0.0,,,T,T,metered,gallons,T,,,,-148.3014878,70.28661979,13.48001032719,WaDEAK_S69
12182,2678,Drill Site 5 Lake,2677,LAS,HILCORP NORTH SLOPE LLC,127081.0,gallons,M,M,T,lake,surface,fresh,,,T,,,,,,,,,,T,Drill Site 5 Lake,POINT (-148.39401938 70.26859448),,0.0,0.0,,0.0,,,T,T,metered,gallons,T,,,,-148.39401938,70.26859448,0.38999761009,WaDEAK_S70
12183,2676,Drill Site 17 Lake,2675,LAS,HILCORP NORTH SLOPE LLC,5985882.0,gallons,M,M,T,lake,surface,fresh,,,T,,,,,,,,,,T,Drill Site 17 Lake,POINT (-148.31053915 70.20959149),,0.0,0.0,,0.0,,,T,T,metered,gallons,T,,,,-148.31053915,70.20959149,18.37001341098,WaDEAK_S71
12184,2674,Colleen Lake,2673,LAS,HILCORP NORTH SLOPE LLC,19723761.0,gallons,M,M,T,lake,surface,fresh,,,T,,,,,,,,,,T,Colleen Lake,POINT (-148.46471817 70.21421719),,0.0,0.0,,0.0,,,T,T,metered,gallons,T,,,,-148.46471817,70.21421719,60.530052895290005,WaDEAK_S72
12185,2648,Webster Reservoir,2647,LAS,HILCORP NORTH SLOPE LLC,11078934.0,gallons,M,M,T,lake,surface,fresh,,,T,,,,,,,,,,T,T3C Lake,,,,,,,dem,,T,T,metered,gallons,T,,,,,,34.00002976326,
12186,2646,Drill Site 15 Lake,2645,LAS,HILCORP NORTH SLOPE LLC,325851.0,gallons,M,M,T,lake,surface,fresh,,,T,,,,,,,,,,T,Drill Site 15 Lake,POINT (-148.56619537 70.30165245),,0.0,0.0,,0.0,,,T,T,metered,gallons,T,,,,-148.56619537,70.30165245,1.00000087539,WaDEAK_S74
12187,2644,Lisburne Production Center LPC Lake,2643,LAS,HILCORP NORTH SLOPE LLC,2320059.0,gallons,M,M,T,lake,surface,fresh,,,T,,,,,,,,,,T,Lisburne Production Center LPC Lake,,,,,,,dem,,T,T,metered,gallons,T,,,,,,7.12000586451,
12188,2642,Drill Site 18 Lake,2641,LAS,HILCORP NORTH SLOPE LLC,5985882.0,gallons,M,M,T,lake,surface,fresh,,,T,,,,,,,,,,T,Drill Site 18 Lake,POINT (-148.47384075 70.28874997),,0.0,0.0,,0.0,,,T,T,metered,gallons,T,,,,-148.47384075,70.28874997,18.37001341098,WaDEAK_S76
12263,55881,Fort Richardson Hatchery,55869,LAS,DFG SPORT FISH DIV REGION II,210239065.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,well 9,,,,,,,dem,,T,T,metered,gallons,T,,,,,,645.20056418785,
12588,9068,well,9066,LAS,"UAA, FACILITIES & LAND MANAGEMENT",49.57,acre_feet,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,307 ft,,,,,,,dem,,T,T,metered,gallons,T,,,,,,0.00015212487730000002,
12981,55883,William Jack Hernandez Sport Fish Hatchery ,55870,LAS,ADFG SPORT FISH WILLIAM JACK HERNANDEZ SPORTFISH HATCHERY,2212300194.0,gallons,M,M,T,creek,surface,fresh,,,T,,,las,,,las,,,,T,Ship Creek,,,,,,,dem,,T,T,metered,gallons,T,,,,,,6789.30594236466,
13103,19153,Halfmile Creek Dam,19152,LAS,KLAWOCK CITY OF,1097792019.0,gallons,M,M,T,lake,surface,fresh,,,T,,,las,,,las,,,,T,Halfmile Creek Dam,POINT (-133.101782141 55.5245438127),,,,,,dem,,T,T,metered,gallons,T,,,,-133.101782141,55.5245438127,3369.00294918891,WaDEAK_S80
13152,37095,well at Akakeek and Ridgecrest Roads,37093,LAS,BETHEL CITY OF,210239065.2,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,well at Akakeek and Ridgecrest Roads,,,,,,,dem,,T,T,metered,gallons,T,,,,,,645.2005648016279,
