OID_,Join_Count,TARGET_FID,SiteUUID,PODorPOUSite,Longitude,Latitude,OBJECTID,NAME,TYPE,WQMSEG,PRMY_WB,LIMIT,REMARK,WBID,TYPE_DEF,TRANS,GLOBALID,SHAPEAREA,SHAPELEN
24,0,24,OKwr_S10016,POD,-98.9523097,35.55788244,,,,,,,,,,,,,
25,0,25,OKwr_S10017,POD,-98.88344325,35.61593937,,,,,,,,,,,,,
26,0,26,OKwr_S10018,POD,-98.8856625,35.6195535,,,,,,,,,,,,,
27,0,27,OKwr_S10019,POD,-98.88789322,35.61233776,,,,,,,,,,,,,
28,0,28,OKwr_S1002,POD,-100.6742199,36.50319092,,,,,,,,,,,,,
29,0,29,OKwr_S10020,POD,-99.66458208,35.62078708,,,,,,,,,,,,,
30,1,30,OKwr_S10021,POD,-97.9581035,35.56128062,173,Lake Overholser,NLW,520530,Lake Overholser, ,NLW,5.2052E+11,Nutrient Limited Watersheds,40,{CB32F37A-E3AB-4679-9E9F-75B685C29DDD},1826147022,405124.2118
31,1,31,OKwr_S10021,POD,-97.9581035,35.56128062,173,Lake Overholser,NLW,520530,Lake Overholser, ,NLW,5.2052E+11,Nutrient Limited Watersheds,40,{CB32F37A-E3AB-4679-9E9F-75B685C29DDD},1826147022,405124.2118
32,1,32,OKwr_S10022,POD,-97.95360363,35.55766754,173,Lake Overholser,NLW,520530,Lake Overholser, ,NLW,5.2052E+11,Nutrient Limited Watersheds,40,{CB32F37A-E3AB-4679-9E9F-75B685C29DDD},1826147022,405124.2118
33,1,33,OKwr_S10023,POD,-97.95360345,35.55405413,173,Lake Overholser,NLW,520530,Lake Overholser, ,NLW,5.2052E+11,Nutrient Limited Watersheds,40,{CB32F37A-E3AB-4679-9E9F-75B685C29DDD},1826147022,405124.2118
34,1,34,OKwr_S10024,POD,-97.9536035,35.5558615,173,Lake Overholser,NLW,520530,Lake Overholser, ,NLW,5.2052E+11,Nutrient Limited Watersheds,40,{CB32F37A-E3AB-4679-9E9F-75B685C29DDD},1826147022,405124.2118
35,1,35,OKwr_S10025,POD,-97.95357817,35.56491269,173,Lake Overholser,NLW,520530,Lake Overholser, ,NLW,5.2052E+11,Nutrient Limited Watersheds,40,{CB32F37A-E3AB-4679-9E9F-75B685C29DDD},1826147022,405124.2118
36,1,36,OKwr_S10026,POD,-97.953604,35.5612805,173,Lake Overholser,NLW,520530,Lake Overholser, ,NLW,5.2052E+11,Nutrient Limited Watersheds,40,{CB32F37A-E3AB-4679-9E9F-75B685C29DDD},1826147022,405124.2118
37,1,37,OKwr_S10026,POD,-97.953604,35.5612805,173,Lake Overholser,NLW,520530,Lake Overholser, ,NLW,5.2052E+11,Nutrient Limited Watersheds,40,{CB32F37A-E3AB-4679-9E9F-75B685C29DDD},1826147022,405124.2118
38,1,38,OKwr_S10027,POD,-97.95360388,35.55947354,173,Lake Overholser,NLW,520530,Lake Overholser, ,NLW,5.2052E+11,Nutrient Limited Watersheds,40,{CB32F37A-E3AB-4679-9E9F-75B685C29DDD},1826147022,405124.2118
39,1,39,OKwr_S10027,POD,-97.95360388,35.55947354,173,Lake Overholser,NLW,520530,Lake Overholser, ,NLW,5.2052E+11,Nutrient Limited Watersheds,40,{CB32F37A-E3AB-4679-9E9F-75B685C29DDD},1826147022,405124.2118
40,1,40,OKwr_S10028,POD,-97.95808446,35.56490916,173,Lake Overholser,NLW,520530,Lake Overholser, ,NLW,5.2052E+11,Nutrient Limited Watersheds,40,{CB32F37A-E3AB-4679-9E9F-75B685C29DDD},1826147022,405124.2118
41,1,41,OKwr_S10028,POD,-97.95808446,35.56490916,173,Lake Overholser,NLW,520530,Lake Overholser, ,NLW,5.2052E+11,Nutrient Limited Watersheds,40,{CB32F37A-E3AB-4679-9E9F-75B685C29DDD},1826147022,405124.2118
42,1,42,OKwr_S10029,POD,-97.9581005,35.56308761,173,Lake Overholser,NLW,520530,Lake Overholser, ,NLW,5.2052E+11,Nutrient Limited Watersheds,40,{CB32F37A-E3AB-4679-9E9F-75B685C29DDD},1826147022,405124.2118
43,0,43,OKwr_S1003,POD,-99.1795225,34.4565465,,,,,,,,,,,,,
44,1,44,OKwr_S10030,POD,-97.9558255,35.5612805,173,Lake Overholser,NLW,520530,Lake Overholser, ,NLW,5.2052E+11,Nutrient Limited Watersheds,40,{CB32F37A-E3AB-4679-9E9F-75B685C29DDD},1826147022,405124.2118
45,1,45,OKwr_S10030,POD,-97.9558255,35.5612805,173,Lake Overholser,NLW,520530,Lake Overholser, ,NLW,5.2052E+11,Nutrient Limited Watersheds,40,{CB32F37A-E3AB-4679-9E9F-75B685C29DDD},1826147022,405124.2118
46,1,46,OKwr_S10031,POD,-97.96037837,35.56308904,173,Lake Overholser,NLW,520530,Lake Overholser, ,NLW,5.2052E+11,Nutrient Limited Watersheds,40,{CB32F37A-E3AB-4679-9E9F-75B685C29DDD},1826147022,405124.2118
47,0,47,OKwr_S10032,POD,-99.58621952,35.56549626,,,,,,,,,,,,,
48,1,48,OKwr_S10033,POD,-98.0800456,35.58297562,173,Lake Overholser,NLW,520530,Lake Overholser, ,NLW,5.2052E+11,Nutrient Limited Watersheds,40,{CB32F37A-E3AB-4679-9E9F-75B685C29DDD},1826147022,405124.2118
49,0,49,OKwr_S10034,POD,-99.02549175,35.55975023,,,,,,,,,,,,,
50,0,50,OKwr_S10035,POD,-99.0543665,35.6159345,,,,,,,,,,,,,
51,0,51,OKwr_S10035,POD,-99.0543665,35.6159345,,,,,,,,,,,,,
52,0,52,OKwr_S10036,POD,-99.38474946,35.62536038,,,,,,,,,,,,,
53,0,53,OKwr_S10037,POD,-98.70199495,35.56692634,,,,,,,,,,,,,
54,0,54,OKwr_S10038,POD,-98.6821005,35.6158455,,,,,,,,,,,,,
55,0,55,OKwr_S10039,POD,-99.58811349,35.61446123,,,,,,,,,,,,,
56,0,56,OKwr_S1004,POD,-100.3037515,36.5408645,,,,,,,,,,,,,
57,1,57,OKwr_S10040,POD,-98.06454912,35.5956842,173,Lake Overholser,NLW,520530,Lake Overholser, ,NLW,5.2052E+11,Nutrient Limited Watersheds,40,{CB32F37A-E3AB-4679-9E9F-75B685C29DDD},1826147022,405124.2118
58,1,58,OKwr_S10040,POD,-98.06454912,35.5956842,173,Lake Overholser,NLW,520530,Lake Overholser, ,NLW,5.2052E+11,Nutrient Limited Watersheds,40,{CB32F37A-E3AB-4679-9E9F-75B685C29DDD},1826147022,405124.2118
59,1,59,OKwr_S10041,POD,-98.05788277,35.59379526,173,Lake Overholser,NLW,520530,Lake Overholser, ,NLW,5.2052E+11,Nutrient Limited Watersheds,40,{CB32F37A-E3AB-4679-9E9F-75B685C29DDD},1826147022,405124.2118
60,1,60,OKwr_S10041,POD,-98.05788277,35.59379526,173,Lake Overholser,NLW,520530,Lake Overholser, ,NLW,5.2052E+11,Nutrient Limited Watersheds,40,{CB32F37A-E3AB-4679-9E9F-75B685C29DDD},1826147022,405124.2118
61,0,61,OKwr_S10042,POD,-98.66425775,35.5578935,,,,,,,,,,,,,
62,0,62,OKwr_S10043,POD,-97.55390456,35.64221317,,,,,,,,,,,,,
63,0,63,OKwr_S10044,POD,-97.55185037,35.69473851,,,,,,,,,,,,,
64,0,64,OKwr_S10045,POD,-97.55075125,35.6901595,,,,,,,,,,,,,
65,0,65,OKwr_S10046,POD,-97.55633094,35.69477065,,,,,,,,,,,,,
66,0,66,OKwr_S10047,POD,-97.55633256,35.69108611,,,,,,,,,,,,,
67,0,67,OKwr_S10048,POD,-98.95890802,35.57989122,,,,,,,,,,,,,
68,1,68,OKwr_S10049,POD,-97.944583,35.57581104,173,Lake Overholser,NLW,520530,Lake Overholser, ,NLW,5.2052E+11,Nutrient Limited Watersheds,40,{CB32F37A-E3AB-4679-9E9F-75B685C29DDD},1826147022,405124.2118
69,0,69,OKwr_S1005,POD,-99.03982163,34.48853247,,,,,,,,,,,,,
70,0,70,OKwr_S10050,POD,-99.43676829,35.63512538,,,,,,,,,,,,,
71,0,71,OKwr_S10051,POD,-99.89407117,35.59479464,,,,,,,,,,,,,
72,0,72,OKwr_S10052,POD,-99.89409354,35.58931484,,,,,,,,,,,,,
73,0,73,OKwr_S10053,POD,-97.48036867,35.65475175,,,,,,,,,,,,,
74,0,74,OKwr_S10054,POD,-97.48376525,35.6465455,,,,,,,,,,,,,
75,0,75,OKwr_S10055,POD,-97.48489505,35.64745091,,,,,,,,,,,,,
76,0,76,OKwr_S10056,POD,-97.48926824,35.6547827,,,,,,,,,,,,,
77,0,77,OKwr_S10057,POD,-98.6353695,35.5995245,,,,,,,,,,,,,
78,0,78,OKwr_S10058,POD,-98.67321206,35.62668038,,,,,,,,,,,,,
79,1,79,OKwr_S10059,POD,-97.953604,35.5630875,173,Lake Overholser,NLW,520530,Lake Overholser, ,NLW,5.2052E+11,Nutrient Limited Watersheds,40,{CB32F37A-E3AB-4679-9E9F-75B685C29DDD},1826147022,405124.2118
80,0,80,OKwr_S1006,POD,-99.0398215,34.4867255,,,,,,,,,,,,,
81,1,81,OKwr_S10060,POD,-97.9558255,35.5630875,173,Lake Overholser,NLW,520530,Lake Overholser, ,NLW,5.2052E+11,Nutrient Limited Watersheds,40,{CB32F37A-E3AB-4679-9E9F-75B685C29DDD},1826147022,405124.2118
82,1,82,OKwr_S10060,POD,-97.9558255,35.5630875,173,Lake Overholser,NLW,520530,Lake Overholser, ,NLW,5.2052E+11,Nutrient Limited Watersheds,40,{CB32F37A-E3AB-4679-9E9F-75B685C29DDD},1826147022,405124.2118
83,1,83,OKwr_S10061,POD,-97.9513825,35.5630875,173,Lake Overholser,NLW,520530,Lake Overholser, ,NLW,5.2052E+11,Nutrient Limited Watersheds,40,{CB32F37A-E3AB-4679-9E9F-75B685C29DDD},1826147022,405124.2118
84,1,84,OKwr_S10062,POD,-97.9513825,35.5594735,173,Lake Overholser,NLW,520530,Lake Overholser, ,NLW,5.2052E+11,Nutrient Limited Watersheds,40,{CB32F37A-E3AB-4679-9E9F-75B685C29DDD},1826147022,405124.2118
85,0,85,OKwr_S10063,POD,-99.4930775,35.6035095,,,,,,,,,,,,,
86,0,86,OKwr_S10064,POD,-99.87743426,35.55597721,,,,,,,,,,,,,
87,0,87,OKwr_S10065,POD,-99.877406,35.56324036,,,,,,,,,,,,,
88,0,88,OKwr_S10066,POD,-98.7353505,35.6212055,,,,,,,,,,,,,
89,0,89,OKwr_S10066,POD,-98.7353505,35.6212055,,,,,,,,,,,,,
90,0,90,OKwr_S10066,POD,-98.7353505,35.6212055,,,,,,,,,,,,,
91,0,91,OKwr_S10067,POD,-99.96273893,35.61667058,,,,,,,,,,,,,
92,0,92,OKwr_S10068,POD,-99.96056102,35.61846482,,,,,,,,,,,,,
93,1,93,OKwr_S10069,POD,-98.009368,35.5774375,173,Lake Overholser,NLW,520530,Lake Overholser, ,NLW,5.2052E+11,Nutrient Limited Watersheds,40,{CB32F37A-E3AB-4679-9E9F-75B685C29DDD},1826147022,405124.2118
94,0,94,OKwr_S1007,POD,-99.04313468,34.42806555,,,,,,,,,,,,,
95,1,95,OKwr_S10070,POD,-98.007146,35.5774375,173,Lake Overholser,NLW,520530,Lake Overholser, ,NLW,5.2052E+11,Nutrient Limited Watersheds,40,{CB32F37A-E3AB-4679-9E9F-75B685C29DDD},1826147022,405124.2118
96,1,96,OKwr_S10071,POD,-98.026556,35.5774275,173,Lake Overholser,NLW,520530,Lake Overholser, ,NLW,5.2052E+11,Nutrient Limited Watersheds,40,{CB32F37A-E3AB-4679-9E9F-75B685C29DDD},1826147022,405124.2118
97,1,97,OKwr_S10072,POD,-98.01327712,35.57742997,173,Lake Overholser,NLW,520530,Lake Overholser, ,NLW,5.2052E+11,Nutrient Limited Watersheds,40,{CB32F37A-E3AB-4679-9E9F-75B685C29DDD},1826147022,405124.2118
98,1,98,OKwr_S10073,POD,-98.00936765,35.57933261,173,Lake Overholser,NLW,520530,Lake Overholser, ,NLW,5.2052E+11,Nutrient Limited Watersheds,40,{CB32F37A-E3AB-4679-9E9F-75B685C29DDD},1826147022,405124.2118
99,1,99,OKwr_S10074,POD,-98.00714565,35.57933461,173,Lake Overholser,NLW,520530,Lake Overholser, ,NLW,5.2052E+11,Nutrient Limited Watersheds,40,{CB32F37A-E3AB-4679-9E9F-75B685C29DDD},1826147022,405124.2118
100,1,100,OKwr_S10076,POD,-98.00700597,35.58123374,173,Lake Overholser,NLW,520530,Lake Overholser, ,NLW,5.2052E+11,Nutrient Limited Watersheds,40,{CB32F37A-E3AB-4679-9E9F-75B685C29DDD},1826147022,405124.2118
101,1,101,OKwr_S10077,POD,-98.00478392,35.58123786,173,Lake Overholser,NLW,520530,Lake Overholser, ,NLW,5.2052E+11,Nutrient Limited Watersheds,40,{CB32F37A-E3AB-4679-9E9F-75B685C29DDD},1826147022,405124.2118
102,0,102,OKwr_S10078,POD,-98.61141521,35.62674487,,,,,,,,,,,,,
103,0,103,OKwr_S10079,POD,-97.48385645,35.68451128,,,,,,,,,,,,,
104,0,104,OKwr_S1008,POD,-99.02886155,34.48492213,,,,,,,,,,,,,
105,0,105,OKwr_S10080,POD,-97.46827862,35.68987358,,,,,,,,,,,,,
106,0,106,OKwr_S10081,POD,-97.33503632,35.65536542,,,,,,,,,,,,,
107,0,107,OKwr_S10082,POD,-97.33287455,35.65356038,,,,,,,,,,,,,
108,0,108,OKwr_S10083,POD,-98.66430024,35.62667788,,,,,,,,,,,,,
109,0,109,OKwr_S10084,POD,-98.66320463,35.63489523,,,,,,,,,,,,,
110,0,110,OKwr_S10085,POD,-98.73309118,35.60855867,,,,,,,,,,,,,
111,0,111,OKwr_S10086,POD,-97.5484997,35.68293901,,,,,,,,,,,,,
112,0,112,OKwr_S10087,POD,-97.54849851,35.68653298,,,,,,,,,,,,,
113,0,113,OKwr_S10089,POD,-97.30839253,35.64448775,,,,,,,,,,,,,
114,0,114,OKwr_S1009,POD,-99.0354365,34.48313595,,,,,,,,,,,,,
115,0,115,OKwr_S10090,POD,-97.30172934,35.64447908,,,,,,,,,,,,,
116,0,116,OKwr_S10091,POD,-99.43273094,35.59167887,,,,,,,,,,,,,
117,0,117,OKwr_S10092,POD,-99.43606553,35.59439392,,,,,,,,,,,,,
118,0,118,OKwr_S10093,POD,-98.68419913,35.55967685,,,,,,,,,,,,,
119,0,119,OKwr_S10094,POD,-98.67976867,35.56513135,,,,,,,,,,,,,
120,0,120,OKwr_S10095,POD,-98.68420125,35.56329089,,,,,,,,,,,,,
121,1,121,OKwr_S10096,POD,-97.97148832,35.58124442,173,Lake Overholser,NLW,520530,Lake Overholser, ,NLW,5.2052E+11,Nutrient Limited Watersheds,40,{CB32F37A-E3AB-4679-9E9F-75B685C29DDD},1826147022,405124.2118
122,1,122,OKwr_S10097,POD,-98.04001106,35.58639403,173,Lake Overholser,NLW,520530,Lake Overholser, ,NLW,5.2052E+11,Nutrient Limited Watersheds,40,{CB32F37A-E3AB-4679-9E9F-75B685C29DDD},1826147022,405124.2118
123,0,123,OKwr_S10098,POD,-98.56023763,35.574269,,,,,,,,,,,,,
124,0,124,OKwr_S10099,POD,-98.55810675,35.5742715,,,,,,,,,,,,,
125,0,125,OKwr_S101,POD,-99.07211109,34.58459278,,,,,,,,,,,,,
126,0,126,OKwr_S1010,POD,-99.033244,34.4831115,,,,,,,,,,,,,
127,0,127,OKwr_S10100,POD,-99.16880953,35.56252922,,,,,,,,,,,,,
128,1,128,OKwr_S10101,POD,-98.15859721,35.61739193,173,Lake Overholser,NLW,520530,Lake Overholser, ,NLW,5.2052E+11,Nutrient Limited Watersheds,40,{CB32F37A-E3AB-4679-9E9F-75B685C29DDD},1826147022,405124.2118
129,0,129,OKwr_S10102,POD,-99.45247798,35.61346399,,,,,,,,,,,,,
130,0,130,OKwr_S10103,POD,-99.45015634,35.62071513,,,,,,,,,,,,,
131,0,131,OKwr_S10106,POD,-98.6664715,35.55606753,,,,,,,,,,,,,
132,0,132,OKwr_S10107,POD,-99.04431991,35.58424232,,,,,,,,,,,,,
133,0,133,OKwr_S10108,POD,-99.67128864,35.62257658,,,,,,,,,,,,,
134,0,134,OKwr_S10108,POD,-99.67128864,35.62257658,,,,,,,,,,,,,
135,0,135,OKwr_S10108,POD,-99.67128864,35.62257658,,,,,,,,,,,,,
136,0,136,OKwr_S10109,POD,-99.9872545,35.58773517,,,,,,,,,,,,,
137,0,137,OKwr_S1011,POD,-99.03543187,34.48493057,,,,,,,,,,,,,
138,0,138,OKwr_S10110,POD,-99.98724664,35.58231078,,,,,,,,,,,,,
139,0,139,OKwr_S10111,POD,-98.65312602,35.61221187,,,,,,,,,,,,,
140,0,140,OKwr_S10112,POD,-99.0743495,35.61045894,,,,,,,,,,,,,
141,0,141,OKwr_S10113,POD,-97.1901469,35.66495528,,,,,,,,,,,,,
142,0,142,OKwr_S10114,POD,-98.6732085,35.6140445,,,,,,,,,,,,,
143,0,143,OKwr_S10115,POD,-97.53514412,35.69370699,,,,,,,,,,,,,
144,0,144,OKwr_S10116,POD,-98.6642585,35.5633365,,,,,,,,,,,,,
145,0,145,OKwr_S10117,POD,-98.95891908,35.63222144,,,,,,,,,,,,,
146,0,146,OKwr_S10118,POD,-99.74331334,35.63637546,,,,,,,,,,,,,
147,0,147,OKwr_S10119,POD,-99.7455365,35.6327615,,,,,,,,,,,,,
148,0,148,OKwr_S1012,POD,-99.02885836,34.47950289,,,,,,,,,,,,,
149,0,149,OKwr_S10120,POD,-99.0321695,35.55612375,,,,,,,,,,,,,
150,0,150,OKwr_S10121,POD,-97.53077664,35.71009305,,,,,,,,,,,,,
151,1,151,OKwr_S10122,POD,-98.125412,35.63382151,173,Lake Overholser,NLW,520530,Lake Overholser, ,NLW,5.2052E+11,Nutrient Limited Watersheds,40,{CB32F37A-E3AB-4679-9E9F-75B685C29DDD},1826147022,405124.2118
152,0,152,OKwr_S10123,POD,-96.491448,35.5909625,,,,,,,,,,,,,
153,0,153,OKwr_S10124,POD,-96.49369737,35.58917411,,,,,,,,,,,,,
154,0,154,OKwr_S10125,POD,-96.49144775,35.5891555,,,,,,,,,,,,,
155,0,155,OKwr_S10126,POD,-96.49370024,35.59098108,,,,,,,,,,,,,
156,0,156,OKwr_S10127,POD,-99.43136485,35.61432819,,,,,,,,,,,,,
157,0,157,OKwr_S10128,POD,-99.4536155,35.6143575,,,,,,,,,,,,,
158,0,158,OKwr_S10129,POD,-99.4535165,35.6197785,,,,,,,,,,,,,
159,0,159,OKwr_S1013,POD,-99.03105225,34.48311143,,,,,,,,,,,,,
160,0,160,OKwr_S10130,POD,-98.57797,35.55614061,,,,,,,,,,,,,
161,0,161,OKwr_S10131,POD,-98.5757605,35.5561315,,,,,,,,,,,,,
162,0,162,OKwr_S10132,POD,-99.14094462,35.55250988,,,,,,,,,,,,,
163,0,163,OKwr_S10133,POD,-99.7102305,35.6071265,,,,,,,,,,,,,
164,1,164,OKwr_S10134,POD,-98.08789189,35.61847906,173,Lake Overholser,NLW,520530,Lake Overholser, ,NLW,5.2052E+11,Nutrient Limited Watersheds,40,{CB32F37A-E3AB-4679-9E9F-75B685C29DDD},1826147022,405124.2118
165,1,165,OKwr_S10135,POD,-98.0889575,35.6193825,173,Lake Overholser,NLW,520530,Lake Overholser, ,NLW,5.2052E+11,Nutrient Limited Watersheds,40,{CB32F37A-E3AB-4679-9E9F-75B685C29DDD},1826147022,405124.2118
166,0,166,OKwr_S10136,POD,-99.28416201,35.58431691,,,,,,,,,,,,,
167,0,167,OKwr_S10137,POD,-99.4359755,35.6070605,,,,,,,,,,,,,
168,0,168,OKwr_S10138,POD,-98.65757303,35.60134247,,,,,,,,,,,,,
169,0,169,OKwr_S10139,POD,-98.73529362,35.63382254,,,,,,,,,,,,,
170,0,170,OKwr_S1014,POD,-97.96616713,34.42989479,,,,,,,,,,,,,
171,0,171,OKwr_S1014,POD,-97.96616713,34.42989479,,,,,,,,,,,,,
172,0,172,OKwr_S10140,POD,-98.7176095,35.6049505,,,,,,,,,,,,,
173,0,173,OKwr_S10141,POD,-98.71760871,35.59774154,,,,,,,,,,,,,
174,0,174,OKwr_S10142,POD,-98.70650175,35.60675743,,,,,,,,,,,,,
175,1,175,OKwr_S10143,POD,-98.01566669,35.59392649,173,Lake Overholser,NLW,520530,Lake Overholser, ,NLW,5.2052E+11,Nutrient Limited Watersheds,40,{CB32F37A-E3AB-4679-9E9F-75B685C29DDD},1826147022,405124.2118
176,1,176,OKwr_S10144,POD,-98.01330867,35.58121519,173,Lake Overholser,NLW,520530,Lake Overholser, ,NLW,5.2052E+11,Nutrient Limited Watersheds,40,{CB32F37A-E3AB-4679-9E9F-75B685C29DDD},1826147022,405124.2118
177,1,177,OKwr_S10145,POD,-98.01551615,35.58119911,173,Lake Overholser,NLW,520530,Lake Overholser, ,NLW,5.2052E+11,Nutrient Limited Watersheds,40,{CB32F37A-E3AB-4679-9E9F-75B685C29DDD},1826147022,405124.2118
178,0,178,OKwr_S10146,POD,-98.6442585,35.6140135,,,,,,,,,,,,,
179,0,179,OKwr_S10147,POD,-98.642045,35.58507325,,,,,,,,,,,,,
180,0,180,OKwr_S10148,POD,-98.65426638,35.55519316,,,,,,,,,,,,,
181,1,181,OKwr_S10149,POD,-98.06332359,35.57839904,173,Lake Overholser,NLW,520530,Lake Overholser, ,NLW,5.2052E+11,Nutrient Limited Watersheds,40,{CB32F37A-E3AB-4679-9E9F-75B685C29DDD},1826147022,405124.2118
182,0,182,OKwr_S1015,POD,-100.2723949,36.57712229,,,,,,,,,,,,,
183,0,183,OKwr_S10150,POD,-97.55744605,35.68302709,,,,,,,,,,,,,
184,0,184,OKwr_S10151,POD,-97.55745024,35.68838728,,,,,,,,,,,,,
185,0,185,OKwr_S10152,POD,-99.6837945,35.6052375,,,,,,,,,,,,,
186,0,186,OKwr_S10153,POD,-99.6815372,35.60704759,,,,,,,,,,,,,
187,0,187,OKwr_S10154,POD,-99.79005597,35.63811811,,,,,,,,,,,,,
188,0,188,OKwr_S10155,POD,-99.71223702,35.62163307,,,,,,,,,,,,,
189,0,189,OKwr_S10155,POD,-99.71223702,35.62163307,,,,,,,,,,,,,
190,0,190,OKwr_S10156,POD,-99.57514068,35.58564376,,,,,,,,,,,,,
191,0,191,OKwr_S10157,POD,-97.5018555,35.7120125,,,,,,,,,,,,,
192,0,192,OKwr_S10158,POD,-97.48832295,35.71190763,,,,,,,,,,,,,
193,0,193,OKwr_S10159,POD,-97.48165255,35.71183671,,,,,,,,,,,,,
194,0,194,OKwr_S1016,POD,-99.15756062,34.5068113,,,,,,,,,,,,,
195,0,195,OKwr_S10160,POD,-99.9915305,35.6167925,,,,,,,,,,,,,
196,0,196,OKwr_S10161,POD,-99.57734781,35.57459835,,,,,,,,,,,,,
197,0,197,OKwr_S10161,POD,-99.57734781,35.57459835,,,,,,,,,,,,,
198,1,198,OKwr_S10162,POD,-97.89205864,35.55496695,173,Lake Overholser,NLW,520530,Lake Overholser, ,NLW,5.2052E+11,Nutrient Limited Watersheds,40,{CB32F37A-E3AB-4679-9E9F-75B685C29DDD},1826147022,405124.2118
199,1,199,OKwr_S10163,POD,-97.90106424,35.56223172,173,Lake Overholser,NLW,520530,Lake Overholser, ,NLW,5.2052E+11,Nutrient Limited Watersheds,40,{CB32F37A-E3AB-4679-9E9F-75B685C29DDD},1826147022,405124.2118
200,1,200,OKwr_S10164,POD,-97.91233643,35.56039631,173,Lake Overholser,NLW,520530,Lake Overholser, ,NLW,5.2052E+11,Nutrient Limited Watersheds,40,{CB32F37A-E3AB-4679-9E9F-75B685C29DDD},1826147022,405124.2118
201,0,201,OKwr_S10165,POD,-99.50309152,35.56543202,,,,,,,,,,,,,
202,0,202,OKwr_S10166,POD,-98.70647226,35.63024518,,,,,,,,,,,,,
203,0,203,OKwr_S10167,POD,-98.7064625,35.62843682,,,,,,,,,,,,,
204,1,204,OKwr_S10168,POD,-97.46602525,35.6591765,71,Arcadia Reservoir and Watershed,SWS,520710,Arcadia Reservoir and Watershed,SWS, ,5.2071E+11,Sensitive Public and Private Water Supplies,40,{E2E7E043-0358-4D2A-97C9-EA11F8DD915B},259710563.2,87450.09527
205,1,205,OKwr_S10169,POD,-97.46157715,35.65556138,71,Arcadia Reservoir and Watershed,SWS,520710,Arcadia Reservoir and Watershed,SWS, ,5.2071E+11,Sensitive Public and Private Water Supplies,40,{E2E7E043-0358-4D2A-97C9-EA11F8DD915B},259710563.2,87450.09527
206,0,206,OKwr_S1017,POD,-99.1575655,34.5053835,,,,,,,,,,,,,
207,0,207,OKwr_S10170,POD,-97.4838215,35.6393305,,,,,,,,,,,,,
208,1,208,OKwr_S10171,POD,-97.459323,35.66458781,71,Arcadia Reservoir and Watershed,SWS,520710,Arcadia Reservoir and Watershed,SWS, ,5.2071E+11,Sensitive Public and Private Water Supplies,40,{E2E7E043-0358-4D2A-97C9-EA11F8DD915B},259710563.2,87450.09527
