OID_,OBJECTID,NAME,TYPE,WQMSEG,PRMY_WB,LIMIT,REMARK,WBID,TYPE_DEF,TRANS,GLOBALID,SHAPEAREA,SHAPELEN
22,23,Sager Creek,ORW,121700,Upper Illinois River upstream of Barren Fork confluence,ORW, ,121700060080,Outstanding Resource Waters,30,{2107E079-6B10-4756-BA98-C346EF1A5EB4},16294133.614579100161791,19657.735281005800061
23,24,Scraper Hollow,ORW,121700,Barren Fork from mouth upstream to Hwy. 59,ORW, ,121700050130,Outstanding Resource Waters,30,{E702501C-8C61-45EA-98E0-A2CFE969185B},22065701.364786200225353,23783.247145917903254
24,25,Shell Branch,ORW,121700,Barren Fork from mouth upstream to Hwy. 59,ORW, ,121700050180,Outstanding Resource Waters,30,{5DD59A9A-D96A-498E-86AC-B7C42F784D89},38824996.326663300395012,30024.000512745999004
25,26,Tahlequah Creek (Town Branch),ORW,121700,Upper Illinois River upstream of Barren Fork confluence,ORW, ,121700030020,Outstanding Resource Waters,30,{3F349654-4AAF-4B3C-B146-814BDAA4DC37},38930706.213625401258469,39000.919974617703701
26,27,Tyner Creek,ORW,121700,Barren Fork from mouth upstream to Hwy. 59,ORW, ,121700050090,Outstanding Resource Waters,30,{365D2C27-5067-4BD5-80B4-696B14528A2D},108224095.647222995758057,57914.938851320403046
27,28,Upper Illinois River upstream of Barren Fork confluence,ORW,121700,Upper Illinois River upstream of Barren Fork confluence,ORW, ,121700020300,Outstanding Resource Waters,30,{2151F2C8-A6ED-442C-BAD8-DD127BD3A953},787936390.140722990036011,210307.873620695987483
28,29,Webber(s) Creek,ORW,220200,Lee Creek downstream of the 420 ft. elevation level,ORW, ,220200050020,Outstanding Resource Waters,30,{AFFF7FB0-81A8-4011-9D72-B03DDEECCDAD},11124678.635849900543690,19623.770537789099762
29,30,Beaty Creek,HQW,121600,Beaty Creek,HQW, ,121600050160,High Quality Waters,40,{31C11027-E66C-4918-9307-1C090159D789},104467946.825361996889114,55350.730206737403932
30,31,Black Fork,HQW,410210,Little River from the Arkansas State Line to Pine Creek Dam,HQW, ,410210030020,High Quality Waters,40,{F882837B-0578-4F5D-A7AC-2D05B333A0A8},187578389.601642012596130,88589.264965203095926
31,32,Black Fork upstream from Cedar Creek,HQW,220100,Black Fork upstream from Cedar Creek,HQW, ,220100020040,High Quality Waters,40,{A891143D-7360-4EA6-A54F-ABA03791986F},248347280.843394994735718,76068.310135194900795
32,33,Blue River upstream from State Hwy. 48A Bridge to State Hwy. 7 Bridge,HQW,410600,Blue River upstream from State Hwy. 7 Bridge,HQW, ,410600020010_10,High Quality Waters,40,{655C5F2D-3DC3-4D40-9972-77CD38D0B5BE},94250830.242090597748756,64884.768300591698790
33,34,Blue River upstream from State Hwy. 7 Bridge,HQW,410700,Blue River upstream from State Hwy. 7 Bridge,HQW, ,410700020010_20,High Quality Waters,40,{E4BEC2B9-0639-46B4-AAB6-28B24CDF0BED},431890881.979601025581360,131109.701707598025678
34,35,Bluff Creek,HQW,410210,Little River from the Arkansas State Line to Pine Creek Dam,HQW, ,410210090160,High Quality Waters,40,{B408742C-A41E-4C6F-AF5A-75AC36B1F12E},18030663.741532798856497,17698.983904609300225
35,36,Brush Creek,HQW,121600,Brush Creek,HQW, ,121600050140,High Quality Waters,40,{CB9BE154-4C05-4C97-BAF1-46FC92DCE9B8},88865388.747091099619865,60684.261475855302706
36,37,Carter Creek,HQW,410210,Little River from the Arkansas State Line to Pine Creek Dam,HQW, ,410210080210,High Quality Waters,40,{016672B0-D5A1-464F-A821-5C26730E1E5D},76378263.279697299003601,48035.499128665600438
37,38,Cave Springs Branch,HQW,121600,Honey Creek,HQW, ,121600030340,High Quality Waters,40,{BE9A56DF-A17C-4A19-A54C-033A70D11EEB},13332155.276144500821829,20803.579346601498401
38,39,Cedar Creek,HQW,410210,Little River from the Arkansas State Line to Pine Creek Dam,HQW, ,410210080120,High Quality Waters,40,{90B706D0-6514-4A6F-A17D-269A89A9BEA3},53765997.717049300670624,46285.563933228797396
39,40,Cedar Creek,HQW,410300,Cedar Creek,HQW, ,410300030020,High Quality Waters,40,{E7FE16D6-5E14-47D0-9CD0-835D570EEDEE},457143349.319200992584229,107664.065755189003539
40,41,Cimarron River upstream from the Colorado State Line to the New Mexico State Line,HQW,720900,Cimarron River upstream from the Colorado State Line to the New Mexico State Line,HQW, ,720900000010,High Quality Waters,40,{4FDCB7FB-1607-4014-8F75-BBEB8FCCC340},1599803410.189670085906982,201882.113569659006316
41,42,Cloudy Creek,HQW,410210,Little River from the Arkansas State Line to Pine Creek Dam,HQW, ,410210020300,High Quality Waters,40,{AB77E596-FFEE-45CB-88B7-C771F54CEEB3},162954920.766880005598068,68796.480006785990554
42,43,Crater Creek,HQW,311310,Crater Creek,HQW, ,311310020100,High Quality Waters,40,{C6F48B39-04F3-44A3-880E-62651209726C},26440433.811913400888443,40257.064049021901155
43,44,Cypress Creek,HQW,410210,Little River from the Arkansas State Line to Pine Creek Dam,HQW, ,410210010070,High Quality Waters,40,{ACDE2B14-4FF0-4CC6-9503-C59C29DDA4CB},109143008.857262998819351,62946.704401865405089
44,45,East Fork,HQW,410210,Little River from the Arkansas State Line to Pine Creek Dam,HQW, ,410210090010,High Quality Waters,40,{E1F95276-1E10-4CA5-A15D-E529673176B4},195805590.922325998544693,81549.851507638304611
45,46,Fourteen Mile Creek,HQW,121600,Fourteen Mile Creek,HQW, ,121600010100,High Quality Waters,40,{B8E1C8B3-B48A-493C-96E6-4179D6D00D26},182436346.732419997453690,86571.432974916911917
46,47,Glover River,HQW,410210,Little River from the Arkansas State Line to Pine Creek Dam,HQW, ,410210080010,High Quality Waters,40,{D916F53F-3E3E-408E-87D3-027C0396122C},942445879.242107987403870,211328.254203085991321
47,48,Guy Sandy Creek,HQW,310800,Guy Sandy Creek,HQW, ,310800020130,High Quality Waters,40,{9788E1C5-D950-48F0-AA9F-1DAB24B7DFCA},94743683.368306607007980,63763.591106468804355
48,49,Honey Creek,HQW,121600,Honey Creek,HQW, ,121600030445,High Quality Waters,40,{60D38E8A-2AB7-449B-8189-FB3BB37ED2C2},82416773.567084804177284,44256.236339026501810
49,50,Honey Creek,HQW,310800,Honey Creek,HQW, ,310800020160,High Quality Waters,40,{01C8AFCB-9D7B-45A5-890A-16AD877A6CC5},49224875.571426399052143,37978.919629362906562
50,51,Jack Creek,HQW,410210,Little River from the Arkansas State Line to Pine Creek Dam,HQW, ,410210020430,High Quality Waters,40,{AC1F5FCE-B705-4386-A35E-C0CF1A076B07},43022221.537794396281242,35526.071658546599792
51,52,Little River from the Arkansas State Line to Pine Creek Dam,HQW,410200,Little River from the Arkansas State Line to Pine Creek Dam,HQW, ,410200010010,High Quality Waters,40,{E92D2DE5-C8E4-484C-A363-4D5EF94BCBCD},2337659707.430870056152344,349537.534640174009837
52,53,Little River upstream from and including Pine Creek Reservoir,HQW,410210,Little River from the Arkansas State Line to Pine Creek Dam,HQW, ,410210020010,High Quality Waters,40,{2B699E4F-9BFC-4B60-8255-1EBE8B0BB4B1},1633487947.226999998092651,308427.969719098007772
53,54,Little Spring Creek,HQW,121600,Spring Creek,HQW, ,121600010340,High Quality Waters,40,{C234FA9E-10A3-4B11-996D-94A59187276A},21836945.064663998782635,25865.218598914099857
54,55,Lower Illinois River from headwater of Robert S. Kerr Reservoir to Tenkiller Dam,HQW,121700,Lower Illinois River from headwater of Robert S. Kerr Reservoir to Tenkiller Dam,HQW, ,121700010010,High Quality Waters,40,{8353DA4F-9113-4867-BA71-E6DD9DA93F4A},142157063.329531997442245,63105.217040241601353
55,56,Lukfata Creek,HQW,410210,Little River from the Arkansas State Line to Pine Creek Dam,HQW, ,410210070010,High Quality Waters,40,{F31A7913-306F-4A82-91F3-22744FC7574D},129805037.477821007370949,82694.645897481692373
56,57,Mountain Fork River upstream from U.S. Hwy. 70 bridge to Broken Bow Dam,HQW,410210,Little River from the Arkansas State Line to Pine Creek Dam,HQW, ,410210040010_10,High Quality Waters,40,{14C98B28-AF9A-4EA8-A5AA-22A701581543},111313838.618948996067047,60801.408560178300831
57,58,North Canadian (Beaver) River upstream from Texas State Line to New Mexico State Line,HQW,720510,North Canadian (Beaver) River upstream from Texas State Line to New Mexico State Line,HQW, ,720510000190_10,High Quality Waters,40,{DACC5031-5D79-4CB6-AE7B-E5A2884CDF4A},995997071.125892996788025,248849.382861037011025
58,59,Panther Creek,HQW,311310,Panther Creek,HQW, ,311310020150,High Quality Waters,40,{8422BA12-0807-45F8-B6C2-5491A946D03C},18735284.225050300359726,28940.180403594800737
59,60,Pecan Hollow Creek,SWS,121300,Pecan Hollow Creek,SWS, ,121300020090,Sensitive Public and Private Water Supplies,40,{41C432B7-5740-4478-9B7A-89BD8B25B90C},2436643.014692800119519,6183.818677732660944
60,61,Pennington Creek,HQW,310800,Pennington Creek,HQW, ,310800010120,High Quality Waters,40,{4B606CCA-DECA-474F-873E-7E0887978304},259004751.324294000864029,116132.490073820998077
61,62,Pine Creek,HQW,410210,Little River from the Arkansas State Line to Pine Creek Dam,HQW, ,410210080270,High Quality Waters,40,{4D6D4C46-6B49-4F94-8DC4-7A8F2F4D083C},50774105.322174601256847,43597.660742136002227
62,63,Pine Creek,HQW,410210,Little River from the Arkansas State Line to Pine Creek Dam,HQW, ,410210020030,High Quality Waters,40,{802CE8F5-0B57-49B8-9D73-696C9998799B},46971487.223857000470161,35200.923940340697300
63,64,Sallisaw Creek upstream from U.S. Hwy. 64,HQW,220200,Sallisaw Creek upstream from U.S. Hwy. 64,HQW, ,220200030010_10,High Quality Waters,40,{28AD910B-A611-4E3F-A17C-BB9A32DE2EA1},468781084.346503973007202,140482.025514184992062
64,65,Snake Creek,HQW,121600,Spring Creek,HQW, ,121600010330,High Quality Waters,40,{D8180F28-CEFA-425F-92EE-274CD89AA7C6},108863609.800496995449066,57251.980413774304907
65,66,Spring Creek,HQW,121600,Spring Creek,HQW, ,121600010290,High Quality Waters,40,{8B689A3F-763A-427B-A03A-22F58D9F1123},469790109.493820011615753,131515.846490474010352
66,67,Terrapin Creek,HQW,410210,Little River from the Arkansas State Line to Pine Creek Dam,HQW, ,410210020150,High Quality Waters,40,{BD6C3BD2-5448-4FE0-A655-5B9E4049CB7A},146411048.698101013898849,63116.107598083799530
67,68,Warren Branch,HQW,121600,Warren Branch,HQW, ,121600070050,High Quality Waters,40,{05B6B80B-15C4-4115-9A7F-1307940FB459},40040547.388024300336838,33679.970223159303714
68,69,West Cache Creek upstream from Panther Creek,HQW,311310,West Cache Creek upstream from Panther Creek,HQW, ,311310020140,High Quality Waters,40,{DEEFAA5C-B5C8-4E35-9926-D4C1AFCE41CF},49024931.677945397794247,46284.505619178096822
69,70,West Fork,HQW,410210,Little River from the Arkansas State Line to Pine Creek Dam,HQW, ,410210090070,High Quality Waters,40,{4B38E9FC-15A1-4C9B-AEA3-7D7155AD2F4C},270666247.428287029266357,97654.027341566004907
70,71,Arcadia Reservoir and Watershed,SWS,520710,Arcadia Reservoir and Watershed,SWS, ,520710020020,Sensitive Public and Private Water Supplies,40,{E2E7E043-0358-4D2A-97C9-EA11F8DD915B},259710563.199743986129761,87450.095267431999673
71,72,Beaver Creek upstream from and including Waurika Reservoir,SWS,311210,Beaver Creek upstream from and including Waurika Reservoir,SWS, ,311210000020,Sensitive Public and Private Water Supplies,40,{04C17B6C-DA54-45FB-A57A-111783BC4526},1458933723.079679965972900,214701.829098118992988
72,73,Birch Reservoir and Watershed,SWS,121300,Birch Reservoir and Watershed,SWS, ,121300030040,Sensitive Public and Private Water Supplies,40,{1455AC2B-B252-455E-A7C0-E1DC25B0B27F},165330811.839843988418579,71546.856793207713054
73,74,Bluestem Lake and Watershed,SWS,121300,Bluestem Lake and Watershed,SWS, ,121300030300,Sensitive Public and Private Water Supplies,40,{355D99C7-A991-4BC7-A354-8C7901F63600},121948773.214941993355751,60844.918625188205624
74,75,Boomer Lake and Watershed,SWS,620900,Boomer Lake and Watershed,SWS, ,620900040190,Sensitive Public and Private Water Supplies,40,{6A29E7BA-879C-44D1-BAF7-04F1AC2E5F96},23473198.390984699130058,23912.960103860099480
75,76,Brown Lake and Watershed,SWS,220600,Brown Lake and Watershed,SWS, ,220600030090,Sensitive Public and Private Water Supplies,40,{B8A29A7D-3CC2-4C18-8928-F49D420EBAEC},54402719.755489602684975,35597.613826733198948
76,77,Brushy Creek Reservoir and Watershed,SWS,220200,Brushy Lake and Watershed,SWS, ,220200030040,Sensitive Public and Private Water Supplies,40,{2575B0CA-45AB-49E1-9263-E1976573127C},54182909.012171998620033,49559.055134815302154
77,78,Buffalo Creek,SWS,410310,Jackfork Creek including Sardis Reservoir,SWS, ,410310030030,Sensitive Public and Private Water Supplies,40,{E6200790-BD80-4B01-B9DA-54ECE87DA589},172600780.777184993028641,70019.688428603709326
78,79,Buffalo Creek,SWS,410310,Upper Mountain Fork River from Broken Bow Dam including Broken Bow Reservoir to the 600 foot elevation level,SWS, ,410210060020,Sensitive Public and Private Water Supplies,40,{E861FF0F-9018-4B0E-94EC-DB08DAEE473F},172291680.228278011083603,68508.949231194303138
79,80,Buzzard Creek,SWS,720500,Wolf Creek including Fort Supply Reservoir,SWS, ,410100010450,Sensitive Public and Private Water Supplies,40,{44FD35EA-78E2-444B-9592-64B64ECFC9E6},118203835.103531002998352,75000.745374755701050
80,81,Carl Albert Lake and Watershed,SWS,410310,Carl Albert Lake and Watershed,SWS, ,410310010220,Sensitive Public and Private Water Supplies,40,{D16A974F-34F9-4F3A-A495-8E1743AD5D2B},15579223.593980500474572,18970.964807409400237
81,82,Carl Blackwell Lake and Watershed,SWS,620900,Carl Blackwell Lake and Watershed,SWS, ,620900040280,Sensitive Public and Private Water Supplies,40,{27BC409A-50AB-45EA-8496-A1649087706E},196780231.931984007358551,71808.814189676399110
82,83,Chandler Lake and Watershed,SWS,520700,Chandler Lake and Watershed,SWS, ,520700050060,Sensitive Public and Private Water Supplies,40,{F3147B0A-3F04-4182-ADC9-9F8F4814714B},13827131.778135800734162,17544.513079955802823
83,84,Clayton Lake and Watershed,SWS,410300,Clayton Lake and Watershed,SWS, ,410300030780,Sensitive Public and Private Water Supplies,40,{58B0AF14-EF4E-4460-90E7-071CC671A2A3},22083683.600891001522541,25613.664692610200291
84,85,Clear Creek Lake and Watershed,SWS,310810,Clear Creek Lake and Watershed,SWS, ,310810040120,Sensitive Public and Private Water Supplies,40,{64A22800-6E43-4C32-987D-5CDEA683664D},51905640.553023099899292,34321.036293697798101
85,86,Clinton Lake and Watershed,SWS,310830,Clinton Lake and Watershed,SWS, ,310830030280,Sensitive Public and Private Water Supplies,40,{0A490F41-A3E9-4819-8EDB-AB5FE869D2CE},68764478.803072795271873,37223.629933365402394
86,87,Coalgate Reservoir and Watershed,SWS,410400,Coalgate Reservoir and Watershed,SWS, ,410400060040,Sensitive Public and Private Water Supplies,40,{5B9FE003-9842-4BDA-8D05-68DBB379BFB0},36361305.117744602262974,32501.450935070701235
87,88,Coon Creek Lake and Watershed,SWS,220100,Coon Creek Lake and Watershed,SWS, ,220100040130,Sensitive Public and Private Water Supplies,40,{02AFC15E-15F2-4E65-B4CE-ECE4808D7123},13420019.760891500860453,14916.352338409200456
88,89,Cushing Lake and Watershed,SWS,620900,Cushing Lake and Watershed,SWS, ,620900020120,Sensitive Public and Private Water Supplies,40,{4E3DD1E9-D7CC-4E51-9550-20380B702DEF},83179925.087202206254005,48855.556383835704764
89,90,Duncan Lake and Watershed,SWS,310810,Duncan Lake and Watershed,SWS, ,310810040080,Sensitive Public and Private Water Supplies,40,{02728EF4-973B-49B5-88B0-F5E38FF40115},28009949.057383898645639,27000.516746445100580
90,91,Egypt Creek,SWS,410210,Upper Mountain Fork River from Broken Bow Dam including Broken Bow Reservoir to the 600 foot elevation level,SWS, ,410210050140,Sensitive Public and Private Water Supplies,40,{3133A0F3-B91D-4044-ABAE-D05FD972239E},14107049.990957599133253,20863.446822186397185
91,92,Ellsworth Lake and Watershed,SWS,311300,Ellsworth Lake and Watershed,SWS, ,311300030020,Sensitive Public and Private Water Supplies,40,{25D88811-833B-4BE5-BAD6-3EE26A289402},644627253.121209025382996,135081.826057744008722
92,93,Elmer Thomas Lake and Watershed,SWS,311300,Elmer Thomas Lake and Watershed,SWS, ,311300040050,Sensitive Public and Private Water Supplies,40,{5A3396F1-626E-443A-83BA-D97D8009935D},17740708.936328701674938,21009.720730053402804
93,94,Fairfax Lake and Watershed,SWS,621200,Fairfax Lake and Watershed,SWS, ,621200040040,Sensitive Public and Private Water Supplies,40,{DE56348E-117C-4F15-9130-708469372E3E},22576024.130383200943470,22183.678568537401588
94,95,Fort Cobb Lake and Watershed,SWS,310830,Fort Cobb Lake and Watershed,SWS, ,310830060020,Sensitive Public and Private Water Supplies,40,{4EBC011D-4111-4D12-9794-4AA3B3EE7F32},796872017.064458966255188,146201.564663580007618
95,96,Fuqua Reservoir and Watershed,SWS,310810,Fuqua Reservoir and Watershed,SWS, ,310810040050,Sensitive Public and Private Water Supplies,40,{862708EF-2A54-4120-8723-471EA3069E19},97081960.497853904962540,47627.717942406598013
96,97,Glen Creek,SWS,311500,Tom Steed Reservoir and Watershed,SWS, ,311500020070,Sensitive Public and Private Water Supplies,40,{9FCBC1C3-3B88-4033-A3D3-FD0699B7E9AE},104036488.689511001110077,60149.699778717302252
97,98,Greenleaf Creek including Greenleaf Lake and Watershed,SWS,120400,Greenleaf Creek including Greenleaf Lake and Watershed,SWS, ,120400010120,Sensitive Public and Private Water Supplies,40,{C3B648BC-B925-418B-8051-37AD301216FB},224461419.102138012647629,92437.489339846899384
98,99,Guthrie Lake and Watershed,SWS,620910,Guthrie Lake and Watershed,SWS, ,620910040060,Sensitive Public and Private Water Supplies,40,{FFC1E033-C7C4-4520-BB83-48FDB8B18D29},32898457.670700099319220,29304.630902933102334
99,100,Hell Creek,SWS,311210,Beaver Creek upstream from and including Waurika Reservoir,SWS, ,311210000080,Sensitive Public and Private Water Supplies,40,{63701F09-36BE-477A-967D-114233034973},57541566.766601599752903,39239.333411908104608
100,101,Henryetta Lake and Watershed,SWS,520700,Henryetta Lake and Watershed,SWS, ,520700010180,Sensitive Public and Private Water Supplies,40,{F86D6B02-CF29-4149-BD6D-F528D8EB5691},52991587.613156199455261,41396.021573834201263
101,102,Heyburn Lake and Watershed,SWS,120420,Heyburn Lake and Watershed,SWS, ,120420020300,Sensitive Public and Private Water Supplies,40,{E1792CFC-5BB5-4BA8-9B11-EF58A95B7FB4},311478979.606913983821869,97476.986559916389524
102,103,Hobart (Rocky Hobart) Lake,SWS,311500,Hobart (Rocky Hobart) Lake,SWS, ,311500030060,Sensitive Public and Private Water Supplies,40,{B01430F7-ABBA-4238-807A-6AABDA4532EE},150963473.021777004003525,79251.368577593893860
103,104,Holdenville Reservoir and Watershed,SWS,520800,Holdenville Reservoir and Watershed,SWS, ,520800010040,Sensitive Public and Private Water Supplies,40,{6645C78D-BA1A-4244-920E-A2E0F9A83449},24215962.997494000941515,27084.186101836501621
104,105,Hominy Creek upstream from and including Skiatook Reservoir,SWS,121300,Hominy Creek upstream from and including Skiatook Reservoir,SWS, ,121300040070,Sensitive Public and Private Water Supplies,40,{8F3376F5-99CC-4AA8-A2E9-A00D6EA95025},913222775.651767969131470,184985.308052992011653
105,106,Hominy Municipal Lake and Watershed,SWS,121300,Hominy Creek upstream from and including Skiatook Reservoir,SWS, ,121300040330,Sensitive Public and Private Water Supplies,40,{E5567BD8-C984-4B32-9F93-6886B8A8FF07},13256491.932688999921083,18820.521831877002114
106,107,Humphreys Lake and Watershed,SWS,310810,Humphreys Lake and Watershed,SWS, ,310810040150,Sensitive Public and Private Water Supplies,40,{BFEF7785-77E4-47E9-B064-F3975DBB3343},82796617.230395004153252,42820.408302165400528
107,108,Jackfork Creek including Sardis Reservoir,SWS,410310,Jackfork Creek including Sardis Reservoir,SWS, ,410310030010,Sensitive Public and Private Water Supplies,40,{49F22EC9-D8FD-49BA-8FE3-26E3FB8769FD},712368982.169726967811584,187318.133218514005421
108,109,Lake Claremore and Watershed,SWS,121500,Lake Claremore and Watershed,SWS, ,121500040020,Sensitive Public and Private Water Supplies,40,{87DD5079-A970-4275-82B4-48E5F36EBB63},148868498.821033000946045,66859.786850172691629
109,110,Lake Creek,SWS,310830,Fort Cobb Lake and Watershed,SWS, ,310830060040,Sensitive Public and Private Water Supplies,40,{7759C1B7-9D11-4EDD-9836-5842222A3F78},175815772.479999989271164,68989.635244025397697
110,111,Lake Murray and Watershed,SWS,311100,Lake Murray and Watershed,SWS, ,311100020090,Sensitive Public and Private Water Supplies,40,{B14E13F1-E1BC-4CEC-8CDE-708F6AC99C17},141949396.624397009611130,59423.878036849106138
111,112,Langston Lake and Watershed,SWS,620900,Langston Lake and Watershed,SWS, ,620900030180,Sensitive Public and Private Water Supplies,40,{B83D5400-1D2C-4A65-BBA7-107D5F698805},15585087.296070799231529,18195.094390320900857
112,113,Lawtonka Lake and Watershed,SWS,311300,Lawtonka Lake and Watershed,SWS, ,311300040070,Sensitive Public and Private Water Supplies,40,{EE08B79B-0795-4F13-8FB2-7F8CDCE5AF8A},240972783.808180004358292,85412.877222757393611
113,114,Liberty Lake and Watershed,SWS,620910,Liberty Lake and Watershed,SWS, ,620910040080,Sensitive Public and Private Water Supplies,40,{EE498453-8706-4E37-AB06-09B92B924EFA},29611780.842892598360777,26302.261376113401639
114,115,Little Beaver Creek,SWS,311210,Beaver Creek upstream from and including Waurika Reservoir,SWS, ,311210000050,Sensitive Public and Private Water Supplies,40,{BDC2FB1A-3772-4F7B-BFC3-0E97639D730A},504201108.120418012142181,140838.818443472991930
115,116,Little Caney River including Copan Reservoir and Watershed,SWS,121400,Little Caney River including Copan Reservoir and Watershed,SWS, ,121400020140,Sensitive Public and Private Water Supplies,40,{94AF4296-276A-407F-91FC-A433F4DF7D2A},244041590.666092008352280,80470.085569315706380
116,117,Little Wolf Creek,SWS,720500,Wolf Creek including Fort Supply Reservoir,SWS, ,720500030070,Sensitive Public and Private Water Supplies,40,{ABB78876-52D6-4A3D-BE7B-FC27048E35A4},120600085.128615006804466,59215.574284943402745
117,118,McAlester Lake and Watershed,SWS,220600,McAlester Lake and Watershed,SWS, ,220600020030,Sensitive Public and Private Water Supplies,40,{FDF2E780-3C22-43C6-B669-08C31C794514},81225974.550414204597473,49121.884658364404459
118,119,McGee Creek including McGee Creek Reservoir,SWS,410400,McGee Creek including McGee Creek Reservoir,SWS, ,410400070020,Sensitive Public and Private Water Supplies,40,{680BA5C9-0A64-415B-BB5F-F68379327F84},471427531.468429028987885,152758.886748138000257
