Permit_Index	POD_Index	POD	Beneficial_Use	County			Aquifer	SubAquifer	Req_AcFt	Req_Acre	Req_Rate	Req_Storage	App_AcFt	App_Acre	App_Rate	App_Storage	POD_Status	Source	Irrigation_Type	Source_Name	MainStem_Name	Impound_Location	Impound_Name	Return_Dest	Discharge_Locat	Prop_Owner	Dest_Prop_Owner	Period_Start	Period_End	Return_Quantity	Held_AcFt	Held_Acre	Held_Rate	Held_Storage	Longitude	Latitude	HU_Basin	HU_Sub_Basin	HU_Watershed	HU_Sub_Watershed	Civil_Township	X_Coord	Y_Coord	NonConsumptive_ReqAcFt	NonConsumptive_AppAcFt	NonConsumptive_HeldAcFt
11	11	14408820BB	06/12/38	Mercer			   	   	0	0	0	0	0	0	0	0	Cancelled	Surface Water	Flooding											0	0	0	0	0	-101.86756	47.28288	Cannonball-Heart-Knife	Knife	Lower Spring Creek	Town of Zap-Spring Creek	Unorganized Territory	1629095	592378	0	0	0
12	12	15409702D	06/20/1901	Williams			   	   	56	56	0	0	56	56	0	0	Active	Surface Water	Flooding											0	0	0	0	0	-103.11411	48.18666	Lake Sakakawea	Lake Sakakawea	Sand Creek	Red Mike Hill-Missouri River	Unorganized Territory	1330776	929741	0	0	0
12	13	15409711B	06/20/1901	Williams			   	   	0	0	0	0	0	0	0	0	Cancelled	Surface Water	Flooding											0	0	0	0	0	-103.12489	48.17942	Lake Sakakawea	Lake Sakakawea	Sand Creek	Red Mike Hill-Missouri River	Unorganized Territory	1328058	927190	0	0	0
13	14	15509736DB	03/01/92	Williams			   	   	42	84	448.8	0	42	84	530	0	Active	Surface Water	Flooding	Nelson Creek								Mar 1	Apr 30 and Summer	0	0	0	0	0	-103.09522	48.2029	Lake Sakakawea	Lake Sakakawea	Beaver Creek-Lake Sakakawea	Nelson Creek	View	1335577	935510	0	0	0
13	15	15409701CA	03/01/92	Williams			   	   	68.5	137	448.8	0	67	166	530	0	Active	Surface Water	Flooding	Nelson Creek								Mar 1	Apr 30 and Summer	0	0	0	0	0	-103.10066	48.18848	Lake Sakakawea	Lake Sakakawea	Beaver Creek-Lake Sakakawea	Nelson Creek	Unorganized Territory	1334076	930297	0	0	0
13	16	15409701AB	03/01/92	Williams			   	   	99	198	448.8	0	99	244	530	0	Active	Surface Water	Flooding	Nelson Creek								Mar 1	Apr 30 and Summer	0	0	0	0	0	-103.09529	48.19568	Lake Sakakawea	Lake Sakakawea	Beaver Creek-Lake Sakakawea	Nelson Creek	Unorganized Territory	1335474	932879	0	0	0
13	17	15409701DD	03/01/92	Williams			   	   	93.5	187	448.8	0	91	230	530	0	Active	Surface Water	Flooding	Nelson Creek								Mar 1	Apr 30 and Summer	0	0	0	0	0	-103.08989	48.1849	Lake Sakakawea	Lake Sakakawea	Beaver Creek-Lake Sakakawea	Nelson Creek	Unorganized Territory	1336661	928902	0	0	0
13	18	15409607BB	03/01/92	Williams			   	   	80	160	448.8	0	0	0	0	0	Void	Surface Water	Flooding	Nelson Creek								Mar 1	Apr 30 and Summer	0	0	0	0	0	-103.08448	48.18126	Lake Sakakawea	Lake Sakakawea	Beaver Creek-Lake Sakakawea	Nelson Creek	Unorganized Territory	1337935	927532	0	0	0
14	19	13909812BD	11/11/1911	Stark			   	   	744	248	0	0	0	0	0	0	Cancelled	Surface Water	Flooding											0	0	0	0	0	-102.99121	46.87101	Cannonball-Heart-Knife	Upper Heart	Ash Creek	Edward Arthur Patterson Lake-Heart River	Unorganized Territory	1345529	449088	0	0	0
15	20	15409403AA	08/01/56	Mountrail			   	   	0	0	0	0	0	0	0	0	Cancelled	Surface Water	Flooding											0	0	0	0	0	-102.74493	48.19535	Lake Sakakawea	Lake Sakakawea	Lower White Earth River	White Earth Bay-White Earth River	Unorganized Territory	1420903	930124	0	0	0
16	21	15509631CB	06/19/1901	Williams			   	   	0	0	0	0	0	0	0	0	Cancelled	Surface Water	Flooding											0	0	0	0	0	-103.08446	48.20286	Lake Sakakawea	Lake Sakakawea	Beaver Creek-Lake Sakakawea	Nelson Creek	Farmvale	1338201	935410	0	0	0
16	22	15409606CC	06/19/1901	Williams			   	   	0	0	0	0	0	0	0	0	Cancelled	Surface Water	Flooding											0	0	0	0	0	-103.08445	48.18487	Lake Sakakawea	Lake Sakakawea	Beaver Creek-Lake Sakakawea	Nelson Creek	Unorganized Territory	1337987	928848	0	0	0
16	23	15409606BA	06/19/1901	Williams			   	   	0	0	0	0	0	0	0	0	Cancelled	Surface Water	Flooding											0	0	0	0	0	-103.07902	48.19561	Lake Sakakawea	Lake Sakakawea	Beaver Creek-Lake Sakakawea	Nelson Creek	Unorganized Territory	1339439	932723	0	0	0
17	24	15709435A	07/02/1901	Mountrail			   	   	40	20	9000	0	35.5	35.5	2000	0	Active	Surface Water	Flooding	Little Creek, Paulson Creek										0	0	0	0	0	-102.78255	48.3835	Lake Sakakawea	Lake Sakakawea	Paulson Creek	Tioga Municipal Airport-Paulsen Creek	White Earth	1413725	999020	0	0	0
18	25	14009609AC	09/30/1910	Stark			   	   	80	80	1795.2	0	0	0	0	0	Void	Surface Water	Flooding									April 1	October 30	0	0	0	0	0	-102.79755	46.95745	Cannonball-Heart-Knife	Upper Heart	Green River	Seventeen Butte-Green River	Unorganized Territory	1394865	479123	0	0	0
18	26	14009604CC	09/30/1910	Stark			   	   	80	80	1795.2	0	0	0	0	0	Void	Surface Water	Flooding									April 1	October 30	0	0	0	0	0	-102.80826	46.96509	Cannonball-Heart-Knife	Upper Heart	Green River	Seventeen Butte-Green River	Unorganized Territory	1392275	481987	0	0	0
18	27	14009605S	09/30/1910	Stark			   	   	160	160	1795.2	0	160	163	900	0	Active	Surface Water	Sprinkler	Green River								April 1	October 30	0	0	0	0	0	-102.82135	46.96735	Cannonball-Heart-Knife	Upper Heart	Green River	Seventeen Butte-Green River	Unorganized Territory	1389030	482907	0	0	0
19	28	15509608AD	06/24/1904	Williams			   	   	0	0	0	0	0	0	0	0	Cancelled	Surface Water	Flooding											0	0	0	0	0	-103.04653	48.26423	Lake Sakakawea	Lake Sakakawea	Beaver Creek-Lake Sakakawea	Lower Beaver Creek	Farmvale	1348173	957491	0	0	0
20	29	13909434AA	00/00/00	Stark			   	   	45	15	448.8	0	0	0	0	0	Cancelled	Surface Water	Combination											0	0	0	0	0	-102.52043	46.81653	Cannonball-Heart-Knife	Upper Heart	Antelope Creek	Outlet Antelope Creek	Unorganized Territory	1462717	425844	0	0	0
20	30	13909434AC	00/00/00	Stark			   	   	60	20	448.8	0	0	0	0	0	Cancelled	Surface Water	Combination											0	0	0	0	0	-102.52573	46.8129	Cannonball-Heart-Knife	Upper Heart	Antelope Creek	Outlet Antelope Creek	Unorganized Territory	1461358	424555	0	0	0
21	31	13409334DD	12/31/39	Hettinger			   	   	40	54.8	2350	0	40	54.8	1650	0	Active	Surface Water	Sprinkler	North Fork Cannonball River										0	0	0	0	0	-102.34164	46.37289	Cannonball-Heart-Knife	Upper Cannonball	Upper Cannonball River-Mehrer Creek	Mott Watershed Dam-Cannonball River	Mott	1503674	262997	0	0	0
21	32	13309303A	12/31/39	Hettinger			   	   	0	14.8	2350	0	40	54.8	1650	0	Active	Surface Water	Sprinkler	North Fork Cannonball River										0	0	0	0	0	-102.34411	46.36744	Cannonball-Heart-Knife	Upper Cannonball	Upper Cannonball River-Mehrer Creek	Mott Watershed Dam-Cannonball River	Castle Rock	1503003	261023	0	0	0
22	33	13909715B	12/01/39	Stark			   	   	315	105	900	0	0	0	0	0	Cancelled	Surface Water	Sprinkler											0	0	0	0	0	-102.91004	46.85811	Cannonball-Heart-Knife	Upper Heart	Ash Creek	Edward Arthur Patterson Lake-Heart River	Unorganized Territory	1365678	443751	0	0	0
23	34	15510019AC	12/31/37	Williams			   	   	240	80	500	0	144	72	500	0	Active	Surface Water	Sprinkler	Little Muddy River										0	0	0	0	0	-103.59084	48.23573	Lake Sakakawea	Little Muddy	Lower Little Muddy River	Chinaman Coulee-Little Muddy River	Unorganized Territory	1215234	951854	0	0	0
24	35	15608426AD	12/31/36	Ward			   	   	50	25	924	0	50	25	924	0	Active	Surface Water	Flooding	Mouse River								May 1	October 31	0	0	0	0	0	-101.42824	48.3071	Souris	Moose Mountain Creek-Souris River	Lake Darling-Souris River	090100081105-Souris River	Kirkelie	1742538	964413	0	0	0
25	36	15608434DD	07/12/35	Ward			   	   	64	64	450	0	64	64	450	0	Active	Surface Water	Sprinkler	Des Lacs River								-	-	0	0	0	0	0	-101.44983	48.28522	Souris	Des Lacs	Outlet Des Lacs River	Outlet Des Lacs River	Kirkelie	1737184	956492	0	0	0
26	37	13309835D	12/12/35	Slope			   	   	50	34	366.7	0	50	34	366.7	0	Cancelled	Surface Water	Sprinkler											0	0	0	0	0	-102.95058	46.28489	Cannonball-Heart-Knife	Cedar	Wolf Butte Creek	South Cedar Creek-Cedar Creek	Cedar Creek	1349020	235119	0	0	0
26	38	13309835AC	12/12/35	Slope			   	   	50	34	366.7	0	50	34	366.7	0	Cancelled	Surface Water	Sprinkler											0	0	0	0	0	-102.95321	46.29028	Cannonball-Heart-Knife	Cedar	Wolf Butte Creek	South Cedar Creek-Cedar Creek	Cedar Creek	1348417	237107	0	0	0
26	39	13309835B	12/12/35	Slope			   	   	53	34	366.6	0	53	34	366.6	0	Cancelled	Surface Water	Sprinkler											0	0	0	0	0	-102.96105	46.29205	Cannonball-Heart-Knife	Cedar	Wolf Butte Creek	South Cedar Creek-Cedar Creek	Cedar Creek	1346456	237813	0	0	0
27	40	15109807DD	07/28/1908	McKenzie			   	   	78.2	78.2	673.2	0	0	0	0	0	Cancelled	Surface Water	Flooding											0	0	0	0	0	-103.2648	47.90768	Lake Sakakawea	Lake Sakakawea	Tobacco Garden Creek	Upper Tobacco Garden Creek	Unorganized Territory	1290445	829274	0	0	0
28	41	15509636DD	08/13/1901	Williams			   	   	30	30	450	0	30	30	0	0	Active	Surface Water	Waterspreading	Un-named coulee & Dry Fork Coulee										0	0	0	0	0	-102.96009	48.19905	Lake Sakakawea	Lake Sakakawea	Beaver Creek-Lake Sakakawea	Lower Dry Fork Creek	Farmvale	1368478	933046	0	0	0
28	42	15509531CA	08/13/1901	Williams			   	   	18	18	450	0	5	5	0	0	Active	Surface Water	Waterspreading	Un-named coulee & Dry Fork Coulee										0	0	0	0	0	-102.94949	48.20267	Lake Sakakawea	Lake Sakakawea	Beaver Creek-Lake Sakakawea	Lower Dry Fork Creek	Dry Fork	1371104	934288	0	0	0
28	43	15509531CC	08/13/1901	Williams			   	   	8.4	8.4	450	0	8.4	8.4	0	0	Active	Surface Water	Waterspreading	Un-named coulee & Dry Fork Coulee										0	0	0	0	0	-102.95475	48.19906	Lake Sakakawea	Lake Sakakawea	Beaver Creek-Lake Sakakawea	Lower Dry Fork Creek	Dry Fork	1369780	933008	0	0	0
28	44	15509531CD	08/13/1901	Williams			   	   	14	14	450	0	13	13	0	0	Active	Surface Water	Flooding	Un-named coulee & Dry Fork Coulee										0	0	0	0	0	-102.94949	48.19906	Lake Sakakawea	Lake Sakakawea	Beaver Creek-Lake Sakakawea	Lower Dry Fork Creek	Dry Fork	1371062	932969	0	0	0
28	45	15409506BA	08/13/1901	Williams			   	   	14	14	450	0	0	0	0	0	Cancelled	Surface Water	Flooding	Un-named coulee & Dry Fork Coulee										0	0	0	0	0	-102.94954	48.19544	Lake Sakakawea	Lake Sakakawea	Beaver Creek-Lake Sakakawea	Lower Dry Fork Creek	Unorganized Territory	1371008	931649	0	0	0
29	46	13110610	04/05/1909	Bowman			   	   	95.8	95.8	0	29.1	60.6	48	0	29.1	Active	Surface Water	Waterspreading	Intermittent draws, trib. to Little Miss										0	0	0	0	0	-103.91937	46.18406	Little Missouri	Upper Little Missouri	Horse Creek-Little Missouri River	Kid Creek-Little Missouri River	Sunny Slope	1102651	207532	0	0	0
30	47	13908133AW	04/15/1909	Morton			   	   	50	25	448.8	0	8.6	4.3	448	0	Cancelled	Surface Water	Combination	Heart River										0	0	0	0	0	-100.90953	46.81759	Cannonball-Heart-Knife	Lower Heart	Heart River Outlet	Town of Mandan-Heart River	Unorganized Territory	1865976	419993	0	0	0
31	48	13808013D	04/29/1909	Burleigh			   	   	58.7	58.7	1062.5	0	58.7	58.7	1062.5	0	Active	Surface Water	Flooding	Apple Creek										0	0	0	0	0	-100.71568	46.76925	Lake Oahe	Apple Creek	Apple Creek	Apple Creek	Unorganized Territory	1914461	402168	0	0	0
31	49	13808013A	04/29/1909	Burleigh					26.3	26.3	1062.5	0	26.3	26.3	1062.5	0	Active	Surface Water	Flooding	Apple Creek										0	0	0	0	0	-100.71566	46.77649	Lake Oahe	Apple Creek	Apple Creek	Apple Creek	Unorganized Territory	1914471	404810	0	0	0
32	50	16010335	06/01/1913	Divide			   	   	0	284	0	0	0	0	0	0	Cancelled	Surface Water	Flooding											0	0	0	0	0	-103.96087	48.64105	Missouri-Poplar	Brush Lake Closed Basin	Brush Lake	Clear Lake	Fertile Valley	1131622	1103393	0	0	0
32	51	16010326	06/01/1913	Divide			   	   	0	284	0	0	0	0	0	0	Cancelled	Surface Water	Flooding											0	0	0	0	0	-103.96085	48.65554	Missouri-Poplar	Brush Lake Closed Basin	Brush Lake	Clear Lake	Fertile Valley	1131860	1108676	0	0	0
33	52	15009823DC	09/13/1909	McKenzie			   	   	13.3	13.3	1391.2	0	0	0	0	0	Cancelled	Surface Water	Flooding											0	0	0	0	0	-103.18422	47.79171	Little Missouri	Lower Little Missouri	Cherry Creek	Sevenmile Creek-Cherry Creek	Unorganized Territory	1308755	786304	0	0	0
33	53	15009823CC	09/13/1909	McKenzie			   	   	148.1	148.1	1391.2	0	0	0	0	0	Cancelled	Surface Water	Flooding											0	0	0	0	0	-103.19485	47.79173	Little Missouri	Lower Little Missouri	Cherry Creek	Sevenmile Creek-Cherry Creek	Unorganized Territory	1306143	786403	0	0	0
34	54	13909608CB	11/11/1911	Stark			   	   	1440	0	897.6	0	0	0	0	0	Cancelled	Surface Water	  											0	0	0	0	0	-102.82943	46.86688	Cannonball-Heart-Knife	Upper Heart	Ash Creek	Edward Arthur Patterson Lake-Heart River	Unorganized Territory	1385929	446341	0	0	0
35	55	15009603AA	00/00/00	McKenzie			   	   	135	135	897.6	0	0	0	0	0	Cancelled	Surface Water	Combination											0	0	0	0	0	-102.94414	47.84571	Lake Sakakawea	Lake Sakakawea	Tobacco Garden Creek	Upper Clear Creek	Unorganized Territory	1368355	804071	0	0	0
36	56	14809606CD	12/27/37	Dunn			   	   	140	77	1450	0	140	77	1450	0	Active	Surface Water	Flooding	Little Missouri River										0	0	0	0	0	-102.96401	47.66263	Little Missouri	Lower Little Missouri	Burnt Creek	Deep Creek-Little Missouri River	Unorganized Territory	1361384	737465	0	0	0
37	57	13409510CA	10/16/37	Hettinger			   	   	0	0	0	0	0	0	0	0	Cancelled	Surface Water	Flooding											0	0	0	0	0	-102.60548	46.43302	Cannonball-Heart-Knife	Upper Cannonball	Upper Cannonball River-Indian Creek	Indian Creek-Cannonball River	Unorganized Territory	1437683	286592	0	0	0
38	58	15210411CB	01/27/1902	Williams			   	   	38.5	38.5	448.8	0	0	0	0	0	Cancelled	Surface Water	Flooding											0	0	0	0	0	-103.96619	47.99823	Lake Sakakawea	Lake Sakakawea	Town of Trenton	Sixmile Creek-Missouri River	Buford	1119990	869099	0	0	0
39	59	15210411C	01/27/1902	Williams			   	   	22	22	448.8	0	0	0	0	0	Cancelled	Surface Water	Flooding											0	0	0	0	0	-103.9635	47.99642	Lake Sakakawea	Lake Sakakawea	Town of Trenton	Sixmile Creek-Missouri River	Buford	1120618	868412	0	0	0
40	60	15309206AA	00/00/00	Mountrail			   	   	200	100	448.8	0	0	0	0	0	Cancelled	Surface Water	Combination											0	0	0	0	0	-102.55054	48.10836	Lake Sakakawea	Lake Sakakawea	Little Knife River	101101011706-Little Knife River	Knife River	1467481	897098	0	0	0
41	61	15210417AA	03/20/1902	Williams			   	   	81.8	81.8	450	0	81.8	81.8	0	0	Active	Surface Water	Waterspreading	Buford Coulee										0	0	0	0	0	-104.01483	47.99101	Missouri-Poplar	Charlie-Little Muddy	Otis Creek-Missouri River	Garden Coulee-Missouri River	Buford	1107972	866998	0	0	0
42	62	15210410CD	04/19/1902	Williams			   	   	80	80	448.8	0	0	0	0	0	Cancelled	Surface Water	Flooding											0	0	0	0	0	-103.98244	47.99462	Lake Sakakawea	Lake Sakakawea	Town of Trenton	Sixmile Creek-Missouri River	Buford	1115956	867960	0	0	0
43	63	14910027CC	01/02/1911	McKenzie			   	   	60.6	60.6	897.6	0	60.6	60.6	827	0	Active	Surface Water	Flooding											0	0	0	0	0	-103.47352	47.69089	Little Missouri	Lower Little Missouri	Cherry Creek	Headwaters Cherry Creek	Unorganized Territory	1236289	752111	0	0	0
43990	64	14910034AA	01/02/1911	McKenzie			   	   	70.9	70.9	897.6	0	70.9	70.9	968	0	Active	Surface Water	Flooding											0	0	0	0	0	-103.45737	47.68723	Little Missouri	Lower Little Missouri	Cherry Creek	Headwaters Cherry Creek	Unorganized Territory	1240214	750629	0	0	0
44	65	15910123CA	00/00/00	Williams			   	   	180	120	448.8	0	0	0	0	0	Cancelled	Surface Water	Combination											0	0	0	0	0	-103.703	48.58115	Lake Sakakawea	Little Muddy	Lake Zahl	Scorio Creek	Scorio	1193051	1078905	0	0	0
45	66	14409634DB	01/04/38	Dunn			   	   	0	0	0	0	0	0	0	0	Cancelled	Surface Water	Combination											0	0	0	0	0	-102.82887	47.24677	Cannonball-Heart-Knife	Knife	Headwaters Knife River	Town of Manning-Knife River	Unorganized Territory	1390175	584826	0	0	0
46	67	16208607DA	11/11/1911	Renville			   	   	40	20	448.8	0	0	0	0	0	Cancelled	Surface Water	Flooding											0	0	0	0	0	-101.87118	48.87022	Souris	Moose Mountain Creek-Souris River	Sevenmile Coulee-Souris River	Evanger Church-Souris River	Grover	1638306	1171489	0	0	0
47	68	15409506AC	00/00/00	Williams			   	   	20	20	224.4	0	0	0	0	0	Cancelled	Surface Water	Combination											0	0	0	0	0	-102.9443	48.19182	Lake Sakakawea	Lake Sakakawea	Beaver Creek-Lake Sakakawea	Lower Dry Fork Creek	Unorganized Territory	1372247	930291	0	0	0
48	69	13908102DA	07/01/37	Burleigh			   	   	225	156	875.2	0	0	0	0	0	Cancelled	Surface Water	Combination	Burnt Creek										0	0	0	0	0	-100.85634	46.88724	Lake Oahe	Painted Woods-Square Butte	Burnt Creek	Burnt Creek	Hay Creek	1879407	445329	0	0	0
49	70	15310315DD	00/00/00	Williams			   	   	30	15	897.6	0	0	0	0	0	Cancelled	Surface Water	Sprinkler											0	0	0	0	0	-103.9088	48.0697	Lake Sakakawea	Lake Sakakawea	Town of Trenton	Eightmile Creek	Hardscrabble	1135162	894536	0	0	0
50	71	14810526AA	08/07/1911	McKenzie			   	   	17.9	17.9	448.8	0	17.9	17.9	448.8	0	Active	Surface Water	Flooding											0	0	0	0	0	-104.01375	47.61734	Lower Yellowstone	Lower Yellowstone	Bennie Peer Creek	Lower Bennie Peer Creek	Unorganized Territory	1102141	730803	0	0	0
51	72	15509617DA	07/18/62	Williams			   	   	0	0	0	0	0	0	0	0	Cancelled	Surface Water	Sprinkler											0	0	0	0	0	-103.04659	48.24623	Lake Sakakawea	Lake Sakakawea	Beaver Creek-Lake Sakakawea	Lower Beaver Creek	Farmvale	1347946	950927	0	0	0
52	73	15608410CB	03/19/1916	Ward			   	   	144	72	448.8	0	144	72	448.8	0	Active	Surface Water	Flooding	Souris River										0	0	0	0	0	-101.46641	48.34703	Souris	Moose Mountain Creek-Souris River	Lake Darling-Souris River	090100081105-Souris River	Kirkelie	1733426	979095	0	0	0
52	74	15608409DB	03/19/1916	Ward			   	   	151.6	75.8	448.8	0	151.6	75.8	448.8	0	Active	Surface Water	Flooding	Souris River										0	0	0	0	0	-101.47727	48.34699	Souris	Moose Mountain Creek-Souris River	Lake Darling-Souris River	090100081105-Souris River	Kirkelie	1730783	979112	0	0	0
52	75	15608409AC	03/19/1916	Ward			   	   	176.8	88.4	448.8	0	176.8	88.4	448.8	0	Active	Surface Water	Flooding	Souris River										0	0	0	0	0	-101.47726	48.35065	Souris	Moose Mountain Creek-Souris River	Lake Darling-Souris River	090100081105-Souris River	Kirkelie	1730803	980447	0	0	0
53	76	15810008BB	00/00/00	Williams			   	   	100	50	897.6	0	0	0	0	0	Cancelled	Surface Water	Sprinkler											0	0	0	0	0	-103.6432	48.53045	Lake Sakakawea	Little Muddy	Upper Little Muddy River	Alkali Lake-Little Muddy River	Winner	1206781	1059830	0	0	0
54	77	15810008BB	10/18/1902	Williams			   	   	0	0	0	0	0	0	0	0	Cancelled	Surface Water	Flooding											0	0	0	0	0	-103.6432	48.53045	Lake Sakakawea	Little Muddy	Upper Little Muddy River	Alkali Lake-Little Muddy River	Winner	1206781	1059830	0	0	0
54	78	15810007AA	10/18/1902	Williams			   	   	0	0	0	0	0	0	0	0	Cancelled	Surface Water	Flooding											0	0	0	0	0	-103.6486	48.53045	Lake Sakakawea	Little Muddy	Upper Little Muddy River	Alkali Lake-Little Muddy River	Winner	1205473	1059883	0	0	0
55	79	15810019CA	10/18/1902	Williams			   	   	53	53	448.8	0	0	0	0	0	Cancelled	Surface Water	Flooding											0	0	0	0	0	-103.65966	48.49422	Lake Sakakawea	Little Muddy	Middle Little Muddy River	Pats Coulee-Little Muddy River	Winner	1202263	1046777	0	0	0
56	80	14309601CD	11/11/1911	Dunn			   	   	186	93	538.5	0	0	0	0	0	Cancelled	Surface Water	Flooding											0	0	0	0	0	-102.79161	47.22873	Cannonball-Heart-Knife	Knife	Headwaters Knife River	Town of Manning-Knife River	Unorganized Territory	1399234	577979	0	0	0
57	81	14309602AA	11/11/1911	Dunn			   	   	84	42	224.4	0	0	0	0	0	Cancelled	Surface Water	Flooding											0	0	0	0	0	-102.80221	47.23958	Cannonball-Heart-Knife	Knife	Headwaters Knife River	Town of Manning-Knife River	Unorganized Territory	1396718	582010	0	0	0
58	82	15409606BB	11/03/1902	Williams			   	   	0	0	0	0	0	0	0	0	Cancelled	Surface Water	Flooding											0	0	0	0	0	-103.08447	48.19562	Lake Sakakawea	Lake Sakakawea	Beaver Creek-Lake Sakakawea	Nelson Creek	Unorganized Territory	1338112	932771	0	0	0
58	83	15409606BA	11/03/1902	Williams			   	   	0	0	0	0	0	0	0	0	Cancelled	Surface Water	Flooding											0	0	0	0	0	-103.07902	48.19561	Lake Sakakawea	Lake Sakakawea	Beaver Creek-Lake Sakakawea	Nelson Creek	Unorganized Territory	1339439	932723	0	0	0
59	84	15009823DA	07/01/1907	McKenzie			   	   	200	100	448.8	0	0	0	0	0	Cancelled	Surface Water	Flooding											0	0	0	0	0	-103.17887	47.79529	Little Missouri	Lower Little Missouri	Cherry Creek	Sevenmile Creek-Cherry Creek	Unorganized Territory	1310115	787567	0	0	0
60	85	13808611	00/00/00	Morton			   	   	0	0	1800	0	0	0	0	0	Cancelled	Surface Water	  											0	0	0	0	0	-101.50016	46.78247	Cannonball-Heart-Knife	Lower Heart	Big Muddy Creek	Muskrat Creek	Unorganized Territory	1717949	408511	0	0	0
60	86	13908831AB	00/00/00	Morton			   	   	360	0	224.4	0	0	0	0	0	Cancelled	Surface Water	  											0	0	0	0	0	-101.83119	46.81728	Cannonball-Heart-Knife	Lower Heart	Haymarsh Creek	Glen Ullin Railroad Dam-Big Muddy Creek	Unorganized Territory	1635243	422437	0	0	0
61	87	13008831DA	03/12/1912	Grant			   	   	76	76	900	0	76	76	900	0	Active	Surface Water	Sprinkler	Cedar Creek								January 1	December 31	0	0	0	0	0	-101.73122	46.0367	Cannonball-Heart-Knife	Cedar	Brushy Creek	Colville Hill-Cedar Creek	Unorganized Territory	1655806	137396	0	0	0
62	88	13807904A	12/29/1910	Burleigh			   	   	80	50	675	0	80	50	675	0	Active	Surface Water	Flooding	Apple Creek								April 15	October 15	0	0	0	0	0	-100.65203	46.80525	Lake Oahe	Apple Creek	Apple Creek	Apple Creek	Apple Creek	1930434	415263	0	0	0
