FID,WRENAME,WRNAME,DWNAME,SYSTEMTYPE,WATERRESID,WRID,DWSYSNUM,WRLINK,WHOLESALER,LABEL,STATE,COUNTY,BASIN,SUBAREA,SUBAREANAM,LANUM,LANAME,ENDYEAR,DATASOURCE,SOURCEDATE,EDITOR,EDITDATE,COLOR4,SHAPE_Length,SHAPE_Area
18,Willow Creek Subdivision, ,Willow Creek Subdivision,NP,1698,0,UTAH29081,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,Weber,Weber River,02-01-08,Ogden Valley,02-01-08a,Ogden Valley,1992, ,,ADAMCLARK,2017/06/01 00:00:00,,0.0356115945818813,4.66072373812564e-05
19,Questar Pipeline Co. (Coalville),Questar Pipeline Co. - (Coalville),Questar Pipeline Company,C,1904,1904, ,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1904, , ,Utah,Summit,Weber River,02-01-03,Chalk Creek,02-01-03a,Chalk Creek,1992, ,,ADAMCLARK,2017/06/01 00:00:00,,0.00427022017963065,1.0383851854841e-06
20,Little Plains,Little Plains,Big Plains SW SSD - Apple Valley,C,2156,11014,UTAH27069,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11014, , ,Utah,Washington,Kanab Creek/Virgin River,10-01-05,St. George,10-01-05e,St. George,2005, ,,ADAMCLARK,2017/06/01 00:00:00,,0.0553663550631093,0.000165350908514803
21,East Kanab Water Co.,East Kanab Water Company,East Kanab Water Company,NP,638,1450,UTAH13045,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1450, , ,Utah,Kane,Kanab Creek/Virgin River,10-02-01,Johnson Wash,10-02-01a,Johnson Wash,2005, ,,ADAMCLARK,2017/05/31 00:00:00,,0.249869041589865,0.00129807223555127
22,Canyon Country Subdivision,Kane County Water Conservancy District (Johnson Canyon),Kane County WCD - Johnson Canyon,C,656,10869,UTAH13038,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=10869, , ,Utah,Kane,Kanab Creek/Virgin River,10-02-01,Johnson Wash,10-02-01a,Johnson Wash,1997, ,,ADAMCLARK,2017/06/01 00:00:00,,0.0802875116270412,0.000240307128492515
23,Spring Creek Water Co., ,Spring Creek Service Area,NP,1172,0,UTAH22123,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,Summit,Weber River,02-01-06,East Canyon,02-01-06a,East Canyon,1992, ,,ADAMCLARK,2017/06/01 00:00:00,,0.00435276636921289,1.18259983607283e-06
24,Herriman Pipeline Co.,Herriman City,Herriman Pipeline Company,NP,790,1050,UTAH18008,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1050, , ,Utah,Salt Lake,Jordan River,03-01-01,Salt Lake Valley,03-01-01a,Salt Lake Valley,2003, ,,ADAMCLARK,2017/06/01 00:00:00,,0.407233856338796,0.00260166051246722
25,McDonald Condominiums, ,McDonald Condominiums,NP,863,0,UTAH18099,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,Salt Lake,Jordan River,03-01-01,Salt Lake Valley,03-01-01a,Salt Lake Valley,1999, ,,ADAMCLARK,2017/06/01 00:00:00,,0.00914557927285295,2.21133335710574e-06
26,Young Oak Water Corp.,Emigration Improvement District,Young Oak Water Corp,NTNC,898,10999,UTAH18148,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=10999, , ,Utah,Salt Lake,Jordan River,03-01-03,Emigration Creek,03-01-03a,Emigration Creek,2005, ,,ADAMCLARK,2017/05/31 00:00:00,,0.0102721189628904,7.32183984870757e-06
27,Shadow Mountain Estates Subdivision,Shadow Mountain Estates Subdivision,Shadow Mountain Estates Subdivision,C,2302,11124,UTAH21050,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11124, , ,Utah,Sevier,Sevier River,05-04-02,Richfield,05-04-02a,Richfield,1996, ,,ADAMCLARK,2017/05/31 00:00:00,,0.0409817714117594,6.03550042518531e-05
28,Abbey of the Holy Trinity, ,Abbey Of The Holy Trinity,NP,1672,0,UTAH29039,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,Weber,Weber River,02-01-08,Ogden Valley,02-01-08a,Ogden Valley,2005, ,,ADAMCLARK,2017/05/31 00:00:00,,0.015581478857406,1.25955406375833e-05
29,Castle Valley SSD,Castle Valley Special Service District,Castle Valley Special Service District,C,352,1136,UTAH08047,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1136, , ,Utah,Emery,West Colorado River,08-02-03,Ferron Creek,08-02-03a,Ferron Creek,2005, ,,ADAMCLARK,2017/11/09 00:00:00,,0.763691195686,0.00216977457589049
30,Durfee Creek Subdivision, ,Durfee Creek Subdivision,NP,1716,0,UTAH29100,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,Weber,Weber River,02-01-08,Ogden Valley,02-01-08a,Ogden Valley,2005, ,,ADAMCLARK,2017/06/01 00:00:00,,0.0463620126548737,8.73796709354628e-05
31,Eldorado Hills Mutual Co.,Eldorado Hills Mutual Company,Eldorado Hills Mutual Co,NTNC,1581,0,UTAH27076,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,Washington,Kanab Creek/Virgin River,10-01-05,St. George,10-01-05e,St. George,2005, ,,ADAMCLARK,2017/06/01 00:00:00,,0.0528277453429727,0.000167843507779249
32,Glen Canyon N.R.A. - Hite Marina,"National Park Service, Glen Canyon Hite Marina",Glen Canyon NRA - Hite Marina,NC,947,1351,UTAH19047,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1351, , ,Utah,San Juan,West Colorado River,09-03-02,Lake Powell,09-03-02a,Lake Powell WColo,2000,DWRe/DWRi/Supplier,2019/07/31 00:00:00,ADAMCLARK,2019/07/31 00:00:00,,0.0425918511510319,1.50726186550114e-05
33,Summit Park SSD,Summit Park Water S.S.D.,Summit Park SSD,NP,1084,1121,UTAH22015,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1121, , ,Utah,Summit,Weber River,02-01-06,East Canyon,02-01-06a,East Canyon,2001, ,,ADAMCLARK,2017/06/01 00:00:00,,0.00795741766938185,3.92349809102712e-06
34,"Silver Springs Water, Inc.",Silver Springs Water Inc.,Mountain Regional - Silver Springs,NP,2310,1239,UTAH22095,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1239, , ,Utah,Summit,Weber River,02-01-06,East Canyon,02-01-06a,East Canyon,1992, ,,ADAMCLARK,2017/05/31 00:00:00,,0.0212990657264242,1.39236165848744e-05
35,River View Water Co.,Price Municipal Water System,River View Water Company,NP,222,1335,UTAH04050,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1335, , ,Utah,Carbon,West Colorado River,08-01-03,Price River,08-01-03a,Price A,1996,DWRe/Supplier,2020/04/07 00:00:00,ADAMCLARK,2020/04/07 00:00:00,,0.0336994379326092,6.55239573677413e-05
36,Bloomington, , , ,2473,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Idaho,Bear Lake,Bear River,01-01-01,Bear Lake,01-01-01b,Bear Lake ID,0,DWRe,,ADAMCLARK,2017/06/01 00:00:00,,0.0734639703120871,0.000254606303288725
37,Clifton, , , ,2474,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Idaho,Franklin,Bear River,01-01-04,Cache Valley,01-01-04b,Cache Valley ID,0,DWRe,,ADAMCLARK,2017/06/01 00:00:00,,0.121236451838868,0.00063648939402213
38,Dayton, , , ,2475,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Idaho,Franklin,Bear River,01-01-04,Cache Valley,01-01-04b,Cache Valley ID,0,DWRe,,ADAMCLARK,2017/06/01 00:00:00,,0.289187639490449,0.00185017488384519
39,Franklin, , , ,2476,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Idaho,Franklin,Bear River,01-01-04,Cache Valley,01-01-04b,Cache Valley ID,0,DWRe,,ADAMCLARK,2017/06/01 00:00:00,,0.0712085688812374,0.000214832600419129
40,Georgetown, , , ,2477,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Idaho,Bear Lake,Bear River,01-01-02,Soda Springs,01-01-02a,Soda Springs,0,DWRe,,ADAMCLARK,2017/06/01 00:00:00,,0.11533316668603,0.000211639908210237
41,Grace, , , ,2478,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Idaho,Caribou,Bear River,01-01-03,Oneida,01-01-03a,Oneida,0,DWRe,,ADAMCLARK,2017/06/01 00:00:00,,0.100197007809065,0.000279025545980917
42,Malad, , , ,2479,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Idaho,Oneida,Bear River,01-01-05,Malad,01-01-05a,Malad,0,DWRe,,ADAMCLARK,2017/06/01 00:00:00,,0.149277840798513,0.000469156469264858
43,Montpelier, , , ,2480,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Idaho,Bear Lake,Bear River,01-01-01,Bear Lake,01-01-01b,Bear Lake ID,0,DWRe,,ADAMCLARK,2017/06/01 00:00:00,,0.1848224659248,0.00063295406443747
44,Oxford, , , ,2481,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Idaho,Franklin,Bear River,01-01-04,Cache Valley,01-01-04b,Cache Valley ID,0,DWRe,,ADAMCLARK,2017/06/01 00:00:00,,0.0367498248185896,7.13145204298608e-05
45,Paris, , , ,2482,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Idaho,Bear Lake,Bear River,01-01-01,Bear Lake,01-01-01b,Bear Lake ID,0,DWRe,,ADAMCLARK,2017/06/01 00:00:00,,0.12648852828004,0.000991515440880819
46,Preston, , , ,2483,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Idaho,Franklin,Bear River,01-01-04,Cache Valley,01-01-04b,Cache Valley ID,0,DWRe,,ADAMCLARK,2017/06/01 00:00:00,,0.420132600900614,0.00187646781813651
47,Saint Charles, , , ,2484,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Idaho,Bear Lake,Bear River,01-01-01,Bear Lake,01-01-01b,Bear Lake ID,0,DWRe,,ADAMCLARK,2017/06/01 00:00:00,,0.075966472828563,0.000176801815551036
48,Soda Springs, , , ,2485,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Idaho,Caribou,Bear River,01-01-02,Soda Springs,01-01-02a,Soda Springs,0,DWRe,,ADAMCLARK,2017/06/01 00:00:00,,0.251455610934393,0.00130268692379825
49,Weston, , , ,2486,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Idaho,Franklin,Bear River,01-01-04,Cache Valley,01-01-04b,Cache Valley ID,0,DWRe,,ADAMCLARK,2017/06/01 00:00:00,,0.0966233244551478,0.000556280242381398
50,Cokeville, , , ,2488,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Wyoming,Lincoln,Bear River,01-02-01,Cokeville,01-02-01a,Cokeville,0,DWRe,,ADAMCLARK,2017/06/01 00:00:00,,0.101454218194984,0.00020830409210442
51,Evanston, , , ,2487,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Wyoming,Uinta,Bear River,01-03-01,Evanston,01-03-01b,Evanston,0,DWRe,,ADAMCLARK,2017/06/01 00:00:00,,0.379256414065055,0.00287355488632239
52,"Legacy Sweetwater, Inc.",Legacy Sweetwater Inc., ,NC,2417,11156, ,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11156, , ,Utah,Sanpete,Sevier River,05-01-00,Gunnison,05-01-00a,Gunnison,0,AGRC,2015/03/17 00:00:00,ADAMCLARK,2020/05/05 00:00:00,,0.174858537732279,0.000549389855173888
53,Monument Valley High School, ,Monument Valley High Scho,C,941,0,UTAH19038,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,San Juan,Southeast Colorado River,09-03-01,San Juan River,09-03-01a,San Juan River,2010, ,,ADAMCLARK,2017/05/31 00:00:00,,0.0178089591293519,1.94300818936225e-05
54,"Fredonia, AZ",Fredonia Water Conservation District, ,C,2152,1433, ,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1433, , ,Arizona,Coconino,Kanab Creek/Virgin River,10-02-02,Kanab Creek,10-02-02a,Lower Kanab Creek,2017, ,,ADAMCLARK,2019/04/30 00:00:00,,0.213512076169275,0.00181425301117182
55,Hildale - Colorado City,"Hildale, Town of",Hildale - Colorado City,C,1527,1443,UTAH27006,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1443, , ,Utah,Washington,Kanab Creek/Virgin River,10-01-05,St. George,10-01-05c,Hilldale,2018,AGRC/DWRe,,ADAMCLARK,2019/10/16 00:00:00,,0.466263809261709,0.00454734780835216
56,Oljato Community, ,Olijato Community,C,2191,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,San Juan,Southeast Colorado River,09-03-01,San Juan River,09-03-01a,San Juan River,2010, ,,ADAMCLARK,2016/01/05 00:00:00,,0.0413833446751334,9.13716891853314e-05
57,Kane County WCD - Johnson Canyon,Kane County Water Conservancy District (Johnson Canyon),Kane County WCD - Johnson Canyon,C,631,10869,UTAH13038,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=10869, , ,Utah,Kane,Kanab Creek/Virgin River,10-02-01,Johnson Wash,10-02-01a,Johnson Wash,2018,DWRe/Supplier,2019/04/29 00:00:00,ADAMCLARK,2019/10/16 00:00:00,,0.779321231730907,0.00280518440155673
58,Red Mesa Community, ,Red Mesa Community,C,2192,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,San Juan,Southeast Colorado River,09-03-01,San Juan River,09-03-01a,San Juan River,2010, ,,ADAMCLARK,2016/01/05 00:00:00,,0.0143332134308115,1.27472881529108e-05
59,Glen Canyon SSD Of Big Water,Glen Canyon Special Service District of Big Water,Glen Canyon SSD Of Big Water,C,606,1199,UTAH13003,https://www.waterrights.utah.gov/asp_apps/viewEditPWS/pwsView.asp?SYSTEM_ID=1199, , ,Utah,Kane,Southeast Colorado River,09-04-00,Wahweep Creek,09-04-00a,Wahweep Creek,2018,DWRe/Supplier,2020/04/16 00:00:00,ADAMCLARK,2020/04/16 00:00:00,,0.154137837490982,0.000427822545149192
60,Kanab City,Kanab Municipal Water System,Kanab City,C,608,1176,UTAH13005,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1176, , ,Utah,Kane,Kanab Creek/Virgin River,10-02-02,Kanab Creek,10-02-02a,Lower Kanab Creek,2018,AGRC/DWRe/Supplier,2019/04/29 00:00:00,ADAMCLARK,2019/10/16 00:00:00,,0.440723783092894,0.0041889378030812
61,Church Wells SSD,Church Wells S.S.D,Church Wells Ssd,C,605,1920,UTAH13002,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1920, , ,Utah,Kane,Southeast Colorado River,09-04-00,Wahweep Creek,09-04-00a,Wahweep Creek,2018,AGRC/DWRe,,ADAMCLARK,2019/10/16 00:00:00,,0.0663125358460628,0.000269488014511213
62,Big Plains - Apple Valley,Big Plains Water & Sewer Special Service Dist - Apple Valley,Big Plains SW SSD - Apple Valley,C,1574,10986,UTAH27069,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=10986, , ,Utah,Washington,Kanab Creek/Virgin River,10-01-05,St. George,10-01-05e,St. George,2018, ,,ADAMCLARK,2019/11/14 00:00:00,,0.0575245670419509,0.000161472263035504
63,Mexican Hat/Halchita Community, ,Mexican Hat Halchita Sys,NP,919,0,UTAH19009,https://waterlink.utah.gov/deqWater/reports.html?systemId=946, , ,Utah,San Juan,Southeast Colorado River,09-03-01,San Juan River,09-03-01a,San Juan River,2010, ,,ADAMCLARK,2017/05/31 00:00:00,,0.0518796384456469,0.000173872725018341
64,Mexican Hat SSD (San Juan SSD #1),San Juan Special Service District #1 (Mexican Hat SSD),Mexican Hat SSD,C,2065,1123,UTAH19008,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1123, , ,Utah,San Juan,Southeast Colorado River,09-03-01,San Juan River,09-03-01a,San Juan River,2018,DWRe/Supplier,2019/04/29 00:00:00,ADAMCLARK,2019/10/16 00:00:00,,0.0681768328234743,8.63386382884335e-05
65,Santa Clara City,Santa Clara Municipal Water System,Santa Clara City,C,1536,1207,UTAH27016,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1207, , ,Utah,Washington,Kanab Creek/Virgin River,10-01-05,St. George,10-01-05d,Santa Clara,2018,Supplier,2020/02/24 00:00:00,ADAMCLARK,2020/02/24 00:00:00,,0.21344679757151,0.00159651250508384
66,Rockville Pipeline Co.,Rockville Pipeline Company,Rockville Pipeline Co,C,1534,1074,UTAH27014,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1074, , ,Utah,Washington,Kanab Creek/Virgin River,10-01-02,North Fork Virgin,10-01-02a,North Fork Virgin,2018,DWRe/Supplier,2019/09/03 00:00:00,ADAMCLARK,2019/10/16 00:00:00,,0.350381829627581,0.00220728576239877
67,Springdale Town Water System,Springdale Culinary Water,Springdale Town Water System,C,1537,1342,UTAH27017,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1342, , ,Utah,Washington,Kanab Creek/Virgin River,10-01-02,North Fork Virgin,10-01-02a,North Fork Virgin,2018,DWRe,,ADAMCLARK,2019/10/16 00:00:00,,0.193620570800312,0.00120746946317531
68,Washington City,Washington Municipal Water System,Washington City,C,1541,1254,UTAH27021,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1254,Washington County Water Conservancy District,WCWCD,Utah,Washington,Kanab Creek/Virgin River,10-01-05,St. George,10-01-05e,St. George,2018,AGRC/DWRe,,ADAMCLARK,2019/10/16 00:00:00,,0.722810295198342,0.0085126683905632
69,Ivins,Ivins Town Water,Ivins,C,1529,1296,UTAH27008,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1296, , ,Utah,Washington,Kanab Creek/Virgin River,10-01-05,St. George,10-01-05d,Santa Clara,2018,DWRe,,ADAMCLARK,2019/10/16 00:00:00,,0.26205148343587,0.00163701657765726
70,Todohaidekani Community, ,Todohaidekani Community,C,2193,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,San Juan,Southeast Colorado River,09-03-01,San Juan River,09-03-01a,San Juan River,2010, ,,ADAMCLARK,2016/01/05 00:00:00,,0.224605816537629,0.00139007749930887
71,Virgin,Virgin Water Department,Virgin,C,1540,1171,UTAH27020,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1171,Washington County Water Conservancy District,WCWCD,Utah,Washington,Kanab Creek/Virgin River,10-01-03,Laverkin,10-01-03d,Virgin,2018,DWRe/Supplier,2019/03/07 00:00:00,ADAMCLARK,2019/10/16 00:00:00,,0.31081738886538,0.00310340362913388
72,Holly Village Community, ,Holly Village Water,C,2190,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,San Juan,Southeast Colorado River,09-03-01,San Juan River,09-03-01a,San Juan River,2010, ,,ADAMCLARK,2016/01/05 00:00:00,,0.0710300519329088,0.000295278565713361
73,Aneth Community, ,Aneth Community,C,942,0,UTAH19039,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,San Juan,Southeast Colorado River,09-03-05,McElmo,09-03-05a,McElmo,2010, ,,ADAMCLARK,2017/05/31 00:00:00,,0.038715450686056,7.30021125228983e-05
74,Kayenta Water Users Inc.,Kayenta Water User's Association,K.W.U. Inc.,C,1565,1407,UTAH27059,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1407,Washington County Water Conservancy District,WCWCD,Utah,Washington,Kanab Creek/Virgin River,10-01-05,St. George,10-01-05d,Santa Clara,2018,AGRC/DWRe,,ADAMCLARK,2019/10/16 00:00:00,,0.159377386701314,0.000851776901427747
