OID_,LocationID,LocationCode,LocationName,LocationPath,LocationType,IsExternalLocation,Longitude,Latitude,UtcOffset,LastModified,ElevationUnits,Elevation,Description,Tags,ExtendedAttributeValues,StatusDesc,ActiveFlag
11,dac2eb4e6b014c1a8cbf7a5f4eba77f5,41I 1500,Broadwater Main Canal Below Head Gate,All Locations.DNRC SWP,Hydrology Station,0,-111.404579999999996,46.119920000000000,-PT7H,2/4/2021 16:47:26,ft,3950.000000000000000,,"[{""UniqueId"": ""1c1aabaa26e8495bae4b3f69f0fd617b"", ""Name"": ""DNRC SWP"", ""Key"": ""DNRC SWP"", ""Value"": null}, {""UniqueId"": ""1b939a66263447099c7e3f5f46e00920"", ""Name"": ""Upper Missouri"", ""Key"": ""Upper Missouri"", ""Value"": null}, {""UniqueId"": ""55356f4ad4764f1ebf8fc8506638e32c"", ""Name"": ""Real-time"", ""Key"": ""Real-time"", ""Value"": null}, {""UniqueId"": ""3d27b053431348fc8e448bfd71db7714"", ""Name"": ""Main Stem Missouri"", ""Key"": ""Main Stem Missouri"", ""Value"": null}]",[],Real-time,1
12,8738a8f29bbf4975a5bc12a4daabe6df,41I 2000,Broadwater East Canal Blw HG,All Locations.DNRC SWP,Hydrology Station,0,-111.401049999999998,46.137949999999996,-PT7H,2/4/2021 16:47:48,ft,3949.525999999999840,Missouri Broadwater East Canal below HeadGate,"[{""UniqueId"": ""1c1aabaa26e8495bae4b3f69f0fd617b"", ""Name"": ""DNRC SWP"", ""Key"": ""DNRC SWP"", ""Value"": null}, {""UniqueId"": ""1b939a66263447099c7e3f5f46e00920"", ""Name"": ""Upper Missouri"", ""Key"": ""Upper Missouri"", ""Value"": null}, {""UniqueId"": ""55356f4ad4764f1ebf8fc8506638e32c"", ""Name"": ""Real-time"", ""Key"": ""Real-time"", ""Value"": null}, {""UniqueId"": ""3d27b053431348fc8e448bfd71db7714"", ""Name"": ""Main Stem Missouri"", ""Key"": ""Main Stem Missouri"", ""Value"": null}]",[],Real-time,1
13,f7384f6d312d41a0b756320f1088177d,41I 3000,Broadwater West Canal blw HG,All Locations.DNRC SWP,Hydrology Station,0,-111.403887999999995,46.136308000000000,-PT7H,2/4/2021 16:52:59,ft,3941.635999999999967,Broadwater West Canal below HeadGate,"[{""UniqueId"": ""1c1aabaa26e8495bae4b3f69f0fd617b"", ""Name"": ""DNRC SWP"", ""Key"": ""DNRC SWP"", ""Value"": null}, {""UniqueId"": ""1b939a66263447099c7e3f5f46e00920"", ""Name"": ""Upper Missouri"", ""Key"": ""Upper Missouri"", ""Value"": null}, {""UniqueId"": ""f75b412b0bd041628030306f1ef41714"", ""Name"": ""Seasonal"", ""Key"": ""Seasonal"", ""Value"": null}, {""UniqueId"": ""3d27b053431348fc8e448bfd71db7714"", ""Name"": ""Main Stem Missouri"", ""Key"": ""Main Stem Missouri"", ""Value"": null}]",[],Seasonal,1
14,59b6b48d97c4482eb9cea10220fcb519,41K 2080,Nilan Supply Canal,All Locations.DNRC SWP,Hydrology Station,0,-112.574900000000000,47.462499999999999,-PT7H,2/4/2021 16:54:36,ft,4480.871000000000095,Nilan Supply Canal ,"[{""UniqueId"": ""1c1aabaa26e8495bae4b3f69f0fd617b"", ""Name"": ""DNRC SWP"", ""Key"": ""DNRC SWP"", ""Value"": null}, {""UniqueId"": ""1b939a66263447099c7e3f5f46e00920"", ""Name"": ""Upper Missouri"", ""Key"": ""Upper Missouri"", ""Value"": null}, {""UniqueId"": ""19e6c0db722f44879eab5ec873e2c487"", ""Name"": ""Sun"", ""Key"": ""Sun"", ""Value"": null}, {""UniqueId"": ""f75b412b0bd041628030306f1ef41714"", ""Name"": ""Seasonal"", ""Key"": ""Seasonal"", ""Value"": null}]",[],Seasonal,1
15,b6b206ab5b5f423eb38697d591588727,41K 4000,Nilan East Canal blw Reservoir,All Locations.DNRC SWP,Hydrology Station,0,-112.515199999999993,47.473599999999998,-PT7H,2/4/2021 16:58:10,ft,4408.677999999999884,Nilan East Canal (outlet canal)-5' Parshall Flume,"[{""UniqueId"": ""1c1aabaa26e8495bae4b3f69f0fd617b"", ""Name"": ""DNRC SWP"", ""Key"": ""DNRC SWP"", ""Value"": null}, {""UniqueId"": ""1b939a66263447099c7e3f5f46e00920"", ""Name"": ""Upper Missouri"", ""Key"": ""Upper Missouri"", ""Value"": null}, {""UniqueId"": ""19e6c0db722f44879eab5ec873e2c487"", ""Name"": ""Sun"", ""Key"": ""Sun"", ""Value"": null}, {""UniqueId"": ""f75b412b0bd041628030306f1ef41714"", ""Name"": ""Seasonal"", ""Key"": ""Seasonal"", ""Value"": null}]",[],Seasonal,1
16,0ad823a1e70044bbb3bc4b9a45528701,41S 2080,Ackley Lake Supply Canal,All Locations.DNRC SWP,Hydrology Station,0,-109.941299999999998,46.957799999999999,-PT7H,3/11/2021 18:50:21,ft,4312.287999999999556,Ackley Lake Supply Canal,"[{""UniqueId"": ""1c1aabaa26e8495bae4b3f69f0fd617b"", ""Name"": ""DNRC SWP"", ""Key"": ""DNRC SWP"", ""Value"": null}, {""UniqueId"": ""924fee8b5bf14156bc01180ce644d030"", ""Name"": ""Lower Missouri"", ""Key"": ""Lower Missouri"", ""Value"": null}, {""UniqueId"": ""f75b412b0bd041628030306f1ef41714"", ""Name"": ""Seasonal"", ""Key"": ""Seasonal"", ""Value"": null}]",[],Seasonal,1
17,b6f065dccd254e318dbfa3843e9b2499,41S 3000,Ackley Lake Outlet Canal,All Locations.DNRC SWP,Hydrology Station,0,-109.932199999999995,46.959299999999999,-PT7H,3/11/2021 18:50:48,ft,4280.717999999999847,Ackley Lake Outlet Canal-8' Cipoletti Weir,"[{""UniqueId"": ""1c1aabaa26e8495bae4b3f69f0fd617b"", ""Name"": ""DNRC SWP"", ""Key"": ""DNRC SWP"", ""Value"": null}, {""UniqueId"": ""924fee8b5bf14156bc01180ce644d030"", ""Name"": ""Lower Missouri"", ""Key"": ""Lower Missouri"", ""Value"": null}, {""UniqueId"": ""f75b412b0bd041628030306f1ef41714"", ""Name"": ""Seasonal"", ""Key"": ""Seasonal"", ""Value"": null}]",[],Seasonal,1
18,9f7d8f167eac43f98ce4ae5e6ac9a888,41H 1000,EF Hyalite Ck,All Locations.DNRC SWP,Hydrology Station,0,-110.938900000000004,45.468100000000000,-PT7H,2/4/2021 16:42:39,ft,6875.465000000000146,East Fork Hyalite Creek (near Palisade Falls),"[{""UniqueId"": ""1c1aabaa26e8495bae4b3f69f0fd617b"", ""Name"": ""DNRC SWP"", ""Key"": ""DNRC SWP"", ""Value"": null}, {""UniqueId"": ""1b939a66263447099c7e3f5f46e00920"", ""Name"": ""Upper Missouri"", ""Key"": ""Upper Missouri"", ""Value"": null}, {""UniqueId"": ""69ab97bda5334cf4b4ee7dccd7ab3150"", ""Name"": ""Gallatin"", ""Key"": ""Gallatin"", ""Value"": null}, {""UniqueId"": ""55356f4ad4764f1ebf8fc8506638e32c"", ""Name"": ""Real-time"", ""Key"": ""Real-time"", ""Value"": null}]",[],Real-time,1
19,791d2c34c893483daf34d34859bd1987,41H 1500,WF Hyalite Ck,All Locations.DNRC SWP,Hydrology Station,0,-110.956599999999995,45.462200000000003,-PT7H,2/4/2021 16:45:16,ft,6756.845999999999549,West Fork Hyalite Creek above Middle Creek Reservoir,"[{""UniqueId"": ""1c1aabaa26e8495bae4b3f69f0fd617b"", ""Name"": ""DNRC SWP"", ""Key"": ""DNRC SWP"", ""Value"": null}, {""UniqueId"": ""1b939a66263447099c7e3f5f46e00920"", ""Name"": ""Upper Missouri"", ""Key"": ""Upper Missouri"", ""Value"": null}, {""UniqueId"": ""69ab97bda5334cf4b4ee7dccd7ab3150"", ""Name"": ""Gallatin"", ""Key"": ""Gallatin"", ""Value"": null}, {""UniqueId"": ""55356f4ad4764f1ebf8fc8506638e32c"", ""Name"": ""Real-time"", ""Key"": ""Real-time"", ""Value"": null}]",[],Real-time,1
20,5f1794586cda4561a3b0dc048e858ed3,41H 2000,Middle Creek blw Res,All Locations.DNRC SWP,Hydrology Station,0,-110.985581999999994,45.501252000000001,-PT7H,2/4/2021 16:45:37,ft,6442.637999999999920,Middle Creek 1/2 mile below Middle Creek Reservoir,"[{""UniqueId"": ""1c1aabaa26e8495bae4b3f69f0fd617b"", ""Name"": ""DNRC SWP"", ""Key"": ""DNRC SWP"", ""Value"": null}, {""UniqueId"": ""1b939a66263447099c7e3f5f46e00920"", ""Name"": ""Upper Missouri"", ""Key"": ""Upper Missouri"", ""Value"": null}, {""UniqueId"": ""69ab97bda5334cf4b4ee7dccd7ab3150"", ""Name"": ""Gallatin"", ""Key"": ""Gallatin"", ""Value"": null}, {""UniqueId"": ""55356f4ad4764f1ebf8fc8506638e32c"", ""Name"": ""Real-time"", ""Key"": ""Real-time"", ""Value"": null}]",[],Real-time,1
21,a9da2a76647d469488cd6b32e1e51c78,76E 1500,EF Rock Ck abv Reservoir,All Locations.DNRC SWP,Hydrology Station,0,-113.368600000000001,46.091299999999997,-PT7H,2/4/2021 17:03:59,ft,6109.363999999999578,East Fork Rock Creek above Reservoir,"[{""UniqueId"": ""1c1aabaa26e8495bae4b3f69f0fd617b"", ""Name"": ""DNRC SWP"", ""Key"": ""DNRC SWP"", ""Value"": null}, {""UniqueId"": ""8b339060c87942e4b52968fbf562f8b8"", ""Name"": ""Clark Fork"", ""Key"": ""Clark Fork"", ""Value"": null}, {""UniqueId"": ""55356f4ad4764f1ebf8fc8506638e32c"", ""Name"": ""Real-time"", ""Key"": ""Real-time"", ""Value"": null}, {""UniqueId"": ""800140dac188414c852b8db7a4ab2e02"", ""Name"": ""East Fork Rock Creek"", ""Key"": ""East Fork Rock Creek"", ""Value"": null}]",[],Real-time,1
22,b11d49c17bff46feb137176f84f3bb06,76E 2000,EF Rock Ck Main Canal blw HG,All Locations.DNRC SWP,Hydrology Station,0,-113.390500000000003,46.135500000000000,-PT7H,2/4/2021 17:03:33,ft,5990.761999999999716,East Fork Rock Creek Main Canal blw HG,"[{""UniqueId"": ""1c1aabaa26e8495bae4b3f69f0fd617b"", ""Name"": ""DNRC SWP"", ""Key"": ""DNRC SWP"", ""Value"": null}, {""UniqueId"": ""8b339060c87942e4b52968fbf562f8b8"", ""Name"": ""Clark Fork"", ""Key"": ""Clark Fork"", ""Value"": null}, {""UniqueId"": ""2ee02013db614ffa8c842e15879633be"", ""Name"": ""Discontinued"", ""Key"": ""Discontinued"", ""Value"": null}, {""UniqueId"": ""800140dac188414c852b8db7a4ab2e02"", ""Name"": ""East Fork Rock Creek"", ""Key"": ""East Fork Rock Creek"", ""Value"": null}]",[],Discontinued,1
23,4dc712150dbf41acbcabe289f3383b0c,76E 2100,EF Rock Ck blw Reservoir,All Locations.DNRC SWP,Hydrology Station,0,-113.386799999999994,46.134099999999997,-PT7H,2/4/2021 17:04:27,ft,5993.701000000000022,East Fork Rock Creek below Reservoir,"[{""UniqueId"": ""1c1aabaa26e8495bae4b3f69f0fd617b"", ""Name"": ""DNRC SWP"", ""Key"": ""DNRC SWP"", ""Value"": null}, {""UniqueId"": ""8b339060c87942e4b52968fbf562f8b8"", ""Name"": ""Clark Fork"", ""Key"": ""Clark Fork"", ""Value"": null}, {""UniqueId"": ""55356f4ad4764f1ebf8fc8506638e32c"", ""Name"": ""Real-time"", ""Key"": ""Real-time"", ""Value"": null}, {""UniqueId"": ""800140dac188414c852b8db7a4ab2e02"", ""Name"": ""East Fork Rock Creek"", ""Key"": ""East Fork Rock Creek"", ""Value"": null}]",[],Real-time,1
24,957058ab108d4009a2723a7d84d2ec2d,76E 2200,EF Main Canal blw Fish Screen,All Locations.DNRC SWP,Hydrology Station,0,-113.386747999999997,46.134076000000000,-PT7H,2/4/2021 17:04:49,ft,5985.000000000000000,Sutron Bubbler/SDI-Link,"[{""UniqueId"": ""1c1aabaa26e8495bae4b3f69f0fd617b"", ""Name"": ""DNRC SWP"", ""Key"": ""DNRC SWP"", ""Value"": null}, {""UniqueId"": ""8b339060c87942e4b52968fbf562f8b8"", ""Name"": ""Clark Fork"", ""Key"": ""Clark Fork"", ""Value"": null}, {""UniqueId"": ""55356f4ad4764f1ebf8fc8506638e32c"", ""Name"": ""Real-time"", ""Key"": ""Real-time"", ""Value"": null}, {""UniqueId"": ""800140dac188414c852b8db7a4ab2e02"", ""Name"": ""East Fork Rock Creek"", ""Key"": ""East Fork Rock Creek"", ""Value"": null}]",[],Real-time,1
25,53c7781e54cb40ce87683ecf74e17a78,76E 3000,EF Rock Main Canal abv Siphon,All Locations.DNRC SWP,Hydrology Station,0,-113.421599999999998,46.145200000000003,-PT7H,2/4/2021 17:05:28,ft,5961.122000000000298,East Fork Rock Creek Main Canal abv siphon,"[{""UniqueId"": ""1c1aabaa26e8495bae4b3f69f0fd617b"", ""Name"": ""DNRC SWP"", ""Key"": ""DNRC SWP"", ""Value"": null}, {""UniqueId"": ""8b339060c87942e4b52968fbf562f8b8"", ""Name"": ""Clark Fork"", ""Key"": ""Clark Fork"", ""Value"": null}, {""UniqueId"": ""2ee02013db614ffa8c842e15879633be"", ""Name"": ""Discontinued"", ""Key"": ""Discontinued"", ""Value"": null}, {""UniqueId"": ""800140dac188414c852b8db7a4ab2e02"", ""Name"": ""East Fork Rock Creek"", ""Key"": ""East Fork Rock Creek"", ""Value"": null}]",[],Discontinued,1
26,5ea9d88230614a748b24a8f02abccc55,76E 4000,EF Rock Ck abv MF confluence,All Locations.DNRC SWP,Hydrology Station,0,-113.485491999999994,46.193361000000003,-PT7H,3/9/2021 19:05:24,ft,5444.000000000000000,,"[{""UniqueId"": ""1c1aabaa26e8495bae4b3f69f0fd617b"", ""Name"": ""DNRC SWP"", ""Key"": ""DNRC SWP"", ""Value"": null}, {""UniqueId"": ""8b339060c87942e4b52968fbf562f8b8"", ""Name"": ""Clark Fork"", ""Key"": ""Clark Fork"", ""Value"": null}, {""UniqueId"": ""2ee02013db614ffa8c842e15879633be"", ""Name"": ""Discontinued"", ""Key"": ""Discontinued"", ""Value"": null}, {""UniqueId"": ""800140dac188414c852b8db7a4ab2e02"", ""Name"": ""East Fork Rock Creek"", ""Key"": ""East Fork Rock Creek"", ""Value"": null}]",[],Discontinued,1
27,e6afd7660478426db8d45e274a7256b6,76GJ 8000,Allendale Canal blw HG,All Locations.DNRC SWP,Hydrology Station,0,-113.229699999999994,46.529200000000003,-PT7H,2/4/2021 17:08:42,ft,4426.256000000000313,Allendale Canal blw HeadGate (Flint Creek-Diversion),"[{""UniqueId"": ""1c1aabaa26e8495bae4b3f69f0fd617b"", ""Name"": ""DNRC SWP"", ""Key"": ""DNRC SWP"", ""Value"": null}, {""UniqueId"": ""8b339060c87942e4b52968fbf562f8b8"", ""Name"": ""Clark Fork"", ""Key"": ""Clark Fork"", ""Value"": null}, {""UniqueId"": ""8eaeaaf6c94d4a809a3d13a7dbf57357"", ""Name"": ""Flint Rock Creeks"", ""Key"": ""Flint Rock Creeks"", ""Value"": null}, {""UniqueId"": ""2ee02013db614ffa8c842e15879633be"", ""Name"": ""Discontinued"", ""Key"": ""Discontinued"", ""Value"": null}]",[],Discontinued,1
28,cc99a25238d14f3bbd384804776ad910,76GJ 8080,Allendale Canal at Tail End,All Locations.DNRC SWP,Hydrology Station,0,-113.232699999999994,46.610399999999998,-PT7H,2/4/2021 17:09:10,ft,4360.774000000000342,Allendale Canal at Tail End (Flint Creek-Diversion),"[{""UniqueId"": ""1c1aabaa26e8495bae4b3f69f0fd617b"", ""Name"": ""DNRC SWP"", ""Key"": ""DNRC SWP"", ""Value"": null}, {""UniqueId"": ""8b339060c87942e4b52968fbf562f8b8"", ""Name"": ""Clark Fork"", ""Key"": ""Clark Fork"", ""Value"": null}, {""UniqueId"": ""8eaeaaf6c94d4a809a3d13a7dbf57357"", ""Name"": ""Flint Rock Creeks"", ""Key"": ""Flint Rock Creeks"", ""Value"": null}, {""UniqueId"": ""2ee02013db614ffa8c842e15879633be"", ""Name"": ""Discontinued"", ""Key"": ""Discontinued"", ""Value"": null}]",[],Discontinued,1
29,9cb056deb6004e67b3bc577f9a532969,76H 1200,West Fork of Bitterroot Abv Painted Rocks,All Locations.DNRC SWP,Hydrology Station,0,-114.304849000000004,45.668306000000001,-PT7H,2/4/2021 17:12:08,ft,4783.000000000000000,West Fork of Bitterroot River Above Painted Rocks Reservoir,"[{""UniqueId"": ""1c1aabaa26e8495bae4b3f69f0fd617b"", ""Name"": ""DNRC SWP"", ""Key"": ""DNRC SWP"", ""Value"": null}, {""UniqueId"": ""8b339060c87942e4b52968fbf562f8b8"", ""Name"": ""Clark Fork"", ""Key"": ""Clark Fork"", ""Value"": null}, {""UniqueId"": ""830133f840e24a3aba36a4c6e64dd5f5"", ""Name"": ""Bitterroot"", ""Key"": ""Bitterroot"", ""Value"": null}, {""UniqueId"": ""55356f4ad4764f1ebf8fc8506638e32c"", ""Name"": ""Real-time"", ""Key"": ""Real-time"", ""Value"": null}]",[],Real-time,1
30,3b858799d07a40559310c7cfa21e3d51,76H 1600,Slate Creek,All Locations.DNRC SWP,Hydrology Station,0,,,-PT7H,2/4/2021 17:14:35,,,Slate Creek Above Painted Rocks Reservoir,"[{""UniqueId"": ""1c1aabaa26e8495bae4b3f69f0fd617b"", ""Name"": ""DNRC SWP"", ""Key"": ""DNRC SWP"", ""Value"": null}, {""UniqueId"": ""8b339060c87942e4b52968fbf562f8b8"", ""Name"": ""Clark Fork"", ""Key"": ""Clark Fork"", ""Value"": null}, {""UniqueId"": ""830133f840e24a3aba36a4c6e64dd5f5"", ""Name"": ""Bitterroot"", ""Key"": ""Bitterroot"", ""Value"": null}]",[],UNKNOWN,1
31,60084c36a36c4b4fbc4beca94e3ab2ec,76H 1500,Blue Joint Creek above Painted Rocks Reservoir,All Locations.DNRC SWP,Hydrology Station,0,-114.320949999999996,45.698819999999998,-PT7H,2/4/2021 17:14:56,ft,4772.000000000000000,Blue Joint Creek Above Painted Rocks Reservoir,"[{""UniqueId"": ""1c1aabaa26e8495bae4b3f69f0fd617b"", ""Name"": ""DNRC SWP"", ""Key"": ""DNRC SWP"", ""Value"": null}, {""UniqueId"": ""8b339060c87942e4b52968fbf562f8b8"", ""Name"": ""Clark Fork"", ""Key"": ""Clark Fork"", ""Value"": null}, {""UniqueId"": ""830133f840e24a3aba36a4c6e64dd5f5"", ""Name"": ""Bitterroot"", ""Key"": ""Bitterroot"", ""Value"": null}, {""UniqueId"": ""55356f4ad4764f1ebf8fc8506638e32c"", ""Name"": ""Real-time"", ""Key"": ""Real-time"", ""Value"": null}]",[],Real-time,1
