OID_,OBJECTID,RECORD_ID,PERMIT_NUMBER,RECORD_TYPE,WATER,STATUS,ENTITY_NAME,QUARTER3,QUARTER2,QUARTER1,SECTION,TOWNSHIP,RANGE,COUNTY,PERMIT_TYPE,TOTAL_PERMITTED_ACRE_FEET,PRIMARY_PURPOSE,DATE_FILED,DATE_ISSUED,HYDRO_UNIT,STREAM_SYSTEM,LATITUDE,LONGITUDE
46,491,37775,19550278,Permit,Surface Water,Active,"Duncan, City of", , , ,34,01N,06WI,Stephens,Vested,738,"Recreation, Fish, Wildlife",1/21/1955 0:00,8/12/1969 0:00,11130303,1081,34.5143883,-97.81787542
11,493,19931,20020004,Permit,Surface Water,Active,"Reinauer, Robert M and Susan E", ,N2,SW,6,01N,07EI,Pontotoc,Regular,1000,Irrigation,2/4/2002 0:00,10/8/2002 0:00,11140104,1042,34.58375731,-96.61298063
12,494,19932,20020004,Permit,Surface Water,Active,"Reinauer, Robert M and Susan E", ,S2,SW,6,01N,07EI,Pontotoc,Regular,1000,Irrigation,2/4/2002 0:00,10/8/2002 0:00,11140104,1042,34.58012191,-96.61297421
72,495,45038,19930020,Permit,Surface Water,Active,"Niblett Revocable Living Trust, Alyson", , ,SW,9,01N,07EI,Pontotoc,Regular,93,Irrigation,4/25/1993 0:00,4/12/1994 0:00,11140104,1042,34.56730794,-96.57773606
336,496,47127,20020054,Permit,Surface Water,Active,"Niblett Revocable Living Trust, Alyson", , ,SW,9,01N,07EI,Pontotoc,Regular,169,Irrigation,12/12/2002 0:00,5/13/2003 0:00,11140104,1042,34.56730794,-96.57773606
73,497,45039,19930020,Permit,Surface Water,Active,"Niblett Revocable Living Trust, Alyson", ,W2,NW,9,01N,07EI,Pontotoc,Regular,93,Irrigation,4/25/1993 0:00,4/12/1994 0:00,11140104,1042,34.57459465,-96.57999145
337,498,47128,20020054,Permit,Surface Water,Active,"Niblett Revocable Living Trust, Alyson", ,W2,NW,9,01N,07EI,Pontotoc,Regular,169,Irrigation,12/12/2002 0:00,5/13/2003 0:00,11140104,1042,34.57459465,-96.57999145
478,501,56453,20020009,Permit,Surface Water,Active,Howell Family Trust, , ,NE,22,01N,07EI,Pontotoc,Regular,96,Irrigation,3/11/2002 0:00,8/13/2002 0:00,11140104,1042,34.54541309,-96.55135358
140,502,49779,20020010,Permit,Surface Water,Active,Howell Family Trust, , ,S2,23,01N,07EI,Pontotoc,Regular,119,"Recreation, Fish, Wildlife",3/11/2002 0:00,7/9/2002 0:00,11140104,1042,34.53814264,-96.53826696
210,505,10824,20010003,Permit,Surface Water,Active,"Ellsworth, Donald L &/or Melodee A", ,S2,NE,7,01N,07WI,Stephens,Regular,262,Irrigation,1/26/2001 0:00,7/10/2001 0:00,11130208,1120,34.57443232,-97.97129194
211,506,10825,20010003,Permit,Surface Water,Active,"Ellsworth, Donald L &/or Melodee A", ,NW,SE,7,01N,07WI,Stephens,Regular,262,Irrigation,1/26/2001 0:00,7/10/2001 0:00,11130208,1120,34.57082047,-97.97348374
212,507,10826,20010003,Permit,Surface Water,Active,"Ellsworth, Donald L &/or Melodee A", ,E2,SW,7,01N,07WI,Stephens,Regular,262,Irrigation,1/26/2001 0:00,7/10/2001 0:00,11130208,1120,34.5690193,-97.97787353
399,513,28020,19610070,Permit,Surface Water,Active,"Jones III, Thomas J", , , ,11,01N,07WI,Stephens,Vested,66,"Recreation, Fish, Wildlife",3/6/1959 0:00,8/12/1969 0:00,11130303,1081,34.57260097,-97.90545707
97,543,1071,19990026,Permit,Surface Water,Active,"Helton, Richard J. & Mary Elizabeth", ,W2,SW,13,01N,08EI,Coal,Regular,23,Irrigation,8/5/1999 0:00,11/16/1999 0:00,11140104,1042,34.55263083,-96.42237426
98,544,799,19990026,Permit,Surface Water,Active,"Helton, Richard J. & Mary Elizabeth", ,S2,NE,14,01N,08EI,Coal,Regular,23,Irrigation,8/5/1999 0:00,11/16/1999 0:00,11140104,1042,34.55801675,-96.42893327
96,545,1059,19990026,Permit,Surface Water,Active,"Helton, Richard J. & Mary Elizabeth", , ,SE,14,01N,08EI,Coal,Regular,23,Irrigation,8/5/1999 0:00,11/16/1999 0:00,11140104,1042,34.55259416,-96.42890879
150,557,28509,20050018,Permit,Surface Water,Active,Stagestand Ranch LLC, , ,NE,27,01N,08WI,Stephens,Regular,109,Irrigation,7/26/2005 0:00,11/1/2005 0:00,11130208,1120,34.53257319,-98.02389595
442,560,48000,20030013,Permit,Surface Water,Active,Oil City Associates LLC, , ,E2,32,01N,08WI,Stephens,Regular,200,Irrigation,4/7/2003 0:00,3/9/2004 0:00,11130208,1120,34.51446033,-98.05893402
441,561,47999,20030013,Permit,Surface Water,Active,Oil City Associates LLC, , ,W2,33,01N,08WI,Stephens,Regular,200,Irrigation,4/7/2003 0:00,3/9/2004 0:00,11130208,1120,34.51447986,-98.0501843
474,633,39881,19640966,Permit,Surface Water,Active,"Nelson, Howard", ,SW,SE,28,01N,09EI,Coal,Regular,74,Irrigation,12/1/1964 0:00,1/12/1965 0:00,11140104,1042,34.52180904,-96.36113237
184,634,30763,20070011,Permit,Surface Water,Active,"Troyer, Daniel",SW,NE,NE,30,01N,09EI,Coal,Regular,55,Irrigation,2/12/2007 0:00,6/12/2007 0:00,11140104,1042,34.53178292,-96.39279255
183,635,35095,20070011,Permit,Surface Water,Active,"Troyer, Daniel",SE,NW,NE,30,01N,09EI,Coal,Regular,55,Irrigation,2/12/2007 0:00,6/12/2007 0:00,11140104,1042,34.53178458,-96.39496954
182,638,17914,20070011,Permit,Surface Water,Active,"Troyer, Daniel",NW,NE,NE,30,01N,09EI,Coal,Regular,55,Irrigation,2/12/2007 0:00,6/12/2007 0:00,11140104,1042,34.53363734,-96.39282399
475,643,40045,19640966,Permit,Surface Water,Active,"Nelson, Howard", , ,E2,33,01N,09EI,Coal,Regular,74,Irrigation,12/1/1964 0:00,1/12/1965 0:00,11140104,1042,34.51280662,-96.35895759
235,773,31062,19990017,Permit,Surface Water,Active,Edgemont Beef, , ,S2,4,01N,11EI,Coal,Regular,640,Irrigation,4/19/1999 0:00,9/14/1999 0:00,11140103,1041,34.5822907,-96.15353213
256,774,20028,20000030,Permit,Surface Water,Active,"Welch, J M & Shelby",E2,E2,SW,8,01N,11EI,Coal,Regular,980,Irrigation,8/28/2000 0:00,1/9/2001 0:00,11140103,1041,34.56773923,-96.17218489
255,775,23738,20000030,Permit,Surface Water,Active,"Welch, J M & Shelby", ,SE,NW,8,01N,11EI,Coal,Regular,980,Irrigation,8/28/2000 0:00,1/9/2001 0:00,11140103,1041,34.5731581,-96.17328198
257,776,20029,20000030,Permit,Surface Water,Active,"Welch, J M & Shelby", , ,E2,8,01N,11EI,Coal,Regular,980,Irrigation,8/28/2000 0:00,1/9/2001 0:00,11140103,1041,34.57141707,-96.16668522
236,777,31063,19990017,Permit,Surface Water,Active,Edgemont Beef, , ,S2,9,01N,11EI,Coal,Regular,640,Irrigation,4/19/1999 0:00,9/14/1999 0:00,11140103,1041,34.56771114,-96.15351295
237,778,31064,19990017,Permit,Surface Water,Active,Edgemont Beef, , ,NE,9,01N,11EI,Coal,Regular,640,Irrigation,4/19/1999 0:00,9/14/1999 0:00,11140103,1041,34.57499617,-96.14913848
222,782,56076,20080001,Permit,Surface Water,Active,WACCAW Development LLC, ,NE,NW,9,01N,11EI,Coal,Term,1851,Mining,1/16/2008 0:00,5/14/2008 0:00,11140103,1041,34.576822,-96.15570612
258,792,20030,20000030,Permit,Surface Water,Active,"Welch, J M & Shelby", , ,N2,17,01N,11EI,Coal,Regular,980,Irrigation,8/28/2000 0:00,1/9/2001 0:00,11140103,1041,34.56055629,-96.17106535
252,805,38627,20000023,Permit,Surface Water,Active,"Sullivan, Joe N and Sharon K", ,W2,NW,4,01N,11WI,Comanche,Regular,450,Irrigation,6/30/2000 0:00,9/11/2001 0:00,11130202,1131,34.59072429,-98.36752586
298,806,3674,19800106,Permit,Surface Water,Active,"John, Ramon L and G Russell", ,W2,SW,4,01N,11WI,Comanche,Regular,14,Irrigation,8/20/1980 0:00,11/12/1980 0:00,11130202,1131,34.58351198,-98.36751002
152,807,10003,19840021,Permit,Surface Water,Active,"Sullivan, Joe N and Sharon K", , ,SE,5,01N,11WI,Comanche,Regular,125,Irrigation,4/9/1984 0:00,7/10/1984 0:00,11130202,1131,34.58350579,-98.37405338
253,808,38628,20000023,Permit,Surface Water,Active,"Sullivan, Joe N and Sharon K",E2,E2,NE,5,01N,11WI,Comanche,Regular,450,Irrigation,6/30/2000 0:00,9/11/2001 0:00,11130202,1131,34.59072772,-98.3707877
299,810,3675,19800106,Permit,Surface Water,Active,"John, Ramon L and G Russell", , ,NE,8,01N,11WI,Comanche,Regular,14,Irrigation,8/20/1980 0:00,11/12/1980 0:00,11130202,1131,34.57625948,-98.37405739
260,822,50449,19970028,Permit,Surface Water,Active,"Goodin, Virgil Lee & Esther Jean", ,N2,NW,20,01N,11WI,Comanche,Regular,158,Irrigation,12/19/1997 0:00,3/10/1998 0:00,11130202,1131,34.54900219,-98.38281135
449,873,36638,19870020,Permit,Surface Water,Active,Lawton Metropolitan Airport Auth, ,SE,SE,12,01N,12WI,Comanche,Regular,150,Irrigation,5/20/1987 0:00,9/8/1987 0:00,11130202,1131,34.56726803,-98.40688569
451,874,36640,19870020,Permit,Surface Water,Active,Lawton Metropolitan Airport Auth,S2,NW,SE,12,01N,12WI,Comanche,Regular,150,Irrigation,5/20/1987 0:00,9/8/1987 0:00,11130202,1131,34.56997815,-98.41128005
450,875,36639,19870020,Permit,Surface Water,Active,Lawton Metropolitan Airport Auth, ,SW,SE,12,01N,12WI,Comanche,Regular,150,Irrigation,5/20/1987 0:00,9/8/1987 0:00,11130202,1131,34.56726012,-98.41127803
425,879,46484,19720100,Permit,Surface Water,Active,"Carr, Margaret", ,S2,NW,19,01N,12WI,Comanche,Regular,189,Public Supply,3/29/1972 0:00,6/13/1972 0:00,11130203,1132,34.5455096,-98.50561349
426,880,45911,19720100,Permit,Surface Water,Active,"Carr, Margaret", , ,SW,19,01N,12WI,Comanche,Regular,189,Public Supply,3/29/1972 0:00,6/13/1972 0:00,11130203,1132,34.54009926,-98.50562775
466,994,59665,20090016,Permit,Surface Water,Active,"Green Earth Investments, LLC", , ,NW,14,01N,14EI,Atoka,Regular,7.4,Agriculture,6/3/2009 0:00,8/7/2009 0:00,11140103,1041,34.56110529,-95.80749593
467,995,59666,20090016,Permit,Surface Water,Active,"Green Earth Investments, LLC", , ,W2,15,01N,14EI,Atoka,Regular,7.4,Agriculture,6/3/2009 0:00,8/7/2009 0:00,11140103,1041,34.55741388,-95.82511534
468,996,59667,20090016,Permit,Surface Water,Active,"Green Earth Investments, LLC", , ,NE,15,01N,14EI,Atoka,Regular,7.4,Agriculture,6/3/2009 0:00,8/7/2009 0:00,11140103,1041,34.5610608,-95.81628436
148,1095,46494,19690030,Permit,Surface Water,Active,"Frederick, City of", , , ,33,01N,16WI,Tillman,Regular,3400,Public Supply,1/20/1969 0:00,5/12/1970 0:00,11130203,1132,34.5146844,-98.88716858
173,1127,46709,19710246,Permit,Surface Water,Active,"Horton, Joe C", ,E2,NW,20,01N,17WI,Tillman,Regular,66,Irrigation,5/14/1971 0:00,9/14/1971 0:00,11130203,1132,34.5473968,-99.01184834
209,1128,46519,19551166,Permit,Surface Water,Active,"Horton, Joe C", , ,N2,20,01N,17WI,Tillman,Vested,94,Irrigation,5/9/1955 0:00,6/9/1964 0:00,11130203,1132,34.54739102,-99.00967844
432,1132,52907,19960036,Permit,Surface Water,Active,"Warrick, Robert E & Noleen E", ,NE,NE,30,01N,17WI,Tillman,Regular,15,"Recreation, Fish, Wildlife",6/12/1996 0:00,9/10/1996 0:00,11130203,1132,34.53471027,-99.02057044
454,1143,40349,19860029B,Permit,Surface Water,Active,"Aylett, Melvin & Christina", ,N2,SE,13,01N,18EC,Texas,Regular,80,Irrigation,6/9/1986 0:00,12/15/1986 0:00,11100104,2054,36.54943125,-101.0665172
483,1148,38654,19860029A,Permit,Surface Water,Active,"Johnson, Mack & Jill", ,E2,SE,14,01N,18EC,Texas,Regular,80,Irrigation,6/9/1986 0:00,12/15/1986 0:00,11100104,2054,36.54765625,-101.0821523
129,1150,12531,19540113,Permit,Surface Water,Active,"Wildlife Conservation, Dept of", , , ,18,01N,18EC,Texas,Vested,261,"Recreation, Fish, Wildlife",3/18/1954 0:00,10/10/1967 0:00,11100104,2054,36.55125848,-101.1609344
130,1151,12532,19540113,Permit,Surface Water,Active,"Wildlife Conservation, Dept of", , , ,19,01N,18EC,Texas,Vested,261,"Recreation, Fish, Wildlife",3/18/1954 0:00,10/10/1967 0:00,11100104,2054,36.53680057,-101.1609369
402,1153,47247,19630181,Permit,Surface Water,Active,"Baker, Leonard E", , ,SW,24,01N,18EC,Texas,Regular,150,Irrigation,7/8/1963 0:00,9/14/1965 0:00,11100104,2054,36.53310473,-101.0755037
268,1154,52917,19980005,Permit,Surface Water,Active,"Jackson, Dale", ,S2,SE,11,01N,18EI,Pushmataha,Regular,310,Irrigation,2/24/1998 0:00,10/13/1998 0:00,11140105,1030,34.56672345,-95.37912948
269,1155,52918,19980005,Permit,Surface Water,Active,"Jackson, Dale", ,S2,SW,12,01N,18EI,Pushmataha,Regular,310,Irrigation,2/24/1998 0:00,10/13/1998 0:00,11140105,1030,34.56678175,-95.37040557
270,1156,52919,19980005,Permit,Surface Water,Active,"Jackson, Dale", ,W2,SE,12,01N,18EI,Pushmataha,Regular,310,Irrigation,2/24/1998 0:00,10/13/1998 0:00,11140105,1030,34.56867129,-95.36385171
271,1157,52920,19980005,Permit,Surface Water,Active,"Jackson, Dale", ,N2,NE,14,01N,18EI,Pushmataha,Regular,310,Irrigation,2/24/1998 0:00,10/13/1998 0:00,11140105,1030,34.56318737,-95.37917668
266,1237,52915,19980005,Permit,Surface Water,Active,"Jackson, Dale", ,N2,SW,7,01N,19EI,Pushmataha,Regular,310,Irrigation,2/24/1998 0:00,10/13/1998 0:00,11140105,1030,34.57059986,-95.35302395
267,1238,52916,19980005,Permit,Surface Water,Active,"Jackson, Dale", , ,SE,7,01N,19EI,Pushmataha,Regular,310,Irrigation,2/24/1998 0:00,10/13/1998 0:00,11140105,1030,34.56881369,-95.34437665
201,1239,42740,19560158,Permit,Surface Water,Active,"Tourism & Recreation, Dept of", , , ,21,01N,19EI,Pushmataha,Vested,10,"Recreation, Fish, Wildlife",2/23/1956 0:00,1/12/1965 0:00,11140105,1030,34.54337336,-95.31357102
145,1240,31893,19950008,Permit,Surface Water,Active,Nichols Family Partnership Limited, , ,NE,6,01N,19WI,Jackson,Regular,208,Irrigation,2/13/1995 0:00,6/13/1995 0:00,11120303,1151,34.59068802,-99.23341536
296,1241,8939,19950015,Permit,Surface Water,Active,Robbins Farms Inc, , ,SE,8,01N,19WI,Jackson,Regular,213,Irrigation,3/13/1995 0:00,6/13/1995 0:00,11120303,1151,34.56887871,-99.21581905
344,1249,53912,19520414,Permit,Surface Water,Active,"Tipton Home Inc, The", , ,NE,13,01N,19WI,Tillman,Vested,77,Irrigation,11/3/1952 0:00,4/14/1964 0:00,11120303,1151,34.56183168,-99.14565947
172,1255,52196,19520051,Permit,Surface Water,Active,"Kelly, Joe T", , ,SE,20,01N,19WI,Jackson,Vested,40,Irrigation,2/25/1952 0:00,4/14/1964 0:00,11120303,1151,34.53988372,-99.21570393
254,1302,35710,20000029,Permit,Surface Water,Active,"Carder, Bob", ,S2,NW,2,01N,20WI,Jackson,Regular,43,Irrigation,8/24/2000 0:00,12/12/2000 0:00,11120303,1151,34.58874315,-99.27690695
146,1311,11654,19950021,Permit,Surface Water,Active,"McLeod, Brent S and Jennifer R", , ,NW,18,01N,20WI,Jackson,Regular,95,Irrigation,4/26/1995 0:00,8/8/1995 0:00,11120202,1160,34.56169514,-99.34707986
144,1312,3927,19920004,Permit,Surface Water,Active,"Worrell, Harold D", , ,NW,21,01N,20WI,Jackson,Regular,33,Irrigation,1/31/1992 0:00,4/14/1992 0:00,11120202,1160,34.54723717,-99.31189278
349,1313,15141,19920003,Permit,Surface Water,Active,"Worrell, Harold D", , ,NW,29,01N,20WI,Jackson,Regular,66,Irrigation,1/31/1992 0:00,4/14/1992 0:00,11120202,1160,34.53269358,-99.32950341
453,1332,15101,19710179,Permit,Surface Water,Active,Vinyard Inc, , ,E2,2,01N,21WI,Jackson,Regular,240,Irrigation,4/12/1971 0:00,6/8/1971 0:00,11120202,1160,34.58743756,-99.37288841
335,1334,38875,19920010,Permit,Surface Water,Active,"Caldwell, Martin and Cynthia", , ,NW,2,01N,21WI,Jackson,Regular,115,Irrigation,2/27/1992 0:00,5/12/1992 0:00,11120202,1160,34.59071592,-99.38210195
302,1335,54187,20030010,Permit,Surface Water,Active,Vinyard Farms Inc, , ,SW,2,01N,21WI,Jackson,Term,240,Irrigation,3/13/2003 0:00,8/12/2003 0:00,11120202,1160,34.58342917,-99.38208322
387,1338,32013,19940056,Permit,Surface Water,Active,"Crow, Herschal H", , ,NW,4,01N,21WI,Jackson,Regular,756,Irrigation,12/7/1994 0:00,2/14/1995 0:00,11120202,1160,34.5906754,-99.41718321
388,1339,32014,19940056,Permit,Surface Water,Active,"Crow, Herschal H", , ,SW,4,01N,21WI,Jackson,Regular,756,Irrigation,12/7/1994 0:00,2/14/1995 0:00,11120202,1160,34.58332656,-99.41718491
390,1341,35434,19940056,Permit,Surface Water,Active,"Crow, Herschal H", , ,N2,5,01N,21WI,Jackson,Regular,756,Irrigation,12/7/1994 0:00,2/14/1995 0:00,11120202,1160,34.59062879,-99.43028951
219,1342,9550,19740078,Permit,Surface Water,Active,"Crow, Jr, Herschal H", , ,N2,5,01N,21WI,Jackson,Regular,34,Irrigation,2/21/1974 0:00,5/14/1974 0:00,11120202,1160,34.59062879,-99.43028951
105,1347,49114,19520286,Permit,Surface Water,Active,"Vinyard, Harold", , ,NE,10,01N,21WI,Jackson,Vested,30,Irrigation,9/18/1952 0:00,8/11/1964 0:00,11120202,1160,34.57615987,-99.39084655
301,1350,54186,20030010,Permit,Surface Water,Active,Vinyard Farms Inc, , ,NW,11,01N,21WI,Jackson,Term,240,Irrigation,3/13/2003 0:00,8/12/2003 0:00,11120202,1160,34.5761667,-99.38209994
482,1351,54189,20030009,Permit,Surface Water,Active,S & D Farms Inc., ,N2,NE,11,01N,21WI,Jackson,Term,154,Irrigation,3/13/2003 0:00,8/12/2003 0:00,11120202,1160,34.57796791,-99.3733294
395,1352,43104,19910051,Permit,Surface Water,Active,"Vinyard, Harold", , ,SE,11,01N,21WI,Jackson,Regular,230,Irrigation,9/10/1991 0:00,12/17/1991 0:00,11120202,1160,34.56890212,-99.37334583
396,1353,43105,19910051,Permit,Surface Water,Active,"Vinyard, Harold", ,S2,NE,11,01N,21WI,Jackson,Regular,230,Irrigation,9/10/1991 0:00,12/17/1991 0:00,11120202,1160,34.57432224,-99.37333568
113,1355,54718,19520331,Permit,Surface Water,Active,"Davis, Kathleen Holt", , ,S2,16,01N,21WI,Jackson,Vested,101,Irrigation,10/3/1952 0:00,8/11/1964 0:00,11120202,1160,34.55438469,-99.41269172
142,1356,54525,20040024,Permit,Surface Water,Active,"Pryor, James H", , ,NW,16,01N,21WI,Jackson,Regular,622,Irrigation,7/1/2004 0:00,9/14/2004 0:00,11120202,1160,34.56161567,-99.41708068
143,1357,54526,20040024,Permit,Surface Water,Active,"Pryor, James H", , ,S2,16,01N,21WI,Jackson,Regular,622,Irrigation,7/1/2004 0:00,9/14/2004 0:00,11120202,1160,34.55438469,-99.41269172
174,1360,17407,19740169,Permit,Surface Water,Active,"Doughten, Wendell", ,SE,SE,17,01N,21WI,Jackson,Regular,10,Irrigation,4/22/1974 0:00,7/9/1974 0:00,11120202,1160,34.55255837,-99.42366105
187,1363,50822,19640503,Permit,Surface Water,Active,J P W Farms Inc, , ,S2,21,01N,21WI,Jackson,Regular,558,Irrigation,7/1/1964 0:00,8/11/1964 0:00,11120202,1160,34.53989225,-99.41262802
462,1366,13262,19640499,Permit,Surface Water,Active,"Ballew, Norman Weber", ,NE,NW,21,01N,21WI,Jackson,Regular,60,Irrigation,6/29/1964 0:00,8/11/1964 0:00,11120202,1160,34.54894434,-99.41479551
381,1367,12760,19480184,Permit,Surface Water,Active,"Drury, Tim & Lisa", , ,NE,21,01N,21WI,Jackson,Vested,96,Irrigation,11/5/1948 0:00,8/11/1964 0:00,11120202,1160,34.54714238,-99.4082276
391,1374,38650,19910060,Permit,Surface Water,Active,"Fox, JR, Raymond H", ,N2,SE,23,01N,21WI,Jackson,Regular,60,Irrigation,12/5/1991 0:00,3/10/1992 0:00,11120202,1160,34.54175911,-99.37338008
392,1375,35589,19910060,Permit,Surface Water,Active,"Fox, JR, Raymond H", ,SE,SE,23,01N,21WI,Jackson,Regular,60,Irrigation,12/5/1991 0:00,3/10/1992 0:00,11120202,1160,34.53814273,-99.3711861
175,1377,15631,19900008,Permit,Surface Water,Active,"Mock, Paul H", ,W2,NW,25,01N,21WI,Jackson,Regular,175,Irrigation,3/9/1990 0:00,7/16/1990 0:00,11120202,1160,34.53267577,-99.36673703
176,1378,14169,19900008,Permit,Surface Water,Active,"Mock, Paul H",W2,E2,NW,25,01N,21WI,Jackson,Regular,175,Irrigation,3/9/1990 0:00,7/16/1990 0:00,11120202,1160,34.53267741,-99.36339903
157,1379,36235,19640524,Permit,Surface Water,Active,"Garrison, Roy", ,E2,NW,25,01N,21WI,Jackson,Regular,35,Irrigation,7/13/1964 0:00,9/8/1964 0:00,11120202,1160,34.53267576,-99.36230279
158,1380,36236,19640524,Permit,Surface Water,Active,"Garrison, Roy", , ,NE,25,01N,21WI,Jackson,Regular,35,Irrigation,7/13/1964 0:00,9/8/1964 0:00,11120202,1160,34.53267889,-99.35574566
479,1388,7521,20020025,Permit,Surface Water,Active,"McMahan, John Boyd", , ,SE,26,01N,21WI,Jackson,Term,167,Irrigation,4/29/2002 0:00,10/14/2003 0:00,11120202,1160,34.52539218,-99.37332675
56,1392,26890,19920012,Permit,Surface Water,Active,"Caldwell, Martin", , ,NE,35,01N,21WI,Jackson,Regular,120,Irrigation,3/3/1992 0:00,4/14/1992 0:00,11120202,1160,34.51811524,-99.37317497
464,1442,3335,19520271,Permit,Surface Water,Active,"Jones, Oma", , ,N2,33,01N,22WI,Jackson,Vested,40,Irrigation,9/15/1952 0:00,8/11/1964 0:00,11130101,1170,34.51801048,-99.51765407
35,1539,32581,19880007,Permit,Surface Water,Active,Southwest Soil & Water Consery Dist, , , ,3,01N,25WI,Harmon,Regular,1000,Other,4/14/1988 0:00,9/14/1988 0:00,11130101,1170,34.58698557,-99.815371
32,1558,33348,19880007,Permit,Surface Water,Active,Southwest Soil & Water Consery Dist, , , ,10,01N,25WI,Harmon,Regular,1000,Other,4/14/1988 0:00,9/14/1988 0:00,11130101,1170,34.57242418,-99.81536641
