inVariable,inReportingUnitTypeCV,inReportingUnitName,inReportingUnitNativeID,inYear,inBenUse,inAmount,inTimeframeStart,inTimeframeEnd
Applied Water Use,Planning Area,102,102,2011,Wild and Scenic River,15622300.0,01/01/2011,12/31/2011
Applied Water Use,Planning Area,102,102,2012,Agriculture,34300.0,01/01/2012,12/31/2012
Applied Water Use,Planning Area,102,102,2012,Instream Flow Requirements,1348600.0,01/01/2012,12/31/2012
Applied Water Use,Planning Area,102,102,2012,Managed Wetlands,0.0,01/01/2012,12/31/2012
Applied Water Use,Planning Area,102,102,2012,Required Delta Outflow,0.0,01/01/2012,12/31/2012
Applied Water Use,Planning Area,102,102,2012,Urban,10300.0,01/01/2012,12/31/2012
Applied Water Use,Planning Area,102,102,2012,Wild and Scenic River,11746100.0,01/01/2012,12/31/2012
Applied Water Use,Planning Area,102,102,2013,Agriculture,37000.0,01/01/2013,12/31/2013
Applied Water Use,Planning Area,102,102,2013,Instream Flow Requirements,1220600.0,01/01/2013,12/31/2013
Applied Water Use,Planning Area,102,102,2013,Managed Wetlands,0.0,01/01/2013,12/31/2013
Applied Water Use,Planning Area,102,102,2013,Required Delta Outflow,0.0,01/01/2013,12/31/2013
Applied Water Use,Planning Area,102,102,2013,Urban,10399.999999999998,01/01/2013,12/31/2013
Applied Water Use,Planning Area,102,102,2013,Wild and Scenic River,8993800.0,01/01/2013,12/31/2013
Applied Water Use,Planning Area,102,102,2014,Agriculture,36800.0,01/01/2014,12/31/2014
Applied Water Use,Planning Area,102,102,2014,Instream Flow Requirements,1130200.0,01/01/2014,12/31/2014
Applied Water Use,Planning Area,102,102,2014,Managed Wetlands,0.0,01/01/2014,12/31/2014
Applied Water Use,Planning Area,102,102,2014,Required Delta Outflow,0.0,01/01/2014,12/31/2014
Applied Water Use,Planning Area,102,102,2014,Urban,10000.0,01/01/2014,12/31/2014
Applied Water Use,Planning Area,102,102,2014,Wild and Scenic River,5905200.000000001,01/01/2014,12/31/2014
Applied Water Use,Planning Area,102,102,2015,Agriculture,34900.00000000001,01/01/2015,12/31/2015
Applied Water Use,Planning Area,102,102,2015,Instream Flow Requirements,1123900.0,01/01/2015,12/31/2015
Applied Water Use,Planning Area,102,102,2015,Managed Wetlands,0.0,01/01/2015,12/31/2015
Applied Water Use,Planning Area,102,102,2015,Required Delta Outflow,0.0,01/01/2015,12/31/2015
Applied Water Use,Planning Area,102,102,2015,Urban,8700.0,01/01/2015,12/31/2015
Applied Water Use,Planning Area,102,102,2015,Wild and Scenic River,8185900.0,01/01/2015,12/31/2015
Applied Water Use,Planning Area,103,103,2011,Agriculture,84399.99999999999,01/01/2011,12/31/2011
Applied Water Use,Planning Area,103,103,2011,Instream Flow Requirements,103699.99999999999,01/01/2011,12/31/2011
Applied Water Use,Planning Area,103,103,2011,Managed Wetlands,1400.0,01/01/2011,12/31/2011
Applied Water Use,Planning Area,103,103,2011,Required Delta Outflow,0.0,01/01/2011,12/31/2011
Applied Water Use,Planning Area,103,103,2011,Urban,26599.999999999996,01/01/2011,12/31/2011
Applied Water Use,Planning Area,103,103,2011,Wild and Scenic River,7628300.0,01/01/2011,12/31/2011
Applied Water Use,Planning Area,103,103,2012,Agriculture,88499.99999999997,01/01/2012,12/31/2012
Applied Water Use,Planning Area,103,103,2012,Instream Flow Requirements,94100.0,01/01/2012,12/31/2012
Applied Water Use,Planning Area,103,103,2012,Managed Wetlands,200.0,01/01/2012,12/31/2012
Applied Water Use,Planning Area,103,103,2012,Required Delta Outflow,0.0,01/01/2012,12/31/2012
Applied Water Use,Planning Area,103,103,2012,Urban,23800.0,01/01/2012,12/31/2012
Applied Water Use,Planning Area,103,103,2012,Wild and Scenic River,3946700.0000000005,01/01/2012,12/31/2012
Applied Water Use,Planning Area,103,103,2013,Agriculture,102899.99999999999,01/01/2013,12/31/2013
Applied Water Use,Planning Area,103,103,2013,Instream Flow Requirements,97800.0,01/01/2013,12/31/2013
Applied Water Use,Planning Area,103,103,2013,Managed Wetlands,1400.0,01/01/2013,12/31/2013
Applied Water Use,Planning Area,103,103,2013,Required Delta Outflow,0.0,01/01/2013,12/31/2013
Applied Water Use,Planning Area,103,103,2013,Urban,25400.0,01/01/2013,12/31/2013
Applied Water Use,Planning Area,103,103,2013,Wild and Scenic River,3879400.0,01/01/2013,12/31/2013
Applied Water Use,Planning Area,103,103,2014,Agriculture,106399.99999999997,01/01/2014,12/31/2014
Applied Water Use,Planning Area,103,103,2014,Instream Flow Requirements,44800.0,01/01/2014,12/31/2014
Applied Water Use,Planning Area,103,103,2014,Managed Wetlands,1500.0,01/01/2014,12/31/2014
Applied Water Use,Planning Area,103,103,2014,Required Delta Outflow,0.0,01/01/2014,12/31/2014
Applied Water Use,Planning Area,103,103,2014,Urban,23899.999999999996,01/01/2014,12/31/2014
Applied Water Use,Planning Area,103,103,2014,Wild and Scenic River,1919400.0,01/01/2014,12/31/2014
Applied Water Use,Planning Area,103,103,2015,Agriculture,101300.0,01/01/2015,12/31/2015
Applied Water Use,Planning Area,103,103,2015,Instream Flow Requirements,50200.0,01/01/2015,12/31/2015
Applied Water Use,Planning Area,103,103,2015,Managed Wetlands,1500.0,01/01/2015,12/31/2015
Applied Water Use,Planning Area,103,103,2015,Required Delta Outflow,0.0,01/01/2015,12/31/2015
Applied Water Use,Planning Area,103,103,2015,Urban,22700.0,01/01/2015,12/31/2015
Applied Water Use,Planning Area,103,103,2015,Wild and Scenic River,3464700.0000000005,01/01/2015,12/31/2015
Applied Water Use,Planning Area,104,104,2011,Agriculture,113599.99999999999,01/01/2011,12/31/2011
Applied Water Use,Planning Area,104,104,2011,Instream Flow Requirements,174000.0,01/01/2011,12/31/2011
Applied Water Use,Planning Area,104,104,2011,Managed Wetlands,0.0,01/01/2011,12/31/2011
Applied Water Use,Planning Area,104,104,2011,Required Delta Outflow,0.0,01/01/2011,12/31/2011
Applied Water Use,Planning Area,104,104,2011,Urban,84500.0,01/01/2011,12/31/2011
Applied Water Use,Planning Area,104,104,2011,Wild and Scenic River,0.0,01/01/2011,12/31/2011
Applied Water Use,Planning Area,104,104,2012,Agriculture,130800.00000000001,01/01/2012,12/31/2012
Applied Water Use,Planning Area,104,104,2012,Instream Flow Requirements,169800.0,01/01/2012,12/31/2012
Applied Water Use,Planning Area,104,104,2012,Managed Wetlands,0.0,01/01/2012,12/31/2012
Applied Water Use,Planning Area,104,104,2012,Required Delta Outflow,0.0,01/01/2012,12/31/2012
Applied Water Use,Planning Area,104,104,2012,Urban,86300.0,01/01/2012,12/31/2012
Applied Water Use,Planning Area,104,104,2012,Wild and Scenic River,0.0,01/01/2012,12/31/2012
Applied Water Use,Planning Area,104,104,2013,Agriculture,130400.0,01/01/2013,12/31/2013
Applied Water Use,Planning Area,104,104,2013,Instream Flow Requirements,132000.0,01/01/2013,12/31/2013
Applied Water Use,Planning Area,104,104,2013,Managed Wetlands,0.0,01/01/2013,12/31/2013
Applied Water Use,Planning Area,104,104,2013,Required Delta Outflow,0.0,01/01/2013,12/31/2013
Applied Water Use,Planning Area,104,104,2013,Urban,94100.0,01/01/2013,12/31/2013
Applied Water Use,Planning Area,104,104,2013,Wild and Scenic River,0.0,01/01/2013,12/31/2013
Applied Water Use,Planning Area,104,104,2014,Agriculture,136200.00000000003,01/01/2014,12/31/2014
Applied Water Use,Planning Area,104,104,2014,Instream Flow Requirements,81800.00000000001,01/01/2014,12/31/2014
Applied Water Use,Planning Area,104,104,2014,Managed Wetlands,0.0,01/01/2014,12/31/2014
Applied Water Use,Planning Area,104,104,2014,Required Delta Outflow,0.0,01/01/2014,12/31/2014
Applied Water Use,Planning Area,104,104,2014,Urban,84200.0,01/01/2014,12/31/2014
Applied Water Use,Planning Area,104,104,2014,Wild and Scenic River,0.0,01/01/2014,12/31/2014
Applied Water Use,Planning Area,104,104,2015,Agriculture,131100.0,01/01/2015,12/31/2015
Applied Water Use,Planning Area,104,104,2015,Instream Flow Requirements,84800.0,01/01/2015,12/31/2015
Applied Water Use,Planning Area,104,104,2015,Managed Wetlands,0.0,01/01/2015,12/31/2015
Applied Water Use,Planning Area,104,104,2015,Required Delta Outflow,0.0,01/01/2015,12/31/2015
Applied Water Use,Planning Area,104,104,2015,Urban,80000.0,01/01/2015,12/31/2015
Applied Water Use,Planning Area,104,104,2015,Wild and Scenic River,0.0,01/01/2015,12/31/2015
Applied Water Use,Planning Area,201,201,2011,Agriculture,95000.0,01/01/2011,12/31/2011
Applied Water Use,Planning Area,201,201,2011,Instream Flow Requirements,21800.0,01/01/2011,12/31/2011
Applied Water Use,Planning Area,201,201,2011,Managed Wetlands,49600.0,01/01/2011,12/31/2011
Applied Water Use,Planning Area,201,201,2011,Required Delta Outflow,0.0,01/01/2011,12/31/2011
Applied Water Use,Planning Area,201,201,2011,Urban,118200.0,01/01/2011,12/31/2011
Applied Water Use,Planning Area,201,201,2011,Wild and Scenic River,0.0,01/01/2011,12/31/2011
Applied Water Use,Planning Area,201,201,2012,Agriculture,118800.00000000001,01/01/2012,12/31/2012
Applied Water Use,Planning Area,201,201,2012,Instream Flow Requirements,19900.000000000004,01/01/2012,12/31/2012
Applied Water Use,Planning Area,201,201,2012,Managed Wetlands,56800.0,01/01/2012,12/31/2012
Applied Water Use,Planning Area,201,201,2012,Required Delta Outflow,0.0,01/01/2012,12/31/2012
Applied Water Use,Planning Area,201,201,2012,Urban,127500.0,01/01/2012,12/31/2012
Applied Water Use,Planning Area,201,201,2012,Wild and Scenic River,0.0,01/01/2012,12/31/2012
Applied Water Use,Planning Area,201,201,2013,Agriculture,110900.0,01/01/2013,12/31/2013
Applied Water Use,Planning Area,201,201,2013,Instream Flow Requirements,12900.0,01/01/2013,12/31/2013
Applied Water Use,Planning Area,201,201,2013,Managed Wetlands,54699.99999999999,01/01/2013,12/31/2013
Applied Water Use,Planning Area,201,201,2013,Required Delta Outflow,0.0,01/01/2013,12/31/2013
Applied Water Use,Planning Area,201,201,2013,Urban,141900.0,01/01/2013,12/31/2013
Applied Water Use,Planning Area,201,201,2013,Wild and Scenic River,0.0,01/01/2013,12/31/2013
Applied Water Use,Planning Area,201,201,2014,Agriculture,123500.0,01/01/2014,12/31/2014
Applied Water Use,Planning Area,201,201,2014,Instream Flow Requirements,12900.0,01/01/2014,12/31/2014
Applied Water Use,Planning Area,201,201,2014,Managed Wetlands,56800.0,01/01/2014,12/31/2014
Applied Water Use,Planning Area,201,201,2014,Required Delta Outflow,0.0,01/01/2014,12/31/2014
Applied Water Use,Planning Area,201,201,2014,Urban,128600.0,01/01/2014,12/31/2014
Applied Water Use,Planning Area,201,201,2014,Wild and Scenic River,0.0,01/01/2014,12/31/2014
Applied Water Use,Planning Area,201,201,2015,Agriculture,127400.0,01/01/2015,12/31/2015
Applied Water Use,Planning Area,201,201,2015,Instream Flow Requirements,12900.0,01/01/2015,12/31/2015
Applied Water Use,Planning Area,201,201,2015,Managed Wetlands,55500.0,01/01/2015,12/31/2015
Applied Water Use,Planning Area,201,201,2015,Required Delta Outflow,0.0,01/01/2015,12/31/2015
Applied Water Use,Planning Area,201,201,2015,Urban,112300.0,01/01/2015,12/31/2015
Applied Water Use,Planning Area,201,201,2015,Wild and Scenic River,0.0,01/01/2015,12/31/2015
Applied Water Use,Planning Area,202,202,2011,Agriculture,15500.0,01/01/2011,12/31/2011
Applied Water Use,Planning Area,202,202,2011,Instream Flow Requirements,0.0,01/01/2011,12/31/2011
Applied Water Use,Planning Area,202,202,2011,Managed Wetlands,3700.0,01/01/2011,12/31/2011
Applied Water Use,Planning Area,202,202,2011,Required Delta Outflow,0.0,01/01/2011,12/31/2011
Applied Water Use,Planning Area,202,202,2011,Urban,938700.0,01/01/2011,12/31/2011
Applied Water Use,Planning Area,202,202,2011,Wild and Scenic River,0.0,01/01/2011,12/31/2011
Applied Water Use,Planning Area,202,202,2012,Agriculture,30500.0,01/01/2012,12/31/2012
Applied Water Use,Planning Area,202,202,2012,Instream Flow Requirements,0.0,01/01/2012,12/31/2012
Applied Water Use,Planning Area,202,202,2012,Managed Wetlands,3600.0,01/01/2012,12/31/2012
Applied Water Use,Planning Area,202,202,2012,Required Delta Outflow,0.0,01/01/2012,12/31/2012
Applied Water Use,Planning Area,202,202,2012,Urban,990000.0000000001,01/01/2012,12/31/2012
Applied Water Use,Planning Area,202,202,2012,Wild and Scenic River,0.0,01/01/2012,12/31/2012
Applied Water Use,Planning Area,202,202,2013,Agriculture,21099.999999999996,01/01/2013,12/31/2013
Applied Water Use,Planning Area,202,202,2013,Instream Flow Requirements,0.0,01/01/2013,12/31/2013
Applied Water Use,Planning Area,202,202,2013,Managed Wetlands,3600.0,01/01/2013,12/31/2013
Applied Water Use,Planning Area,202,202,2013,Required Delta Outflow,0.0,01/01/2013,12/31/2013
Applied Water Use,Planning Area,202,202,2013,Urban,977800.0000000001,01/01/2013,12/31/2013
Applied Water Use,Planning Area,202,202,2013,Wild and Scenic River,0.0,01/01/2013,12/31/2013
Applied Water Use,Planning Area,202,202,2014,Agriculture,18300.0,01/01/2014,12/31/2014
Applied Water Use,Planning Area,202,202,2014,Instream Flow Requirements,0.0,01/01/2014,12/31/2014
Applied Water Use,Planning Area,202,202,2014,Managed Wetlands,3800.0000000000005,01/01/2014,12/31/2014
Applied Water Use,Planning Area,202,202,2014,Required Delta Outflow,0.0,01/01/2014,12/31/2014
Applied Water Use,Planning Area,202,202,2014,Urban,955800.0,01/01/2014,12/31/2014
Applied Water Use,Planning Area,202,202,2014,Wild and Scenic River,0.0,01/01/2014,12/31/2014
Applied Water Use,Planning Area,202,202,2015,Agriculture,18700.000000000004,01/01/2015,12/31/2015
Applied Water Use,Planning Area,202,202,2015,Instream Flow Requirements,0.0,01/01/2015,12/31/2015
Applied Water Use,Planning Area,202,202,2015,Managed Wetlands,3600.0,01/01/2015,12/31/2015
Applied Water Use,Planning Area,202,202,2015,Required Delta Outflow,0.0,01/01/2015,12/31/2015
Applied Water Use,Planning Area,202,202,2015,Urban,890200.0,01/01/2015,12/31/2015
Applied Water Use,Planning Area,202,202,2015,Wild and Scenic River,0.0,01/01/2015,12/31/2015
Applied Water Use,Planning Area,301,301,2011,Agriculture,532900.0,01/01/2011,12/31/2011
Applied Water Use,Planning Area,301,301,2011,Instream Flow Requirements,5100.0,01/01/2011,12/31/2011
Applied Water Use,Planning Area,301,301,2011,Managed Wetlands,400.0,01/01/2011,12/31/2011
Applied Water Use,Planning Area,301,301,2011,Required Delta Outflow,0.0,01/01/2011,12/31/2011
Applied Water Use,Planning Area,301,301,2011,Urban,122829.99999999999,01/01/2011,12/31/2011
Applied Water Use,Planning Area,301,301,2011,Wild and Scenic River,108900.0,01/01/2011,12/31/2011
Applied Water Use,Planning Area,301,301,2012,Agriculture,593700.0000000001,01/01/2012,12/31/2012
Applied Water Use,Planning Area,301,301,2012,Instream Flow Requirements,4900.0,01/01/2012,12/31/2012
Applied Water Use,Planning Area,301,301,2012,Managed Wetlands,0.0,01/01/2012,12/31/2012
Applied Water Use,Planning Area,301,301,2012,Required Delta Outflow,0.0,01/01/2012,12/31/2012
Applied Water Use,Planning Area,301,301,2012,Urban,130399.99999999994,01/01/2012,12/31/2012
Applied Water Use,Planning Area,301,301,2012,Wild and Scenic River,30100.0,01/01/2012,12/31/2012
Applied Water Use,Planning Area,301,301,2013,Agriculture,650900.0000000001,01/01/2013,12/31/2013
Applied Water Use,Planning Area,301,301,2013,Instream Flow Requirements,4200.0,01/01/2013,12/31/2013
Applied Water Use,Planning Area,301,301,2013,Managed Wetlands,400.0,01/01/2013,12/31/2013
Applied Water Use,Planning Area,301,301,2013,Required Delta Outflow,0.0,01/01/2013,12/31/2013
Applied Water Use,Planning Area,301,301,2013,Urban,130000.00000000003,01/01/2013,12/31/2013
Applied Water Use,Planning Area,301,301,2013,Wild and Scenic River,43400.0,01/01/2013,12/31/2013
Applied Water Use,Planning Area,301,301,2014,Agriculture,620700.0,01/01/2014,12/31/2014
Applied Water Use,Planning Area,301,301,2014,Instream Flow Requirements,2600.0,01/01/2014,12/31/2014
Applied Water Use,Planning Area,301,301,2014,Managed Wetlands,400.0,01/01/2014,12/31/2014
Applied Water Use,Planning Area,301,301,2014,Required Delta Outflow,0.0,01/01/2014,12/31/2014
Applied Water Use,Planning Area,301,301,2014,Urban,123100.00000000001,01/01/2014,12/31/2014
Applied Water Use,Planning Area,301,301,2014,Wild and Scenic River,13200.0,01/01/2014,12/31/2014
Applied Water Use,Planning Area,301,301,2015,Agriculture,625000.0,01/01/2015,12/31/2015
Applied Water Use,Planning Area,301,301,2015,Instream Flow Requirements,3800.0,01/01/2015,12/31/2015
Applied Water Use,Planning Area,301,301,2015,Managed Wetlands,400.0,01/01/2015,12/31/2015
Applied Water Use,Planning Area,301,301,2015,Required Delta Outflow,0.0,01/01/2015,12/31/2015
Applied Water Use,Planning Area,301,301,2015,Urban,114820.00000000001,01/01/2015,12/31/2015
Applied Water Use,Planning Area,301,301,2015,Wild and Scenic River,28700.0,01/01/2015,12/31/2015
Applied Water Use,Planning Area,302,302,2011,Agriculture,379400.0,01/01/2011,12/31/2011
Applied Water Use,Planning Area,302,302,2011,Instream Flow Requirements,20300.0,01/01/2011,12/31/2011
Applied Water Use,Planning Area,302,302,2011,Managed Wetlands,0.0,01/01/2011,12/31/2011
Applied Water Use,Planning Area,302,302,2011,Required Delta Outflow,0.0,01/01/2011,12/31/2011
Applied Water Use,Planning Area,302,302,2011,Urban,126399.99999999999,01/01/2011,12/31/2011
Applied Water Use,Planning Area,302,302,2011,Wild and Scenic River,45900.0,01/01/2011,12/31/2011
Applied Water Use,Planning Area,302,302,2012,Agriculture,413900.00000000006,01/01/2012,12/31/2012
Applied Water Use,Planning Area,302,302,2012,Instream Flow Requirements,20300.0,01/01/2012,12/31/2012
Applied Water Use,Planning Area,302,302,2012,Managed Wetlands,0.0,01/01/2012,12/31/2012
Applied Water Use,Planning Area,302,302,2012,Required Delta Outflow,0.0,01/01/2012,12/31/2012
Applied Water Use,Planning Area,302,302,2012,Urban,143299.99999999994,01/01/2012,12/31/2012
Applied Water Use,Planning Area,302,302,2012,Wild and Scenic River,1200.0,01/01/2012,12/31/2012
Applied Water Use,Planning Area,302,302,2013,Agriculture,602400.0,01/01/2013,12/31/2013
Applied Water Use,Planning Area,302,302,2013,Instream Flow Requirements,20300.0,01/01/2013,12/31/2013
Applied Water Use,Planning Area,302,302,2013,Managed Wetlands,0.0,01/01/2013,12/31/2013
Applied Water Use,Planning Area,302,302,2013,Required Delta Outflow,0.0,01/01/2013,12/31/2013
Applied Water Use,Planning Area,302,302,2013,Urban,150799.99999999994,01/01/2013,12/31/2013
Applied Water Use,Planning Area,302,302,2013,Wild and Scenic River,0.0,01/01/2013,12/31/2013
Applied Water Use,Planning Area,302,302,2014,Agriculture,642300.0,01/01/2014,12/31/2014
Applied Water Use,Planning Area,302,302,2014,Instream Flow Requirements,9400.0,01/01/2014,12/31/2014
Applied Water Use,Planning Area,302,302,2014,Managed Wetlands,0.0,01/01/2014,12/31/2014
Applied Water Use,Planning Area,302,302,2014,Required Delta Outflow,0.0,01/01/2014,12/31/2014
Applied Water Use,Planning Area,302,302,2014,Urban,145599.99999999997,01/01/2014,12/31/2014
Applied Water Use,Planning Area,302,302,2014,Wild and Scenic River,200.0,01/01/2014,12/31/2014
Applied Water Use,Planning Area,302,302,2015,Agriculture,454599.9999999999,01/01/2015,12/31/2015
Applied Water Use,Planning Area,302,302,2015,Instream Flow Requirements,9400.0,01/01/2015,12/31/2015
Applied Water Use,Planning Area,302,302,2015,Managed Wetlands,0.0,01/01/2015,12/31/2015
Applied Water Use,Planning Area,302,302,2015,Required Delta Outflow,0.0,01/01/2015,12/31/2015
Applied Water Use,Planning Area,302,302,2015,Urban,120599.99999999999,01/01/2015,12/31/2015
Applied Water Use,Planning Area,302,302,2015,Wild and Scenic River,0.0,01/01/2015,12/31/2015
Applied Water Use,Planning Area,401,401,2011,Agriculture,312100.0,01/01/2011,12/31/2011
Applied Water Use,Planning Area,401,401,2011,Instream Flow Requirements,3600.0,01/01/2011,12/31/2011
Applied Water Use,Planning Area,401,401,2011,Managed Wetlands,0.0,01/01/2011,12/31/2011
Applied Water Use,Planning Area,401,401,2011,Required Delta Outflow,0.0,01/01/2011,12/31/2011
Applied Water Use,Planning Area,401,401,2011,Urban,226399.99999999997,01/01/2011,12/31/2011
Applied Water Use,Planning Area,401,401,2011,Wild and Scenic River,187700.0,01/01/2011,12/31/2011
Applied Water Use,Planning Area,401,401,2012,Agriculture,288500.0,01/01/2012,12/31/2012
Applied Water Use,Planning Area,401,401,2012,Instream Flow Requirements,3600.0,01/01/2012,12/31/2012
Applied Water Use,Planning Area,401,401,2012,Managed Wetlands,0.0,01/01/2012,12/31/2012
Applied Water Use,Planning Area,401,401,2012,Required Delta Outflow,0.0,01/01/2012,12/31/2012
Applied Water Use,Planning Area,401,401,2012,Urban,254200.0,01/01/2012,12/31/2012
Applied Water Use,Planning Area,401,401,2012,Wild and Scenic River,26200.0,01/01/2012,12/31/2012
Applied Water Use,Planning Area,401,401,2013,Agriculture,425600.0,01/01/2013,12/31/2013
Applied Water Use,Planning Area,401,401,2013,Instream Flow Requirements,3600.0,01/01/2013,12/31/2013
Applied Water Use,Planning Area,401,401,2013,Managed Wetlands,0.0,01/01/2013,12/31/2013
Applied Water Use,Planning Area,401,401,2013,Required Delta Outflow,0.0,01/01/2013,12/31/2013
Applied Water Use,Planning Area,401,401,2013,Urban,259899.99999999997,01/01/2013,12/31/2013
Applied Water Use,Planning Area,401,401,2013,Wild and Scenic River,11800.0,01/01/2013,12/31/2013
Applied Water Use,Planning Area,401,401,2014,Agriculture,474200.0,01/01/2014,12/31/2014
Applied Water Use,Planning Area,401,401,2014,Instream Flow Requirements,3600.0,01/01/2014,12/31/2014
Applied Water Use,Planning Area,401,401,2014,Managed Wetlands,0.0,01/01/2014,12/31/2014
Applied Water Use,Planning Area,401,401,2014,Required Delta Outflow,0.0,01/01/2014,12/31/2014
Applied Water Use,Planning Area,401,401,2014,Urban,265200.0,01/01/2014,12/31/2014
Applied Water Use,Planning Area,401,401,2014,Wild and Scenic River,25600.0,01/01/2014,12/31/2014
Applied Water Use,Planning Area,401,401,2015,Agriculture,315200.0,01/01/2015,12/31/2015
Applied Water Use,Planning Area,401,401,2015,Instream Flow Requirements,3600.0,01/01/2015,12/31/2015
Applied Water Use,Planning Area,401,401,2015,Managed Wetlands,0.0,01/01/2015,12/31/2015
Applied Water Use,Planning Area,401,401,2015,Required Delta Outflow,0.0,01/01/2015,12/31/2015
Applied Water Use,Planning Area,401,401,2015,Urban,212000.0,01/01/2015,12/31/2015
Applied Water Use,Planning Area,401,401,2015,Wild and Scenic River,12300.0,01/01/2015,12/31/2015
Applied Water Use,Planning Area,402,402,2011,Agriculture,9200.000000000002,01/01/2011,12/31/2011
Applied Water Use,Planning Area,402,402,2011,Instream Flow Requirements,0.0,01/01/2011,12/31/2011
Applied Water Use,Planning Area,402,402,2011,Managed Wetlands,25800.0,01/01/2011,12/31/2011
Applied Water Use,Planning Area,402,402,2011,Required Delta Outflow,0.0,01/01/2011,12/31/2011
Applied Water Use,Planning Area,402,402,2011,Urban,1478300.0,01/01/2011,12/31/2011
Applied Water Use,Planning Area,402,402,2011,Wild and Scenic River,0.0,01/01/2011,12/31/2011
Applied Water Use,Planning Area,402,402,2012,Agriculture,5100.0,01/01/2012,12/31/2012
Applied Water Use,Planning Area,402,402,2012,Instream Flow Requirements,0.0,01/01/2012,12/31/2012
Applied Water Use,Planning Area,402,402,2012,Managed Wetlands,28300.0,01/01/2012,12/31/2012
Applied Water Use,Planning Area,402,402,2012,Required Delta Outflow,0.0,01/01/2012,12/31/2012
Applied Water Use,Planning Area,402,402,2012,Urban,1470199.9999999998,01/01/2012,12/31/2012
Applied Water Use,Planning Area,402,402,2012,Wild and Scenic River,0.0,01/01/2012,12/31/2012
Applied Water Use,Planning Area,402,402,2013,Agriculture,6799.999999999999,01/01/2013,12/31/2013
Applied Water Use,Planning Area,402,402,2013,Instream Flow Requirements,0.0,01/01/2013,12/31/2013
Applied Water Use,Planning Area,402,402,2013,Managed Wetlands,25600.0,01/01/2013,12/31/2013
