Water Use by Basin,UseType,Source,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Green River Planning  Basin,Agricultural Consumptive Use,Ground Water,2146.650264,2409.417943,1865.810695,2829.314349,3065.076946,3260.851711,2745.512765,2173.316877,2936.011022,3407.016422,3058.851513,3507.922837,2151.805889,2465.718828,3650.255582,3051.02439,3602.561511,4003.0805,3679.037634,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Green River Planning  Basin,Municipal  Use,Total,21750,21757.84141,21971.4667,22135.76913,22484.12147,22761.91,23128.8739,23613.42247,24067.07089,24623.17507,24893.37664,25058.24708,15131.84346,27150.88158,17613.70771,14591.44463,15162.23055,14565.94912,14494.90622,0,0,0,0,0,0,0,0,0,0,0,0
Green River Planning  Basin,Municipal  Use,Cross Basin Diversion,14400,14523.87328,14631.0506,14771.08127,14997.55395,15300,15470.68493,15604.93151,15843.56164,16070.68493,16406.57534,16520.27397,6409,18424,8887,5908,6553,6093,6093,0,0,0,0,0,0,0,0,0,0,0,0
Green River Planning  Basin,Municipal  Use,Surface Water,6539,6431.547751,6511.805295,6517.111579,6609.639905,6577.91,6737.428577,7015.085023,7176.713205,7448.36539,7369.985458,7425.971124,7573.643459,7589.059802,7565.691872,7535.995127,7471.408766,7361.384762,7292.092359,0,0,0,0,0,0,0,0,0,0,0,0
Green River Planning  Basin,Municipal  Use,Ground Water,811,802.4203786,828.6108018,847.5762806,876.9276169,884,920.760396,993.4059406,1046.79604,1104.124752,1116.815842,1112.00198,1149.2,1137.821782,1161.015842,1147.449505,1137.821782,1111.564356,1109.813861,0,0,0,0,0,0,0,0,0,0,0,0
Green River Planning  Basin,Domestic Use,Total,2904.421039,2857.43465,2895.615494,2900.828377,2944.715214,3041.022584,3117.271464,3251.403749,3331.29714,3460.284234,3427.840942,3451.708914,3522.812603,3527.743412,3521.240461,3505.947809,3475.934191,3423.195978,3392.39629,0,0,0,0,0,0,0,0,0,0,0,0
Green River Planning  Basin,Domestic Use,Surface Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Green River Planning  Basin,Domestic Use,Ground Water,2904.421039,2857.43465,2895.615494,2900.828377,2944.715214,3041.022584,3117.271464,3251.403749,3331.29714,3460.284234,3427.840942,3451.708914,3522.812603,3527.743412,3521.240461,3505.947809,3475.934191,3423.195978,3392.39629,0,0,0,0,0,0,0,0,0,0,0,0
Green River Planning  Basin,Industrial Use,Total,68050,68111.13486,65110.88861,64321.41232,66733.92341,58819,58826.73291,59310.52281,59833.44784,57062.57988,58385.50874,54849.9982,56059.181,59560.93261,56223.04865,54734.77062,49021.63094,49656.1626,45122.91605,0,0,0,0,0,0,0,0,0,0,0,0
Green River Planning  Basin,Industrial Use,Surface Water,66475,66475,63371.78265,62582.02318,64950.60398,56865,56673.59473,56870.98537,57345.14809,54558.15609,55846.19623,52429.2363,53666.20316,57312.34701,53997.54042,52421.19632,46835.58866,47465.66749,42997.78506,0,0,0,0,0,0,0,0,0,0,0,0
Green River Planning  Basin,Industrial Use,Ground Water,1575,1636.134864,1739.105961,1739.389136,1783.319431,1954,2153.138181,2439.537439,2488.299755,2504.423788,2539.312503,2420.761892,2392.977842,2248.585599,2225.508231,2313.574305,2186.042276,2190.495113,2125.130994,0,0,0,0,0,0,0,0,0,0,0,0
Northeast River Planning Basin,Agricultural Consumptive Use,Total,40725.8424,63464.8959,46953.9549,54803.9538,38598.8346,61068.1464,39366.8253,50187.4191,73411.83585,69919.7976,93560.8536,82824.4467,36489.0078,91454.463,104377.1522,105183.8001,66102.1794,67572.873,161675.7872,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Northeast River Planning Basin,Agricultural Consumptive Use,Surface Water,32984.116,51400.6185,38028.3035,44386.067,31261.439,49459.476,31883.4395,40647.1065,59456.70775,56628.484,75775.524,67080.0405,29552.677,74069.545,84535.71225,85189.0215,53536.571,54727.695,130942.2373,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Northeast River Planning Basin,Agricultural Consumptive Use,Ground Water,7741.7264,12064.2774,8925.6514,10417.8868,7337.3956,11608.6704,7483.3858,9540.3126,13955.1281,13291.3136,17785.3296,15744.4062,6936.3308,17384.918,19841.4399,19994.7786,12565.6084,12845.178,30733.5499,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Northeast River Planning Basin,Municipal  Use,Total,2213.1,2239.43734,2320.052504,2346.542525,2372.803525,2424.333105,2515.177844,2653.887837,2728.090431,2878.022422,2972.531487,3004.212635,3078.186209,3103.454788,3118.722811,3186.512835,3164.908582,3013.98417,3151.320041,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!
Northeast River Planning Basin,Municipal  Use,Surface Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!
Northeast River Planning Basin,Municipal  Use,Ground Water,2213.1,2239.43734,2320.052504,2346.542525,2372.803525,2424.333105,2515.177844,2653.887837,2728.090431,2878.022422,2972.531487,3004.212635,3078.186209,3103.454788,3118.722811,3186.512835,3164.908582,3013.98417,3151.320041,0,0,0,0,0,0,0,0,0,0,0,0
Northeast River Planning Basin,Domestic Use,Total,1866.299704,1911.756166,1999.638658,2027.001666,2050.175548,2109.7146,2204.014475,2328.796919,2400.368563,2561.783567,2669.185599,2708.84859,2796.731082,2819.815834,2836.126682,2906.628763,2878.017931,2723.822483,2843.524498,0,0,0,0,0,0,0,0,0,0,0,0
Northeast River Planning Basin,Domestic Use,Surface Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northeast River Planning Basin,Domestic Use,Ground Water,1866.299704,1911.756166,1999.638658,2027.001666,2050.175548,2109.7146,2204.014475,2328.796919,2400.368563,2561.783567,2669.185599,2708.84859,2796.731082,2819.815834,2836.126682,2906.628763,2878.017931,2723.822483,2843.524498,0,0,0,0,0,0,0,0,0,0,0,0
Northeast River Planning Basin,Industrial Use,Total,33578.82924,41405.63642,36726.39787,34663.88475,30352.60054,24222.40695,23966.46709,17573.45414,15125.18908,11035.12325,8805.983671,6596.276748,5287.746153,4465.455143,4111.289147,3886.542397,2904.866157,3048.494355,2722.732152,0,0,0,0,0,0,0,0,0,0,0,0
Northeast River Planning Basin,Industrial Use,Surface Water,381.383973,815.9023081,826.8608468,820.7048918,817.046785,815.6008043,791.4338731,876.536228,870.8277179,844.966787,831.6532662,730.7022819,818.3006201,797.353284,822.537878,803.1270043,691.9014571,757.8197903,650.1527096,0,0,0,0,0,0,0,0,0,0,0,0
Northeast River Planning Basin,Industrial Use,Ground Water,33197.44527,40589.73411,35899.53702,33843.17986,29535.55376,23406.80615,23175.03322,16696.91791,14254.36136,10190.15646,7974.330405,5865.574466,4469.445533,3668.101859,3288.751269,3083.415392,2212.9647,2290.674565,2072.579442,0,0,0,0,0,0,0,0,0,0,0,0
Platte River Planning  Basin,Agricultural Consumptive Use,Total,429575.2704,466411.3344,327414.528,529012.0608,468254.1024,530832.96,397891.8816,479249.6064,524985.6288,611717.2896,602363.8752,599174.8896,348755.904,453428.3424,682536.1824,623392.0128,623345.0592,687987.3024,623984.4,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Platte River Planning  Basin,Agricultural Consumptive Use,Surface Water,387664.342,420906.5454,295470.7738,477399.7168,422569.5262,479042.9625,359072.1,432492.2688,473766.1182,552035.9222,543595.061,540717.2044,314730.0074,409190.2214,615945.4658,562571.6168,562529.2442,620864.7547,563106.2086,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Platte River Planning  Basin,Agricultural Consumptive Use,Ground Water,41910.92844,45504.78905,31943.75421,51612.34399,45684.57621,51789.99755,38819.7816,46757.33764,51219.51061,59681.36743,58768.81424,58457.68519,34025.89661,44238.12105,66590.71662,60820.39596,60815.81499,67122.54775,60878.19141,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Platte River Planning  Basin,Municipal  Use,Total,,,30643.14056,30882.91604,31230.79933,31377.07518,31687.29196,32058.62791,32589.15691,33224.74598,33596.56004,33909.21861,34569.76954,25447.70463,25734.63173,25859.72925,25897.41426,25771.67181,15360.62402,0,0,0,0,0,0,0,0,0,0,0,0
Platte River Planning  Basin,Municipal  Use,Surface Water,,,10709.83652,10798.84421,10921.1611,10972.73886,11082.55622,11215.44965,11405.34645,11632.87923,11753.9599,11872.77418,12110.40274,13605.30995,13849.81882,13899.12181,13986.38578,13942.02081,0,0,0,0,0,0,0,0,0,0,0,0,0
Platte River Planning  Basin,Municipal  Use,Ground Water,,,19933.30404,20084.07183,20309.63823,20404.33632,20604.73574,20843.17827,21183.81046,21591.86675,21842.60013,22036.44443,22459.3668,11842.39468,11884.81291,11960.60744,11911.02848,11829.651,15360.62402,0,0,0,0,0,0,0,0,0,0,0,0
Platte River Planning  Basin,Domestic Use,Total,11880.30189,11920.87687,11993.99355,12081.81525,12213.88819,12267.80663,12387.28499,12533.79065,12737.55062,12981.20478,13130.50167,13252.83934,13501.25902,11578.11507,11618.18789,11692.9943,11649.07496,11564.16422,11551.82088,0,0,0,0,0,0,0,0,0,0,0,0
Platte River Planning  Basin,Domestic Use,Surface Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Platte River Planning  Basin,Domestic Use,Ground Water,11880.30189,11920.87687,11993.99355,12081.81525,12213.88819,12267.80663,12387.28499,12533.79065,12737.55062,12981.20478,13130.50167,13252.83934,13501.25902,11578.11507,11618.18789,11692.9943,11649.07496,11564.16422,11551.82088,0,0,0,0,0,0,0,0,0,0,0,0
Platte River Planning  Basin,Industrial Use,Total,81426,85309.07301,84086.06037,80534.53375,84443.53296,87001.95979,89982.62781,95121.65453,95830.65826,89372.74946,107799.2651,114436.4322,117803.0018,129808.2307,147947.586,160753.2175,150149.208,176546.9636,195495.2935,0,0,0,0,0,0,0,0,0,0,0,0
Platte River Planning  Basin,Industrial Use,Surface Water,20550,20664.56078,20598.04394,20942.52595,20747.54426,20979.23665,20902.00065,21196.85584,21425.88667,20463.27908,22540.18507,23575.27905,23760.5366,25828.87006,33148.763,35662.63229,34566.69067,37301.68594,38693.09689,0,0,0,0,0,0,0,0,0,0,0,0
Platte River Planning  Basin,Industrial Use,Ground Water,60876,64644.51223,63488.01643,59592.00781,63695.9887,66022.72314,69080.62716,73924.79869,74404.77159,68909.47037,85259.08008,90861.15312,94042.46519,103979.3607,114798.823,125090.5852,115582.5174,139245.2777,156802.1966,0,0,0,0,0,0,0,0,0,0,0,0
PowderTongue River Planning Basin,Agricultural Consumptive Use,Total,136070.586,103828.2053,123576.5498,159634.6673,125798.256,182218.3988,77522.5035,169000.1213,177481.791,155279.4233,197401.5743,206904.1793,105070.2615,180814.7003,196632.549,164828.9115,177678.4208,242820.9473,267222.6293,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
PowderTongue River Planning Basin,Agricultural Consumptive Use,Surface Water,135915.3713,103709.7692,123435.5869,159452.5732,125654.7589,182010.5436,77434.07415,168807.3441,177279.3388,155102.2972,197176.3997,206668.1652,104950.4086,180608.4463,196408.2517,164640.8924,177475.7443,242543.9632,266917.8104,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
PowderTongue River Planning Basin,Agricultural Consumptive Use,Ground Water,155.2147161,118.4360696,140.9628609,182.0940901,143.4971448,207.8551865,88.42934923,192.7771946,202.4521729,177.1260954,225.174523,236.0140746,119.852874,206.2539979,224.2973016,188.0191263,202.676467,276.9840675,304.8188866,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
PowderTongue River Planning Basin,Municipal  Use,Total,3407.663319,3414.468568,3452.618019,3471.904486,3476.319778,3599.414035,3643.170485,3721.297849,3814.161844,3878.418667,3888.571623,3905.668387,3933.852492,3959.847199,3967.868631,3976.35393,3975.992504,3981.578858,3990.596317,0,0,0,0,0,0,0,0,0,0,0,0
PowderTongue River Planning Basin,Municipal  Use,Surface Water,3092.11879,3098.047528,3130.937903,3147.594832,3151.133612,3271.598331,3311.848731,3379.457943,3462.6803,3522.55456,3533.584029,3548.051255,3577.988385,3600.477043,3608.498475,3615.230748,3611.363272,3616.949626,3618.954984,0,0,0,0,0,0,0,0,0,0,0,0
PowderTongue River Planning Basin,Municipal  Use,Ground Water,315.544528,316.4210406,321.6801161,324.3096538,325.1861664,327.8157041,331.3217544,341.8399054,351.4815437,355.8641066,354.987594,357.6171318,355.8641066,359.3701569,359.3701569,361.1231821,364.6292324,364.6292324,371.641333,0,0,0,0,0,0,0,0,0,0,0,0
PowderTongue River Planning Basin,Domestic Use,Total,3348.166033,3354.525175,3390.353514,3408.345234,3412.067659,3542.507629,3586.09102,3659.298708,3749.412409,3814.244642,3826.187421,3841.852626,3874.268742,3898.619605,3907.305263,3914.595011,3910.407283,3916.456224,3918.627638,0,0,0,0,0,0,0,0,0,0,0,0
PowderTongue River Planning Basin,Domestic Use,Surface Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PowderTongue River Planning Basin,Domestic Use,Ground Water,3348.166033,3354.525175,3390.353514,3408.345234,3412.067659,3542.507629,3586.09102,3659.298708,3749.412409,3814.244642,3826.187421,3841.852626,3874.268742,3898.619605,3907.305263,3914.595011,3910.407283,3916.456224,3918.627638,0,0,0,0,0,0,0,0,0,0,0,0
PowderTongue River Planning Basin,Industrial Use,Total,21780.30089,33326.36021,45697.15296,40520.07128,41304.16111,49254.41805,63088.27503,66507.90314,72071.97155,62193.71054,60246.4978,56981.7237,45891.30729,40178.17119,38206.60609,33235.19055,28430.72087,27669.93023,26409.08542,0,0,0,0,0,0,0,0,0,0,0,0
PowderTongue River Planning Basin,Industrial Use,Surface Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PowderTongue River Planning Basin,Industrial Use,Ground Water,21780.30089,33326.36021,45697.15296,40520.07128,41304.16111,49254.41805,63088.27503,66507.90314,72071.97155,62193.71054,60246.4978,56981.7237,45891.30729,40178.17119,38206.60609,33235.19055,28430.72087,27669.93023,26409.08542,0,0,0,0,0,0,0,0,0,0,0,0
SaltSnake River Planning Basin,Agricultural Consumptive Use,Total,66187.545,41815.98375,69550.26,56943.68875,88161.16375,81885.17875,66618.48875,57592.135,75425.98625,87419.30875,72648.99375,86723.48125,57787.075,71114.2925,72892.66875,84207.7625,80303.09625,69104.87625,75841.13625,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
SaltSnake River Planning Basin,Agricultural Consumptive Use,Surface Water,65743.24704,41535.28508,69083.38911,56561.44214,87569.36321,81335.50709,66171.29799,57205.53556,74919.67329,86832.48807,72161.32195,86141.33146,57399.16698,70636.9227,72403.36123,83642.50001,79764.04466,68640.99509,75332.03651,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
SaltSnake River Planning Basin,Agricultural Consumptive Use,Ground Water,444.2979561,280.698674,466.8708949,382.2466074,591.8005399,549.6716574,447.1907576,386.5994406,506.3129556,586.8206806,487.6718035,582.1497907,387.9080167,477.3697953,489.3075237,565.2624942,539.0515925,463.8811619,509.0997381,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
SaltSnake River Planning Basin,Municipal  Use,Total,6478.175608,6543.531218,6597.728553,6676.367824,6817.705973,6895.813898,7046.716282,7223.654641,7418.658779,7526.522103,7554.152118,7594.534446,7790,7996.818938,8151.798142,8208.497851,8272.757521,8297.597394,8258.177596,0,0,0,0,0,0,0,0,0,0,0,0
SaltSnake River Planning Basin,Municipal  Use,Surface Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SaltSnake River Planning Basin,Municipal  Use,Ground Water,6478.175608,6543.531218,6597.728553,6676.367824,6817.705973,6895.813898,7046.716282,7223.654641,7418.658779,7526.522103,7554.152118,7594.534446,7790,7996.818938,8151.798142,8208.497851,8272.757521,8297.597394,8258.177596,0,0,0,0,0,0,0,0,0,0,0,0
SaltSnake River Planning Basin,Domestic Use,Total,2510.242411,2535.5672,2556.568243,2587.040346,2641.807774,2672.073984,2730.547479,2799.10971,2874.672289,2916.468484,2927.174899,2942.822735,1074.67611,1103.207993,1124.588282,1132.410338,1141.275336,1144.702142,1139.26395,0,0,0,0,0,0,0,0,0,0,0,0
SaltSnake River Planning Basin,Domestic Use,Surface Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SaltSnake River Planning Basin,Domestic Use,Ground Water,2510.242411,2535.5672,2556.568243,2587.040346,2641.807774,2672.073984,2730.547479,2799.10971,2874.672289,2916.468484,2927.174899,2942.822735,1074.67611,1103.207993,1124.588282,1132.410338,1141.275336,1144.702142,1139.26395,0,0,0,0,0,0,0,0,0,0,0,0
SaltSnake River Planning Basin,Industrial Use,Total,112,112,112,112,112,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SaltSnake River Planning Basin,Industrial Use,Surface Water,112,112,112,112,112,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SaltSnake River Planning Basin,Industrial Use,Ground Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WindBighorn River Planning Basin,Agricultural Consumptive Use,Total,880733.2398,907689.5328,782591.173,1024009.464,1045218.761,1090001.781,903845.4243,988923.3491,1038025.816,1122973.406,988685.6798,1009416.572,860045.2816,978982.641,1172696.88,1126434.177,1298422.38,1334068.167,1432484.704,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
WindBighorn River Planning Basin,Agricultural Consumptive Use,Surface Water,874695.9093,901467.4199,777226.5957,1016989.99,1038053.9,1082529.938,897649.6624,982144.3872,1030910.262,1115275.546,981908.3472,1002497.131,854149.7648,972271.8216,1164658.171,1118712.593,1289521.836,1324923.275,1422665.177,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
WindBighorn River Planning Basin,Agricultural Consumptive Use,Ground Water,6037.330428,6222.11288,5364.57725,7019.473338,7164.86076,7471.843485,6195.761936,6778.961843,7115.553906,7697.860383,6777.332646,6919.440653,5895.516728,6710.819372,8038.70938,7721.583591,8900.543988,9144.891978,9819.526616,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
WindBighorn River Planning Basin,Municipal  Use,Total,,,13665.75521,13633.05989,13686.4964,13756.56141,13811.81205,14040.6648,14186.42795,13428,13652.78515,13707.14659,13816.57947,13879.62975,13774.8252,13748.51686,13749.38767,13674.64208,13536.94189,0,0,0,0,0,0,0,0,0,0,0,0
WindBighorn River Planning Basin,Municipal  Use,Surface Water,,,4373.041666,4380.470324,4400.202695,4438.971,4494.22164,4561.775993,4631.303583,7728,7875.122057,7922.893902,8014.440745,8047.367156,8000.927593,7961.910748,7999.024333,7972.759334,7896.248251,0,0,0,0,0,0,0,0,0,0,0,0
WindBighorn River Planning Basin,Municipal  Use,Ground Water,,,9292.713541,9252.589562,9286.293704,9317.590408,9317.590408,9478.888804,9555.124364,5700,5777.663088,5784.252684,5802.138728,5832.262593,5773.897605,5786.606111,5750.363336,5701.882742,5640.693642,0,0,0,0,0,0,0,0,0,0,0,0
WindBighorn River Planning Basin,Domestic Use,Total,,,9433.823665,9436.505089,9477.109507,9548.550299,9639.71871,9789.686915,9922.608925,7876.85169,8017.013447,8056.611385,8134.163573,8169.577578,8114.588743,8087.990883,8105.623173,8069.611463,7990.116735,0,0,0,0,0,0,0,0,0,0,0,0
WindBighorn River Planning Basin,Domestic Use,Surface Water,,,2452.794153,2453.491323,2464.048472,2482.623078,2506.326865,2545.318598,2579.878321,2047.981439,2084.423496,2094.71896,2114.882529,2124.09017,2109.793073,2102.87763,2107.462025,2098.09898,2077.430351,0,0,0,0,0,0,0,0,0,0,0,0
WindBighorn River Planning Basin,Domestic Use,Ground Water,,,6981.029512,6983.013766,7013.061035,7065.927221,7133.391845,7244.368317,7342.730605,5828.870251,5932.589951,5961.892425,6019.281044,6045.487408,6004.79567,5985.113254,5998.161148,5971.512483,5912.686384,0,0,0,0,0,0,0,0,0,0,0,0
