MethodUUID,OrganizationUUID,SiteUUID,VariableSpecificUUID,WaterSourceUUID,Amount,AllocationCropDutyAmount,AssociatedNativeAllocationIDs,BeneficialUseCategory,CommunityWaterSupplySystem,CropTypeCV,CustomerTypeCV,DataPublicationDate,DataPublicationDOI,Geometry,IrrigatedAcreage,IrrigationMethodCV,PopulationServed,PowerGeneratedGWh,PowerType,PrimaryUseCategory,ReportYearCV,SDWISIdentifier,TimeframeEnd,TimeframeStart
UDWR_Water Use Data,UDWR,UTSS_S1,UDWR_Site Specific Withdrawal,UTSS_WS1,172.77812769999997,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,2008,,2008-12-31,2008-01-01
UDWR_Water Use Data,UDWR,UTSS_S1,UDWR_Site Specific Withdrawal,UTSS_WS1,166.3334729,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,2009,,2009-12-31,2009-01-01
UDWR_Water Use Data,UDWR,UTSS_S1,UDWR_Site Specific Withdrawal,UTSS_WS1,249.9605418,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,2010,,2010-12-31,2010-01-01
UDWR_Water Use Data,UDWR,UTSS_S1,UDWR_Site Specific Withdrawal,UTSS_WS1,230.69515550000003,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,2011,,2011-12-31,2011-01-01
UDWR_Water Use Data,UDWR,UTSS_S1,UDWR_Site Specific Withdrawal,UTSS_WS1,290.3943383,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,2012,,2012-12-31,2012-01-01
UDWR_Water Use Data,UDWR,UTSS_S1,UDWR_Site Specific Withdrawal,UTSS_WS1,288.923085,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,2013,,2013-12-31,2013-01-01
UDWR_Water Use Data,UDWR,UTSS_S1,UDWR_Site Specific Withdrawal,UTSS_WS1,285.8542017,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,2014,,2014-12-31,2014-01-01
UDWR_Water Use Data,UDWR,UTSS_S1,UDWR_Site Specific Withdrawal,UTSS_WS1,182.8835622,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,2015,,2015-12-31,2015-01-01
UDWR_Water Use Data,UDWR,UTSS_S1,UDWR_Site Specific Withdrawal,UTSS_WS1,184.2826354,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,2016,,2016-12-31,2016-01-01
UDWR_Water Use Data,UDWR,UTSS_S1,UDWR_Site Specific Withdrawal,UTSS_WS1,200.9310632,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,2017,,2017-12-31,2017-01-01
UDWR_Water Use Data,UDWR,UTSS_S1,UDWR_Site Specific Withdrawal,UTSS_WS1,217.3437149,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,2018,,2018-12-31,2018-01-01
UDWR_Water Use Data,UDWR,UTSS_S1,UDWR_Site Specific Withdrawal,UTSS_WS1,243.80506890000004,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,2019,,2019-12-31,2019-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,1260.407306,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1979,,1979-12-31,1979-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,1377.183355,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1980,,1980-12-31,1980-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,1453.999769,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1981,,1981-12-31,1981-01-01
UDWR_Water Use Data,UDWR,UTSS_S5,UDWR_Site Specific Withdrawal,UTSS_WS5,1453.999769,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1981,,1981-12-31,1981-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,1556.851328,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1982,,1982-12-31,1982-01-01
UDWR_Water Use Data,UDWR,UTSS_S5,UDWR_Site Specific Withdrawal,UTSS_WS5,1556.851328,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1982,,1982-12-31,1982-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,1451.931198,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1983,,1983-12-31,1983-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,1515.731574,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1984,,1984-12-31,1984-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,1841.264492,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1985,,1985-12-31,1985-01-01
UDWR_Water Use Data,UDWR,UTSS_S5,UDWR_Site Specific Withdrawal,UTSS_WS5,1841.264492,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1985,,1985-12-31,1985-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,1810.502939,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1986,,1986-12-31,1986-01-01
UDWR_Water Use Data,UDWR,UTSS_S5,UDWR_Site Specific Withdrawal,UTSS_WS5,1810.502939,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1986,,1986-12-31,1986-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,1900.120554,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1987,,1987-12-31,1987-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,2078.999769,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1988,,1988-12-31,1988-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,2052.000928,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1989,,1989-12-31,1989-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,1819.001267,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1990,,1990-12-31,1990-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,1837.001517,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1991,,1991-12-31,1991-01-01
UDWR_Water Use Data,UDWR,UTSS_S6,UDWR_Site Specific Withdrawal,UTSS_WS6,1837.001517,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1991,,1991-12-31,1991-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,1861.999308,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1992,,1992-12-31,1992-01-01
UDWR_Water Use Data,UDWR,UTSS_S6,UDWR_Site Specific Withdrawal,UTSS_WS6,1861.999308,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1992,,1992-12-31,1992-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,1715.999322,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1993,,1993-12-31,1993-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,2087.559479,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1994,,1994-12-31,1994-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,1925.501981,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1995,,1995-12-31,1995-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,2124.999386,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1996,,1996-12-31,1996-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,2064.001095,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1997,,1997-12-31,1997-01-01
UDWR_Water Use Data,UDWR,UTSS_S6,UDWR_Site Specific Withdrawal,UTSS_WS6,2064.001095,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1997,,1997-12-31,1997-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,6.165814686,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1998,,1998-12-31,1998-01-01
UDWR_Water Use Data,UDWR,UTSS_S6,UDWR_Site Specific Withdrawal,UTSS_WS6,6.165814686,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1998,,1998-12-31,1998-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,2263.977279,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1999,,1999-12-31,1999-01-01
UDWR_Water Use Data,UDWR,UTSS_S6,UDWR_Site Specific Withdrawal,UTSS_WS6,2263.977279,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1999,,1999-12-31,1999-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,2471.168908,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,2000,,2000-12-31,2000-01-01
UDWR_Water Use Data,UDWR,UTSS_S6,UDWR_Site Specific Withdrawal,UTSS_WS6,2471.168908,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,2000,,2000-12-31,2000-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,2467.0,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,2001,,2001-12-31,2001-01-01
UDWR_Water Use Data,UDWR,UTSS_S6,UDWR_Site Specific Withdrawal,UTSS_WS6,2467.0,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,2001,,2001-12-31,2001-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,2306.0,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,2002,,2002-12-31,2002-01-01
UDWR_Water Use Data,UDWR,UTSS_S6,UDWR_Site Specific Withdrawal,UTSS_WS6,2306.0,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,2002,,2002-12-31,2002-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,2323.0,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,2003,,2003-12-31,2003-01-01
UDWR_Water Use Data,UDWR,UTSS_S5,UDWR_Site Specific Withdrawal,UTSS_WS5,2323.0,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,2003,,2003-12-31,2003-01-01
UDWR_Water Use Data,UDWR,UTSS_S6,UDWR_Site Specific Withdrawal,UTSS_WS6,2323.0,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,2003,,2003-12-31,2003-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,2299.0,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,2004,,2004-12-31,2004-01-01
UDWR_Water Use Data,UDWR,UTSS_S5,UDWR_Site Specific Withdrawal,UTSS_WS5,2299.0,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,2004,,2004-12-31,2004-01-01
UDWR_Water Use Data,UDWR,UTSS_S6,UDWR_Site Specific Withdrawal,UTSS_WS6,2299.0,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,2004,,2004-12-31,2004-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,2233.0,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,2005,,2005-12-31,2005-01-01
UDWR_Water Use Data,UDWR,UTSS_S5,UDWR_Site Specific Withdrawal,UTSS_WS5,2233.0,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,2005,,2005-12-31,2005-01-01
UDWR_Water Use Data,UDWR,UTSS_S6,UDWR_Site Specific Withdrawal,UTSS_WS6,2233.0,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,2005,,2005-12-31,2005-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,2472.0,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,2006,,2006-12-31,2006-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,2678.0,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,2007,,2007-12-31,2007-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,2542.4,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,2008,,2008-12-31,2008-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,2190.0,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,2009,,2009-12-31,2009-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,2388.0,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,2010,,2010-12-31,2010-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,2274.35,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,2013,,2013-12-31,2013-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,2174.12,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,2014,,2014-12-31,2014-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,1993.74,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,2015,,2015-12-31,2015-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,2170.87,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,2016,,2016-12-31,2016-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,2155.74,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,2017,,2017-12-31,2017-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,2376.89,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,2018,,2018-12-31,2018-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,2011.07,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,2019,,2019-12-31,2019-01-01
UDWR_Water Use Data,UDWR,UTSS_S7,UDWR_Site Specific Withdrawal,UTSS_WS7,0.0,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,2007,,2007-12-31,2007-01-01
UDWR_Water Use Data,UDWR,UTSS_S12,UDWR_Site Specific Withdrawal,UTSS_WS12,1258.5797,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,2012,,2012-12-31,2012-01-01
UDWR_Water Use Data,UDWR,UTSS_S14,UDWR_Site Specific Withdrawal,UTSS_WS14,1258.5797,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,2012,,2012-12-31,2012-01-01
UDWR_Water Use Data,UDWR,UTSS_S15,UDWR_Site Specific Withdrawal,UTSS_WS15,950.5973689,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1979,,1979-12-31,1979-01-01
UDWR_Water Use Data,UDWR,UTSS_S19,UDWR_Site Specific Withdrawal,UTSS_WS19,950.5973689,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1979,,1979-12-31,1979-01-01
UDWR_Water Use Data,UDWR,UTSS_S15,UDWR_Site Specific Withdrawal,UTSS_WS15,987.6076025,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1980,,1980-12-31,1980-01-01
UDWR_Water Use Data,UDWR,UTSS_S19,UDWR_Site Specific Withdrawal,UTSS_WS19,987.6076025,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1980,,1980-12-31,1980-01-01
UDWR_Water Use Data,UDWR,UTSS_S15,UDWR_Site Specific Withdrawal,UTSS_WS15,969.3955844,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1981,,1981-12-31,1981-01-01
UDWR_Water Use Data,UDWR,UTSS_S19,UDWR_Site Specific Withdrawal,UTSS_WS19,969.3955844,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1981,,1981-12-31,1981-01-01
UDWR_Water Use Data,UDWR,UTSS_S15,UDWR_Site Specific Withdrawal,UTSS_WS15,965.5592139,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1982,,1982-12-31,1982-01-01
UDWR_Water Use Data,UDWR,UTSS_S19,UDWR_Site Specific Withdrawal,UTSS_WS19,965.5592139,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1982,,1982-12-31,1982-01-01
UDWR_Water Use Data,UDWR,UTSS_S15,UDWR_Site Specific Withdrawal,UTSS_WS15,977.3291986,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1983,,1983-12-31,1983-01-01
UDWR_Water Use Data,UDWR,UTSS_S19,UDWR_Site Specific Withdrawal,UTSS_WS19,977.3291986,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1983,,1983-12-31,1983-01-01
UDWR_Water Use Data,UDWR,UTSS_S15,UDWR_Site Specific Withdrawal,UTSS_WS15,908.8085522,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1984,,1984-12-31,1984-01-01
UDWR_Water Use Data,UDWR,UTSS_S19,UDWR_Site Specific Withdrawal,UTSS_WS19,908.8085522,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1984,,1984-12-31,1984-01-01
UDWR_Water Use Data,UDWR,UTSS_S15,UDWR_Site Specific Withdrawal,UTSS_WS15,1035.120284,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1985,,1985-12-31,1985-01-01
UDWR_Water Use Data,UDWR,UTSS_S19,UDWR_Site Specific Withdrawal,UTSS_WS19,1035.120284,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1985,,1985-12-31,1985-01-01
UDWR_Water Use Data,UDWR,UTSS_S15,UDWR_Site Specific Withdrawal,UTSS_WS15,1052.429988,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1986,,1986-12-31,1986-01-01
UDWR_Water Use Data,UDWR,UTSS_S19,UDWR_Site Specific Withdrawal,UTSS_WS19,1052.429988,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1986,,1986-12-31,1986-01-01
UDWR_Water Use Data,UDWR,UTSS_S15,UDWR_Site Specific Withdrawal,UTSS_WS15,1017.67554,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1987,,1987-12-31,1987-01-01
UDWR_Water Use Data,UDWR,UTSS_S19,UDWR_Site Specific Withdrawal,UTSS_WS19,1017.67554,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1987,,1987-12-31,1987-01-01
UDWR_Water Use Data,UDWR,UTSS_S15,UDWR_Site Specific Withdrawal,UTSS_WS15,985.5421006,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1988,,1988-12-31,1988-01-01
UDWR_Water Use Data,UDWR,UTSS_S19,UDWR_Site Specific Withdrawal,UTSS_WS19,985.5421006,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1988,,1988-12-31,1988-01-01
UDWR_Water Use Data,UDWR,UTSS_S15,UDWR_Site Specific Withdrawal,UTSS_WS15,1016.122577,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1989,,1989-12-31,1989-01-01
UDWR_Water Use Data,UDWR,UTSS_S19,UDWR_Site Specific Withdrawal,UTSS_WS19,1016.122577,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1989,,1989-12-31,1989-01-01
UDWR_Water Use Data,UDWR,UTSS_S15,UDWR_Site Specific Withdrawal,UTSS_WS15,990.8148083,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1990,,1990-12-31,1990-01-01
UDWR_Water Use Data,UDWR,UTSS_S19,UDWR_Site Specific Withdrawal,UTSS_WS19,990.8148083,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1990,,1990-12-31,1990-01-01
UDWR_Water Use Data,UDWR,UTSS_S20,UDWR_Site Specific Withdrawal,UTSS_WS20,990.8148083,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1990,,1990-12-31,1990-01-01
UDWR_Water Use Data,UDWR,UTSS_S15,UDWR_Site Specific Withdrawal,UTSS_WS15,948.7773948,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1991,,1991-12-31,1991-01-01
