Basin_Subbasin_Number,Basin_Subbasin_Name,Hydrologic_Region,Region_Office,Basin_Area_Acres,Basin_Area_SqMi,Project_Phase,C1_Population_Census,C1_Population_SqMi,C1_Priority_Points,C2_Population_Projection,C2_Population_Growth,C2_Zero_2010_Population,C2_Negative_or_No_Growth,C2_Postive_Growth_and_2010_Pop_1000,C2_Density_50_and_2010_Population_25000,C2_Priority_Points,C3_Public_Supply_Groundwater_Wells,C3_Public_Supply_Wells_SqMi,C3_Priority_Points,C4_Total_Groundwater_Wells,C4_Production_Wells_SqMi,C4_Priority_Points,C5_Irrigated_Acres,C5_Irrigated_Acres_SqMi,C5_Priority_Points,C6_Agricultural_Groundwater_AF,C6_Agricultural_ Surface_ Water_AF,C6_Agricultural_Total_Applied_Water_AF,C6_Agricultural_Groundwater_Percent_Supply,C6_Agricultural_Surface_Water_Percent_Supply,C6_Urban_Groundwater_AF,C6_Urban_Surface_Water_AF,C6_Urban_Purchased_Surface_Water_AF,C6_Urban_Total_Water_Use_AF,C6_Urban_Groundwater_Percent_Supply,C6_Urban_Surface&Purchased_Water_Percent_Supply,C6_Other_Groundwater,C6_Other_Surface_Water,C6_Groundwater_Use_AF,C6_Surface_Water_Use_AF,C6_Total_Water_Use_AF,C6a_Groundwater_Use_AF_BasinAcre,C6a_Points,C6b_Groundwater_Percent_Supply,C6b_Surface_Water_Percent_Supply,C6b_Points,C6_Priority_Points,C7_Impacts_Declining_Groundwater_Levels_Points,C7_Impacts_Declining_Groundwater_Levels_Comment,C7_Impacts_Subsidence_Points,C7_Impacts_Subsidence_Comment,C7_Impacts_Salt_Intrusion_Points,C7_Impacts_Salt_Intrusion_Comment,C7_Impacts_WQ_Detects,C7_WQ_MCL_Exceed,C7_WQ_Average_MCL_Exceedance,C7_WQ_Average_MCL_Exceed_Points,C7_WQ_Unique_Wells_Excd,C7_WQ_Wells_Excd_Per_PSW,C7_WQ_Wells_Excd_Per_PSW_Points,C7_WQ_Calculated_Points,C7_WQ_Other,C7_Impacts_Water_Quality_Points,C7_Impacts_Water_Quality_Comment,C7_Impacts_Total_Points,C7_Priority_Points,C8a_Streamflow_Points,C8a_Habitat_Points,C8a_Monitoring,C8a_Monitoring_and_GroundwaterThreshold_Adverse,C8a_Adverse_Adjustment,C8a_AdverseComment,C8a_HabitatSF_Priority_Points,C8b_BasinOtherInfo_Priority_Points,C8b_BasinOtherInfoComment,C8a_and_C8b_Priority_Points,C8c_2kGroundwater,C8c_9.5kGW_NoDocImpacts,C8c_Adjudication,C8c_Groundwater_NonAdj_AF,C8c_9.5kGW_NonAdj,C8c_CriticalOverdraft,C8c_OutOfBasinGWExports_SubstitutionTransfers,Substitution_Year,Substitution_Amt,Substitution_PriorityPoints,Total_Priority_Points,Priority,Priority_Change_2014_to_2018
1-009,Eureka Plain,North Coast,NRO,38795.38517,60.61778933,1,"50,327",830,2,"53,389",6.08,FALSE,FALSE,FALSE,FALSE,2,4,0.06,1,235,3.87,2,"2,339",38.58,2,5738,2798,8536,67.2,32.8,1055,0,6223,7278,14.5,85.5,0,0,6793,9021,15814,0.17,2,42,57,3,2.5, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,"1) The City of Eureka does not use or plan to use groundwater as a source of water. 
Source: 1-009_7c_Eureka_2015 UWMP FINAL_11 28 16.pdf",87,0,0,0,0,0,0,0,0,0,0,0,0,1,1,TRUE,Monitored with no Declining GW Levels,0,,0,0,,0,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
1-010,Eel River Valley,North Coast,NRO,72956.68197,113.9948156,1,"23,384",205,1,"25,835",10.48,FALSE,FALSE,FALSE,FALSE,2,25,0.21,2,499,4.37,2,"13,446",117.95,3,40848,916.43,41764.43,97.8,2.2,2602,280,0,2882,90.3,9.7,0,428,43450,1624.43,45074.43,0.59,4,96,3,5,4.5, -   ,"No documented Groundwater Level Declines
Source: 1-010_7a_Hydrographs.pdf

2) GSP Alternative submitted and accepted 12/2016 states GWLs have been stable for the last 10 years.
Source: 1-010_7a_20161230 EelRiverGWAltPlan-rpt-Final.zip",0,No documented groundwater extraction induced inelastic Subsidence,0,"1) Seawater Intrusion Conditions: The principal aquifers within the Basin are in good hydrologic connection with the ocean along approximately 10 miles of coastline. The westernmost portion of the valley consists of a broad, low-lying coastal plain within intertidal/brackish marsh and wetlands. The tidal influence within the Eel River extends upstream of Fernbridge approximately 12 miles inland from the mouth.
Source: 1-010_7c_EelRiverGWAltPlan-rpt-Final-20161230.pdf pg. 20

2) Chloride concentrations in excess of the 250 milligrams per liter drinking-water recommendation are reported in water from wells near the Eel River as much as 4 miles inland from the Pacific Ocean, suggesting that the source of the chloride is brackish water from the tidal reaches of the river.
Source: Various_7c_CoastalBasins-USGS_GW_Atlas1995(HA730-B_CoastalBasinsAquifers).pdf  pg. 4",343,33,12.42,5,9,0.36,1,6,0,2,0,2,0,1,1,TRUE,Monitored with no Declining GW Levels,0,,0,0,,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,14.5,Medium,No Change
1-011,Covelo Round Valley,North Coast,NRO,16408.92448,25.63894451,1,"1,968",77,1,"2,993",52.08,FALSE,FALSE,FALSE,FALSE,5,5,0.19,2,256,9.98,3,"1,599",62.36,2,2299,750,3049,75.4,24.6,453,0,0,453,100,0,0,0,2752,750,3502,0.16,2,78,21,4,3, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,168,7,5.96,4,1,0.2,1,5,0,1,0,1,0,1,1,TRUE,Monitored with no Declining GW Levels,0,,0,0,,0,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
1-012,Laytonville Valley,North Coast,NRO,5023.704154,7.849537742,1,"1,167",149,1,"1,167",0,FALSE,TRUE,FALSE,FALSE,0,2,0.25,3,128,16.3,4,865,110.19,3,449,3583,4032,11.1,88.9,189,0,0,189,100,0,0,0,638,3583,4221,0.12,2,15,84,1,1.5, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,221,169,8.1,5,2,1,4,9,0,3,0,3,0,1,1,TRUE,Monitored with no Declining GW Levels,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
1-013,Little Lake Valley,North Coast,NRO,10025.46135,15.66478337,1,"5,993",383,2,"5,993",0,FALSE,TRUE,FALSE,FALSE,0,1,0.06,1,204,13.02,4,647,41.3,2,2105,140,2245,93.8,6.2,470,0,0,470,100,0,0,0,2575,140,2715,0.25,3,94,5,5,4, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,TRUE,Monitored with no Declining GW Levels,0,,0,0,,0,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
1-014,Lower Klamath River Valley,North Coast,NRO,7022.090211,10.97201596,1,806,73,1,"1,037",28.66,FALSE,FALSE,TRUE,FALSE,0,13,1.18,5,38,3.46,2,301,27.43,2,245,749,994,24.6,75.4,48,0,0,48,100,0,0,0,293,749,1042,0.04,1,28,71,2,1.5, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,"The Klamath Basin estuary and nearshore marine environment begin at the highest intrusion of saltwater into the basin and extend out into the coastal ocean. ...The length of the estuary is variable, since saltwater intrusion varies seasonally, but significant saltwater influence only extends about 6 km upriver. (Seasonal variation, not due to pumping)
Source: 1-014_7c_SWFSC.noaa.gov-publications-FED-01162-Ch5-FreshwaterandMarineHabitat.pdf  pg. 116",179,4,13.47,5,2,0.15,1,6,0,2,0,2,0,1,1,TRUE,Monitored with no Declining GW Levels,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
1-015,Happy Camp Town Area,North Coast,NRO,2773.262104,4.333222039,1,759,175,1,"1,821",139.92,FALSE,FALSE,TRUE,FALSE,0,0,0,0,9,2.07,2,0,0,0,0,0,0,0,0,51,0,0,51,100,0,0,0,51,0,51,0.01,0,100,0,5,2.5, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,TRUE,Monitored with no Declining GW Levels,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
1-016,Seiad Valley,North Coast,NRO,2245.093663,3.507958848,1,132,38,1,241,82.57,FALSE,FALSE,TRUE,TRUE,0,1,0.28,3,25,7.12,3,0,0,0,0,0,0,0,0,8,0,0,8,100,0,0,0,8,0,8,0,0,100,0,5,2.5, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,TRUE,Monitored with no Declining GW Levels,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
1-017,Bray Town Area,North Coast,NRO,8032.381287,12.55059576,1,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,0,0,0,0,2,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,FALSE,Not Monitored with < 0.16 ft GW Use,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
1-018,Red Rock Valley,North Coast,NRO,9000.73908,14.06365481,1,23,2,0,23,0,FALSE,TRUE,FALSE,TRUE,0,0,0,0,21,1.49,1,"4,231",300.84,4,9585,82,9667,99.2,0.8,1,0,0,1,100,0,0,0,9586,82,9668,1.06,5,99,0,5,5, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,Not Monitored with > 0.16 ft GW Use,0,,1,0,,1,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,11,Low,No Change
1-019,Anderson Valley,North Coast,NCRO,4972.777047,7.769964138,1,"1,297",167,1,"1,501",15.72,FALSE,FALSE,FALSE,FALSE,3,9,1.15,5,225,28.95,5,899,115.7,3,1196,299,1495,80,20,133,0,0,133,100,0,0,0,1329,299,1628,0.26,3,81,18,5,4, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,336,35,3.87,3,7,0.78,3,6,0,2,0,2,0,1,1,TRUE,Monitored with no Declining GW Levels,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
1-020,Garcia River Valley,North Coast,NCRO,2199.496847,3.436713824,1,118,34,1,118,0,FALSE,TRUE,FALSE,TRUE,0,0,0,0,15,4.36,2,574,167.02,3,1758,439,2197,80,20,6,0,0,6,100,0,0,0,1764,439,2203,0.8,5,80,19,5,5, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,FALSE,Not Monitored with > 0.16 ft GW Use,0,,2,0,,2,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
1-021,Fort Bragg Terrace Area,North Coast,NCRO,23897.81044,37.34032881,1,"12,486",334,2,"13,323",6.7,FALSE,FALSE,FALSE,FALSE,2,59,1.58,5,"1,220",32.67,5,"1,681",45.01,2,5078,1413,6491,78.2,21.8,481,665,0,1146,42,58,0,0,5559,2078,7637,0.23,2,72,27,4,3, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,"1) From FortBraggConsumerConfReport2013: ""Type of water source(s) in use: Surface Water….The City has three water sources- Noyo River, Water Fall Gulch, and Newman Reservoir.
Source:  1-021_7c_FortBraggConsumerConfReport2013.pdf  pg.2

2) The City of Fort Bragg uses surface water from the Noyo River as a primary source of drinking water. The City has established a new deep well about a mile inland on the Noyo River where timing of pumping is important to avoid seawater intrusion.
Source: 1-021_7c_NCRWQCB-WatershedPlanningChapter.pdf pg. 78","1,443",61,3.32,3,20,0.34,1,4,0,1,0,1,0,1,1,TRUE,Monitored with no Declining GW Levels,0,,0,0,,0,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
1-022,Fairchild Swamp Valley,North Coast,NRO,3277.922032,5.121753175,1,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,Not Monitored with < 0.16 ft GW Use,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
1-025,Prairie Creek Area,North Coast,NRO,20848.77828,32.57621607,1,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,0,0,0,0,4,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,FALSE,Not Monitored with < 0.16 ft GW Use,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
1-026,Redwood Creek Area,North Coast,NRO,2009.407351,3.139698987,1,229,73,1,219,-4.36,FALSE,TRUE,FALSE,FALSE,0,2,0.63,4,4,1.27,1,435,138.54,3,1163,411,1574,73.9,26.1,13,0,0,13,100,0,0,0,1176,411,1587,0.58,4,74,25,4,4, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,TRUE,Monitored with no Declining GW Levels,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
