OID_,siteid,sitename,operator,datasource,sitestatus,stage_yn,stage_por,stage_stat,stage_real,flow_yn,flow_por,flow_statu,flow_realt,watqual_yn,watqual_po,watqual_st,watqual_re,temp_yn,temp_por,temp_statu,temp_realt,floodmgmt,ecosysmgmt,grdwtrmgmt,pubsafety,wtrsupply,ref_gagesi,strmorder,ucdstrmcla,streamtype,totdasqkm,totdasqmi,weblink,streamgage,gnisid_med,rchcd_medr,comid_medr,x_orig,y_orig,wtrshdnm_h,huc8,wtrshdnm_1,huc10,wtrshdnm_2,huc12,gagegap_st,infrastruc,reactivate,addflow_2s,addflow_2w,addtelemet,addtemp_2f,priorityre,refgage_sw,reactivatn,upgrade,primary_be,Latitude,Longitude
10,BDL,BELDON LANDING,DWR,CDEC,Active,Y,11788,Active,Y,N,0, ,N,Y,7090,Active,Y,Y,4691,Active,Y, , , , , , ,4,Rain and seasonal groundwater (RGW),Artificial Path,119.861999999999995,46.278957920000003,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=BDL,0,234323,18050001001540,2788329,-172390.901115999993635,20749.466488499998377,Suisun Bay,18050001,Suisun Bay,1805000104,Suisun Bay Estuaries,180500010401,AWG, ,N,Y,Y,N,N,0,N,N,N, ,38.186210292500000,-121.971260653000002
11,BEN,MOKELUMNE R @ BENSON'S FERRY NR THORNTON,DWR,CDEC,Active,Y,13514,Active,Y,N,0, ,N,N,0, ,N,N,0, ,N,Y, , ,Y, , ,6,Rain and seasonal groundwater (RGW),Stream/River - Perennial,5162.583599999999933,1993.283853129999898,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=BEN,0,228902,18040012024724,1889500,-125857.005137000000104,27499.177032200001122,Upper Mokelumne,18040012,Lower Mokelumne River,1804001211,Murphy Creek-Mokelumne River,180400121102,AWG, ,N,Y,N,N,Y,0,N,N,N, ,38.255667555400002,-121.439960725000006
12,BLL,BLACKLOCK (NE1),DWR,CDEC,Active,Y,5837,Active,Y,N,0, ,N,Y,5837,Active,Y,Y,5837,Active,Y, , , , , , ,3,Rain and seasonal groundwater (RGW),Artificial Path,17.452800000000000,6.738560990000000,http://cdec.water.ca.gov/dynamicapp/staMeta?station_id=BLL,0, ,18050001000968,2794699,-166817.374562999990303,19879.388992500000313,Suisun Bay,18050001,Suisun Bay,1805000104,Suisun Bay Estuaries,180500010401,AWG, ,N,Y,Y,N,N,0,N,N,N, ,38.180702689199997,-121.906735773999998
13,BOC,BOCA RESERVOIR,OTHER,CDEC,Active,Y,3203,Inactive,N,Y,5024,Active,Y,N,0, ,N,N,0, ,N, , , , , , ,4,Low-volume snowmelt and rain (LSR),Stream/River - Perennial,446.265899999999988,172.304156519999992,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=BOC,0,266929,16050102000088,8933684,-8607.656499990000157,151909.216910999995889,Truckee,16050102,Little Truckee River,1605010201,Boca Reservoir-Little Truckee River,160501020107,WG, ,N,N,N,N,Y,0,N,N,N, ,39.385468090600000,-120.094948647999999
14,BPB,BURNEY CK AT PARK AVE AT BURNEY STATION,DWR,CDEC,Active,Y,1039,Active,Y,N,0, ,N,N,0, ,N,N,0, ,N, , , , ,Y,N,3,Low-volume snowmelt and rain (LSR),Stream/River - Perennial,234.795600000000007,90.655050750000001,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=BPB,0,220202,18020003000187,7952064,-140903.844676000007894,318980.599894999992102,Lower Pit,18020003,Burney Creek,1802000309,Town of Burney-Burney Creek,180200030906,AWG, ,N,Y,N,N,Y,0,N,N,N, ,40.876026041800003,-121.671046450000006
15,BSO,BUTTE SLOUGH AT OUTFALL GATES,DWR,CDEC,Active,Y,8125,Active,Y,Y,4108,Inactive,N,N,0, ,N,Y,4923,Inactive,N, , , , ,Y, ,5,Rain and seasonal groundwater (RGW),Connector,32028.679800000001705,12366.337328100000377,http://cdec.water.ca.gov/dynamicapp/staMeta?station_id=BSO,0,266522,18020158005067,24688080,-167108.012752000009641,132736.402502000011737,Butte Creek,18020158,Lower Butte Creek,1802015804,Drumheller Slough-Butte Creek,180201580404,AWG, ,N,Y,N,N,Y,0,N,N,N, ,39.194857806900004,-121.936295626000003
16,BTG,BUTTE CK AT COLUSA/GRIDLEY RD,DWR,CDEC,Active,Y,7826,Active,Y,N,0, ,N,N,0, ,N,Y,4633,Inactive,N, , , , ,Y, ,5,Rain and seasonal groundwater (RGW),Stream/River - Perennial,1098.259199999999964,424.040073640000003,http://cdec.water.ca.gov/dynamicapp/staMeta?station_id=BTG,0,266522,18020158005084,1683401,-162950.078924000001280,151175.421644999994896,Butte Creek,18020158,Lower Butte Creek,1802015804,Drumheller Slough-Butte Creek,180201580404,AWG, ,N,Y,N,N,Y,0,N,N,N, ,39.361804315400001,-121.892744600000000
17,BYL,BRYTE LAB,DWR,CDEC,Active,Y,2725,Active,Y,N,0, ,N,N,0, ,N,N,0, ,N,Y, , ,Y, , ,7,High-volume snowmelt and rain (HSR),Artificial Path,53778.400199999996403,20763.947874000001320,http://cdec.water.ca.gov/dynamicapp/staMeta?station_id=BYL,0,1654949,18020161003630,15039097,-133925.701576999999816,65976.974619300002814,Upper Coon-Upper Auburn,18020161,Curry Creek-Sacramento River,1802016104,Natomas Main Drainage Canal-Sacramento River,180201610402,AWG, ,N,Y,N,N,Y,0,N,N,N, ,38.600717261299998,-121.540496383000004
18,CCI,CALLEGUAS CREEK - CSU CHANNEL ISLANDS,USGS,CDEC,Active,Y,3256,Active,Y,N,0, ,Y,N,0, ,N,N,0, ,N, , , , , ,N,5,Rain and seasonal groundwater (RGW),Stream/River - Intermittent,645.914700000000039,249.388957500000004,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=CCI,0,240043,18070103000004,17562626,88485.693246499999077,-425750.988605000020470,Calleguas,18070103,Calleguas Creek,1807010301,Revolon Slough-Calleguas Creek,180701030107,WG, ,N,N,N,N,Y,0,N,N,N, ,34.179517425000000,-119.040276594000005
19,CCK,CANTUA CREEK NEAR MT WHITNEY AVENUE,DWR,CDEC,Active,Y,8428,Active,Y,N,0, ,N,N,0, ,N,N,0, ,N, , , , , , ,1, ,Artificial Path,0.000000000000000,0.000000000000000,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=CCK,0,270163,18030009008056,17152228,-26413.875766199998907,-176293.249456999998074,Upper Dry,18030009,Cantua Creek-Fresno Slough,1803000906,180300090608-Fresno Slough,180300090608,AWG, ,N,Y,N,N,Y,0,N,N,N, ,36.429533234700003,-120.296133248000004
20,CIS,OLD RIVER AT CONEY ISLAND,DWR,CDEC,Active,Y,6068,Active,Y,N,0, ,N,N,0, ,N,N,0, ,N, , , , ,Y, ,4,Rain and seasonal groundwater (RGW),Artificial Path,36532.362600000000384,14105.218264600000111,http://cdec.water.ca.gov/dynamicapp/staMeta?station_id=CIS,0,254998,18040003005605,1897540,-135148.951503999996930,-17854.565750699999626,San Joaquin Delta,18040003,Old River,1804000306,Lower Old River,180400030605,AWG, ,N,Y,N,N,Y,0,N,N,N, ,37.846015263200002,-121.537830975999995
21,CML,CARMEL RIVER NEAR CARMEL,USGS,CDEC,Active,Y,6820,Active,Y,N,0, ,N,N,0, ,N,Y,2101,Inactive,N, , , , , , ,5,Perennial groundwater and rain (PGR),Stream/River - Perennial,640.267200000000003,247.208446449999997,http://cdec.water.ca.gov/dynamicapp/staMeta?station_id=CML,0,270301,18060006006642,17599295,-167545.185147000011057,-162564.784090000001015,Central Coastal,18060006,Carmel River,1806000601,Potrero Canyon-Carmel River,180600060106,AWG, ,N,Y,N,N,Y,0,N,N,N, ,36.538143895399998,-121.874191952000004
22,CMR,CARMEL RIVER AT HWY 1 BRIDGE,OTHER,CDEC,Active,Y,6303,Active,Y,N,0, ,N,N,0, ,N,N,0, ,N, , , , , , ,5,Perennial groundwater and rain (PGR),Stream/River - Perennial,653.389199999999960,252.274876900000010,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=CMR,0,270301,18060006006640,17600111,-170859.450630000006640,-162832.095050000003539,Central Coastal,18060006,Carmel River,1806000601,Potrero Canyon-Carmel River,180600060106,AWG, ,N,Y,N,N,Y,0,N,N,N, ,36.535550321099997,-121.911280797000003
23,CRB,CIRBY CREEK - TINA WAY,OTHER,CDEC,Active,Y,9223,Active,Y,N,0, ,N,N,0, ,N,N,0, ,N, , , , , , ,2,Low-volume snowmelt and rain (LSR),Stream/River - Perennial,4876.271099999999933,1882.738024250000080,http://cdec.water.ca.gov/dynamicapp/staMeta?station_id=CRB,0,254744,18020111000177,15022315,-110977.818769000004977,80299.276155700004892,Lower American,18020111,Dry Creek,1802011101,Linda Creek-Cirby Creek,180201110104,AWG, ,N,Y,N,N,Y,0,N,N,N, ,38.732511438000003,-121.278520236000006
24,CRD,PETALUMA RIVER NR CORONA ROAD,OTHER,CDEC,Active,Y,8347,Active,Y,N,0, ,N,N,0, ,N,N,0, ,N, , , , , , ,3,Winter storms (WS),Canal/Ditch,81.265500000000003,31.376772079999999,http://cdec.water.ca.gov/dynamicapp/staMeta?station_id=CRD,0,253749,18050002000977,1669283,-233024.875082999991719,31139.698648000001413,San Pablo Bay,18050002,Petaluma River-Frontal San Pablo Bay Estuaries,1805000206,Petaluma River,180500020601,AWG, ,N,Y,N,N,Y,0,N,N,N, ,38.265543684000001,-122.667878841000004
25,CRH,CROSS CK AT HOUSTON,OTHER,CDEC,Active,Y,3998,Active,Y,N,0, ,N,N,0, ,N,N,0, ,N, , , , , , ,4,Perennial groundwater and rain (PGR),Stream/River - Intermittent,3201.951599999999871,1236.279916660000026,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=CRH,0, ,18030007005967,17153904,42014.030866499997501,-187398.451008000003640,Upper Kaweah,18030007,Lower Cross Creek,1803000713,Mosquito Creek-Cross Creek,180300071302,AWG, ,N,Y,N,N,Y,0,N,N,Y,water supply,36.329509822600002,-119.531138244000005
26,CSE,COLLINSVILLE ON SACRAMENTO RIVER,DWR,CDEC,Active,Y,4333,Active,Y,N,0, ,N,Y,4333,Active,Y,Y,4333,Active,Y, , , , , , ,-9,Rain and seasonal groundwater (RGW),Coastline,6.904800000000000,2.665957090000000,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=CSE,0, ,18020163016498,15048371,-162079.246325999993132,7988.488112510000065,Suisun Bay,18050001,Suisun Bay,1805000104,Suisun Bay Estuaries,180500010401,AWG, ,N,Y,Y,N,N,0,N,N,N, ,38.074575564299998,-121.850168726000007
27,CSW,KINGS RIVER BELOW CRESCENT WEIR,OTHER,CDEC,Active,Y,8757,Active,Y,Y,5829,Inactive,N,N,0, ,N,N,0, ,N, , , , , , ,6,High-volume snowmelt and rain (HSR),Stream/River - Perennial,4964.709600000000137,1916.884305979999908,http://cdec.water.ca.gov/dynamicapp/staMeta?station_id=CSW,0, ,18030012009243,17153414,11109.046381899999687,-181105.700287000014214,Upper Dry,18030009,Murphy Slough-Fresno Slough,1803000901,Boggs Slough-Fresno Slough,180300090101,AWG, ,N,Y,N,N,Y,0,N,N,N, ,36.386301874499999,-119.875615393999993
28,CVL,WEST WALKER NR HWY 395 BLW LITTLE WALKER,OTHER,CDEC,Active,Y,7227,Active,Y,N,0, ,N,N,0, ,N,N,0, ,N, , , , , , ,5,Snowmelt (SM),Stream/River - Perennial,642.633299999999963,248.122002400000014,http://cdec.water.ca.gov/dynamicapp/staMeta?station_id=CVL,0,268938,16050302000028,946050151,47553.144610099996498,55567.110316600002989,West Walker,16050302,Middle West Walker River,1605030202,East Slough-West Walker River,160503020204,AWG, ,N,Y,N,N,Y,0,N,N,N, ,38.515701048099999,-119.453849782999995
29,CWC,COTTONWOOD CK BLW HWY 99,DWR,CDEC,Active,Y,1089,Active,Y,N,0, ,N,N,0, ,N,N,0, ,N,Y, , , , , ,3,Winter storms (WS),Stream/River - Perennial,72.133200000000002,27.850772790000001,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=CWC,0,221635,18020158006126,1679425,-145104.971223000000464,169192.858875000005355,Butte Creek,18020158,Lower Butte Creek,1802015804,Cottonwood Creek,180201580402,AWG, ,N,Y,N,N,Y,0,N,N,N, ,39.526959333900002,-121.689172533000004
30,CYG,CYGNUS-CORDELIA SLOUGH,DWR,CDEC,Active,Y,4333,Active,Y,N,0, ,N,Y,4333,Active,Y,Y,4333,Active,Y, , , , , , ,3,Rain and seasonal groundwater (RGW),Stream/River - Perennial,283.536900000000003,109.474164160000001,http://cdec.water.ca.gov/dynamicapp/staMeta?station_id=CYG,0, ,18050001000139,2784883,-182969.789338000002317,17173.371530100001110,Suisun Bay,18050001,Suisun Bay,1805000104,Suisun Bay Estuaries,180500010401,AWG, ,N,Y,Y,N,N,0,N,N,N, ,38.152861766999997,-122.090747535999995
31,DBD,DISCOVERY BAY AT DISCOVERY BAY BLVD,DWR,CDEC,Active,Y,5861,Active,Y,N,0, ,N,N,0, ,N,N,0, ,N, , , , ,Y, ,0, ,Canal/Ditch,0.000000000000000,0.000000000000000,https://sanjoaquin.onerain.com/site.php?site_id=12944&site=514e754d-508b-4fd1-8667-5da1a830bab0,0, ,18040003004196,1893538,-140730.765676000009989,-12546.999488600000404,San Joaquin Delta,18040003,Kellogg Creek-Big Break,1804000308,Lower Kellogg Creek,180400030802,AWG, ,N,Y,N,N,Y,0,N,N,N, ,37.892818589199997,-121.604611652000003
32,DBI,DISCOVERY BAY AT INDIAN SLOUGH,DWR,CDEC,Active,Y,5861,Active,Y,N,0, ,N,N,0, ,N,N,0, ,N, , , , ,Y, ,1,Rain and seasonal groundwater (RGW),Artificial Path,0.073800000000000,0.028494330000000,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=DBI,0, ,18040003005674,1897678,-139299.132320000004256,-9807.969833700000891,San Joaquin Delta,18040003,Kellogg Creek-Big Break,1804000308,Lower Kellogg Creek,180400030802,AWG, ,N,Y,N,N,Y,0,N,N,N, ,37.917741484600000,-121.587288564999994
33,DBT,DUTCH BILL CREEK AT WESTMINSTER WOODS,OTHER,CDEC,Active,Y,1767,Active,Y,N,0, ,N,N,0, ,N,N,0, ,N, , , , , , ,2,Winter storms (WS),Stream/River - Perennial,28.269900000000000,10.915064930000000,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=DBT,0,222756,18010110000392,8273255,-261500.896834000013769,52387.407155699998839,Russian,18010110,Lower Russian River,1801011009,Dutch Bill Creek-Russian River,180101100903,AWG, ,N,Y,N,N,Y,0,N,N,N, ,38.450427786900001,-123.000462182000007
34,DCD,DUCK CK DIVERSION,OTHER,CDEC,Active,Y,3998,Active,Y,Y,3998,Active,Y,N,0, ,N,N,0, ,N, , , , , , ,3,Rain and seasonal groundwater (RGW),Stream/River - Intermittent,74.736900000000006,28.856066559999999,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=DCD,0,222679,18040051003387,2822808,-86891.059166199993342,-8224.617237899999964,Rock Creek-French Camp Slough,18040051,French Camp Slough,1804005104,Lower Duck Creek,180400510402,WG,Y,N,N,N,N,Y,0,N,N,N, ,37.938307726799998,-120.990020087000005
35,DCW,DRY CREEK NEAR WHEATLAND,USGS,CDEC,Active,Y,5358,Active,Y,N,0, ,N,N,0, ,N,N,0, ,N, , , , , , ,2,Winter storms (WS),Stream/River - Intermittent,25.145099999999999,9.708573400000001,http://cdec.water.ca.gov/dynamicapp/staMeta?station_id=DCW,0, ,18020126004891,15069314,-124214.847829999998794,112903.210879999998724,Upper Bear,18020126,Dry Creek,1802012604,Grasshopper Slough-Dry Creek,180201260403,AWG, ,N,Y,N,N,Y,0,N,N,N, ,39.023901407600000,-121.436116467999994
36,DFR,DRY CK AT FIELDS RD,OTHER,CDEC,Active,Y,1185,Active,Y,N,0, ,N,N,0, ,N,N,0, ,N, , , , , , ,4,Rain and seasonal groundwater (RGW),Stream/River - Intermittent,53.376300000000001,20.608696179999999,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=DFR,0, ,18040008039279,2824102,-34345.303678700001910,-48562.100803300003463,Upper Merced,18040008,Dry Creek,1804000807,Upper Dry Creek,180400080701,AWG, ,N,Y,N,N,Y,0,N,N,N, ,37.578440062900000,-120.389378222999994
37,DGL,DOUGHTY CUT ABOVE GRANT LINE CANAL,DWR,CDEC,Active,Y,7197,Active,Y,N,0, ,N,Y,6610,Active,Y,Y,5349,Active,Y, ,Y, , ,Y, ,0, ,Artificial Path,0.000000000000000,0.000000000000000,https://sanjoaquin.onerain.com/site.php?site_id=12948&site=7627ea95-89a5-4223-97c4-53cb2df521ee,0, ,18040003004603,1897530,-125274.038404000006267,-21443.693240399999922,San Joaquin Delta,18040003,Old River,1804000306,Lower Old River,180400030605,AWG, ,N,Y,Y,N,N,0,N,N,N, ,37.815237866700002,-121.424683396000006
38,DM3,CHECK 21,OTHER,CDEC,Active,Y,3775,Inactive,N,N,0, ,N,Y,9680,Active,Y,Y,7979,Active,Y, , , , , , ,0, ,Canal/Ditch,0.000000000000000,0.000000000000000,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=DM3,0,233778,18040001001691,19784447,-33197.451275899999018,-137270.369999999995343,Middle San Joaquin-Lower Chowchilla,18040001,Salt Slough,1804000120,Upper Poso Slough,180400012001,exclude,Y,N,N,Y,N,N,4,N,N,N, ,36.780778328200000,-120.372458244000001
39,DOT,DOOLEY CK AT OLD TOLL RD NR HOPLAND,OTHER,CDEC,Active,Y,1569,Active,Y,N,0, ,N,N,0, ,N,N,0, ,N, , , , , , ,3,Perennial groundwater and rain (PGR),Stream/River - Intermittent,34.046999999999997,13.145614790000000,https://sonoma.onerain.com/site.php?site_id=97&site=ed7c1b8c-e887-4261-b2ab-0049afb972aa,0, ,18010110000731,8270445,-265698.946556999988388,110985.648425999999745,Russian,18010110,Upper Russian River,1801011004,Dooley Creek,180101100406,AWG, ,N,Y,N,N,Y,0,N,N,N, ,38.976118133600004,-123.070339296000000
40,DRF,SMITH RIVER AT DR FINE BRIDGE,DWR,CDEC,Active,Y,13514,Active,Y,N,0, ,N,N,0, ,N,N,0, ,N,Y, , , , , ,1,Winter storms (WS),Stream/River - Perennial,1.393200000000000,0.537917310000000,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=DRF,0,225810,18010101000309,22227026,-343546.273603999987245,436946.960078999982215,Smith,18010101,Smith River,1801010104,Smith River,180101010404,AWG, ,N,Y,N,N,Y,0,N,N,N, ,41.881470558300002,-124.131119995000006
41,DSJ,DUTCH SLOUGH AT JERSEY ISLAND,USGS,CDEC,Active,Y,6307,Active,Y,Y,6307,Active,Y,Y,4040,Active,Y,Y,4040,Active,Y, , , , , , ,2,Rain and seasonal groundwater (RGW),Artificial Path,37115.717400000001362,14330.452719599999909,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=DSJ,0, ,18040003005513,1889676,-146510.294583999988390,917.027558010000007,San Joaquin Delta,18040003,Kellogg Creek-Big Break,1804000308,Dutch Slough-Big Break,180400030803,WG, ,N,N,N,N,N,0,N,N,N, ,38.012864379100002,-121.670977262999997
42,DSR,JT14 DOYLE SPRINGS DIVERSION,OTHER,CDEC,Active,Y,3263,Active,Y,N,0, ,N,N,0, ,N,N,0, ,N, , , , , , ,3,Low-volume snowmelt and rain (LSR),Stream/River - Perennial,87.983099999999993,33.970450880000001,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=DSR,0,272671,18030006000213,14930291,119821.098322999998345,-202272.621043999999529,Upper Tule,18030006,Middle Fork Tule River,1803000601,North Fork Middle Fork Tule River,180300060102,AWG, ,N,Y,N,N,Y,0,N,N,N, ,36.189085982700000,-118.666012660999996
43,DTW,DEER CK AT TRENTON WEIR,OTHER,CDEC,Active,Y,4262,Active,Y,N,0, ,N,N,0, ,N,N,0, ,N, , , , , , ,3,Rain and seasonal groundwater (RGW),Stream/River - Intermittent,486.115200000000016,187.690050950000000,http://cdec.water.ca.gov/dynamicapp/staMeta?station_id=DTW,0,270802,18030005005227,948030244,73813.797062900004676,-229785.869508000003407,Upper Deer-Upper White,18030005,Lower Deer Creek,1803000509,Town of Ducor-Deer Creek,180300050902,AWG, ,N,Y,N,N,Y,0,N,N,N, ,35.946321756499998,-119.180933307999993
44,EDA,LOS GATOS CREEK AT EL DORADO AVENUE,DWR,CDEC,Active,Y,10919,Active,Y,N,0, ,N,N,0, ,N,N,0, ,N, , , , , , ,5,Perennial groundwater and rain (PGR),Stream/River - Intermittent,985.766399999999976,380.606378570000004,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=EDA,0,255635,18030012009085,17150416,-18778.001250799999980,-205539.541694999992615,Tulare Lake Bed,18030012,Los Gatos Creek,1803001206,Lower Los Gatos Creek,180300120606,AWG, ,N,Y,N,N,Y,0,N,N,N, ,36.166285146000000,-120.209190462999999
45,EDB,ELDERBERRY CANYON CK,DWR,CDEC,Inactive,Y,3585,Inactive,N,Y,3557,Inactive,N,N,0, ,N,N,0, ,N, , , , , , ,1, ,Stream/River - Intermittent,6.566400000000000,0.504210600000000,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=EDB,0, ,18070102001002,17569915,126277.644633999996586,-381727.920097999973223,Santa Clara,18070102,Castaic Creek,1807010203,Middle Castaic Creek,180701020305,exclude, ,Y,N,N,N,N,1,N,Y,N,flood,34.572630737200001,-118.623175826999997
