OID_,siteid,sitename,operator,datasource,sitestatus,stage_yn,stage_por,stage_stat,stage_real,flow_yn,flow_por,flow_statu,flow_realt,watqual_yn,watqual_po,watqual_st,watqual_re,temp_yn,temp_por,temp_statu,temp_realt,floodmgmt,ecosysmgmt,grdwtrmgmt,pubsafety,wtrsupply,ref_gagesi,strmorder,ucdstrmcla,streamtype,totdasqkm,totdasqmi,weblink,streamgage,gnisid_med,rchcd_medr,comid_medr,x_orig,y_orig,wtrshdnm_h,huc8,wtrshdnm_1,huc10,wtrshdnm_2,huc12,gagegap_st,infrastruc,reactivate,addflow_2s,addflow_2w,addtelemet,addtemp_2f,priorityre,refgage_sw,reactivatn,upgrade,primary_be,Latitude,Longitude
16,BTG,BUTTE CK AT COLUSA/GRIDLEY RD,DWR,CDEC,Active,Y,7826,Active,Y,N,0, ,N,N,0, ,N,Y,4633,Inactive,N, , , , ,Y, ,5,Rain and seasonal groundwater (RGW),Stream/River - Perennial,1098.2592,424.0400736,http://cdec.water.ca.gov/dynamicapp/staMeta?station_id=BTG,0,266522,1.80202E+13,1683401,-162950.0789,151175.4216,Butte Creek,18020158,Lower Butte Creek,1802015804,Drumheller Slough-Butte Creek,1.80202E+11,AWG, ,N,Y,N,N,Y,0,N,N,N, ,39.36180432,-121.8927446
17,BYL,BRYTE LAB,DWR,CDEC,Active,Y,2725,Active,Y,N,0, ,N,N,0, ,N,N,0, ,N,Y, , ,Y, , ,7,High-volume snowmelt and rain (HSR),Artificial Path,53778.4002,20763.94787,http://cdec.water.ca.gov/dynamicapp/staMeta?station_id=BYL,0,1654949,1.80202E+13,15039097,-133925.7016,65976.97462,Upper Coon-Upper Auburn,18020161,Curry Creek-Sacramento River,1802016104,Natomas Main Drainage Canal-Sacramento River,1.80202E+11,AWG, ,N,Y,N,N,Y,0,N,N,N, ,38.60071726,-121.5404964
19,CCK,CANTUA CREEK NEAR MT WHITNEY AVENUE,DWR,CDEC,Active,Y,8428,Active,Y,N,0, ,N,N,0, ,N,N,0, ,N, , , , , , ,1, ,Artificial Path,0,0,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=CCK,0,270163,1.803E+13,17152228,-26413.87577,-176293.2495,Upper Dry,18030009,Cantua Creek-Fresno Slough,1803000906,180300090608-Fresno Slough,1.803E+11,AWG, ,N,Y,N,N,Y,0,N,N,N, ,36.42953323,-120.2961332
20,CIS,OLD RIVER AT CONEY ISLAND,DWR,CDEC,Active,Y,6068,Active,Y,N,0, ,N,N,0, ,N,N,0, ,N, , , , ,Y, ,4,Rain and seasonal groundwater (RGW),Artificial Path,36532.3626,14105.21826,http://cdec.water.ca.gov/dynamicapp/staMeta?station_id=CIS,0,254998,1.804E+13,1897540,-135148.9515,-17854.56575,San Joaquin Delta,18040003,Old River,1804000306,Lower Old River,1.804E+11,AWG, ,N,Y,N,N,Y,0,N,N,N, ,37.84601526,-121.537831
22,CMR,CARMEL RIVER AT HWY 1 BRIDGE,OTHER,CDEC,Active,Y,6303,Active,Y,N,0, ,N,N,0, ,N,N,0, ,N, , , , , , ,5,Perennial groundwater and rain (PGR),Stream/River - Perennial,653.3892,252.2748769,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=CMR,0,270301,1.806E+13,17600111,-170859.4506,-162832.0951,Central Coastal,18060006,Carmel River,1806000601,Potrero Canyon-Carmel River,1.806E+11,AWG, ,N,Y,N,N,Y,0,N,N,N, ,36.53555032,-121.9112808
23,CRB,CIRBY CREEK - TINA WAY,OTHER,CDEC,Active,Y,9223,Active,Y,N,0, ,N,N,0, ,N,N,0, ,N, , , , , , ,2,Low-volume snowmelt and rain (LSR),Stream/River - Perennial,4876.2711,1882.738024,http://cdec.water.ca.gov/dynamicapp/staMeta?station_id=CRB,0,254744,1.80201E+13,15022315,-110977.8188,80299.27616,Lower American,18020111,Dry Creek,1802011101,Linda Creek-Cirby Creek,1.80201E+11,AWG, ,N,Y,N,N,Y,0,N,N,N, ,38.73251144,-121.2785202
24,CRD,PETALUMA RIVER NR CORONA ROAD,OTHER,CDEC,Active,Y,8347,Active,Y,N,0, ,N,N,0, ,N,N,0, ,N, , , , , , ,3,Winter storms (WS),Canal/Ditch,81.2655,31.37677208,http://cdec.water.ca.gov/dynamicapp/staMeta?station_id=CRD,0,253749,1.805E+13,1669283,-233024.8751,31139.69865,San Pablo Bay,18050002,Petaluma River-Frontal San Pablo Bay Estuaries,1805000206,Petaluma River,1.805E+11,AWG, ,N,Y,N,N,Y,0,N,N,N, ,38.26554368,-122.6678788
25,CRH,CROSS CK AT HOUSTON,OTHER,CDEC,Active,Y,3998,Active,Y,N,0, ,N,N,0, ,N,N,0, ,N, , , , , , ,4,Perennial groundwater and rain (PGR),Stream/River - Intermittent,3201.9516,1236.279917,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=CRH,0, ,1.803E+13,17153904,42014.03087,-187398.451,Upper Kaweah,18030007,Lower Cross Creek,1803000713,Mosquito Creek-Cross Creek,1.803E+11,AWG, ,N,Y,N,N,Y,0,N,N,Y,water supply,36.32950982,-119.5311382
26,CSE,COLLINSVILLE ON SACRAMENTO RIVER,DWR,CDEC,Active,Y,4333,Active,Y,N,0, ,N,Y,4333,Active,Y,Y,4333,Active,Y, , , , , , ,-9,Rain and seasonal groundwater (RGW),Coastline,6.9048,2.66595709,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=CSE,0, ,1.80202E+13,15048371,-162079.2463,7988.488113,Suisun Bay,18050001,Suisun Bay,1805000104,Suisun Bay Estuaries,1.805E+11,AWG, ,N,Y,Y,N,N,0,N,N,N, ,38.07457556,-121.8501687
27,CSW,KINGS RIVER BELOW CRESCENT WEIR,OTHER,CDEC,Active,Y,8757,Active,Y,Y,5829,Inactive,N,N,0, ,N,N,0, ,N, , , , , , ,6,High-volume snowmelt and rain (HSR),Stream/River - Perennial,4964.7096,1916.884306,http://cdec.water.ca.gov/dynamicapp/staMeta?station_id=CSW,0, ,1.803E+13,17153414,11109.04638,-181105.7003,Upper Dry,18030009,Murphy Slough-Fresno Slough,1803000901,Boggs Slough-Fresno Slough,1.803E+11,AWG, ,N,Y,N,N,Y,0,N,N,N, ,36.38630187,-119.8756154
28,CVL,WEST WALKER NR HWY 395 BLW LITTLE WALKER,OTHER,CDEC,Active,Y,7227,Active,Y,N,0, ,N,N,0, ,N,N,0, ,N, , , , , , ,5,Snowmelt (SM),Stream/River - Perennial,642.6333,248.1220024,http://cdec.water.ca.gov/dynamicapp/staMeta?station_id=CVL,0,268938,1.60503E+13,946050151,47553.14461,55567.11032,West Walker,16050302,Middle West Walker River,1605030202,East Slough-West Walker River,1.60503E+11,AWG, ,N,Y,N,N,Y,0,N,N,N, ,38.51570105,-119.4538498
29,CWC,COTTONWOOD CK BLW HWY 99,DWR,CDEC,Active,Y,1089,Active,Y,N,0, ,N,N,0, ,N,N,0, ,N,Y, , , , , ,3,Winter storms (WS),Stream/River - Perennial,72.1332,27.85077279,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=CWC,0,221635,1.80202E+13,1679425,-145104.9712,169192.8589,Butte Creek,18020158,Lower Butte Creek,1802015804,Cottonwood Creek,1.80202E+11,AWG, ,N,Y,N,N,Y,0,N,N,N, ,39.52695933,-121.6891725
30,CYG,CYGNUS-CORDELIA SLOUGH,DWR,CDEC,Active,Y,4333,Active,Y,N,0, ,N,Y,4333,Active,Y,Y,4333,Active,Y, , , , , , ,3,Rain and seasonal groundwater (RGW),Stream/River - Perennial,283.5369,109.4741642,http://cdec.water.ca.gov/dynamicapp/staMeta?station_id=CYG,0, ,1.805E+13,2784883,-182969.7893,17173.37153,Suisun Bay,18050001,Suisun Bay,1805000104,Suisun Bay Estuaries,1.805E+11,AWG, ,N,Y,Y,N,N,0,N,N,N, ,38.15286177,-122.0907475
31,DBD,DISCOVERY BAY AT DISCOVERY BAY BLVD,DWR,CDEC,Active,Y,5861,Active,Y,N,0, ,N,N,0, ,N,N,0, ,N, , , , ,Y, ,0, ,Canal/Ditch,0,0,https://sanjoaquin.onerain.com/site.php?site_id=12944&site=514e754d-508b-4fd1-8667-5da1a830bab0,0, ,1.804E+13,1893538,-140730.7657,-12546.99949,San Joaquin Delta,18040003,Kellogg Creek-Big Break,1804000308,Lower Kellogg Creek,1.804E+11,AWG, ,N,Y,N,N,Y,0,N,N,N, ,37.89281859,-121.6046117
32,DBI,DISCOVERY BAY AT INDIAN SLOUGH,DWR,CDEC,Active,Y,5861,Active,Y,N,0, ,N,N,0, ,N,N,0, ,N, , , , ,Y, ,1,Rain and seasonal groundwater (RGW),Artificial Path,0.0738,0.02849433,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=DBI,0, ,1.804E+13,1897678,-139299.1323,-9807.969834,San Joaquin Delta,18040003,Kellogg Creek-Big Break,1804000308,Lower Kellogg Creek,1.804E+11,AWG, ,N,Y,N,N,Y,0,N,N,N, ,37.91774148,-121.5872886
33,DBT,DUTCH BILL CREEK AT WESTMINSTER WOODS,OTHER,CDEC,Active,Y,1767,Active,Y,N,0, ,N,N,0, ,N,N,0, ,N, , , , , , ,2,Winter storms (WS),Stream/River - Perennial,28.2699,10.91506493,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=DBT,0,222756,1.80101E+13,8273255,-261500.8968,52387.40716,Russian,18010110,Lower Russian River,1801011009,Dutch Bill Creek-Russian River,1.80101E+11,AWG, ,N,Y,N,N,Y,0,N,N,N, ,38.45042779,-123.0004622
34,DCD,DUCK CK DIVERSION,OTHER,CDEC,Active,Y,3998,Active,Y,Y,3998,Active,Y,N,0, ,N,N,0, ,N, , , , , , ,3,Rain and seasonal groundwater (RGW),Stream/River - Intermittent,74.7369,28.85606656,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=DCD,0,222679,1.80401E+13,2822808,-86891.05917,-8224.617238,Rock Creek-French Camp Slough,18040051,French Camp Slough,1804005104,Lower Duck Creek,1.80401E+11,WG,Y,N,N,N,N,Y,0,N,N,N, ,37.93830773,-120.9900201
36,DFR,DRY CK AT FIELDS RD,OTHER,CDEC,Active,Y,1185,Active,Y,N,0, ,N,N,0, ,N,N,0, ,N, , , , , , ,4,Rain and seasonal groundwater (RGW),Stream/River - Intermittent,53.3763,20.60869618,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=DFR,0, ,1.804E+13,2824102,-34345.30368,-48562.1008,Upper Merced,18040008,Dry Creek,1804000807,Upper Dry Creek,1.804E+11,AWG, ,N,Y,N,N,Y,0,N,N,N, ,37.57844006,-120.3893782
37,DGL,DOUGHTY CUT ABOVE GRANT LINE CANAL,DWR,CDEC,Active,Y,7197,Active,Y,N,0, ,N,Y,6610,Active,Y,Y,5349,Active,Y, ,Y, , ,Y, ,0, ,Artificial Path,0,0,https://sanjoaquin.onerain.com/site.php?site_id=12948&site=7627ea95-89a5-4223-97c4-53cb2df521ee,0, ,1.804E+13,1897530,-125274.0384,-21443.69324,San Joaquin Delta,18040003,Old River,1804000306,Lower Old River,1.804E+11,AWG, ,N,Y,Y,N,N,0,N,N,N, ,37.81523787,-121.4246834
38,DM3,CHECK 21,OTHER,CDEC,Active,Y,3775,Inactive,N,N,0, ,N,Y,9680,Active,Y,Y,7979,Active,Y, , , , , , ,0, ,Canal/Ditch,0,0,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=DM3,0,233778,1.804E+13,19784447,-33197.45128,-137270.37,Middle San Joaquin-Lower Chowchilla,18040001,Salt Slough,1804000120,Upper Poso Slough,1.804E+11,exclude,Y,N,N,Y,N,N,4,N,N,N, ,36.78077833,-120.3724582
39,DOT,DOOLEY CK AT OLD TOLL RD NR HOPLAND,OTHER,CDEC,Active,Y,1569,Active,Y,N,0, ,N,N,0, ,N,N,0, ,N, , , , , , ,3,Perennial groundwater and rain (PGR),Stream/River - Intermittent,34.047,13.14561479,https://sonoma.onerain.com/site.php?site_id=97&site=ed7c1b8c-e887-4261-b2ab-0049afb972aa,0, ,1.80101E+13,8270445,-265698.9466,110985.6484,Russian,18010110,Upper Russian River,1801011004,Dooley Creek,1.80101E+11,AWG, ,N,Y,N,N,Y,0,N,N,N, ,38.97611813,-123.0703393
40,DRF,SMITH RIVER AT DR FINE BRIDGE,DWR,CDEC,Active,Y,13514,Active,Y,N,0, ,N,N,0, ,N,N,0, ,N,Y, , , , , ,1,Winter storms (WS),Stream/River - Perennial,1.3932,0.53791731,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=DRF,0,225810,1.80101E+13,22227026,-343546.2736,436946.9601,Smith,18010101,Smith River,1801010104,Smith River,1.80101E+11,AWG, ,N,Y,N,N,Y,0,N,N,N, ,41.88147056,-124.13112
42,DSR,JT14 DOYLE SPRINGS DIVERSION,OTHER,CDEC,Active,Y,3263,Active,Y,N,0, ,N,N,0, ,N,N,0, ,N, , , , , , ,3,Low-volume snowmelt and rain (LSR),Stream/River - Perennial,87.9831,33.97045088,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=DSR,0,272671,1.803E+13,14930291,119821.0983,-202272.621,Upper Tule,18030006,Middle Fork Tule River,1803000601,North Fork Middle Fork Tule River,1.803E+11,AWG, ,N,Y,N,N,Y,0,N,N,N, ,36.18908598,-118.6660127
43,DTW,DEER CK AT TRENTON WEIR,OTHER,CDEC,Active,Y,4262,Active,Y,N,0, ,N,N,0, ,N,N,0, ,N, , , , , , ,3,Rain and seasonal groundwater (RGW),Stream/River - Intermittent,486.1152,187.690051,http://cdec.water.ca.gov/dynamicapp/staMeta?station_id=DTW,0,270802,1.803E+13,948030244,73813.79706,-229785.8695,Upper Deer-Upper White,18030005,Lower Deer Creek,1803000509,Town of Ducor-Deer Creek,1.803E+11,AWG, ,N,Y,N,N,Y,0,N,N,N, ,35.94632176,-119.1809333
44,EDA,LOS GATOS CREEK AT EL DORADO AVENUE,DWR,CDEC,Active,Y,10919,Active,Y,N,0, ,N,N,0, ,N,N,0, ,N, , , , , , ,5,Perennial groundwater and rain (PGR),Stream/River - Intermittent,985.7664,380.6063786,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=EDA,0,255635,1.803E+13,17150416,-18778.00125,-205539.5417,Tulare Lake Bed,18030012,Los Gatos Creek,1803001206,Lower Los Gatos Creek,1.803E+11,AWG, ,N,Y,N,N,Y,0,N,N,N, ,36.16628515,-120.2091905
45,EDB,ELDERBERRY CANYON CK,DWR,CDEC,Inactive,Y,3585,Inactive,N,Y,3557,Inactive,N,N,0, ,N,N,0, ,N, , , , , , ,1, ,Stream/River - Intermittent,6.5664,0.5042106,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=EDB,0, ,1.80701E+13,17569915,126277.6446,-381727.9201,Santa Clara,18070102,Castaic Creek,1807010203,Middle Castaic Creek,1.80701E+11,exclude, ,Y,N,N,N,N,1,N,Y,N,flood,34.57263074,-118.6231758
46,EDV,COYOTE CREEK AT EDENVALE,OTHER,CDEC,Active,Y,6583,Active,Y,N,0, ,N,N,0, ,N,N,0, ,N, , , , , , ,5,"Flashy, ephemeral rain (FER)",Stream/River - Perennial,603.2502,232.9161087,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=EDV,0,255083,1.805E+13,948050176,-159031.2546,-81352.37448,Coyote,18050003,Lower Coyote Creek-Frontal San Francisco Bay Estuaries,1805000302,Metcalfe Canyon-Coyote Creek,1.805E+11,AWG, ,N,Y,N,N,Y,0,N,N,N, ,37.27086042,-121.797203
47,EFM,EAST FK OF WEST FK MOJAVE R UPR MILLER,DWR,CDEC,Active,Y,5511,Active,Y,N,0, ,N,N,0, ,N,N,0, ,N, , , , , , ,3,Low-volume snowmelt and rain (LSR),Stream/River - Perennial,31.1868,12.04128585,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=EFM,0,254055,1.80902E+13,22658611,249296.7988,-412619.5726,Mojave,18090208,West Fork Mojave River,1809020802,Silverwood Lake-West Fork Mojave River,1.80902E+11,AWG, ,N,Y,N,N,Y,0,N,N,N, ,34.27027807,-117.291855
48,EGN,LAGUNA CR - FLORIN NEAR EAGLES NEST ROAD,OTHER,CDEC,Active,Y,9108,Active,Y,N,0, ,N,N,0, ,N,N,0, ,N, , , , , , ,3,Winter storms (WS),Stream/River - Intermittent,33.912,13.09349102,http://cdec.water.ca.gov/dynamicapp/staMeta?station_id=EGN,0, ,1.80202E+13,948021178,-109779.7203,52824.8697,Lower Sacramento,18020163,Morrison Creek,1802016304,Laguna Creek,1.80202E+11,AWG, ,N,Y,N,N,Y,0,N,N,N, ,38.48522903,-121.2600402
49,EPK,EAST PARK RESERVOIR,OTHER,CDEC,Active,Y,21,Inactive,N,Y,4081,Active,Y,N,0, ,N,N,0, ,N, , , , , , ,5,"Flashy, ephemeral rain (FER)",Stream/River - Perennial,555.1884,214.3593516,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=EPK,0,227380,1.80201E+13,7994729,-216676.5034,153002.9963,Upper Stony,18020115,Little Stony Creek,1802011501,East Park Reservoir-Little Stony Creek,1.80201E+11,WG, ,N,N,N,N,Y,0,N,N,N, ,39.36731091,-122.5181164
50,FCC,FRENCH CREEK AT HWY 3 NEAR CALLAHAN,DWR,CDEC,Active,Y,6034,Active,Y,N,0, ,N,N,0, ,N,N,0, ,N, , , , ,Y, ,3,High elevation low precipitation (HLP),Stream/River - Perennial,79.6104,30.73773466,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=FCC,0,260383,1.80102E+13,3801011,-239248.4811,380798.8904,Scott,18010208,French Creek-Scott River,1801020802,French Creek,1.80102E+11,AWG, ,N,Y,N,N,Y,0,N,N,N, ,41.41193372,-122.8589398
51,FDT,FRENCHMAN DAM TAILRACE,DWR,CDEC,Active,Y,1228,Active,Y,N,0, ,N,N,0, ,N,N,0, ,N, , , , ,Y,N,4,Low-volume snowmelt and rain (LSR),Stream/River - Perennial,215.9262,83.36953767,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=FDT,0,262656,1.80201E+13,8039053,-16181.07486,208621.2241,Middle Fork Feather,18020123,Little Last Chance Creek,1802012301,Frenchman Lake-Little Last Chance Creek,1.80201E+11,AWG, ,N,Y,N,N,Y,0,N,N,Y,flood,39.89276989,-120.1901619
