MethodUUID,OrganizationUUID,SiteUUID,VariableSpecificUUID,WaterSourceUUID,Amount,AllocationCropDutyAmount,AssociatedNativeAllocationIDs,BeneficialUseCategory,CommunityWaterSupplySystem,CropTypeCV,CustomerTypeCV,DataPublicationDate,DataPublicationDOI,Geometry,IrrigatedAcreage,IrrigationMethodCV,PopulationServed,PowerGeneratedGWh,PowerType,PrimaryUseCategory,ReportYearCV,SDWISIdentifier,TimeframeEnd,TimeframeStart
UDWRi_Water Use Data,UDWRi,UTSS_S6,UDWRi_Site Specific Withdrawal,UTSS_WS6,9672.671713,,,Water Supplier,South Robinson Spring Water Users,,Public,10/29/2020,,,,,40.0,,,Water Supplier,2000,,2000-12-31,2000-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S6,UDWRi_Site Specific Withdrawal,UTSS_WS6,9672.671713,,,Water Supplier,South Robinson Spring Water Users,,Public,10/29/2020,,,,,30.0,,,Water Supplier,1999,,1999-12-31,1999-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S6,UDWRi_Site Specific Withdrawal,UTSS_WS6,9672.671713,,,Water Supplier,South Robinson Spring Water Users,,Public,10/29/2020,,,,,0.0,,,Water Supplier,1998,,1998-12-31,1998-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S6,UDWRi_Site Specific Withdrawal,UTSS_WS6,9672.671713,,,Water Supplier,South Robinson Spring Water Users,,Public,10/29/2020,,,,,30.0,,,Water Supplier,1997,,1997-12-31,1997-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S6,UDWRi_Site Specific Withdrawal,UTSS_WS6,9672.671713,,,Water Supplier,South Robinson Spring Water Users,,Public,10/29/2020,,,,,30.0,,,Water Supplier,1996,,1996-12-31,1996-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S8,UDWRi_Site Specific Withdrawal,UTSS_WS8,4517152.0,,,Water Supplier,Ogden City Division of Water Utilities,,Public,10/29/2020,,,,,91380.0,,,Water Supplier,2019,,2019-12-31,2019-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S8,UDWRi_Site Specific Withdrawal,UTSS_WS8,4642600.0,,,Water Supplier,Ogden City Division of Water Utilities,,Public,10/29/2020,,,,,87031.0,,,Water Supplier,2018,,2018-12-31,2018-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S11,UDWRi_Site Specific Withdrawal,UTSS_WS11,27247.5,,,Water Supplier,Woodland Mutual Water Company,,Public,10/29/2020,,,,,285.0,,,Water Supplier,2019,,2019-12-31,2019-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S12,UDWRi_Site Specific Withdrawal,UTSS_WS12,27247.5,,,Water Supplier,Woodland Mutual Water Company,,Public,10/29/2020,,,,,285.0,,,Water Supplier,2019,,2019-12-31,2019-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S13,UDWRi_Site Specific Withdrawal,UTSS_WS13,12056.50286,,,Water Supplier,Manderfield Municipal Water System,,Public,10/29/2020,,,,,35.0,,,Water Supplier,2019,,2019-12-31,2019-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S14,UDWRi_Site Specific Withdrawal,UTSS_WS14,29002.01403,,,Water Supplier,Leamington Town Water,,Public,10/29/2020,,,,,250.0,,,Water Supplier,1998,,1998-12-31,1998-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S15,UDWRi_Site Specific Withdrawal,UTSS_WS15,29002.01403,,,Water Supplier,Leamington Town Water,,Public,10/29/2020,,,,,250.0,,,Water Supplier,1998,,1998-12-31,1998-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S14,UDWRi_Site Specific Withdrawal,UTSS_WS14,29002.01403,,,Water Supplier,Leamington Town Water,,Public,10/29/2020,,,,,250.0,,,Water Supplier,1997,,1997-12-31,1997-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S15,UDWRi_Site Specific Withdrawal,UTSS_WS15,29002.01403,,,Water Supplier,Leamington Town Water,,Public,10/29/2020,,,,,250.0,,,Water Supplier,1997,,1997-12-31,1997-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S14,UDWRi_Site Specific Withdrawal,UTSS_WS14,29002.01403,,,Water Supplier,Leamington Town Water,,Public,10/29/2020,,,,,250.0,,,Water Supplier,1996,,1996-12-31,1996-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S15,UDWRi_Site Specific Withdrawal,UTSS_WS15,29002.01403,,,Water Supplier,Leamington Town Water,,Public,10/29/2020,,,,,250.0,,,Water Supplier,1996,,1996-12-31,1996-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S16,UDWRi_Site Specific Withdrawal,UTSS_WS16,18692.29808,,,Water Supplier,Covered Bridge Canyon,,Public,10/29/2020,,,,,275.0,,,Water Supplier,2002,,2002-12-31,2002-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S16,UDWRi_Site Specific Withdrawal,UTSS_WS16,21298.17904,,,Water Supplier,Covered Bridge Canyon,,Public,10/29/2020,,,,,275.0,,,Water Supplier,2001,,2001-12-31,2001-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S16,UDWRi_Site Specific Withdrawal,UTSS_WS16,13429.93263,,,Water Supplier,Covered Bridge Canyon,,Public,10/29/2020,,,,,250.0,,,Water Supplier,1998,,1998-12-31,1998-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S17,UDWRi_Site Specific Withdrawal,UTSS_WS17,170415.0,,,Water Supplier,Pleasant View City Culinary Water,,Public,10/29/2020,,,,,7820.0,,,Water Supplier,2019,,2019-12-31,2019-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S17,UDWRi_Site Specific Withdrawal,UTSS_WS17,164487.0,,,Water Supplier,Pleasant View City Culinary Water,,Public,10/29/2020,,,,,7880.0,,,Water Supplier,2018,,2018-12-31,2018-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S17,UDWRi_Site Specific Withdrawal,UTSS_WS17,167215.0,,,Water Supplier,Pleasant View City Culinary Water,,Public,10/29/2020,,,,,7360.0,,,Water Supplier,2017,,2017-12-31,2017-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S17,UDWRi_Site Specific Withdrawal,UTSS_WS17,208359.961,,,Water Supplier,Pleasant View City Culinary Water,,Public,10/29/2020,,,,,4719.0,,,Water Supplier,2006,,2006-12-31,2006-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S17,UDWRi_Site Specific Withdrawal,UTSS_WS17,232120.0034,,,Water Supplier,Pleasant View City Culinary Water,,Public,10/29/2020,,,,,4500.0,,,Water Supplier,2005,,2005-12-31,2005-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S17,UDWRi_Site Specific Withdrawal,UTSS_WS17,219537.0056,,,Water Supplier,Pleasant View City Culinary Water,,Public,10/29/2020,,,,,4500.0,,,Water Supplier,2004,,2004-12-31,2004-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S17,UDWRi_Site Specific Withdrawal,UTSS_WS17,131868.4575,,,Water Supplier,Pleasant View City Culinary Water,,Public,10/29/2020,,,,,3900.0,,,Water Supplier,2003,,2003-12-31,2003-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S17,UDWRi_Site Specific Withdrawal,UTSS_WS17,276706.1157,,,Water Supplier,Pleasant View City Culinary Water,,Public,10/29/2020,,,,,4575.0,,,Water Supplier,2002,,2002-12-31,2002-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S17,UDWRi_Site Specific Withdrawal,UTSS_WS17,201089.7736,,,Water Supplier,Pleasant View City Culinary Water,,Public,10/29/2020,,,,,0.0,,,Water Supplier,2001,,2001-12-31,2001-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S17,UDWRi_Site Specific Withdrawal,UTSS_WS17,209605.5559,,,Water Supplier,Pleasant View City Culinary Water,,Public,10/29/2020,,,,,3639.0,,,Water Supplier,2000,,2000-12-31,2000-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S17,UDWRi_Site Specific Withdrawal,UTSS_WS17,83597.8054,,,Water Supplier,Pleasant View City Culinary Water,,Public,10/29/2020,,,,,2000.0,,,Water Supplier,1999,,1999-12-31,1999-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S18,UDWRi_Site Specific Withdrawal,UTSS_WS18,54061.75429,,,Water Supplier,Pleasant View City Culinary Water,,Public,10/29/2020,,,,,4800.0,,,Water Supplier,1998,,1998-12-31,1998-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S17,UDWRi_Site Specific Withdrawal,UTSS_WS17,54061.75429,,,Water Supplier,Pleasant View City Culinary Water,,Public,10/29/2020,,,,,4800.0,,,Water Supplier,1998,,1998-12-31,1998-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S18,UDWRi_Site Specific Withdrawal,UTSS_WS18,56924.95312000001,,,Water Supplier,Pleasant View City Culinary Water,,Public,10/29/2020,,,,,4800.0,,,Water Supplier,1997,,1997-12-31,1997-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S17,UDWRi_Site Specific Withdrawal,UTSS_WS17,56924.95312000001,,,Water Supplier,Pleasant View City Culinary Water,,Public,10/29/2020,,,,,4800.0,,,Water Supplier,1997,,1997-12-31,1997-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S18,UDWRi_Site Specific Withdrawal,UTSS_WS18,65918.57768,,,Water Supplier,Pleasant View City Culinary Water,,Public,10/29/2020,,,,,4800.0,,,Water Supplier,1996,,1996-12-31,1996-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S17,UDWRi_Site Specific Withdrawal,UTSS_WS17,65918.57768,,,Water Supplier,Pleasant View City Culinary Water,,Public,10/29/2020,,,,,4800.0,,,Water Supplier,1996,,1996-12-31,1996-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S20,UDWRi_Site Specific Withdrawal,UTSS_WS20,19790.0,,,Water Supplier,"Fremont Water Works Company, Inc.",,Public,10/29/2020,,,,,265.0,,,Water Supplier,2019,,2019-12-31,2019-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S20,UDWRi_Site Specific Withdrawal,UTSS_WS20,21204.599,,,Water Supplier,"Fremont Water Works Company, Inc.",,Public,10/29/2020,,,,,270.0,,,Water Supplier,2018,,2018-12-31,2018-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S20,UDWRi_Site Specific Withdrawal,UTSS_WS20,20404.875,,,Water Supplier,"Fremont Water Works Company, Inc.",,Public,10/29/2020,,,,,255.0,,,Water Supplier,2017,,2017-12-31,2017-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S20,UDWRi_Site Specific Withdrawal,UTSS_WS20,19354.6,,,Water Supplier,"Fremont Water Works Company, Inc.",,Public,10/29/2020,,,,,250.0,,,Water Supplier,2016,,2016-12-31,2016-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S21,UDWRi_Site Specific Withdrawal,UTSS_WS21,27814.097,,,Water Supplier,Eureka City Corporation (Culinary),,Public,10/29/2020,,,,,790.0,,,Water Supplier,2017,,2017-12-31,2017-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S22,UDWRi_Site Specific Withdrawal,UTSS_WS22,24938.73186,,,Water Supplier,Eureka City Corporation (Culinary),,Public,10/29/2020,,,,,750.0,,,Water Supplier,1999,,1999-12-31,1999-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S22,UDWRi_Site Specific Withdrawal,UTSS_WS22,25537.77346,,,Water Supplier,Eureka City Corporation (Culinary),,Public,10/29/2020,,,,,750.0,,,Water Supplier,1998,,1998-12-31,1998-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S22,UDWRi_Site Specific Withdrawal,UTSS_WS22,28242.96132,,,Water Supplier,Eureka City Corporation (Culinary),,Public,10/29/2020,,,,,700.0,,,Water Supplier,1997,,1997-12-31,1997-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S22,UDWRi_Site Specific Withdrawal,UTSS_WS22,22121.53622,,,Water Supplier,Eureka City Corporation (Culinary),,Public,10/29/2020,,,,,640.0,,,Water Supplier,1996,,1996-12-31,1996-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S23,UDWRi_Site Specific Withdrawal,UTSS_WS23,65706.417,,,Water Supplier,North Emery Water Users Special Service District,,Public,10/29/2020,,,,,1250.0,,,Water Supplier,2019,,2019-12-31,2019-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S23,UDWRi_Site Specific Withdrawal,UTSS_WS23,55721.809,,,Water Supplier,North Emery Water Users Special Service District,,Public,10/29/2020,,,,,1200.0,,,Water Supplier,2018,,2018-12-31,2018-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S23,UDWRi_Site Specific Withdrawal,UTSS_WS23,55686.8,,,Water Supplier,North Emery Water Users Special Service District,,Public,10/29/2020,,,,,1070.0,,,Water Supplier,2017,,2017-12-31,2017-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S26,UDWRi_Site Specific Withdrawal,UTSS_WS26,55686.8,,,Water Supplier,North Emery Water Users Special Service District,,Public,10/29/2020,,,,,1070.0,,,Water Supplier,2017,,2017-12-31,2017-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S23,UDWRi_Site Specific Withdrawal,UTSS_WS23,66568.18834,,,Water Supplier,North Emery Water Users Special Service District,,Public,10/29/2020,,,,,1410.0,,,Water Supplier,2013,,2013-12-31,2013-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S27,UDWRi_Site Specific Withdrawal,UTSS_WS27,0.0,,,Water Supplier,Sunridge Subdivision Water,,Public,10/29/2020,,,,,0.0,,,Water Supplier,2009,,2009-12-31,2009-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S28,UDWRi_Site Specific Withdrawal,UTSS_WS28,195.0135426,,,Water Supplier,Sunridge Subdivision Water,,Public,10/29/2020,,,,,0.0,,,Water Supplier,2002,,2002-12-31,2002-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S27,UDWRi_Site Specific Withdrawal,UTSS_WS27,195.0135426,,,Water Supplier,Sunridge Subdivision Water,,Public,10/29/2020,,,,,0.0,,,Water Supplier,2002,,2002-12-31,2002-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S28,UDWRi_Site Specific Withdrawal,UTSS_WS28,195.0135426,,,Water Supplier,Sunridge Subdivision Water,,Public,10/29/2020,,,,,0.0,,,Water Supplier,2001,,2001-12-31,2001-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S27,UDWRi_Site Specific Withdrawal,UTSS_WS27,195.0135426,,,Water Supplier,Sunridge Subdivision Water,,Public,10/29/2020,,,,,0.0,,,Water Supplier,2001,,2001-12-31,2001-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S28,UDWRi_Site Specific Withdrawal,UTSS_WS28,195.0135426,,,Water Supplier,Sunridge Subdivision Water,,Public,10/29/2020,,,,,0.0,,,Water Supplier,2000,,2000-12-31,2000-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S27,UDWRi_Site Specific Withdrawal,UTSS_WS27,195.0135426,,,Water Supplier,Sunridge Subdivision Water,,Public,10/29/2020,,,,,0.0,,,Water Supplier,2000,,2000-12-31,2000-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S28,UDWRi_Site Specific Withdrawal,UTSS_WS28,195.0135426,,,Water Supplier,Sunridge Subdivision Water,,Public,10/29/2020,,,,,0.0,,,Water Supplier,1999,,1999-12-31,1999-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S27,UDWRi_Site Specific Withdrawal,UTSS_WS27,195.0135426,,,Water Supplier,Sunridge Subdivision Water,,Public,10/29/2020,,,,,0.0,,,Water Supplier,1999,,1999-12-31,1999-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S28,UDWRi_Site Specific Withdrawal,UTSS_WS28,76.00527814,,,Water Supplier,Sunridge Subdivision Water,,Public,10/29/2020,,,,,0.0,,,Water Supplier,1998,,1998-12-31,1998-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S27,UDWRi_Site Specific Withdrawal,UTSS_WS27,76.00527814,,,Water Supplier,Sunridge Subdivision Water,,Public,10/29/2020,,,,,0.0,,,Water Supplier,1998,,1998-12-31,1998-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S28,UDWRi_Site Specific Withdrawal,UTSS_WS28,76.00527814,,,Water Supplier,Sunridge Subdivision Water,,Public,10/29/2020,,,,,0.0,,,Water Supplier,1997,,1997-12-31,1997-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S27,UDWRi_Site Specific Withdrawal,UTSS_WS27,76.00527814,,,Water Supplier,Sunridge Subdivision Water,,Public,10/29/2020,,,,,0.0,,,Water Supplier,1997,,1997-12-31,1997-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S28,UDWRi_Site Specific Withdrawal,UTSS_WS28,77.00534759,,,Water Supplier,Sunridge Subdivision Water,,Public,10/29/2020,,,,,0.0,,,Water Supplier,1996,,1996-12-31,1996-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S27,UDWRi_Site Specific Withdrawal,UTSS_WS27,77.00534759,,,Water Supplier,Sunridge Subdivision Water,,Public,10/29/2020,,,,,0.0,,,Water Supplier,1996,,1996-12-31,1996-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S29,UDWRi_Site Specific Withdrawal,UTSS_WS29,77673.39399,,,Water Supplier,Zion National Park (Zion Canyon Water System) Culinary,,Public,10/29/2020,,,,,3300.0,,,Water Supplier,2000,,2000-12-31,2000-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S31,UDWRi_Site Specific Withdrawal,UTSS_WS31,77673.39399,,,Water Supplier,Zion National Park (Zion Canyon Water System) Culinary,,Public,10/29/2020,,,,,3300.0,,,Water Supplier,2000,,2000-12-31,2000-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S29,UDWRi_Site Specific Withdrawal,UTSS_WS29,75203.22245,,,Water Supplier,Zion National Park (Zion Canyon Water System) Culinary,,Public,10/29/2020,,,,,3300.0,,,Water Supplier,1999,,1999-12-31,1999-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S31,UDWRi_Site Specific Withdrawal,UTSS_WS31,75203.22245,,,Water Supplier,Zion National Park (Zion Canyon Water System) Culinary,,Public,10/29/2020,,,,,3300.0,,,Water Supplier,1999,,1999-12-31,1999-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S32,UDWRi_Site Specific Withdrawal,UTSS_WS32,75203.22245,,,Water Supplier,Zion National Park (Zion Canyon Water System) Culinary,,Public,10/29/2020,,,,,3300.0,,,Water Supplier,1999,,1999-12-31,1999-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S33,UDWRi_Site Specific Withdrawal,UTSS_WS33,75203.22245,,,Water Supplier,Zion National Park (Zion Canyon Water System) Culinary,,Public,10/29/2020,,,,,3300.0,,,Water Supplier,1999,,1999-12-31,1999-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S34,UDWRi_Site Specific Withdrawal,UTSS_WS34,75203.22245,,,Water Supplier,Zion National Park (Zion Canyon Water System) Culinary,,Public,10/29/2020,,,,,3300.0,,,Water Supplier,1999,,1999-12-31,1999-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S29,UDWRi_Site Specific Withdrawal,UTSS_WS29,67833.71067,,,Water Supplier,Zion National Park (Zion Canyon Water System) Culinary,,Public,10/29/2020,,,,,3300.0,,,Water Supplier,1998,,1998-12-31,1998-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S31,UDWRi_Site Specific Withdrawal,UTSS_WS31,67833.71067,,,Water Supplier,Zion National Park (Zion Canyon Water System) Culinary,,Public,10/29/2020,,,,,3300.0,,,Water Supplier,1998,,1998-12-31,1998-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S32,UDWRi_Site Specific Withdrawal,UTSS_WS32,67833.71067,,,Water Supplier,Zion National Park (Zion Canyon Water System) Culinary,,Public,10/29/2020,,,,,3300.0,,,Water Supplier,1998,,1998-12-31,1998-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S33,UDWRi_Site Specific Withdrawal,UTSS_WS33,67833.71067,,,Water Supplier,Zion National Park (Zion Canyon Water System) Culinary,,Public,10/29/2020,,,,,3300.0,,,Water Supplier,1998,,1998-12-31,1998-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S34,UDWRi_Site Specific Withdrawal,UTSS_WS34,67833.71067,,,Water Supplier,Zion National Park (Zion Canyon Water System) Culinary,,Public,10/29/2020,,,,,3300.0,,,Water Supplier,1998,,1998-12-31,1998-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S29,UDWRi_Site Specific Withdrawal,UTSS_WS29,83904.82672000001,,,Water Supplier,Zion National Park (Zion Canyon Water System) Culinary,,Public,10/29/2020,,,,,3300.0,,,Water Supplier,1997,,1997-12-31,1997-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S31,UDWRi_Site Specific Withdrawal,UTSS_WS31,83904.82672000001,,,Water Supplier,Zion National Park (Zion Canyon Water System) Culinary,,Public,10/29/2020,,,,,3300.0,,,Water Supplier,1997,,1997-12-31,1997-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S32,UDWRi_Site Specific Withdrawal,UTSS_WS32,83904.82672000001,,,Water Supplier,Zion National Park (Zion Canyon Water System) Culinary,,Public,10/29/2020,,,,,3300.0,,,Water Supplier,1997,,1997-12-31,1997-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S33,UDWRi_Site Specific Withdrawal,UTSS_WS33,83904.82672000001,,,Water Supplier,Zion National Park (Zion Canyon Water System) Culinary,,Public,10/29/2020,,,,,3300.0,,,Water Supplier,1997,,1997-12-31,1997-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S34,UDWRi_Site Specific Withdrawal,UTSS_WS34,83904.82672000001,,,Water Supplier,Zion National Park (Zion Canyon Water System) Culinary,,Public,10/29/2020,,,,,3300.0,,,Water Supplier,1997,,1997-12-31,1997-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S29,UDWRi_Site Specific Withdrawal,UTSS_WS29,83058.76797,,,Water Supplier,Zion National Park (Zion Canyon Water System) Culinary,,Public,10/29/2020,,,,,3300.0,,,Water Supplier,1996,,1996-12-31,1996-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S31,UDWRi_Site Specific Withdrawal,UTSS_WS31,83058.76797,,,Water Supplier,Zion National Park (Zion Canyon Water System) Culinary,,Public,10/29/2020,,,,,3300.0,,,Water Supplier,1996,,1996-12-31,1996-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S32,UDWRi_Site Specific Withdrawal,UTSS_WS32,83058.76797,,,Water Supplier,Zion National Park (Zion Canyon Water System) Culinary,,Public,10/29/2020,,,,,3300.0,,,Water Supplier,1996,,1996-12-31,1996-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S33,UDWRi_Site Specific Withdrawal,UTSS_WS33,83058.76797,,,Water Supplier,Zion National Park (Zion Canyon Water System) Culinary,,Public,10/29/2020,,,,,3300.0,,,Water Supplier,1996,,1996-12-31,1996-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S34,UDWRi_Site Specific Withdrawal,UTSS_WS34,83058.76797,,,Water Supplier,Zion National Park (Zion Canyon Water System) Culinary,,Public,10/29/2020,,,,,3300.0,,,Water Supplier,1996,,1996-12-31,1996-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S38,UDWRi_Site Specific Withdrawal,UTSS_WS38,113556.1858,,,Water Supplier,Herriman City (Culinary),,Public,10/29/2020,,,,,1550.0,,,Water Supplier,2001,,2001-12-31,2001-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S40,UDWRi_Site Specific Withdrawal,UTSS_WS40,1571065.0,,,Water Supplier,Hyrum City Water System,,Public,10/29/2020,,,,,6700.0,,,Water Supplier,2007,,2007-12-31,2007-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S41,UDWRi_Site Specific Withdrawal,UTSS_WS41,1571065.0,,,Water Supplier,Hyrum City Water System,,Public,10/29/2020,,,,,6700.0,,,Water Supplier,2007,,2007-12-31,2007-01-01
