System Name_Sys,System ID_Sys,System Type_Sys,System Status_Sys,History Year_Sys,Date Received_Sys,County_Sys,Use Cooling Percent_Sys,Use Process Percent_Sys,Use Domestic Percent_Sys,Use Miscellaneous Percent_Sys,Irrigation (Lawn and Garden) Percent_Sys,Acres Irrigated_Sys,Irrigation (Agriculture)_Sys,Acres Irrigated.1_Sys,DEQ ID_Sys,Population_Sys,Domestic Use_Sys,Commercial Use_Sys,Industrial Use_Sys,Institutional Use_Sys,Total Use_Sys,Domestic Connections_Sys,Commercial Connections_Sys,Industrial Connections_Sys,Institutional Connections_Sys,Total Connections_Sys,Peak Date_Sys,Peak Demand_Sys,Peak Demand Units_Sys,Peak Use Include_Sys,Peak Measurement Type_Sys,Peak Wholesale Volume_Sys,Peak Wholesale Volume Units_Sys,SystemID_Year_ID,System Name_Sour,System ID_Sour,Year_Sour,Source ID_Sour,Source Name_Sour,Source Status_Sour,Lat NAD83_Sour,Lon NAD83_Sour,Source Type_Sour,Diversion Type_Sour,Use Type_Sour,Units_Sour,Jan_Sour,Feb_Sour,Mar_Sour,Apr_Sour,May_Sour,Jun_Sour,Jul_Sour,Aug_Sour,Sep_Sour,Oct_Sour,Nov_Sour,Dec_Sour,Total_Sour,Unnamed: 25,ReasonRemoved,index,TimeframeEnd,TimeframeStart
Riverdale City,1001,Public,Active,1989,2/2/1990,Weber,,,,,,,,,29015,7400.0,1969.921014,82.07991436,0.0,,2052.000928,0.0,0.0,0.0,,1429.0,,,,,,,,10011989,Riverdale City,1001,1989,10010003,Purchased from Weber Basin WCD (WS002),Active,,,,Transfer In,Water Supplier,acre feet,90.13,99.38,106.21001000000001,142.80002,128.81,66.39,56.52,33.64,21.19,19.01,14.81,14.49,793.38003,793.38003,Null Lat NAD83,90.0,1989-12-31,1989-01-01
Riverdale City,1001,Public,Active,1990,3/8/1991,Weber,,,,,,,,,29015,7400.0,0.0,0.0,0.0,,1819.001267,0.0,0.0,0.0,,1406.0,,,,,,,,10011990,Riverdale City,1001,1990,10010003,Purchased from Weber Basin WCD (WS002),Active,,,,Transfer In,Water Supplier,acre feet,86.02,64.98001,56.18,132.64999,100.76001,68.2,90.67,79.90001,24.59,17.89,38.72,48.05,808.61002,808.61002,Null Lat NAD83,92.0,1990-12-31,1990-01-01
Riverdale City,1001,Public,Active,1991,2/6/1992,Weber,,,,,,,,,29015,6200.0,0.0,0.0,0.0,,1837.0015170000001,0.0,0.0,0.0,,0.0,,,,,,,,10011991,Riverdale City,1001,1991,10010003,Purchased from Weber Basin WCD (WS002),Active,,,,Transfer In,Water Supplier,acre feet,17.31,15.19,15.89,17.83,18.7,85.31,102.2,210.86002000000002,152.77002,39.45,29.3,100.85001,805.66005,805.66005,Null Lat NAD83,94.0,1991-12-31,1991-01-01
Riverdale City,1001,Public,Active,1992,2/16/1993,Weber,,,,,,,,,29015,6500.0,0.0,0.0,0.0,,1861.999308,0.0,0.0,0.0,,1476.0,,,,,,,,10011992,Riverdale City,1001,1992,10010003,Purchased from Weber Basin WCD (WS002),Active,,,,Transfer In,Water Supplier,acre feet,87.86,32.76,78.72,154.80002,103.27,59.88,46.31001,105.34,98.01001,19.0,17.71,17.71,821.37004,821.37004,Null Lat NAD83,97.0,1992-12-31,1992-01-01
Riverdale City,1001,Public,Active,1993,1/24/1994,Weber,,,,,,,,,29015,6500.0,1408.0001519999998,306.99864469999994,1.000525429,,1715.999322,1242.0,270.0,1.0,,1513.0,,,,,,,,10011993,Riverdale City,1001,1993,10010003,Purchased from Weber Basin WCD (WS002),Active,,,,Transfer In,Water Supplier,acre feet,16.92,16.34,76.86,95.18001,154.48001000000002,160.67001000000002,41.53,48.39,65.37001,22.44,22.29,78.53,799.00004,799.00004,Null Lat NAD83,100.0,1993-12-31,1993-01-01
Riverdale City,1001,Public,Active,1994,2/16/1995,Weber,,,,,,,,,29015,7500.0,1667.998655,418.56029920000003,1.000525429,,2087.559479,0.0,0.0,0.0,,1504.0,,,,,,,,10011994,Riverdale City,1001,1994,10010003,Purchased from Weber Basin WCD (WS002),Active,,,,Transfer In,Water Supplier,acre feet,61.15,13.68,9.8,10.19,47.2,102.39,143.70001000000002,126.04001000000001,47.25,10.15,89.8,110.65001000000001,772.00003,772.00003,Null Lat NAD83,102.0,1994-12-31,1994-01-01
Riverdale City,1001,Public,Active,1995,2/27/1996,Weber,,,,,,,,,29015,7500.0,1829.0003829999998,96.00133567,0.500262715,,1925.501981,1387.0,162.0,1.0,,1550.0,,,,,,,,10011995,Riverdale City,1001,1995,10010003,Purchased from Weber Basin WCD (WS002),Active,,,,Transfer In,Water Supplier,acre feet,29.6,16.31,26.03,34.89,27.5,39.62,148.99002,136.62,65.45,66.82001,82.93001,114.97,789.73004,789.73004,Null Lat NAD83,104.0,1995-12-31,1995-01-01
Riverdale City,1001,Public,Active,1996,3/6/1997,Weber,,,,,,,,,29015,7200.0,1636.0002550000002,488.99913080000005,0.0,,2124.999386,1428.0,154.0,0.0,,1582.0,,,,,,,,10011996,Riverdale City,1001,1996,10010003,Purchased from Weber Basin WCD (WS002),Active,,,,Transfer In,Water Supplier,acre feet,64.81,25.54,24.17,13.92,30.38,102.11,168.85001,162.88,65.27,12.29,8.74,113.46001000000001,792.4200400000001,792.42002,Null Lat NAD83,106.0,1996-12-31,1996-01-01
Riverdale City,1001,Public,Active,1997,2/20/1998,Weber,,,,,,,,,29015,7250.0,1631.0006970000002,433.00039780000003,0.0,,2064.001095,1527.0,165.0,0.0,,1692.0,,,,,,,,10011997,Riverdale City,1001,1997,10010003,Purchased from Weber Basin WCD (WS002),Active,,,,Transfer In,Water Supplier,acre feet,98.8,85.02,102.32001,35.87,61.91,83.15001,154.42999,131.67001000000002,68.34,11.24,8.1,12.11,852.9600199999999,852.9600199999999,Null Lat NAD83,108.0,1997-12-31,1997-01-01
Riverdale City,1001,Public,Active,1998,2/23/1999,Weber,,,,,,,,,29015,0.0,4.8737250969999995,1.292089588,0.0,,6.165814686,1678.0,153.0,0.0,1.0,1832.0,,,,,,,,10011998,Riverdale City,1001,1998,10010003,Purchased from Weber Basin WCD (WS002),Active,,,,Transfer In,Water Supplier,acre feet,10.31,8.59,10.45,11.25,43.7,120.76001000000001,203.71002,177.22,96.03,38.52,36.83,54.36,811.7300299999999,811.7300299999999,Null Lat NAD83,111.0,1998-12-31,1998-01-01
Riverdale City,1001,Public,Active,1999,3/22/2000,Weber,,,,,,,,,29015,8250.0,1788.568107,475.40917189999993,0.0,,2263.9772789999997,1760.0,156.0,0.0,,1916.0,,,,,,,,10011999,Riverdale City,1001,1999,10010003,Purchased from Weber Basin WCD (WS002),Active,,,,Transfer In,Water Supplier,acre feet,36.51,34.53,36.23,14.01,11.01,103.86,243.77002000000002,259.07001,104.15001,35.93,32.02,18.68,929.77004,929.77004,Null Lat NAD83,114.0,1999-12-31,1999-01-01
Riverdale City,1001,Public,Active,2000,2/8/2001,Weber,,,,,,,,,29015,8250.0,1843.124365,522.0348845999999,3.0015762880000003,103.0080828,2471.1689079999996,1765.0,148.0,2.0,21.0,1939.0,,,,,,,,10012000,Riverdale City,1001,2000,10010003,Purchased from Weber Basin WCD (WS002),Active,,,,Transfer In,Water Supplier,acre feet,9.62,7.72,11.27,10.68,87.40001,185.09,250.01001000000002,247.11002000000002,70.78,22.6,12.84,11.32,926.4400400000001,926.4400400000001,Null Lat NAD83,117.0,2000-12-31,2000-01-01
Riverdale City,1001,Public,Active,2001,3/25/2002,Weber,,,,,,,,,29015,7800.0,1849.0,438.0,16.0,149.0,2467.0,1818.0,172.0,3.0,22.0,2018.0,,,,,,,,10012001,Riverdale City,1001,2001,10010003,Purchased from Weber Basin WCD (WS002),Active,,,,Transfer In,Water Supplier,acre feet,11.57,9.8,10.61,11.84,103.19,162.62,238.03,31.93,60.68,67.91,112.92,78.49,899.59,899.59,Null Lat NAD83,120.0,2001-12-31,2001-01-01
Riverdale City,1001,Public,Active,2002,2/21/2003,Weber,,,,,,,,,29015,7874.0,1743.0,464.0,10.0,73.0,2306.0,1845.0,175.0,3.0,22.0,2052.0,,,,,,,,10012002,Riverdale City,1001,2002,10010003,Purchased from Weber Basin WCD (WS002),Active,,,,Transfer In,Water Supplier,acre feet,59.13,46.23,94.83,125.76,191.42,128.08,184.72,133.44,38.14,11.95,74.46,8.19,1096.35,1096.35,Null Lat NAD83,123.0,2002-12-31,2002-01-01
Riverdale City,1001,Public,Active,2003,3/12/2004,Weber,,,,,,,,,29015,8026.0,1711.0,483.0,5.0,124.0,2323.0,1901.0,182.0,6.0,27.0,2116.0,,,,,,,,10012003,Riverdale City,1001,2003,10010003,Purchased from Weber Basin WCD (WS002),Active,,,,Transfer In,Water Supplier,acre feet,8.06,6.35,19.3,9.39,27.82,117.13,294.31,353.35,272.0,17.17,8.77,27.18,1160.83,1160.83,Null Lat NAD83,127.0,2003-12-31,2003-01-01
Riverdale City,1001,Public,Active,2004,2/4/2005,Weber,,,,,,,,,29015,8194.0,1699.0,496.0,6.0,96.0,2299.0,1962.0,197.0,6.0,27.0,2192.0,,,,,,,,10012004,Riverdale City,1001,2004,10010003,Purchased from Weber Basin WCD (WS002),Active,,,,Transfer In,Water Supplier,acre feet,104.74,64.09,8.28,9.01,26.71,47.17,140.5,173.61,136.87,126.27,116.78,96.76,1050.79,1050.79,Null Lat NAD83,131.0,2004-12-31,2004-01-01
Riverdale City,1001,Public,Active,2005,1/23/2006,Weber,,,,,,,,,29015,8328.0,1661.0,474.0,5.0,93.0,2233.0,2013.0,197.0,6.0,28.0,2244.0,,,,,,,,10012005,Riverdale City,1001,2005,10010003,Purchased from Weber Basin WCD (WS002),Active,,,,Transfer In,Water Supplier,acre feet,96.08,84.13,94.05,85.18,25.67,160.26,302.97,160.55,52.2,10.74,7.89,9.27,1088.99,1088.99,Null Lat NAD83,135.0,2005-12-31,2005-01-01
Riverdale City,1001,Public,Active,2006,1/16/2007,Weber,,,,,,,,,29015,8415.0,1762.0,618.0,5.0,87.0,2472.0,2011.0,171.0,4.0,29.0,2215.0,,,,,,,,10012006,Riverdale City,1001,2006,10010003,Purchased from Weber Basin WCD (WS002),Active,,,,Transfer In,Water Supplier,acre feet,8.99,7.59,8.66,7.7,78.95,251.36,202.45,167.58,99.11,11.8,81.24,103.77,1029.2,1029.2,Null Lat NAD83,138.0,2006-12-31,2006-01-01
Riverdale City,1001,Public,Active,2007,1/15/2008,Weber,,,,,,,,,29015,8444.0,1815.0,701.0,4.0,158.0,2678.0,2048.0,204.0,4.0,32.0,2288.0,,,,,,,,10012007,Riverdale City,1001,2007,10010003,Purchased from Weber Basin WCD (WS002),Active,,,,Transfer In,Water Supplier,acre feet,32.32,7.35,7.63,10.01,85.03,139.83,363.81,387.78,100.62,9.67,8.95,9.82,1162.82,1162.82,Null Lat NAD83,140.0,2007-12-31,2007-01-01
Riverdale City,1001,Public,Active,2008,1/16/2009,Weber,,,,,,,,,29015,8462.0,1879.0,503.0,4.0,156.0,2542.4,2065.0,194.0,4.0,32.0,2295.0,,,,,,,,10012008,Riverdale City,1001,2008,10010003,Purchased from Weber Basin WCD (WS002),Active,,,,Transfer In,Water Supplier,acre feet,11.15,10.14,9.97,10.17,30.77,105.46,227.82,245.21,121.2,71.51,98.99,95.67,1038.06,1038.06,Null Lat NAD83,142.0,2008-12-31,2008-01-01
Riverdale City,1001,Public,Active,2009,1/29/2010,Weber,,,,,,,,,29015,8462.0,1605.0,458.0,4.0,122.0,2190.0,2074.0,194.0,4.0,32.0,2304.0,,,,,,,,10012009,Riverdale City,1001,2009,10010003,Purchased from Weber Basin WCD (WS002),Active,,,,Transfer In,Water Supplier,acre feet,29.0,7.63,8.95,8.52,51.4,54.21,168.45,224.38,199.32,10.36,47.9,104.47,914.59,914.59,Null Lat NAD83,144.0,2009-12-31,2009-01-01
Riverdale City,1001,Public,Active,2010,1/28/2011,Weber,,,,,,,,,29015,8493.0,1746.0,493.0,5.0,124.0,2388.0,2086.0,202.0,4.0,35.0,2329.0,,,,,,,,10012010,Riverdale City,1001,2010,10010003,Purchased from Weber Basin WCD (WS002),Active,,,,Transfer In,Water Supplier,acre feet,20.21,34.65,106.76,99.0,34.33,93.13,193.28,195.82,43.06,19.27,90.18,90.3,1019.99,1019.99,Null Lat NAD83,146.0,2010-12-31,2010-01-01
Riverdale City,1001,Public,Active,2013,1/10/2014,Weber,,,,,,,,,29015,8500.0,1641.75,485.8,3.7,138.1,2274.35,2117.0,198.0,4.0,36.0,2357.0,,,,,,,,10012013,Riverdale City,1001,2013,10010003,Purchased from Weber Basin WCD (WS002),Active,,,,Transfer In,Water Supplier,acre feet,45.75,5.67,6.36,27.68,49.13,101.43,171.22,187.99,82.56,38.57,59.75,0.0,776.11,776.11,Null Lat NAD83,148.0,2013-12-31,2013-01-01
Riverdale City,1001,Public,Active,2014,3/13/2015,Weber,,,,,,,,,29015,8500.0,1558.36,473.26,3.52,128.98,2174.12,2134.0,232.0,4.0,36.0,2408.0,,,,,,,,10012014,Riverdale City,1001,2014,10010003,Purchased from Weber Basin WCD (WS002),Active,,,,Transfer In,Water Supplier,acre feet,33.45,4.35,3.86,5.8,17.51,80.81,166.78,175.83,220.78,92.35,42.25,44.82,888.59,888.59,Null Lat NAD83,150.0,2014-12-31,2014-01-01
Riverdale City,1001,Public,Active,2015,2/29/2016,Weber,,,,,,,,,29015,8770.0,1432.0,435.7,4.65,121.39,1993.74,2091.0,247.0,4.0,38.0,2380.0,,,,,,,,10012015,Riverdale City,1001,2015,10010003,Purchased from Weber Basin WCD (WS002),Active,,,,Transfer In,Water Supplier,acre feet,18.6,2.15,2.38,10.03,8.32,130.41,254.9,260.05,110.61,44.29,33.23,27.89,902.86,902.86,Null Lat NAD83,152.0,2015-12-31,2015-01-01
Riverdale City,1001,Public,Active,2016,2/21/2017,Weber,,,,,,,,,29015,8840.0,1570.09,467.18,2.7,130.9,2170.87,2297.0,217.0,4.0,41.0,2559.0,,,,,,,,10012016,Riverdale City,1001,2016,10010003,Purchased from Weber Basin WCD (WS002),Active,,,,Transfer In,Water Supplier,acre feet,12.69,31.25,74.14,4.67,0.34,124.86,301.45,364.89,237.31,88.04,0.6,0.65,1240.89,1240.89,Null Lat NAD83,154.0,2016-12-31,2016-01-01
Riverdale City,1001,Public,Active,2017,3/6/2018,Weber,,,,,,,,,29015,8850.0,1534.0,487.63,1.84,132.27,2155.74,2125.0,228.0,4.0,41.0,2398.0,8/15/2017,14.0,acre feet,Indoor and Outdoor,Metered,,,10012017,Riverdale City,1001,2017,10010003,Purchased from Weber Basin WCD (WS002),Active,,,,Transfer In,Water Supplier,acre feet,11.32,0.72,0.58,5.54,2.32,139.09,220.31,280.97,134.9,40.89,47.84,58.37,942.85,942.85,Null Lat NAD83,156.0,2017-12-31,2017-01-01
Riverdale City,1001,Public,Active,2018,2/28/2019,Weber,,,,,,,,,29015,9270.0,1692.7,530.67,0.32,153.2,2376.89,2253.0,226.0,4.0,41.0,2524.0,,,,,,,,10012018,Riverdale City,1001,2018,10010003,Purchased from Weber Basin WCD (WS002),Active,,,,Transfer In,Water Supplier,acre feet,99.38,31.59,8.3,42.79,75.55,116.92,142.73,132.61,146.12,144.36,100.03,92.12,1132.5,1132.5,Null Lat NAD83,158.0,2018-12-31,2018-01-01
Riverdale City,1001,Public,Active,2019,2/25/2020,Weber,,,,,,,,,29015,9545.0,1432.25,464.32,1.0,113.5,2011.07,2253.0,226.0,4.0,41.0,2524.0,,,,,,,,10012019,Riverdale City,1001,2019,10010003,Purchased from Weber Basin WCD (WS002),Active,,,,Transfer In,Water Supplier,acre feet,58.0,16.0,16.0,74.0,137.0,154.0,181.0,162.0,112.0,81.0,97.0,92.0,1180.0,1180.0,Null Lat NAD83,160.0,2019-12-31,2019-01-01
South Monroe Culinary Water,1002,Public,Active,2016,3/23/2017,Sevier,,,,,,,,,21017,24.0,13.30759855,0.0,32.0474274,0.0,45.35502595,13.0,0.0,1.0,0.0,14.0,,,,,,,,10022016,South Monroe Culinary Water,1002,2016,108544347,Purchased from Monroe City (WS001),Active,0.0,0.0,,Transfer In,Water Supplier,acre feet,4.291066042,4.291066042,4.291066042,4.291066042,4.291066042,4.291066042,4.291066042,4.291066042,4.291066042,4.291066042,4.291066042,4.291066042,51.49279251,51.49279251,Null Lat NAD83,162.0,2016-12-31,2016-01-01
South Monroe Culinary Water,1002,Public,Active,2017,5/31/2018,Sevier,,,,,,,,,21017,25.0,9.623097292,0.0,37.1006506,0.0,46.7237479,13.0,0.0,1.0,0.0,14.0,,,,,,,,10022017,South Monroe Culinary Water,1002,2017,108544347,Purchased from Monroe City (WS001),Active,0.0,0.0,,Transfer In,Water Supplier,acre feet,4.327125421,4.327125421,4.327125421,4.327125421,4.327125421,4.327125421,4.327125421,4.327125421,4.327125421,4.327125421,4.327125421,4.327125421,51.92550505,51.92550505,Null Lat NAD83,163.0,2017-12-31,2017-01-01
South Monroe Culinary Water,1002,Public,Active,2018,6/24/2019,Sevier,,,,,,,,,21017,24.0,16.63181292,0.0,35.29369213,0.0,51.92550505,13.0,0.0,1.0,0.0,14.0,,,,,,,,10022018,South Monroe Culinary Water,1002,2018,108544347,Purchased from Monroe City (WS001),Active,0.0,0.0,,Transfer In,Water Supplier,acre feet,2.24960806,2.272342347,2.6168275640000003,2.6168275640000003,6.53174979,6.7942988920000005,6.868268185,5.503587962999999,9.602385399,2.8090992389999996,2.8090992389999996,2.8090992389999996,53.48319348,53.48319348,Null Lat NAD83,164.0,2018-12-31,2018-01-01
South Monroe Culinary Water,1002,Public,Active,2019,4/9/2020,Sevier,,,,,,,,,21017,35.0,16.18682485,0.0,32.02840032,0.0,48.21522517,13.0,0.0,1.0,0.0,14.0,,,,,,,,10022019,South Monroe Culinary Water,1002,2019,108544347,Purchased from Monroe City (WS001),Active,0.0,0.0,,Transfer In,Water Supplier,acre feet,3.98954826,4.486707351000001,4.486707351000001,4.8028023289999995,3.139467593,3.139467593,4.357814254,4.403847503,3.206983025,3.547629068,4.327125421,4.327125421,48.21522517,48.21522517,Null Lat NAD83,165.0,2019-12-31,2019-01-01
Duchesne City Water Service District,1004,Public,Active,1979,3/11/1980,Duchesne,,,,,,,,,7001,2700.0,0.0,0.0,0.0,,636.3126894,0.0,0.0,0.0,,498.0,,,,,,,,10041979,Duchesne City Water Service District,1004,1979,10040001,Duchesne Valley Water TP (CUWCD),Active,,,,Transfer In,Water Supplier,acre feet,46.34336,46.99462,49.07455,46.239309999999996,65.30608000000001,72.98404000000001,67.74417,69.20076,66.32164,41.36497,33.324870000000004,31.107129999999998,636.0055,636.0055,Null Lat NAD83,275.0,1979-12-31,1979-01-01
Duchesne City Water Service District,1004,Public,Active,1980,6/29/1981,Duchesne,,,,,,,,,7001,1700.0,0.0,0.0,0.0,,575.1026306,0.0,0.0,0.0,,0.0,,,,,,,,10041980,Duchesne City Water Service District,1004,1980,10040001,Duchesne Valley Water TP (CUWCD),Active,,,,Transfer In,Water Supplier,acre feet,24.752879999999998,25.24608,0.0,0.0,199.73773,0.0,80.50916,138.05872,0.0,49.87466,0.0,56.924380000000006,575.10361,575.10361,Null Lat NAD83,276.0,1980-12-31,1980-01-01
Duchesne City Water Service District,1004,Public,Active,1981,6/28/1982,Duchesne,,,,,,,,,7001,2500.0,0.0,0.0,0.0,,538.3870302,0.0,0.0,0.0,,420.0,,,,,,,,10041981,Duchesne City Water Service District,1004,1981,10040001,Duchesne Valley Water TP (CUWCD),Active,,,,Transfer In,Water Supplier,acre feet,29.94303,34.45859,33.6244,46.37559,58.512330000000006,64.51671,58.106590000000004,57.914469999999994,50.57994,44.58661,31.410359999999997,28.35845,538.38707,538.38707,Null Lat NAD83,277.0,1981-12-31,1981-01-01
Duchesne City Water Service District,1004,Public,Active,1982,3/9/1983,Duchesne,,,,,,,,,7001,3000.0,0.0,0.0,0.0,,466.9139131,0.0,0.0,0.0,,500.0,,,,,,,,10041982,Duchesne City Water Service District,1004,1982,10040001,Duchesne Valley Water TP (CUWCD),Active,,,,Transfer In,Water Supplier,acre feet,34.16488,25.49836,26.51485,24.95758,31.008000000000003,111.17496000000001,62.42573,52.93854,28.34341,26.894190000000002,25.15738,17.83452,466.9124,466.9124,Null Lat NAD83,278.0,1982-12-31,1982-01-01
Duchesne City Water Service District,1004,Public,Active,1984,2/13/1985,Duchesne,,,,,,,,,7001,2000.0,0.0,0.0,0.0,,250.01473169999997,0.0,0.0,0.0,,650.0,,,,,,,,10041984,Duchesne City Water Service District,1004,1984,10040001,Duchesne Valley Water TP (CUWCD),Active,,,,Transfer In,Water Supplier,acre feet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,Null Lat NAD83,279.0,1984-12-31,1984-01-01
Duchesne City Water Service District,1004,Public,Active,1985,1/29/1986,Duchesne,,,,,,,,,7001,0.0,0.0,0.0,0.0,,215.3922551,0.0,0.0,0.0,,0.0,,,,,,,,10041985,Duchesne City Water Service District,1004,1985,10040001,Duchesne Valley Water TP (CUWCD),Active,,,,Transfer In,Water Supplier,acre feet,14.35,15.0,14.76,14.72,21.6,28.49,27.3,32.05,15.28,8.39,9.44,14.0,215.38,215.38,Null Lat NAD83,280.0,1985-12-31,1985-01-01
