MethodUUID,OrganizationUUID,ReportingUnitUUID,VariableSpecificUUID,WaterSourceUUID,AllocationCropDutyAmount,Amount,BeneficialUseCategory,CommunityWaterSupplySystem,CropTypeCV,CustomerTypeCV,DataPublicationDate,DataPublicationDOI,InterbasinTransferFromID,InterbasinTransferToID,IrrigatedAcreage,IrrigationMethodCV,PopulationServed,PowerGeneratedGWh,PowerType,PrimaryUseCategory,ReportYearCV,SDWISIdentifierCV,TimeframeEnd,TimeframeStart,CommunityWaterSupplySyste
NVDWR_Water Use,NVDWR,NVag_RU23,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU24,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU25,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU26,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU27,NVDWR_Withdrawal,NVag_WS1,,10.63,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU28,NVDWR_Withdrawal,NVag_WS1,,112.35,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU29,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU30,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU31,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU32,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU33,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU34,NVDWR_Withdrawal,NVag_WS1,,240.49,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU35,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU36,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU37,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU38,NVDWR_Withdrawal,NVag_WS1,,2.54,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU39,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU40,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU41,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU42,NVDWR_Withdrawal,NVag_WS1,,2.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU43,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU44,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU45,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU46,NVDWR_Withdrawal,NVag_WS1,,68.5,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU47,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU48,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU49,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU50,NVDWR_Withdrawal,NVag_WS1,,0.030688999999999998,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU51,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU52,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU53,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU54,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU55,NVDWR_Withdrawal,NVag_WS1,,283.47322596,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU56,NVDWR_Withdrawal,NVag_WS1,,9.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU57,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU58,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU59,NVDWR_Withdrawal,NVag_WS1,,33.86,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU60,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU61,NVDWR_Withdrawal,NVag_WS1,,8.28,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU62,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU63,NVDWR_Withdrawal,NVag_WS1,,16.95,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU64,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU65,NVDWR_Withdrawal,NVag_WS1,,4.49,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU66,NVDWR_Withdrawal,NVag_WS1,,86.48,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU67,NVDWR_Withdrawal,NVag_WS1,,120.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU68,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU69,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU70,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU71,NVDWR_Withdrawal,NVag_WS1,,1.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU72,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU73,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU74,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU75,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU76,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU77,NVDWR_Withdrawal,NVag_WS1,,243.35,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU78,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU79,NVDWR_Withdrawal,NVag_WS1,,7.84,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU80,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU81,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU82,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU83,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU84,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU85,NVDWR_Withdrawal,NVag_WS1,,272.88,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU86,NVDWR_Withdrawal,NVag_WS1,,37.92,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU87,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU88,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU89,NVDWR_Withdrawal,NVag_WS1,,15.34,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU90,NVDWR_Withdrawal,NVag_WS1,,50.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU91,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU92,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU93,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU94,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU95,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU96,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU97,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU98,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU99,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU100,NVDWR_Withdrawal,NVag_WS1,,4.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU101,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU102,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU103,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU104,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU105,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU106,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU107,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU108,NVDWR_Withdrawal,NVag_WS1,,42.96,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU109,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU110,NVDWR_Withdrawal,NVag_WS1,,713.96,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU111,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU112,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU113,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU114,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU115,NVDWR_Withdrawal,NVag_WS1,,5.02,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU116,NVDWR_Withdrawal,NVag_WS1,,8.52,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU117,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU118,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU119,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU120,NVDWR_Withdrawal,NVag_WS1,,453.2,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU121,NVDWR_Withdrawal,NVag_WS1,,11.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU122,NVDWR_Withdrawal,NVag_WS1,,9.86,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU123,NVDWR_Withdrawal,NVag_WS1,,25.54,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU124,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU125,NVDWR_Withdrawal,NVag_WS1,,29.59,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU126,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU127,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU128,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU129,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU130,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU131,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU132,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU133,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU134,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU135,NVDWR_Withdrawal,NVag_WS1,,5.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU136,NVDWR_Withdrawal,NVag_WS1,,1.05,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
