OBJECTID,polygon id,app,cert,app_status,mou,site_name,permit_info,basin,county,source,duty_balance,div_balance,prior_dt,pou_acre_total,Shape__Area,Shape__Length
11,11,1375,240     ,CER,IRR,195  N13 E70 11DBCC1,http://water.nv.gov/permitinformation.aspx?app=1375,195 ,WP,STR,540,1.35,6/7/1909 12:00:00 AM,135,663682.668945313,3258.83961717945
12,12,1710,203     ,CER,IRR,195  N11 E70 06CDAD1,http://water.nv.gov/permitinformation.aspx?app=1710,195 ,WP,STR,43.44,0.24,6/8/1910 12:00:00 AM,24,52234.4670410156,1493.24799377932
13,13,69325,,ABR,QM ,212  S22 E60 27BADB1,http://water.nv.gov/permitinformation.aspx?app=69325,212 ,CL,UG ,0,0,2/19/1952 12:00:00 AM,0,5073.662109375,304.516935378743
14,14,11710,3730    ,ABR,QM ,212  S22 E62 06BBBB1,http://water.nv.gov/permitinformation.aspx?app=11710,212 ,CL,UG ,0,0,10/24/1946 12:00:00 AM,0,157548.523681641,1590.25940703372
15,15,11341,4772    ,FOR,DOM,212  S21 E62 30DCBC1,http://water.nv.gov/permitinformation.aspx?app=11341,212 ,CL,UG ,10.507,0.205,7/24/1945 12:00:00 AM,0,46649.2827148438,884.06484130225
16,16,28182,8764    ,ABR,DOM,212  S21 E62 30DCCB1,http://water.nv.gov/permitinformation.aspx?app=28182,212 ,CL,UG ,0,0,7/24/1945 12:00:00 AM,0,5560.55908203125,307.455196121291
17,17,11340,3651    ,ABR,QM ,212  S20 E62 18BBCD1,http://water.nv.gov/permitinformation.aspx?app=11340,212 ,CL,UG ,3.52,0.005,7/24/1945 12:00:00 AM,0,27730.9519042969,704.711519686491
18,18,71912,17346   ,CER,COM,212  S21 E61 29DBBA1,http://water.nv.gov/permitinformation.aspx?app=71912,212 ,CL,UG ,2.3,0.01,3/19/1953 12:00:00 AM,0,490646.4609375,2785.85074591642
19,19,11309,4336    ,ABR,IRR,212  S20 E61 20BDDC1,http://water.nv.gov/permitinformation.aspx?app=11309,212 ,CL,UG ,0,0,6/7/1945 12:00:00 AM,3,39575.0903320313,795.88934902527
20,20,61636,,CAN,QM ,212  S19 E60 29DBBB1,http://water.nv.gov/permitinformation.aspx?app=61636,212 ,CL,UG ,2,0.013,6/7/1945 12:00:00 AM,0,19945.8505859375,597.449189830178
21,21,83522,21374   ,CER,COM,101  N19 E28 27DAAB1,http://water.nv.gov/permitinformation.aspx?app=83522,101 ,CH,UG ,4.48,0.05,9/21/1998 12:00:00 AM,0,28014.556640625,803.743119916918
22,22,28791,13445   ,CER,MUN,219  S14 E65 16BDBC1,http://water.nv.gov/permitinformation.aspx?app=28791,219 ,CL,SPR,2132.056897,3,1/1/1905 12:00:00 AM,0,164338379.768311,113781.913710986
23,23,26693,9160    ,ABR,IRR,212  S22 E61 02CBCD1,http://water.nv.gov/permitinformation.aspx?app=26693,212 ,CL,UG ,0,0,11/1/1940 12:00:00 AM,0.16,127908.788085938,1864.3595534006
24,24,29893,10257   ,ABR,QM ,212  S21 E60 16ACAA1,http://water.nv.gov/permitinformation.aspx?app=29893,212 ,CL,UG ,0,0,3/30/1945 12:00:00 AM,0,163231.551757813,1616.23750147086
25,25,65143,,PER,QM ,105  N12 E20 20AABB1,http://water.nv.gov/permitinformation.aspx?app=65143,105 ,DO,UG ,26.88,0.116,3/28/1973 12:00:00 AM,0,11690661.4577637,26030.9249763094
26,26,57714,,WDR,QM ,212  S20 E62 35ABDC1,http://water.nv.gov/permitinformation.aspx?app=57714,212 ,CL,UG ,1.104804,0.002,8/26/1943 12:00:00 AM,0,2628.02783203125,205.136310194654
27,27,67131,,ABR,IRR,212  S20 E62 20DDDA1,http://water.nv.gov/permitinformation.aspx?app=67131,212 ,CL,UG ,0,0,8/26/1943 12:00:00 AM,0.8,4362.35400390625,293.6226354719
28,28,65814,18269   ,CER,QM ,212  S19 E60 14CCBD1,http://water.nv.gov/permitinformation.aspx?app=65814,212 ,CL,UG ,2.19,0.0055,8/4/1952 12:00:00 AM,0,39200.6982421875,984.826447723001
29,29,83496,,DEN,MM ,214  S29 E63 03DBAC1,http://water.nv.gov/permitinformation.aspx?app=83496,214 ,CL,UG ,0,0,2/3/2014 12:00:00 AM,0,6653663.17431641,16912.5610835683
30,30,73653,,PER,QM ,105  N12 E20 15AABA1,http://water.nv.gov/permitinformation.aspx?app=73653,105 ,DO,UG ,131.64,0.1818,4/2/1968 12:00:00 AM,0,11827899.2977295,26904.2970003819
31,31,68624,,ABR,MM ,212  S23 E60 13CBCA1,http://water.nv.gov/permitinformation.aspx?app=68624,212 ,CL,UG ,0,0,4/8/1952 12:00:00 AM,0,10262.1779785156,405.282000201932
32,32,26175,7867    ,ABR,REC,212  S20 E61 03BCCB1,http://water.nv.gov/permitinformation.aspx?app=26175,212 ,CL,UG ,225.74,0.586,12/16/1946 12:00:00 AM,69,255862.493408203,2837.94067887616
33,33,31161,9267    ,FOR,QM ,212  S19 E60 28DCDB1,http://water.nv.gov/permitinformation.aspx?app=31161,212 ,CL,UG ,1.035,0.013,8/4/1952 12:00:00 AM,0,37805.1867675781,778.325604780305
34,34,19426,5550    ,CER,MUN,104  N15 E19 23BADA1,http://water.nv.gov/permitinformation.aspx?app=19426,104 ,CC,SPR,0,0,,0,8736949.24316406,12873.6886195851
35,35,77188,,ABR,QM ,212  S22 E61 20CACA1,http://water.nv.gov/permitinformation.aspx?app=77188,212 ,CL,UG ,0,0,5/11/1953 12:00:00 AM,0,2436.005859375,199.967700638749
36,36,85412,,PER,MUN,091  N19 E18 31CADD1,http://water.nv.gov/permitinformation.aspx?app=85412,091 ,WA,STR,20.25,0.292,5/1/1863 12:00:00 AM,0,1442238262.37976,180241.041532567
37,41,3869,4349    ,CER,IRR,195  N13 E69 12CCAB1,http://water.nv.gov/permitinformation.aspx?app=3869,195 ,WP,STR,228,0.495,4/6/1916 12:00:00 AM,49.54,198762.288574219,2017.33530295208
38,42,4100,825     ,CER,IRR,195  N14 E70 28BCAA1,http://water.nv.gov/permitinformation.aspx?app=4100,195 ,WP,STR,569.86,1.586,6/10/1915 12:00:00 AM,158.62,650866.315917969,3227.09259716076
39,43,4854,4350    ,CER,IRR,195  N13 E70 08DACA2,http://water.nv.gov/permitinformation.aspx?app=4854,195 ,WP,STR,319,0.69099999,1/19/1918 12:00:00 AM,69.11,272428.934082031,3760.55193344272
40,44,6167,1772    ,CER,IRR,195  N11 E70 05BADC1,http://water.nv.gov/permitinformation.aspx?app=6167,195 ,WP,STR,44.72,0.185,6/11/1920 12:00:00 AM,18.5,136496.992919922,2362.31457505779
41,45,30517,13373   ,CER,IRR,108  N11 E25 01CCDD1,http://water.nv.gov/permitinformation.aspx?app=30517,108 ,LY,UG ,2954.44,4.457,8/13/1976 12:00:00 AM,738.61,2949490.36584473,13982.8470135681
42,50,12932,4221    ,CER,IRR,195  N13 E70 14CCCB1,http://water.nv.gov/permitinformation.aspx?app=12932,195 ,WP,UG ,66.4,0.045,5/27/1949 12:00:00 AM,16.6,74915.6462402344,1277.5575224029
43,51,13067,3538    ,CER,QM ,195  N14 E69 20BDAA1,http://water.nv.gov/permitinformation.aspx?app=13067,195 ,WP,SPR,14.454519,0.02,9/28/1949 12:00:00 AM,0,5143.85327148438,289.632967089739
44,52,25484,8522    ,CER,QM ,103  N16 E20 14CCAC1,http://water.nv.gov/permitinformation.aspx?app=25484,103 ,CC,SPR,16.142414,0.022,3/4/1970 12:00:00 AM,0,7826094.74536133,12917.3922814508
45,53,28160,9043    ,CER,IRR,153  N21 E53 01AACB1,http://water.nv.gov/permitinformation.aspx?app=28160,153 ,EU,UG ,500.32,1.337,7/3/1961 12:00:00 AM,125.08,489890.362060547,2482.39939116911
46,55,19145,6719    ,CER,IRD,153  N23 E54 32CDD 01,http://water.nv.gov/permitinformation.aspx?app=19145,153 ,EU,UG ,640,5.4,8/24/1960 12:00:00 AM,160,647552.810791016,3218.82834653984
47,56,5522,1046    ,ABN,IRR,212  S20 E57 01CACB2,http://water.nv.gov/permitinformation.aspx?app=5522,212 ,CL,STR,31.86,0.053,6/3/1919 12:00:00 AM,5.31,25091.7880859375,774.267021738913
48,57,86880T,,EXP,REC,212  S21 E61 14ADBB1,http://water.nv.gov/permitinformation.aspx?app=86880T,212 ,CL,UG ,123.372,0.3395,2/5/1949 12:00:00 AM,0,516729.58984375,6917.14362107821
49,58,65267,,PER,QM ,102  N18 E25 30AAAB1,http://water.nv.gov/permitinformation.aspx?app=65267,102 ,LY,UG ,28.38,0.2,9/18/1974 12:00:00 AM,0,176677.155761719,2456.19536129734
50,59,26778,9347    ,CER,IRR,102  N17 E25 31AAAD1,http://water.nv.gov/permitinformation.aspx?app=26778,102 ,LY,UG ,202,0.8387,6/16/1972 12:00:00 AM,56,247521.4609375,2030.55745876031
51,60,68243,19258   ,CER,REC,102  N17 E24 35DAAD1,http://water.nv.gov/permitinformation.aspx?app=68243,102 ,LY,UG ,1.41,0.0223,11/29/2001 12:00:00 AM,0,161642.579711914,1608.22723186997
52,63,69060,,REL,QM ,103  N18 E23 35CBBB1,http://water.nv.gov/permitinformation.aspx?app=69060,103 ,LY,UG ,0,0,5/6/1971 12:00:00 AM,0,20611.0228271484,611.011080450038
53,67,15580,5032    ,CER,IRR,212  S20 E62 19BBDD1,http://water.nv.gov/permitinformation.aspx?app=15580,212 ,CL,UG ,0.5,0.0012,3/31/1954 12:00:00 AM,2.5,9843.5126953125,402.306132250382
54,68,25856,8976    ,CER,MM ,212  S23 E58 08ADAC1,http://water.nv.gov/permitinformation.aspx?app=25856,212 ,CL,SPR,0.00414302,0.002,11/9/1970 12:00:00 AM,0,177935.178466797,1692.7871904851
55,69,30464,9951    ,FOR,IRR,212  S20 E61 02BBAB1,http://water.nv.gov/permitinformation.aspx?app=30464,212 ,CL,UG ,0,0.0035,5/20/1948 12:00:00 AM,0.23,853.65673828125,150.90958884425
56,70,31150,9554    ,CER,IRR,212  S21 E61 09CDBC1,http://water.nv.gov/permitinformation.aspx?app=31150,212 ,CL,UG ,4.2,0.015,5/20/1948 12:00:00 AM,0.7,10216.1840820313,404.300990041615
57,72,49929,16162   ,FOR,IRR,212  S21 E61 13CBAD1,http://water.nv.gov/permitinformation.aspx?app=49929,212 ,CL,UG ,2,0.01,5/20/1948 12:00:00 AM,5.3,16831.9953613281,563.931025636005
58,73,52177,13513   ,CER,COM,212  S19 E60 27AACA1,http://water.nv.gov/permitinformation.aspx?app=52177,212 ,CL,UG ,2.16,0.0026,3/21/1942 12:00:00 AM,0,20797.2934570313,584.137405074162
59,75,65601,,PER,QM ,105  N12 E20 10BCCC1,http://water.nv.gov/permitinformation.aspx?app=65601,105 ,DO,UG ,1085.930265,1.5,9/13/1974 12:00:00 AM,0,11870306.8109131,26691.4161952329
60,76,36251,15054   ,CER,MUN,104  N15 E19 12CBCD1,http://water.nv.gov/permitinformation.aspx?app=36251,104 ,CC,STR,52,0,11/14/1885 12:00:00 AM,0,63167250.5042725,41715.3967219781
61,79,64406,,PER,REC,212  S19 E56 15CBBB1,http://water.nv.gov/permitinformation.aspx?app=64406,212 ,CL,STR,27.49,0.09,2/5/2002 12:00:00 AM,0,5389077.00073242,13164.4325180632
62,80,49921,,ABR,COM,212  S19 E56 15ABDB1,http://water.nv.gov/permitinformation.aspx?app=49921,212 ,CL,UG ,0,0,6/13/1986 12:00:00 AM,0,2592246.58813477,6439.81449038043
63,82,474,84      ,CER,IRR,195  N14 E69 14CABB1,http://water.nv.gov/permitinformation.aspx?app=474,195 ,WP,STR,446.4,1.488,5/16/1907 12:00:00 AM,148.8,689227.119384766,5424.12856538719
64,83,1059,37      ,CER,IRR,195  N14 E69 24ADAD1,http://water.nv.gov/permitinformation.aspx?app=1059,195 ,WP,STR,236.12,0.66,7/16/1908 12:00:00 AM,65.78,270833.721923828,2541.57732386527
65,87,69194,,PER,QM ,212  S19 E56 10DADD1,http://water.nv.gov/permitinformation.aspx?app=69194,212 ,CL,UG ,27.16,0.0535,2/22/2008 12:00:00 AM,0,1396177.49121094,5605.89333210944
66,89,58931,14719   ,CER,QM ,103  N16 E22 19BBCC1,http://water.nv.gov/permitinformation.aspx?app=58931,103 ,LY,UG ,12,0.05,6/26/1989 12:00:00 AM,0,25386665.6132813,56641.6564932241
67,90,61555,16318   ,CER,QM ,212  S22 E60 13DBBC1,http://water.nv.gov/permitinformation.aspx?app=61555,212 ,CL,UG ,3,0.02,6/7/1945 12:00:00 AM,0,10058.0930175781,401.198220181531
68,91,71079,,PER,QM ,105  N13 E19 15DCBB1,http://water.nv.gov/permitinformation.aspx?app=71079,105 ,DO,UG ,29.6,0.0501,4/28/1976 12:00:00 AM,0,25241160.312439,47877.7939292913
69,92,63212,16074   ,CER,QM ,212  S19 E60 13BCAB1,http://water.nv.gov/permitinformation.aspx?app=63212,212 ,CL,UG ,1,0.0014,3/30/1945 12:00:00 AM,0,2350.27392578125,194.273680563396
70,94,64577,16345   ,CER,COM,212  S20 E60 03BDDD1,http://water.nv.gov/permitinformation.aspx?app=64577,212 ,CL,UG ,10,0.02,2/26/1942 12:00:00 AM,0,19711.9965820313,570.658986701118
71,95,64725,15963   ,CER,QM ,212  S19 E60 14ACCD1,http://water.nv.gov/permitinformation.aspx?app=64725,212 ,CL,UG ,1,0.0014,2/7/1945 12:00:00 AM,0,9566.46850585938,391.302484943796
72,96,64727,16122   ,CER,COM,212  S19 E62 32BDBC1,http://water.nv.gov/permitinformation.aspx?app=64727,212 ,CL,UG ,2.48,0.00342,2/7/1945 12:00:00 AM,0,65753.8278808594,1146.24362795884
73,97,65453,17496   ,CER,IRR,212  S19 E60 14CABD1,http://water.nv.gov/permitinformation.aspx?app=65453,212 ,CL,UG ,5.5,0.011,1/12/1945 12:00:00 AM,1.24,40434.6213378906,804.372323982042
74,98,54190,14851   ,CER,IRR,090  N13 E18 26CDBA1,http://water.nv.gov/permitinformation.aspx?app=54190,090 ,DO,STR,5.4,0.03,1/1/1861 12:00:00 AM,1.2,7466.86535644531,428.322303376166
75,99,52001,,CAN,QM ,212  S22 E61 28BBDA1,http://water.nv.gov/permitinformation.aspx?app=52001,212 ,CL,UG ,4.480594,0.007,4/11/1988 12:00:00 AM,0,9841.24145507813,396.817959519775
76,100,71727,,PER,QM ,105  N12 E20 08DCBD1,http://water.nv.gov/permitinformation.aspx?app=71727,105 ,DO,UG ,105,0.145,1/23/1985 12:00:00 AM,0,2287.63745117188,191.558148560428
77,101,65714,17564   ,CER,QM ,212  S22 E60 27BAAB1,http://water.nv.gov/permitinformation.aspx?app=65714,212 ,CL,UG ,2,0.003,3/30/1945 12:00:00 AM,0,7800.8251953125,354.244879319166
78,102,65462,17046   ,CER,DOM,212  S19 E60 34CBBB1,http://water.nv.gov/permitinformation.aspx?app=65462,212 ,CL,UG ,2,0.0028,4/20/1938 12:00:00 AM,0,3928.44653320313,262.943882351767
79,106,65641,,PER,QM ,184  N15 E68 17DDCC1,http://water.nv.gov/permitinformation.aspx?app=65641,184 ,WP,UG ,1.12,0.025,9/11/2008 12:00:00 AM,0,40695.3950195313,828.741218281362
80,107,61674,17066   ,CER,COM,162  S19 E53 31BBAA1,http://water.nv.gov/permitinformation.aspx?app=61674,162 ,NY,UG ,2.02,0.05,11/8/1995 12:00:00 AM,0,18249.3259277344,580.566796889153
81,108,67973,17056   ,CER,QM ,212  S22 E61 20CACA1,http://water.nv.gov/permitinformation.aspx?app=67973,212 ,CL,UG ,1,0.00168,5/11/1953 12:00:00 AM,0,2275.93701171875,190.676821590388
82,109,61305,,WDR,QM ,212  S23 E61 04BCBD1,http://water.nv.gov/permitinformation.aspx?app=61305,212 ,CL,UG ,38.48,0.058,7/24/1945 12:00:00 AM,0,167076.842773438,1635.20955514991
83,110,18140,5115    ,ABR,DOM,216  S17 E64 21CCAB1,http://water.nv.gov/permitinformation.aspx?app=18140,216 ,CL,UG ,0,0,7/24/1959 12:00:00 AM,0,323967.90234375,2415.07930598536
84,111,56855,14449   ,CER,IND,216  S18 E63 34ADAB1,http://water.nv.gov/permitinformation.aspx?app=56855,216 ,CL,UG ,144.146233,0.35,10/28/1986 12:00:00 AM,0,111483.263427734,1563.743739801
85,112,19936,5621    ,FOR,QM ,215  S19 E68 05CCAD1,http://water.nv.gov/permitinformation.aspx?app=19936,215 ,CL,UG ,0,0,6/23/1961 12:00:00 AM,0,621296.573974609,3974.86051976328
86,113,6061,1408    ,CER,IRR,223  S17 E68 13ACCC1,http://water.nv.gov/permitinformation.aspx?app=6061,223 ,CL,STR,228,0.316,4/21/1920 12:00:00 AM,31.551,163054.855224609,2127.32599017618
87,125,10449,2721    ,CER,STK,210  S09 E64 05BADC1,http://water.nv.gov/permitinformation.aspx?app=10449,210 ,LI,RES,8.961188,0.013,12/4/1939 12:00:00 AM,0,181469.250732422,1708.14734031431
88,130,12228,3666    ,FOR,IRR,212  S21 E61 04ACBC1,http://water.nv.gov/permitinformation.aspx?app=12228,212 ,CL,UG ,0,0,1/22/1948 12:00:00 AM,2,29522.8356933594,696.99182955135
89,131,11241,3388    ,CER,IRR,212  S20 E61 36BACC1,http://water.nv.gov/permitinformation.aspx?app=11241,212 ,CL,UG ,1,0.0014,2/7/1945 12:00:00 AM,2.58,40911.4887695313,809.139455619644
90,132,12031,3539    ,CER,IRR,212  S20 E61 32DBAB1,http://water.nv.gov/permitinformation.aspx?app=12031,212 ,CL,UG ,12,0.034,10/1/1947 12:00:00 AM,2.96,9508.81030273438,405.179354286143
91,133,66730,,CAN,IRR,212  S20 E61 32DBAB1,http://water.nv.gov/permitinformation.aspx?app=66730,212 ,CL,UG ,3,0.008,10/1/1947 12:00:00 AM,0,5031.14184570313,294.365959177238
92,135,72077,,PER,QM ,212  S19 E57 28CAAC1,http://water.nv.gov/permitinformation.aspx?app=72077,212 ,CL,UG ,0.217,0.0003,8/20/1987 12:00:00 AM,0,824678.78515625,4063.31060583735
93,136,66903,17060   ,CER,QM ,212  S22 E62 06BCAC1,http://water.nv.gov/permitinformation.aspx?app=66903,212 ,CL,UG ,6,0.0083,5/11/1953 12:00:00 AM,0,19626.0070800781,591.49359765952
94,137,80625,19727   ,CER,COM,212  S19 E60 14CBDA1,http://water.nv.gov/permitinformation.aspx?app=80625,212 ,CL,UG ,6,0.01,3/15/1950 12:00:00 AM,0,92051.1530761719,1370.99238367146
95,138,67334,18138   ,CER,QM ,212  S19 E61 31ACDB1,http://water.nv.gov/permitinformation.aspx?app=67334,212 ,CL,UG ,1,0.0014,5/11/1953 12:00:00 AM,0,4287.56713867188,275.153148147828
96,139,67397,18139   ,CER,QM ,212  S19 E60 32CBDC1,http://water.nv.gov/permitinformation.aspx?app=67397,212 ,CL,UG ,1,0.00138,5/11/1953 12:00:00 AM,0,4341.42993164063,280.004835183123
97,141,67491,17049   ,CER,QM ,212  S22 E61 09ADCB1,http://water.nv.gov/permitinformation.aspx?app=67491,212 ,CL,UG ,6,0.0083,5/11/1953 12:00:00 AM,0,10279.7985839844,405.560892966711
98,142,67591,16994   ,CER,QM ,212  S22 E61 09ACDA1,http://water.nv.gov/permitinformation.aspx?app=67591,212 ,CL,UG ,2,0.0028,5/11/1953 12:00:00 AM,0,5038.447265625,301.682634076342
99,143,67954,,ABR,QM ,212  S22 E60 21BADB1,http://water.nv.gov/permitinformation.aspx?app=67954,212 ,CL,UG ,1,0,5/11/1953 12:00:00 AM,0,8108.56103515625,359.147398676488
100,144,68152,16959   ,CER,QM ,212  S20 E60 05DBDC1,http://water.nv.gov/permitinformation.aspx?app=68152,212 ,CL,UG ,1,0.0017,7/2/2003 12:00:00 AM,0,2024.42724609375,190.186862166115
101,145,36693,15040   ,CER,MUN,103  N15 E20 14CAAC1,http://water.nv.gov/permitinformation.aspx?app=36693,103 ,CC,STR,200,0,1/1/1881 12:00:00 AM,0,90509612.2233887,53162.6818631695
102,146,69006,18971   ,CER,QM ,212  S21 E60 35CABD1,http://water.nv.gov/permitinformation.aspx?app=69006,212 ,CL,UG ,4,0.0067,5/11/1953 12:00:00 AM,0,8547.119140625,516.285194324964
103,147,69182,17010   ,CER,COM,212  S19 E60 36CBAC1,http://water.nv.gov/permitinformation.aspx?app=69182,212 ,CL,UG ,2,0.00337,5/11/1953 12:00:00 AM,0,18475.5747070313,577.084619878979
104,148,71366,,PER,QM ,212  S21 E62 31BCAD1,http://water.nv.gov/permitinformation.aspx?app=71366,212 ,CL,UG ,1,0.0022,5/25/1950 12:00:00 AM,0,3509.1005859375,237.147146951746
105,149,10245,2651    ,CER,IRR,212  S20 E61 28CADB1,http://water.nv.gov/permitinformation.aspx?app=10245,212 ,CL,UG ,1,0.0014,5/16/1938 12:00:00 AM,11,60727.1591796875,1103.07190899128
106,150,67974,17057   ,CER,QM ,212  S22 E61 20CACA1,http://water.nv.gov/permitinformation.aspx?app=67974,212 ,CL,UG ,1,0.00168,5/11/1953 12:00:00 AM,0,2146.46142578125,183.882056550277
107,152,46790,13034   ,CER,MM ,184  N14 E68 07AADC1,http://water.nv.gov/permitinformation.aspx?app=46790,184 ,WP,OGW,5.063685,0.007,4/5/1983 12:00:00 AM,0,161205.245849609,2009.43582677138
108,153,64418,17071   ,CER,QM ,212  S19 E59 36AADC1,http://water.nv.gov/permitinformation.aspx?app=64418,212 ,CL,UG ,0.63,0.006,5/8/1939 12:00:00 AM,0,21117.6589355469,616.302558912562
109,155,65252,16978   ,CER,QM ,212  S19 E60 30CACC1,http://water.nv.gov/permitinformation.aspx?app=65252,212 ,CL,UG ,4,0.0056,3/21/1942 12:00:00 AM,0,7826.50073242188,353.957070530759
110,157,,,,,,,,,,,,,,3952.71215820313,290.880132725022
111,158,68636,17621   ,CER,IRR,212  S20 E61 32DBAD1,http://water.nv.gov/permitinformation.aspx?app=68636,212 ,CL,UG ,3,0.0115,4/28/1943 12:00:00 AM,0,6540.54663085938,326.755960473595
112,159,69110,18200   ,CER,QM ,212  S22 E60 16BDAD1,http://water.nv.gov/permitinformation.aspx?app=69110,212 ,CL,UG ,4,0.0153,4/28/1943 12:00:00 AM,0,10237.9353027344,404.746588730472
113,160,75776,,RVP,QM ,212  S22 E61 17CBDC1,http://water.nv.gov/permitinformation.aspx?app=75776,212 ,CL,UG ,2.24,0.01,5/23/2007 12:00:00 AM,0,4209.08081054688,275.148304946182
114,161,33350,10493   ,CER,COM,212  S20 E62 17DCCB1,http://water.nv.gov/permitinformation.aspx?app=33350,212 ,CL,UG ,7.37,0.011,7/26/1939 12:00:00 AM,0,5085.94287109375,313.501731621551
115,162,75440,18261   ,CER,QM ,212  S21 E60 26CCAB1,http://water.nv.gov/permitinformation.aspx?app=75440,212 ,CL,UG ,2.4,0.005,6/2/1948 12:00:00 AM,0,4105.07788085938,270.405060951171
116,163,75441,18262   ,CER,QM ,212  S21 E60 26CCAC1,http://water.nv.gov/permitinformation.aspx?app=75441,212 ,CL,UG ,2.39,0.005,6/2/1948 12:00:00 AM,0,4055.63598632813,269.30731146915
117,164,12476,3704    ,CER,IRR,212  S20 E62 19ACCB1,http://water.nv.gov/permitinformation.aspx?app=12476,212 ,CL,UG ,6.53,0.0126,6/2/1948 12:00:00 AM,2.5,10319.234375,405.848660362003
118,166,68494,,ABR,QM ,212  S19 E60 30DCBA1,http://water.nv.gov/permitinformation.aspx?app=68494,212 ,CL,UG ,0.5,0.001,6/2/1948 12:00:00 AM,0,19885.1782226563,602.018927541279
119,168,12030,3517    ,FOR,IRR,212  S20 E61 32CADB1,http://water.nv.gov/permitinformation.aspx?app=12030,212 ,CL,UG ,0,0.038,10/1/1947 12:00:00 AM,8,19578.4582519531,717.723172378425
120,169,70272,18203   ,CER,QM ,212  S20 E61 32CADB2,http://water.nv.gov/permitinformation.aspx?app=70272,212 ,CL,UG ,4.36,0.0073,10/1/1947 12:00:00 AM,0,4038.46215820313,276.737262462151
121,170,10474,2684    ,CER,IRR,212  S20 E61 28CACC1,http://water.nv.gov/permitinformation.aspx?app=10474,212 ,CL,UG ,4.217,0.0066,3/11/1940 12:00:00 AM,12.93,52865.1616210938,924.007062414446
122,171,69267,18613   ,CER,IRR,212  S19 E60 33CAAA1,http://water.nv.gov/permitinformation.aspx?app=69267,212 ,CL,UG ,1,0.0016,3/11/1940 12:00:00 AM,0,4296.80322265625,279.183411963764
123,172,69268,18614   ,CER,IRR,212  S20 E60 04ADBD1,http://water.nv.gov/permitinformation.aspx?app=69268,212 ,CL,UG ,3,0.005,3/11/1940 12:00:00 AM,0,4849.42626953125,294.122079181288
124,175,76851,18277   ,CER,QM ,212  S21 E60 26CDAB1,http://water.nv.gov/permitinformation.aspx?app=76851,212 ,CL,UG ,3.1,0.03,5/8/1939 12:00:00 AM,0,20005.4233398438,602.036459740287
125,176,76538,17930   ,CER,QM ,212  S22 E62 06BDAC1,http://water.nv.gov/permitinformation.aspx?app=76538,212 ,CL,UG ,3,0.005,3/15/1950 12:00:00 AM,0,12785.7497558594,537.676522795603
126,177,13206,4629    ,CER,IRR,195  N17 E70 14CADB1,http://water.nv.gov/permitinformation.aspx?app=13206,195 ,WP,STR,638.2,2,12/27/1949 12:00:00 AM,159.543,2429504.06860352,8648.27215057471
127,180,13536,4314    ,CER,IRR,195  N15 E69 36CDDD1,http://water.nv.gov/permitinformation.aspx?app=13536,195 ,WP,STR,57.6,1,11/13/1950 12:00:00 AM,14.4,64626.525390625,1994.78155864447
128,181,13640,4504    ,CER,IRR,195  N13 E70 09DBBC1,http://water.nv.gov/permitinformation.aspx?app=13640,195 ,WP,UG ,241.5,0.71,2/19/1951 12:00:00 AM,68.989,274180.518798828,2894.90481178621
