RightID,RightStatus,RightUse,ApplicationNumber,Location,PointOfDiversionID,PrimaryIndicator,PointofDiversionStatus,WaterDivision,FieldOffice,CarrierA,CarrierB,SourceName,ProGrant,Units,GPM,Rate,CurrentTotalAcres,CountyName,NRDName,HUC12,PriorityDate,BeneficialDate,ApprovalDate,IrrigationProject,Notice_Status,Notice_EffectiveDate,Notice_Type,Reason_AdminAction,HUC_12,Longitude,Latitude,BeneficialUseCategory,AllocationFlow_CFS,AllocationVolume_AF,in_WaterSourceName,in_WaterSourceNativeID
2521,Active    ,SO,A-16392,SWNW S26-T2-R1E,1705,1,1,1C,,Pump,,Buckley Creek Reservoir 4-B,0.0,AF,0,,83.0,Jefferson,Little Blue,102702070205,1985-06-06,1987-10-01T00:00:00,1985-07-15T00:00:00,,,,,,102702070205.0,-97.29027088739856,40.11261416536791,Storage Use-only,,0.0,Buckley Creek Reservoir 4-B,WaDENE_WS7
2521,Active    ,SO,A-16392,SENW S26-T2-R1E,10441,7,1,1C,,Pump,,Buckley Creek Reservoir 4-B,0.0,AF,0,,83.0,Jefferson,Little Blue,102702070205,1985-06-06,1987-10-01T00:00:00,1985-07-15T00:00:00,,,,,,102702070205.0,-97.29027088739856,40.11261416536791,Storage Use-only,,0.0,Buckley Creek Reservoir 4-B,WaDENE_WS7
4652,Active    ,SO,A-14066,SENE S8-T8-R12E,16022,1,1,1F,,Burr Pump,,Wilson Creek Reservoir 8-H,0.0,AF,0,,38.5,Otoe,Nemaha,102400060302,1976-02-27,,,,,,,,102400060302.0,-96.09636903853584,40.6749410651999,Storage Use-only,,0.0,Wilson Creek Reservoir 8-H,WaDENE_WS8
4652,Active    ,SO,A-14066,SENE S8-T8-R12E,16023,7,1,1F,,Burr Pump,,Wilson Creek Reservoir 8-H,0.0,AF,0,,38.5,Otoe,Nemaha,102400060302,1976-02-27,,,,,,,,102400060302.0,-96.09636903853584,40.6749410651999,Storage Use-only,,0.0,Wilson Creek Reservoir 8-H,WaDENE_WS8
4652,Active    ,SO,A-14066,SENE S8-T8-R12E,16024,7,1,1F,,Burr Pump,,Wilson Creek Reservoir 8-H,0.0,AF,0,,38.5,Otoe,Nemaha,102400060302,1976-02-27,,,,,,,,102400060302.0,-96.09636903853584,40.6749410651999,Storage Use-only,,0.0,Wilson Creek Reservoir 8-H,WaDENE_WS8
4654,Active    ,SI,A-14066,SENE S8-T8-R12E,3633,7,1,1F,,Burr Pump,,Wilson Creek Reservoir 8-H,0.0,AF,0,,203.1,Otoe,Nemaha,102400060302,1976-02-27,,,,,,,,102400060302.0,-96.09636903853584,40.6749410651999,Supplemental Irrigation,,0.0,Wilson Creek Reservoir 8-H,WaDENE_WS8
4654,Active    ,SI,A-14066,SENE S8-T8-R12E,3641,1,1,1F,,Burr Pump,,Wilson Creek Reservoir 8-H,0.0,AF,0,,203.1,Otoe,Nemaha,102400060302,1976-02-27,,,,,,,,102400060302.0,-96.09636903853584,40.6749410651999,Supplemental Irrigation,,0.0,Wilson Creek Reservoir 8-H,WaDENE_WS8
4654,Active    ,SI,A-14066,SENE S8-T8-R12E,3643,7,1,1F,,Burr Pump,,Wilson Creek Reservoir 8-H,0.0,AF,0,,203.1,Otoe,Nemaha,102400060302,1976-02-27,,,,,,,,102400060302.0,-96.09636903853584,40.6749410651999,Supplemental Irrigation,,0.0,Wilson Creek Reservoir 8-H,WaDENE_WS8
4681,Active    ,SO,A-14086,SENE S18-T8-R13E,16027,1,1,1F,,Biere Pump,,Wilson Creek Reservoir 5-J,0.0,AF,0,,134.7,Otoe,Nemaha,102400060303,1976-03-11,,,,,,,,102400060303.0,-95.99837359242221,40.66058716933178,Storage Use-only,,0.0,Wilson Creek Reservoir 5-J,WaDENE_WS9
4681,Active    ,SO,A-14086,SENE S18-T8-R13E,16028,7,1,1F,,Biere Pump,,Wilson Creek Reservoir 5-J,0.0,AF,0,,134.7,Otoe,Nemaha,102400060303,1976-03-11,,,,,,,,102400060303.0,-95.99837359242221,40.66058716933178,Storage Use-only,,0.0,Wilson Creek Reservoir 5-J,WaDENE_WS9
4681,Active    ,SO,A-14086,SENE S18-T8-R13E,16029,7,1,1F,,Biere Pump,,Wilson Creek Reservoir 5-J,0.0,AF,0,,134.7,Otoe,Nemaha,102400060303,1976-03-11,,,,,,,,102400060303.0,-95.99837359242221,40.66058716933178,Storage Use-only,,0.0,Wilson Creek Reservoir 5-J,WaDENE_WS9
4681,Active    ,SO,A-14086, S18-T8-R13E,16030,7,1,1F,,Biere Pump,,Wilson Creek Reservoir 5-J,0.0,AF,0,,134.7,Otoe,Nemaha,102400060303,1976-03-11,,,,,,,,102400060303.0,-95.99837359242221,40.66058716933178,Storage Use-only,,0.0,Wilson Creek Reservoir 5-J,WaDENE_WS9
4681,Active    ,SO,A-14086, S18-T8-R13E,16031,7,1,1F,,Biere Pump,,Wilson Creek Reservoir 5-J,0.0,AF,0,,134.7,Otoe,Nemaha,102400060303,1976-03-11,,,,,,,,102400060303.0,-95.99837359242221,40.66058716933178,Storage Use-only,,0.0,Wilson Creek Reservoir 5-J,WaDENE_WS9
4788,Active    ,SO,A-13554, S26-T7-R8E,2823,7,1,1F,,Pump,,Upper Big Nemaha Reservoir 21-B,0.0,AF,0,,130.5,Lancaster,Nemaha,102400080104,1975-04-15,,,,,,,,102400080104.0,-96.48551102897864,40.54598540581114,Storage Use-only,,0.0,Upper Big Nemaha Reservoir 21-B,WaDENE_WS10
4788,Active    ,SO,A-13554, S26-T7-R8E,2824,7,1,1F,,Pump,,Upper Big Nemaha Reservoir 21-B,0.0,AF,0,,130.5,Lancaster,Nemaha,102400080104,1975-04-15,,,,,,,,102400080104.0,-96.48551102897864,40.54598540581114,Storage Use-only,,0.0,Upper Big Nemaha Reservoir 21-B,WaDENE_WS10
4788,Active    ,SO,A-13554, S26-T7-R8E,2831,7,1,1F,,Pump,,Upper Big Nemaha Reservoir 21-B,0.0,AF,0,,130.5,Lancaster,Nemaha,102400080104,1975-04-15,,,,,,,,102400080104.0,-96.48551102897864,40.54598540581114,Storage Use-only,,0.0,Upper Big Nemaha Reservoir 21-B,WaDENE_WS10
4788,Active    ,SO,A-13554,SENE S26-T7-R8E,2836,7,1,1F,,Pump,,Upper Big Nemaha Reservoir 21-B,0.0,AF,0,,130.5,Lancaster,Nemaha,102400080104,1975-04-15,,,,,,,,102400080104.0,-96.48551102897864,40.54598540581114,Storage Use-only,,0.0,Upper Big Nemaha Reservoir 21-B,WaDENE_WS10
4788,Active    ,SO,A-13554, S26-T7-R8E,15942,1,1,1F,,Pump,,Upper Big Nemaha Reservoir 21-B,0.0,AF,0,,130.5,Lancaster,Nemaha,102400080104,1975-04-15,,,,,,,,102400080104.0,-96.48551102897864,40.54598540581114,Storage Use-only,,0.0,Upper Big Nemaha Reservoir 21-B,WaDENE_WS10
4825,Active    ,SO,A-13484,NW S20-T7-R7E,2877,1,1,1F,,Cherry Pump,,Upper Big Nemaha Reservoir 13-A,0.0,AF,0,,170.0,Lancaster,Nemaha,102400080102,1975-03-20,,,,,,,,102400080102.0,-96.66309944684265,40.55645415001701,Storage Use-only,,0.0,Upper Big Nemaha Reservoir 13-A,WaDENE_WS11
4825,Active    ,SO,A-13484,NWNE S20-T7-R7E,2878,7,1,1F,,Cherry Pump,,Upper Big Nemaha Reservoir 13-A,0.0,AF,0,,170.0,Lancaster,Nemaha,102400080102,1975-03-20,,,,,,,,102400080102.0,-96.66309944684265,40.55645415001701,Storage Use-only,,0.0,Upper Big Nemaha Reservoir 13-A,WaDENE_WS11
7328,Active    ,SI,A-10155, S4-T7-R7E,15091,7,1,2B,,Pump,,Scott Reservoir,0.0,AF,0,,31.0,Lancaster,Lower Platte South,102002030306,1963-03-06,,,,,,,,102002030306.0,-96.63319966141631,40.60800026779641,Supplemental Irrigation,,0.0,Scott Reservoir,WaDENE_WS12
7328,Active    ,SI,A-10155, S4-T7-R7E,15092,1,1,2B,,Pump,,Scott Reservoir,0.0,AF,0,,31.0,Lancaster,Lower Platte South,102002030306,1963-03-06,,,,,,,,102002030306.0,-96.63319966141631,40.60800026779641,Supplemental Irrigation,,0.0,Scott Reservoir,WaDENE_WS12
7330,Active    ,SO,A-14825,NWNE S27-T8-R7E,15566,1,1,2B,,Pump,,Salt Creek Reservoir 35,0.0,AF,0,,46.4,Lancaster,Lower Platte South,102002030306,1977-03-18,,,,,,,,102002030306.0,-96.62374774066431,40.63021338712371,Storage Use-only,,0.0,Salt Creek Reservoir 35,WaDENE_WS13
7330,Active    ,SO,A-14825,NW S27-T8-R7E,15567,7,1,2B,,Pump,,Salt Creek Reservoir 35,0.0,AF,0,,46.4,Lancaster,Lower Platte South,102002030306,1977-03-18,,,,,,,,102002030306.0,-96.62374774066431,40.63021338712371,Storage Use-only,,0.0,Salt Creek Reservoir 35,WaDENE_WS13
7349,Active    ,ST,A-12592,NENE S4-T9-R6E,15471,1,1,2B,,Priess Reservoir No. 1,,Haines Branch,0.0,AF,0,,0.0,Lancaster,Lower Platte South,102002030302,1972-04-17,,,,,,,,102002030302.0,-96.75519443599545,40.773035943346834,Storage,,0.0,Haines Branch,WaDENE_WS14
7379,Active    ,SO,A-16163, S8-T13-R4E,15629,7,1,2B,,Pump,,Oak-Middle Reservoir 63-D,0.0,AF,0,,257.0,Butler,Lower Platte South,102002030403,1982-12-14,1985-10-01T00:00:00,1983-01-14T00:00:00,,,,,,102002030403.0,-96.99086477694696,41.11094250017008,Storage Use-only,,0.0,Oak-Middle Reservoir 63-D,WaDENE_WS15
7379,Active    ,SO,A-16163,SENE S8-T13-R4E,15630,1,1,2B,,Pump,,Oak-Middle Reservoir 63-D,0.0,AF,0,,257.0,Butler,Lower Platte South,102002030403,1982-12-14,1985-10-01T00:00:00,1983-01-14T00:00:00,,,,,,102002030403.0,-96.99086477694696,41.11094250017008,Storage Use-only,,0.0,Oak-Middle Reservoir 63-D,WaDENE_WS15
7379,Active    ,SO,A-16163, S8-T13-R4E,15631,7,1,2B,,Pump,,Oak-Middle Reservoir 63-D,0.0,AF,0,,257.0,Butler,Lower Platte South,102002030403,1982-12-14,1985-10-01T00:00:00,1983-01-14T00:00:00,,,,,,102002030403.0,-96.99086477694696,41.11094250017008,Storage Use-only,,0.0,Oak-Middle Reservoir 63-D,WaDENE_WS15
7388,Active    ,SO,A-16571, S29-T13-R4E,5044,1,1,2B,,Pump,,Oak-Middle Reservoir 66-A,0.0,AF,0,,34.0,Butler,Lower Platte South,102002030403,1987-07-15,1990-10-01T00:00:00,1987-08-17T00:00:00,,,,,,102002030403.0,-96.99030859530848,41.06807929344566,Storage Use-only,,0.0,Oak-Middle Reservoir 66-A,WaDENE_WS16
7396,Active    ,SO,A-14824,SENE S7-T12-R4E,4941,1,1,2B,,Pump,,Oak-Middle Reservoir 87-A,0.0,AF,0,,20.7,Seward,Lower Platte South,102002030402,1977-03-18,,,,,,,,102002030402.0,-97.01389123669152,41.0232388340696,Storage Use-only,,0.0,Oak-Middle Reservoir 87-A,WaDENE_WS17
7398,Active    ,SO,A-16321, S6-T12-R4E,4978,7,1,2B,,Pump,,Oak-Middle Reservoir 86-A,0.0,AF,0,,128.7,Seward,Lower Platte South,102002030402,1984-08-07,1987-10-01T00:00:00,1984-09-14T00:00:00,,,,,,102002030402.0,-97.01055953628563,41.034918392365896,Storage Use-only,,0.0,Oak-Middle Reservoir 86-A,WaDENE_WS18
7398,Active    ,SO,A-16321, S6-T12-R4E,4979,7,1,2B,,Pump,,Oak-Middle Reservoir 86-A,0.0,AF,0,,128.7,Seward,Lower Platte South,102002030402,1984-08-07,1987-10-01T00:00:00,1984-09-14T00:00:00,,,,,,102002030402.0,-97.01055953628563,41.034918392365896,Storage Use-only,,0.0,Oak-Middle Reservoir 86-A,WaDENE_WS18
7398,Active    ,SO,A-16321, S6-T12-R4E,4981,1,1,2B,,Pump,,Oak-Middle Reservoir 86-A,0.0,AF,0,,128.7,Seward,Lower Platte South,102002030402,1984-08-07,1987-10-01T00:00:00,1984-09-14T00:00:00,,,,,,102002030402.0,-97.01055953628563,41.034918392365896,Storage Use-only,,0.0,Oak-Middle Reservoir 86-A,WaDENE_WS18
7401,Active    ,SO,A-14827, S7-T12-R4E,15569,1,1,2B,,Pump,,Oak-Middle Reservoir 82-B,0.0,AF,0,,13.8,Seward,Lower Platte South,102002030402,1977-03-18,,,,,,,,102002030402.0,-97.01272363080416,41.017552916721606,Storage Use-only,,0.0,Oak-Middle Reservoir 82-B,WaDENE_WS19
7439,Active    ,SO,A-14826,SENE S16-T14-R4E,15568,1,1,2B,,Pump,,North Oak Reservoir 6-B,0.0,AF,0,,52.7,Butler,Lower Platte South,102002030401,1977-03-18,,,,,,,,102002030401.0,-96.9738978299721,41.181961661103216,Storage Use-only,,0.0,North Oak Reservoir 6-B,WaDENE_WS20
7458,Active    ,SO,A-16140,SENE S6-T13-R5E,15627,1,1,2B,,Pump,,North Oak Reservoir 3-A,0.0,AF,0,,25.5,Saunders,Lower Platte South,102002030401,1982-08-12,1985-10-01T00:00:00,1982-09-27T00:00:00,,,,,,102002030401.0,-96.89887157914526,41.1239111639468,Storage Use-only,,0.0,North Oak Reservoir 3-A,WaDENE_WS21
7459,Active    ,SI,A-16140,SENE S6-T13-R5E,15628,1,1,2B,,Pump,,North Oak Reservoir 3-A,0.0,AF,0,,27.3,Saunders,Lower Platte South,102002030401,1982-08-12,1985-10-01T00:00:00,1982-09-27T00:00:00,,,,,,102002030401.0,-96.89887157914526,41.1239111639468,Supplemental Irrigation,,0.0,North Oak Reservoir 3-A,WaDENE_WS21
8719,Active    ,SO,A-16114,NENE S2-T31-R53W,14054,1,1,2D,,Pump,,Carter P Johnson Reservoir,0.0,AF,0,,88.0,Sioux,Upper Niobrara-White,101402010107,1982-06-02,1984-10-01T00:00:00,1982-07-15T00:00:00,,,,,,101402010107.0,-103.51820405451694,42.683962359600216,Storage Use-only,,0.0,Carter P Johnson Reservoir,WaDENE_WS22
8860,Active    ,SO,A-16000,NENE S31-T34-R52W,7267,7,1,2D,,Pump,,Moody Reservoir No. 1,0.0,AF,0,,169.9,Dawes,Upper Niobrara-White,101402010302,1981-09-28,1984-10-01T00:00:00,1981-10-15T00:00:00,,,,,,101402010302.0,-103.50364790768155,42.87427590026941,Storage Use-only,,0.0,Moody Reservoir No. 1,WaDENE_WS23
8860,Active    ,SO,A-16000,NWNE S31-T34-R52W,14043,7,1,2D,,Pump,,Moody Reservoir No. 1,0.0,AF,0,,169.9,Dawes,Upper Niobrara-White,101402010302,1981-09-28,1984-10-01T00:00:00,1981-10-15T00:00:00,,,,,,101402010302.0,-103.50364790768155,42.87427590026941,Storage Use-only,,0.0,Moody Reservoir No. 1,WaDENE_WS23
8860,Active    ,SO,A-16000,NENE S31-T34-R52W,14044,1,1,2D,,Pump,,Moody Reservoir No. 1,0.0,AF,0,,169.9,Dawes,Upper Niobrara-White,101402010302,1981-09-28,1984-10-01T00:00:00,1981-10-15T00:00:00,,,,,,101402010302.0,-103.50364790768155,42.87427590026941,Storage Use-only,,0.0,Moody Reservoir No. 1,WaDENE_WS23
8946,Active    ,SI,A-9998,NW S24-T34-R49W,13938,1,1,2D,,Morris Canal,,Morris Reservoir,0.0,AF,0,,92.0,Dawes,Upper Niobrara-White,101402010803,1961-01-17,,,,,,,,101402010803.0,-103.04315589114616,42.9070123063598,Supplemental Irrigation,,0.0,Morris Reservoir,WaDENE_WS24
8947,Active    ,SI,A-9998,NW S24-T34-R49W,13937,1,1,2D,,Morris Canal,,Morris Reservoir,0.0,AF,0,,345.2,Dawes,Upper Niobrara-White,101402010803,1961-01-17,,,,,,,,101402010803.0,-103.04315589114616,42.9070123063598,Supplemental Irrigation,,0.0,Morris Reservoir,WaDENE_WS24
9807,Active    ,IR,A-18221, S26-T2-R2E,415,1,1,1C,,Pump,,"Blue River, Little",1.5,CFS,673,70,104.9,Jefferson,Little Blue,102702070105,2004-03-19,2006-09-01T00:00:00,2004-06-22T00:00:00,,Open,2019-04-23T00:00:00,Open,Natural Flow (Reminder),102702070105.0,-97.17020369032906,40.11542480868714,Irrigation from Natural Stream,1.5,,"Blue River, Little",WaDENE_WS25
8663,Active    ,IR,A-18160A,SWNE S33-T30-R8W,14843,1,1,2C,,Pump,,"Verdigre Creek, Middle Branch",1.5,CFS,673,70,105.0,Knox,Lower Niobrara,101500070702,2003-03-27,2006-09-01T00:00:00,2003-08-28T00:00:00,,Open,2018-04-17T00:00:00,Open,Natural Flow (Reminder),101500070702.0,-98.2615364951368,42.524682080811466,Irrigation from Natural Stream,1.5,,"Verdigre Creek, Middle Branch",WaDENE_WS26
9810,Active    ,ST,A-18224,NWNE S24-T7-R10W,9145,1,1,1C,,Becker Lake,,Pawnee Creek,181.0,AF,,,,Adams,Little Blue,102702060408,2004-03-25,,2004-05-26T00:00:00,,Open,2018-08-20T00:00:00,Open,Blue River Compact,102702060408.0,-98.39317216911424,40.55760772179419,Storage,,181.0,Pawnee Creek,WaDENE_WS27
348,Active    ,SI,A-17892B,SWNE S27-T4-R8W,2029,1,1,1C,,Pump,,Pohlmeier Reservoir,17.1,AF,,,49.0,Nuckolls,Little Blue,102702060501,2000-07-18,2003-09-01T00:00:00,2001-03-28T00:00:00,,,,,,102702060501.0,-98.21272972844798,40.27978982062296,Supplemental Irrigation,,17.1,Pohlmeier Reservoir,WaDENE_WS28
348,Active    ,SI,A-17892B,NWNE S27-T4-R8W,10679,7,1,1C,,Pump,,Pohlmeier Reservoir,17.1,AF,,,49.0,Nuckolls,Little Blue,102702060501,2000-07-18,2003-09-01T00:00:00,2001-03-28T00:00:00,,,,,,102702060501.0,-98.21272972844798,40.27978982062296,Supplemental Irrigation,,17.1,Pohlmeier Reservoir,WaDENE_WS28
348,Active    ,SI,A-17892B,NENW S27-T4-R8W,10680,7,1,1C,,Pump,,Pohlmeier Reservoir,17.1,AF,,,49.0,Nuckolls,Little Blue,102702060501,2000-07-18,2003-09-01T00:00:00,2001-03-28T00:00:00,,,,,,102702060501.0,-98.21272972844798,40.27978982062296,Supplemental Irrigation,,17.1,Pohlmeier Reservoir,WaDENE_WS28
7216,Active    ,IR,A-17876, S26-T24-R7E,6496,1,1,2B,,Pump,,Logan Creek,0.26,CFS,116,141,36.75,Cuming,Lower Elkhorn,102200040401,2000-06-23,2003-09-01T00:00:00,2000-08-24T00:00:00,,Open,2020-09-11T00:00:00,Open,Instream Flow (NGPC and CPNRD),102200040401.0,-96.5786445816406,42.02440819865437,Irrigation from Natural Stream,0.26,,Logan Creek,WaDENE_WS29
7216,Active    ,IR,A-17876, S26-T24-R7E,6497,7,1,2B,,Pump,,Logan Creek,0.26,CFS,116,141,36.75,Cuming,Lower Elkhorn,102200040401,2000-06-23,2003-09-01T00:00:00,2000-08-24T00:00:00,,Open,2020-09-11T00:00:00,Open,Instream Flow (NGPC and CPNRD),102200040401.0,-96.5786445816406,42.02440819865437,Irrigation from Natural Stream,0.26,,Logan Creek,WaDENE_WS29
9938,Active    ,SI,A-17892A,NENW S27-T4-R8W,2081,7,1,1C,,Pump,,Pohlmeier Reservoir,44.3,AF,,,127.0,Nuckolls,Little Blue,102702060501,2000-07-18,2003-09-01T00:00:00,2001-03-28T00:00:00,,,,,,102702060501.0,-98.21272972844798,40.27978982062296,Supplemental Irrigation,,44.3,Pohlmeier Reservoir,WaDENE_WS28
9938,Active    ,SI,A-17892A,SWNE S27-T4-R8W,10677,1,1,1C,,Pump,,Pohlmeier Reservoir,44.3,AF,,,127.0,Nuckolls,Little Blue,102702060501,2000-07-18,2003-09-01T00:00:00,2001-03-28T00:00:00,,,,,,102702060501.0,-98.21272972844798,40.27978982062296,Supplemental Irrigation,,44.3,Pohlmeier Reservoir,WaDENE_WS28
9938,Active    ,SI,A-17892A,NWNE S27-T4-R8W,10678,7,1,1C,,Pump,,Pohlmeier Reservoir,44.3,AF,,,127.0,Nuckolls,Little Blue,102702060501,2000-07-18,2003-09-01T00:00:00,2001-03-28T00:00:00,,,,,,102702060501.0,-98.21272972844798,40.27978982062296,Supplemental Irrigation,,44.3,Pohlmeier Reservoir,WaDENE_WS28
4831,Active    ,IR,A-11791, S34-T7-R7E,15873,1,1,1F,,Pump,,"Nemaha River, Big, Middle Branch",1.03,CFS,462,70,72.0,Lancaster,Nemaha,102400080102,1969-09-02,1971-10-01T00:00:00,1969-12-12T00:00:00,,Open,2019-04-23T00:00:00,Open,Natural Flow (Reminder),102400080102.0,-96.61881395832718,40.5345667456397,Irrigation from Natural Stream,1.03,,"Nemaha River, Big, Middle Branch",WaDENE_WS30
4831,Active    ,IR,A-11791, S34-T7-R7E,15874,7,1,1F,,Pump,,"Nemaha River, Big, Middle Branch",1.03,CFS,462,70,72.0,Lancaster,Nemaha,102400080102,1969-09-02,1971-10-01T00:00:00,1969-12-12T00:00:00,,Open,2019-04-23T00:00:00,Open,Natural Flow (Reminder),102400080102.0,-96.61881395832718,40.5345667456397,Irrigation from Natural Stream,1.03,,"Nemaha River, Big, Middle Branch",WaDENE_WS30
7049,Active    ,IR,A-13194, S26-T27-R3E,6649,1,1,2B,,Pump,,Dog Creek,1.93,CFS,866,70,135.0,Wayne,Lower Elkhorn,102200040104,1974-09-06,1976-10-01T00:00:00,1975-04-30T00:00:00,,Open,2018-05-02T00:00:00,Open,Natural Flow (Reminder),102200040104.0,-97.03739525562524,42.27934404668178,Irrigation from Natural Stream,1.93,,Dog Creek,WaDENE_WS31
594,Active    ,IR,A-9057, S15-T9-R22W,3666,7,1,1A,,Pump,,Platte River,0.73,CFS,327,70,51.0,Dawson,Central Platte,102001010608,1956-12-26,1961-10-01T00:00:00,1958-06-04T00:00:00,,Open,2020-09-15T00:00:00,Open,Natural Flow (Reminder),102001010608.0,-99.81440725842387,40.74779819623825,Irrigation from Natural Stream,0.73,,Platte River,WaDENE_WS32
594,Active    ,IR,A-9057,SENE S15-T9-R22W,3674,1,1,1A,,Pump,,Platte River,0.73,CFS,327,70,51.0,Dawson,Central Platte,102001010608,1956-12-26,1961-10-01T00:00:00,1958-06-04T00:00:00,,Open,2020-09-15T00:00:00,Open,Natural Flow (Reminder),102001010608.0,-99.81440725842387,40.74779819623825,Irrigation from Natural Stream,0.73,,Platte River,WaDENE_WS32
7091,Active    ,IR,A-17675, S26-T27-R3E,15388,1,1,2B,,Pump,,Dog Creek,0.25,CFS,112,70,17.2,Wayne,Lower Elkhorn,102200040104,1998-05-12,2001-09-01T00:00:00,1998-06-29T00:00:00,,Open,2020-09-11T00:00:00,Open,Instream Flow (NGPC and CPNRD),102200040104.0,-97.03736925475485,42.27943048159988,Irrigation from Natural Stream,0.25,,Dog Creek,WaDENE_WS31
850,Active    ,IR,A-13742, S10-T10-R11W,4137,1,1,1A,,Pump,,"Wood River, Trib. To",2.1,CFS,942,70,147.0,Hall,Central Platte,102001020403,1975-08-18,1978-10-01T00:00:00,1977-09-02T00:00:00,,Open,2020-09-15T00:00:00,Open,Natural Flow (Reminder),102001020403.0,-98.53147281629096,40.848674270458815,Irrigation from Natural Stream,2.1,,"Wood River, Trib. To",WaDENE_WS33
6688,Active    ,IR,A-14840, S14-T25-R7W,6578,1,1,2B,,Pump,,Elkhorn River,1.84,CFS,826,70,129.0,Antelope,Upper Elkhorn,102200011105,1977-03-23,1979-10-01T00:00:00,1978-01-31T00:00:00,,Open,2018-05-02T00:00:00,Open,Natural Flow (Reminder),102200011105.0,-98.09481899687368,42.147300929899984,Irrigation from Natural Stream,1.84,,Elkhorn River,WaDENE_WS34
