RightID,RightStatus,RightUse,ApplicationNumber,Location,PointOfDiversionID,PrimaryIndicator,PointofDiversionStatus,WaterDivision,FieldOffice,CarrierA,CarrierB,SourceName,ProGrant,Units,GPM,Rate,CurrentTotalAcres,CountyName,NRDName,HUC12,PriorityDate,BeneficialDate,ApprovalDate,IrrigationProject,Notice_Status,Notice_EffectiveDate,Notice_Type,Reason_AdminAction,BeneficialUseCategory,ReasonRemoved,index
10260,Active    ,ST,A-18489, S3-T8-R6E,9664,1,1,2B,,Dakota Springs Pond 1,,"Salt Creek, Trib. To",11.2,AF,,,,Lancaster,Lower Platte South,102002030307,2007-03-21,2008-10-01T00:00:00,2007-05-22T00:00:00,,Open,2020-09-11T00:00:00,Open,Instream Flow (NGPC and CPNRD),Storage,Null GPM,0.0
10261,Active    ,ST,A-18490, S3-T8-R6E,9663,1,1,2B,,Dakota Springs Pond 2,,"Salt Creek, Trib. To",12.2,AF,,,,Lancaster,Lower Platte South,102002030307,2007-03-21,2008-10-01T00:00:00,2007-05-22T00:00:00,,Open,2020-09-11T00:00:00,Open,Instream Flow (NGPC and CPNRD),Storage,Null GPM,0.0
9898,Active    ,ST,A-18282,NW S14-T4-R8E,9420,1,1,1D,,Norm Parde Reservoir,,"Mud Creek, Trib. To",72.2,AF,,,,Gage,Lower Big Blue,102702020602,2005-03-01,2006-10-01T00:00:00,2005-04-27T00:00:00,,,,,,Storage,Null GPM,0.0
10520,Active    ,ST,A-18569,SENW S7-T4-R13E,7827,1,1,1F,,Philip Bohl Reservoir,,"Muddy Creek, Trib. To",19.2,AF,,,,Nemaha,Nemaha,102400080301,2008-02-19,,2008-05-06T00:00:00,,,,,,Storage,Null GPM,0.0
10524,Active    ,ST,A-18570,NENW S28-T5-R12E,7828,1,1,1F,,Dave Borrenpohl Reservoir,,"Muddy Creek, Trib. To",25.6,AF,,,,Johnson,Nemaha,102400080302,2008-02-19,,2008-08-22T00:00:00,,,,,,Storage,Null GPM,0.0
10624,Active    ,ST,A-18604, S19-T4-R10E,8705,1,1,1F,,Hartmann Reservoir,,"Sampson Branch, Trib. To",33.51,AF,,,,Johnson,Nemaha,102400070101,2008-07-22,,2008-11-24T00:00:00,,,,,,Storage,Null GPM,0.0
9937,Active    ,ST,A-18319, S24-T9-R16W,8988,1,1,1A,,Stoneridge Lake,,"Wood River, Trib. To",201.55,AF,,,,Buffalo,Central Platte,102001020305,2005-06-30,,2006-02-09T00:00:00,,Open,2020-09-15T00:00:00,Open,Canal Administration,Storage,Null GPM,0.0
10659,Active    ,SI,A-15366B,NW S2-T31-R20W,8700,1,1,2C,,Pump,,"Sandall, Wesley, Reservoir",2.72,AF,,,160.0,Rock,Lower Niobrara,101500041308,1978-11-27,1982-10-01T00:00:00,1979-02-15T00:00:00,,,,,,Supplemental Irrigation (irrigation from reservoir on lands also covered by natural flow appropriation.),Null GPM,0.0
9956,Active    ,ST,A-18337,SWNW S12-T31-R8W,9874,1,1,2C,,Lightner Reservoir No. 1,,Soldier Creek,21.5,AF,,,0.0,Knox,Lower Niobrara,101500071004,2005-09-08,,2007-03-28T00:00:00,,Open,2018-04-17T00:00:00,Open,Natural Flow (Reminder),Storage,Null GPM,0.0
10459,Active    ,ST,A-18550, S35-T12-R6E,8145,1,1,2B,,A. Nagel Pond,,"Salt Creek, Little, Trib. To",32.0,AF,,,,Lancaster,Lower Platte South,102002030901,2007-10-31,,2008-08-22T00:00:00,,Open,2020-09-11T00:00:00,Open,Instream Flow (NGPC and CPNRD),Storage,Null GPM,0.0
10600,Active    ,ST,A-18600, S25-T8-R1E,8127,1,1,1D,,Turkey Creek Reservoir  4,,"Turkey Creek, Trib. To",267.8,AF,,,,Saline,Lower Big Blue,102702040305,2008-06-17,,2008-08-22T00:00:00,,,,,,Storage,Null GPM,0.0
10658,Active    ,SI,A-15366A,NW S2-T31-R20W,8699,1,1,2C,,Pump,,"Sandall, Wesley, Reservoir",2.72,AF,,,98.0,Rock,Lower Niobrara,101500041308,1978-11-27,1982-10-01T00:00:00,1979-02-15T00:00:00,,,,,,Supplemental Irrigation (irrigation from reservoir on lands also covered by natural flow appropriation.),Null GPM,0.0
9881,Active    ,ST,A-18271, S23-T13-R3E,9419,1,1,1D,,Tesina Reservoir,,"Plum Creek, Trib. To",13.8,AF,,,0.0,Butler,Upper Big Blue,102702020101,2004-10-28,,2007-05-22T00:00:00,,,,,,Storage,Null GPM,0.0
10227,Active    ,ST,A-18458, S22-T4-R7E,7634,1,1,1D,,Evers Farm Pond,,"Cedar Creek, Trib. To",13.28,AF,,,,Gage,Lower Big Blue,102702020601,2007-02-21,,2007-09-12T00:00:00,,,,,,Storage,Null GPM,0.0
10455,Active    ,SI,A-18546,NW S13-T32-R3W,10272,1,1,2F,,Pump,,Poppe Reservoir,90.3,AF,,,216.8,Knox,Lewis & Clark,101701010907,2007-10-23,2010-09-01T00:00:00,2008-05-09T00:00:00,,,,,,Supplemental Irrigation (irrigation from reservoir on lands also covered by natural flow appropriation.),Null GPM,0.0
9934,Active    ,MF,A-18316,NENE S10-T10-R11E,7959,1,1,1F,,Pump,,Martin Marietta Fresh Water Reservoir,250.0,AF,,,,Cass,Lower Platte South,102400010202,2005-06-15,2010-09-01T00:00:00,2008-05-08T00:00:00,,Open,2019-04-23T00:00:00,Open,Natural Flow (Reminder),Manufacturing,Null GPM,0.0
10705,Active    ,SO,A-18640, S10-T34-R11W,8948,1,1,2F,,Pump,,Andersen Reservoir,37.1,AF,,,346.4,Boyd,Lower Niobrara,101500010302,2009-02-05,2011-09-01T00:00:00,2009-04-23T00:00:00,,,,,,Storage Use-only (irrigation from reservoir on lands not covered by natural flow appropriation),Null GPM,0.0
9899,Active    ,SO,A-18283,NW S14-T4-R8E,8837,1,1,1D,,Pump,,Norm Parde Reservoir,59.4,AF,,,271.6,Gage,Lower Big Blue,102702020602,2005-03-01,2008-09-01T00:00:00,2005-06-30T00:00:00,,,,,,Storage Use-only (irrigation from reservoir on lands not covered by natural flow appropriation),Null GPM,0.0
9920,Active    ,SI,A-18302,SENE S14-T15-R11W,8582,1,1,2A,,Pump,,Oeltjen Reservoir,16.92,AF,,,43.2,Howard,Lower Loup,102100070706,2005-04-25,2011-09-01T00:00:00,2008-09-02T00:00:00,,,,,,Supplemental Irrigation (irrigation from reservoir on lands also covered by natural flow appropriation.),Null GPM,0.0
10549,Active    ,ST,A-18585, S33-T2-R16E,7916,1,1,1F,,Daniel Hill Pond,,"Muddy Creek, Trib. To",9.2,AF,,,,Richardson,Nemaha,102400080307,2008-04-04,,2008-08-22T00:00:00,,,,,,Storage,Null GPM,0.0
10440,Active    ,ST,A-18541,SENE S2-T1-R8E,7821,1,1,1D,,Thomas Reservoir,,Plum Creek,48.0,AF,,,,Gage,Lower Big Blue,102702050102,2007-10-10,,2008-11-24T00:00:00,,,,,,Storage,Null GPM,0.0
9979,Active    ,ST,A-18360,NENW S20-T17-R13E,10134,1,1,2F,,Horseshoe Lake Phase 1,,Deer Creek,106.95,AF,,,,Washington,Papio-Missouri River,102300060504,2005-11-18,,2006-10-26T00:00:00,,Open,2016-04-29T00:00:00,Open,Natural Flow (Reminder),Storage,Null GPM,0.0
10651,Active    ,SO,A-18617,NENW S36-T33-R1W,8686,1,1,2F,,Pump,,Antelope Creek Lake,67.0,AF,,,107.5,Cedar,Lewis & Clark,101701011205,2008-11-18,2011-09-01T00:00:00,2009-02-04T00:00:00,,,,,,Storage Use-only (irrigation from reservoir on lands not covered by natural flow appropriation),Null GPM,0.0
10460,Active    ,SO,A-18551, S35-T12-R6E,7442,1,1,2B,,Pump,,A. Nagel Pond,32.0,AF,,,27.7,Lancaster,Lower Platte South,102002030901,2007-10-31,2011-09-01T00:00:00,2008-08-22T00:00:00,,,,,,Storage Use-only (irrigation from reservoir on lands not covered by natural flow appropriation),Null GPM,0.0
10441,Active    ,SO,A-18542, S2-T1-R8E,8602,1,1,1D,,Pump,,Thomas Reservoir,48.0,AF,,,51.0,Gage,Lower Big Blue,102702050102,2007-10-10,2011-09-01T00:00:00,2008-11-24T00:00:00,,,,,,Storage Use-only (irrigation from reservoir on lands not covered by natural flow appropriation),Null GPM,0.0
10759,Active    ,ST,A-18671, S1-T25-R12W,9151,1,1,2B,,Chambers Wetland,,Dry Creek,17.5,AF,,,,Holt,Upper Elkhorn,102200010606,2009-07-01,,2009-09-22T00:00:00,,,,,,Storage,Null GPM,0.0
10400,Active    ,ST,A-18532,SENE S17-T27-R8E,7757,1,1,2F,,J. Olson Reservoir,,"Fiddler's Creek, tributary to",18.3,AF,,,,Dakota,Papio-Missouri River,102300010104,2007-08-20,,2008-01-21T00:00:00,,Open,2016-04-29T00:00:00,Open,Natural Flow (Reminder),Storage,Null GPM,0.0
13456,Active    ,CS,CSW-1728, S9-T20-R51W,10583,3,1,1A,,,,North Platte River,,,,,,Morrill,North Platte,101800090905,1993-02-24,,1994-01-31T00:00:00,,,,,,Unknown,Null GPM,0.0
13456,Active    ,CS,CSW-1728, S9-T20-R51W,10584,4,1,1A,,,,North Platte River,,,,,,Morrill,North Platte,101800090905,1993-02-24,,1994-01-31T00:00:00,,,,,,Unknown,Null GPM,0.0
13459,Active    ,CS,CSW-1731, S20-T9-R20W,10589,3,1,1A,,,,Platte River,,,,,,Dawson,Central Platte,102001010704,1993-06-07,,1994-02-01T00:00:00,,,,,,Unknown,Null GPM,0.0
13459,Active    ,CS,CSW-1731, S35-T9-R20W,10590,4,1,1A,,,,Platte River,,,,,,Dawson,Central Platte,102001010704,1993-06-07,,1994-02-01T00:00:00,,,,,,Unknown,Null GPM,0.0
13471,Active    ,CS,CSW-1743,NW S22-T18-R14W,10623,3,1,2A,,,,Calamus River,,,,,,Valley,Lower Loup,102100070401,1997-08-20,,1998-08-04T00:00:00,,,,,,Unknown,Null GPM,0.0
13471,Active    ,CS,CSW-1743,SWNE S22-T18-R14W,10624,4,1,2A,,,,Calamus River,,,,,,Valley,Lower Loup,102100070401,1997-08-20,,1998-08-04T00:00:00,,,,,,Unknown,Null GPM,0.0
13474,Active    ,CS,CSW-1747, S32-T7-R19W,10193,4,1,1A,,,,Platte River,,,,,,Phelps,Tri-Basin,102001010905,1998-07-13,,1999-01-05T00:00:00,,,,,,Unknown,Null GPM,0.0
13474,Active    ,CS,CSW-1747, S32-T7-R19W,10628,3,1,1A,,,,Platte River,,,,,,Phelps,Tri-Basin,102001010905,1998-07-13,,1999-01-05T00:00:00,,,,,,Unknown,Null GPM,0.0
13477,Active    ,CS,CSW-1750, S26-T8-R20W,10190,3,1,1A,,,,Platte River,,,,,,Phelps,Tri-Basin,102001010902,1998-07-13,,1999-01-05T00:00:00,,,,,,Unknown,Null GPM,0.0
13477,Active    ,CS,CSW-1750, S26-T8-R20W,10191,4,1,1A,,,,Platte River,,,,,,Phelps,Tri-Basin,102001010902,1998-07-13,,1999-01-05T00:00:00,,,,,,Unknown,Null GPM,0.0
13480,Active    ,CS,CSW-1753,NENW S5-T10-R22W,10630,3,1,1A,,,,Platte River,,,,,,Dawson,Central Platte,102001010702,1998-07-13,,1998-08-04T00:00:00,,,,,,Unknown,Null GPM,0.0
13480,Active    ,CS,CSW-1753,NWNW S10-T10-R22W,10631,4,1,1A,,,,Platte River,,,,,,Dawson,Central Platte,102001010703,1998-07-13,,1998-08-04T00:00:00,,,,,,Unknown,Null GPM,0.0
13483,Active    ,CS,CSW-1757,NENE S19-T14-R30W,10632,3,1,1A,,,,North Platte River,,,,,,Lincoln,Twin Platte,101800140808,1999-04-07,,1999-12-22T00:00:00,,,,,,Unknown,Null GPM,0.0
13483,Active    ,CS,CSW-1757, S19-T14-R30W,10633,4,1,1A,,,,North Platte River,,,,,,Lincoln,Twin Platte,101800140808,1999-04-07,,1999-12-22T00:00:00,,,,,,Unknown,Null GPM,0.0
13483,Active    ,CS,CSW-1757,NWNW S29-T14-R30W,10634,4,1,1A,,,,North Platte River,,,,,,Lincoln,Twin Platte,101800140808,1999-04-07,,1999-12-22T00:00:00,,,,,,Unknown,Null GPM,0.0
13505,Active    ,CS,CSW-1779,SWNE S35-T23-R58W,10635,3,1,1A,,,,North Platte River,,,,,,Scotts Bluff,North Platte,101800120703,2002-04-01,,2002-06-27T00:00:00,,,,,,Unknown,Null GPM,0.0
13505,Active    ,CS,CSW-1779, S35-T23-R58W,10636,4,1,1A,,,,North Platte River,,,,,,Scotts Bluff,North Platte,101800120703,2002-04-01,,2002-06-27T00:00:00,,,,,,Unknown,Null GPM,0.0
13506,Active    ,CS,CSW-1780,NENE S11-T22-R58W,10637,3,1,1A,,,,North Platte River,,,,,,Scotts Bluff,North Platte,101800120703,2002-04-08,,2002-06-27T00:00:00,,,,,,Unknown,Null GPM,0.0
13506,Active    ,CS,CSW-1780,NWNE S11-T22-R58W,10638,4,1,1A,,,,North Platte River,,,,,,Scotts Bluff,North Platte,101800120703,2002-04-08,,2002-06-27T00:00:00,,,,,,Unknown,Null GPM,0.0
13520,Active    ,CS,CSW-1794, S19-T21-R55W,10646,3,1,1A,,,,North Platte River,,,,,,Scotts Bluff,North Platte,101800090808,2003-07-24,,2003-08-28T00:00:00,,,,,,Unknown,Null GPM,0.0
13520,Active    ,CS,CSW-1794, S19-T21-R55W,10647,4,1,1A,,,,North Platte River,,,,,,Scotts Bluff,North Platte,101800090808,2003-07-24,,2003-08-28T00:00:00,,,,,,Unknown,Null GPM,0.0
13521,Active    ,CS,CSW-1795, S21-T21-R55W,10648,3,1,1A,,,,North Platte River,,,,,,Scotts Bluff,North Platte,101800090808,2003-07-24,,2003-08-28T00:00:00,,,,,,Unknown,Null GPM,0.0
13521,Active    ,CS,CSW-1795, S21-T21-R55W,10649,4,1,1A,,,,North Platte River,,,,,,Scotts Bluff,North Platte,101800090808,2003-07-24,,2003-08-28T00:00:00,,,,,,Unknown,Null GPM,0.0
9757,Active    ,ST,A-18190,SWNW S9-T7-R13E,3179,1,1,1F,,Lorton SE Road Reservoir,,Sand Creek,49.0,AF,,,0.0,Otoe,Nemaha,102400060402,2003-09-11,,2005-02-09T00:00:00,,,,,,Storage,Null GPM,0.0
9799,Active    ,ST,A-18213,SWNW S9-T3-R9E,9468,1,1,1F,,Dwight Dawson Res. No. 1,,"Turkey Creek, Trib. To",14.1,AF,,,,Pawnee,Nemaha,102400070101,2004-02-25,,2004-05-04T00:00:00,,,,,,Storage,Null GPM,0.0
9800,Active    ,ST,A-18214, S9-T3-R9E,9469,1,1,1F,,Dwight Dawson Res. No 2,,"Turkey Creek, Trib. To",8.6,AF,,,,Pawnee,Nemaha,102400070101,2004-02-25,,2004-04-28T00:00:00,,,,,,Storage,Null GPM,0.0
9801,Active    ,ST,A-18215,SENW S4-T3-R9E,9470,1,1,1F,,Dwight Dawson Res. No. 3,,"Turkey Creek, Trib. To",11.4,AF,,,,Pawnee,Nemaha,102400070101,2004-02-25,,2004-04-28T00:00:00,,,,,,Storage,Null GPM,0.0
9803,Active    ,ST,A-18217, S17-T2-R10E,9471,1,1,1F,,Albert Stake Reservoir,,"Balls Branch, Trib. To",23.7,AF,,,,Pawnee,Nemaha,102400070102,2004-03-09,,2004-05-26T00:00:00,,,,,,Storage,Null GPM,0.0
9821,Active    ,ST,A-18235,NENW S24-T4-R9E,8985,1,1,1F,,Klaus Hartmann Res. No. 1,,"Lost Branch, Trib To",98.2,AF,,,,Johnson,Nemaha,102400080106,2004-04-28,,2004-06-22T00:00:00,,,,,,Storage,Null GPM,0.0
9826,Active    ,ST,A-18240,SENW S16-T9-R10E,9472,1,1,1F,,William Vogt Reservoir,,Owl Creek,32.15,AF,,,,Otoe,Nemaha,102400060204,2004-05-17,,2004-06-22T00:00:00,,,,,,Storage,Null GPM,0.0
9827,Active    ,ST,A-18241, S2-T10-R11E,4424,1,1,1F,,Weeping Water Park Lakes,,"Weeping Water Creek, Trib. To",34.3,AF,,,,Cass,Lower Platte South,102400010204,2004-05-17,,2004-07-30T00:00:00,,,,,,Storage,Null GPM,0.0
9855,Active    ,ST,A-18258,NWNE S34-T11-R3E,9412,1,1,1D,,Beckler North,,"Blue River, Big",9.1,AF,,,,Seward,Upper Big Blue,102702020104,2004-07-28,,2005-05-10T00:00:00,,,,,,Storage,Null GPM,0.0
9857,Active    ,ST,A-18260,NWNE S34-T11-R3E,9413,1,1,1D,,Beckler South,,"Blue River, Big",143.7,AF,,,,Seward,Upper Big Blue,102702020104,2004-07-28,,2005-05-10T00:00:00,,,,,,Storage,Null GPM,0.0
9858,Active    ,SS,A-18261, S34-T11-R3E,4339,1,1,1D,,Beckler South,,"Blue Creek, Trib. To",143.7,AF,,,,Seward,Upper Big Blue,102702020104,2004-07-28,,2005-05-10T00:00:00,,,,,,Supplemental Storage (an appropriation that has a prior appropriation for storage),Null GPM,0.0
9872,Active    ,ST,A-18263,NENW S15-T3-R6E,9415,1,1,1D,,Belding Upper Reservoir,,"Blue River, Big, Trib. To",10.2,AF,,,,Gage,Lower Big Blue,102702020409,2004-08-16,2007-04-01T00:00:00,2005-02-22T00:00:00,,,,,,Storage,Null GPM,0.0
