OID_,ProjectID,RightID,ApplicationNumber,LegalDescription,SubSectionID,Section_,Township,Range,RangeDirectionID,HUC_12,Status,Use,Canal_System,Irrigation_District,County,NRD_1,Water_Division,Source,Current_Acres,Grant_,Units,PriorityDate,Longitude,Latitude
22,1,2465,A-12199,NW SW S31 T01N-R02W,9,31,1,2,2,102702070202.000000000000000,Active,IR - Irrigation from Natural Stream,,,Thayer,Little Blue,1C - Little Blue River,"Rose Creek, Trib. To",19.000000000000000,0.270000000000000,CFS,3/31/1971 0:00:00,-97.591700766651854,40.005921791511163
23,1,1798,A-9396,SW SW S30 T01N-R07W,11,30,1,7,2,102500160801.000000000000000,Active,IR - Irrigation from Natural Stream,,,Nuckolls,Lower Republican,1B - Republican River,Republican River,20.500000000000000,0.300000000000000,CFS,3/23/1957 0:00:00,-98.160666687785252,40.018705761887034
24,1,1806,A-11520,SW SE S27 T01N-R07W,15,27,1,7,2,102500160802.000000000000000,Active,IR - Irrigation from Natural Stream,,,Nuckolls,Lower Republican,1B - Republican River,Republican River,13.699999999999999,0.190000000000000,CFS,7/30/1968 0:00:00,-98.091731600689812,40.018755759442527
25,1,2223,A-12205,SW NE S32 T01N-R03W,7,32,1,3,2,102702061003.000000000000000,Active,IR - Irrigation from Natural Stream,,,Thayer,Little Blue,1C - Little Blue River,"Dry Creek, Trib. To",39.000000000000000,0.560000000000000,CFS,4/5/1971 0:00:00,-97.679452029899281,40.012728373303872
26,1,2220,A-16297,SW NW S32 T01N-R03W,3,32,1,3,2,102702061003.000000000000000,Active,IR - Irrigation from Natural Stream,,,Thayer,Little Blue,1C - Little Blue River,Dry Creek,43.000000000000000,0.610000000000000,CFS,5/3/1984 0:00:00,-97.685829032963753,40.012898716959768
27,1,1801,A-5468,NW SE S28 T01N-R07W,13,28,1,7,2,102500160802.000000000000000,Active,IR - Irrigation from Natural Stream,,,Nuckolls,Lower Republican,1B - Republican River,Republican River,121.000000000000000,1.730000000000000,CFS,8/12/1953 0:00:00,-98.113303472223933,40.020893445916229
28,1,1802,A-5468R,NE SE S28 T01N-R07W,14,28,1,7,2,102500160802.000000000000000,Active,IR - Irrigation from Natural Stream,,,Nuckolls,Lower Republican,1B - Republican River,Republican River,29.000000000000000,0.410000000000000,CFS,8/12/1953 0:00:00,-98.104604199656038,40.020970756497690
29,1,1688,A-15571,NE NE S27 T01N-R13W,6,27,1,13,2,102500160503.000000000000000,Active,IR - Irrigation from Natural Stream,,,Franklin,Lower Republican,1B - Republican River,Rock Creek,102.599999999999994,1.360000000000000,CFS,8/22/1979 0:00:00,-98.764092772937502,40.030195080454625
30,1,1686,A-16377,NE NE S27 T01N-R13W,6,27,1,13,2,102500160503.000000000000000,Active,SI - Supplemental Irrigation (irrig. from reservoir on lands also covered by a natural flow appropriation),,,Franklin,Lower Republican,1B - Republican River,South Reservoir Home,102.599999999999994,45.700000000000003,AF,5/8/1985 0:00:00,-98.764026740254337,40.030194354761022
31,1,2219,A-12081,NW NW S32 T01N-R03W,1,32,1,3,2,102702061003.000000000000000,Active,IR - Irrigation from Natural Stream,,,Thayer,Little Blue,1C - Little Blue River,Dry Creek,13.000000000000000,0.190000000000000,CFS,9/18/1970 0:00:00,-97.685774491877325,40.013420811362977
32,1,1687,A-16327,NW NW S26 T01N-R13W,1,26,1,13,2,102500160503.000000000000000,Active,ST - Storage,,,Franklin,Lower Republican,1B - Republican River,Rock Creek,,65.900000000000006,AF,8/29/1984 0:00:00,-98.763227710239434,40.031006995301404
33,1,2466,A-10691,SW NW S33 T01N-R02W,3,33,1,2,2,102702070202.000000000000000,Active,ST - Storage,,,Thayer,Little Blue,1C - Little Blue River,"Rose Creek, Trib. To",,19.000000000000000,AF,9/17/1965 0:00:00,-97.555879046436715,40.012059566361373
34,1,1793,A-11184,SE NW S28 T01N-R08W,4,28,1,8,2,102500160801.000000000000000,Active,ST - Storage,,,Nuckolls,Lower Republican,1B - Republican River,"Gimlet Creek, Trib. To",,36.299999999999997,AF,6/23/1967 0:00:00,-98.228898587688860,40.027019945397285
35,1,1834,A-14914,NE SW S27 T01N-R06W,10,27,1,6,2,102500160804.000000000000000,Active,IR - Irrigation from Natural Stream,,,Nuckolls,Lower Republican,1B - Republican River,Crosby Creek,70.000000000000000,0.480000000000000,CFS,4/19/1977 0:00:00,-97.983666888744111,40.023457272722233
36,1,934,A-1709,NW SW S21 T01N-R41W,9,21,1,41,2,102500020907.000000000000000,Active,IR - Irrigation from Natural Stream,,,Dundy,Upper Republican,1B - Republican River,Republican River,78.200000000000003,1.120000000000000,CFS,3/29/1923 0:00:00,-101.964620576656927,40.037272976213458
37,1,2474,A-13211,SW NW S29 T01N-R01W,3,29,1,1,2,102702070203.000000000000000,Active,IR - Irrigation from Natural Stream,,,Thayer,Little Blue,1C - Little Blue River,Rose Creek,63.200000000000003,0.900000000000000,CFS,9/20/1974 0:00:00,-97.459284418922536,40.026068556742871
38,1,4180,A-12484,SW SW S32 T01N-R08E,11,32,1,8,1,102702050103.000000000000000,Active,IR - Irrigation from Natural Stream,,,Gage,Lower Big Blue,1D - Big Blue River,Mission Creek,36.000000000000000,0.510000000000000,CFS,1/18/1972 0:00:00,-96.555257814933057,40.002048671874299
39,1,2545,A-17603,SE SE S26 T01N-R02E,16,26,1,2,1,102702070207.000000000000000,Active,ST - Storage,,,Jefferson,Little Blue,1C - Little Blue River,"Dry Branch, Trib. To",,35.000000000000000,AF,7/25/1997 0:00:00,-97.164129334735435,40.019114376213658
40,1,1797,A-15691,NE NE S22 T01N-R08W,6,22,1,8,2,102500160801.000000000000000,Active,IR - Irrigation from Natural Stream,,,Nuckolls,Lower Republican,1B - Republican River,Republican River,26.899999999999999,0.390000000000000,CFS,7/29/1980 0:00:00,-98.198971175345378,40.043250087341626
41,1,4167,A-8369,NW SE S35 T01N-R07E,13,35,1,7,1,102702050104.000000000000000,Active,IR - Irrigation from Natural Stream,,,Gage,Lower Big Blue,1D - Big Blue River,"Blue River, Big",109.200000000000003,0.780000000000000,CFS,2/21/1956 0:00:00,-96.602344451187435,40.007269786109291
42,1,1785,A-3952,SE SE S17 T01N-R09W,16,17,1,9,2,102500160604.000000000000000,Active,SI - Supplemental Irrigation (irrig. from reservoir on lands also covered by a natural flow appropriation),,,Webster,Lower Republican,1B - Republican River,Ohmstede Reservoir,64.000000000000000,0.000000000000000,AF,8/31/1946 0:00:00,-98.350265518112394,40.047481463301594
43,1,1786,A-3952,SE SE S17 T01N-R09W,16,17,1,9,2,102500160604.000000000000000,Active,SI - Supplemental Irrigation (irrig. from reservoir on lands also covered by a natural flow appropriation),,,Webster,Lower Republican,1B - Republican River,Ohmstede Reservoir,38.000000000000000,0.000000000000000,AF,8/31/1946 0:00:00,-98.350265518112394,40.047481463301594
44,1,1787,A-3952,SE SE S17 T01N-R09W,16,17,1,9,2,102500160604.000000000000000,Active,SO - Stor-only (irrigation from a reservoir on lands not covered by a natural flow appropriation),,,Webster,Lower Republican,1B - Republican River,Ohmstede Reservoir,54.000000000000000,237.000000000000000,AF,8/31/1946 0:00:00,-98.350265518112394,40.047481463301594
45,1,1784,A-3951,SE SE S17 T01N-R09W,16,17,1,9,2,102500160604.000000000000000,Active,ST - Storage,,,Webster,Lower Republican,1B - Republican River,"Republican River, Trib. To",,236.000000000000000,AF,8/31/1946 0:00:00,-98.350265520176293,40.047485770035806
46,1,1418,A-10513,SW SW S11 T01N-R22W,11,11,1,22,2,102500110304.000000000000000,Active,IR - Irrigation from Natural Stream,,,Furnas,Lower Republican,1B - Republican River,Sappa Creek,24.000000000000000,0.340000000000000,CFS,1/14/1965 0:00:00,-99.780298806857033,40.060160901948265
47,1,1829,A-9966,NE NW S23 T01N-R06W,2,23,1,6,2,102500160804.000000000000000,Active,ST - Storage,,,Nuckolls,Lower Republican,1B - Republican River,"Crosby Creek, Trib. To",,24.899999999999999,AF,8/7/1961 0:00:00,-97.964774541070554,40.042220510979867
48,1,1831,A-10117,NE NW S23 T01N-R06W,2,23,1,6,2,102500160804.000000000000000,Active,SO - Stor-only (irrigation from a reservoir on lands not covered by a natural flow appropriation),,,Nuckolls,Lower Republican,1B - Republican River,Nelson Reservoir,35.000000000000000,24.899999999999999,AF,10/17/1962 0:00:00,-97.965421970853939,40.042304291790053
49,1,2468,A-10404,SW SE S22 T01N-R02W,15,22,1,2,2,102702070203.000000000000000,Active,ST - Storage,,,Thayer,Little Blue,1C - Little Blue River,"Bowman Creek, Trib. To",,12.699999999999999,AF,7/29/1964 0:00:00,-97.527497102937957,40.034571365976923
50,1,1577,A-4250,NW NW S16 T01N-R16W,1,16,1,16,2,102500160404.000000000000000,Active,IR - Irrigation from Natural Stream,,,Franklin,Lower Republican,1B - Republican River,Republican River,184.300000000000011,1.000000000000000,CFS,4/26/1948 0:00:00,-99.140995050775231,40.058926853318255
51,1,1578,A-15745,NW NW S16 T01N-R16W,1,16,1,16,2,102500160404.000000000000000,Active,IR - Irrigation from Natural Stream,,,Franklin,Lower Republican,1B - Republican River,Republican River,184.300000000000011,0.590000000000000,CFS,1/12/1981 0:00:00,-99.141052255381624,40.058949380093473
52,1,1576,A-9507,NW NW S16 T01N-R16W,1,16,1,16,2,102500160404.000000000000000,Active,IR - Irrigation from Natural Stream,,,Franklin,Lower Republican,1B - Republican River,Republican River,184.300000000000011,0.450000000000000,CFS,5/25/1957 0:00:00,-99.141023510275460,40.058949160643692
53,1,4166,A-8517,SE NE S35 T01N-R07E,8,35,1,7,1,102702050104.000000000000000,Active,IR - Irrigation from Natural Stream,,,Gage,Lower Big Blue,1D - Big Blue River,"Blue River, Big",116.500000000000000,0.840000000000000,CFS,4/26/1956 0:00:00,-96.595648079804178,40.010880968240706
54,1,2475,A-10659,SW SE S19 T01N-R01W,15,19,1,1,2,102702070203.000000000000000,Active,ST - Storage,,,Thayer,Little Blue,1C - Little Blue River,"Rose Creek, Trib. To",,91.049999999999997,AF,7/20/1965 0:00:00,-97.468016415401067,40.034147682550319
55,1,4177,A-17858,SE NE S35 T01N-R07E,8,35,1,7,1,102702050104.000000000000000,Active,IR - Irrigation from Natural Stream,,,Gage,Lower Big Blue,1D - Big Blue River,"Blue River, Big",116.500000000000000,0.840000000000000,CFS,5/25/2000 0:00:00,-96.595604983975704,40.011125665776106
56,1,1645,A-3780,NW NW S14 T01N-R14W,1,14,1,14,2,102500160409.000000000000000,Active,ST - Storage,,,Franklin,Lower Republican,1B - Republican River,Wortham Creek,,115.000000000000000,AF,10/30/1944 0:00:00,-98.872856306723151,40.057074220122573
57,1,1813,A-17143,SE SW S14 T01N-R07W,12,14,1,7,2,102500160802.000000000000000,Active,IR - Irrigation from Natural Stream,,,Nuckolls,Lower Republican,1B - Republican River,Lost Creek,29.000000000000000,0.410000000000000,CFS,2/18/1992 0:00:00,-98.080276524752563,40.046770912297170
58,1,10271,A-12803A,NW NE S15 T01N-R16W,5,15,1,16,2,102500160404.000000000000000,Active,IR - Irrigation from Natural Stream,,,Franklin,Lower Republican,1B - Republican River,Republican River,56.700000000000003,0.810000000000000,CFS,2/13/1973 0:00:00,-99.111505503908077,40.060023080209753
59,1,944,A-924,SE SE S18 T01N-R40W,16,18,1,40,2,102500021009.000000000000000,Active,IR - Irrigation from Natural Stream,,,Dundy,Upper Republican,1B - Republican River,Buffalo Creek,161.000000000000000,2.300000000000000,CFS,12/12/1908 0:00:00,-101.875240246661747,40.049669118448449
60,1,1575,A-14734R,SW SE S08 T01N-R16W,15,8,1,16,2,102500160404.000000000000000,Active,TI - Transfer to Instream,,,Franklin,Lower Republican,1B - Republican River,Republican River,28.000000000000000,0.400000000000000,CFS,12/27/1976 0:00:00,-99.146915631700722,40.062794566202911
61,1,2552,A-11483,SW NE S30 T01N-R04E,7,30,1,4,1,102702070302.000000000000000,Active,IR - Irrigation from Natural Stream,,,Jefferson,Little Blue,1C - Little Blue River,"Blue River, Little",180.000000000000000,2.570000000000000,CFS,7/12/1968 0:00:00,-97.020007727167084,40.026574847965080
62,1,1581,A-3134,SE SE S10 T01N-R16W,16,10,1,16,2,102500160404.000000000000000,Active,IR - Irrigation from Natural Stream,,,Franklin,Lower Republican,1B - Republican River,Republican River,7.900000000000000,0.060000000000000,CFS,4/15/1940 0:00:00,-99.106355159276305,40.063262785697589
63,1,1658,A-9993,NW NW S16 T01N-R13W,1,16,1,13,2,102500160408.000000000000000,Active,ST - Storage,,,Franklin,Lower Republican,1B - Republican River,School Creek,,55.280000000000001,AF,10/27/1961 0:00:00,-98.798647687098153,40.060584509226707
64,1,1590,A-6244,SE SW S06 T01N-R15W,12,6,1,15,2,102500160404.000000000000000,Active,IR - Irrigation from Natural Stream,,,Franklin,Lower Republican,1B - Republican River,Republican River,17.399999999999999,0.150000000000000,CFS,4/27/1954 0:00:00,-99.059536521740085,40.075351334134083
65,1,4174,A-14433,SW NE S30 T01N-R09E,7,30,1,9,1,102702050103.000000000000000,Active,ST - Storage,,,Pawnee,Lower Big Blue,1D - Big Blue River,"Mission Creek, Trib. To",,123.299999999999997,AF,8/31/1976 0:00:00,-96.450699994349094,40.023297629105393
66,1,5024,A-15597,NE NE S31 T01N-R12E,6,31,1,12,1,102400070301.000000000000000,Active,ST - Storage,,,Pawnee,Nemaha,1F - Nemaha River and Lower Missouri River,"Negro Branch, Trib. To",,62.799999999999997,AF,11/1/1979 0:00:00,-96.108048949195364,40.012831871431800
67,1,2551,A-13394,SE NE S24 T01N-R03E,8,24,1,3,1,102702070302.000000000000000,Active,IR - Irrigation from Natural Stream,,,Jefferson,Little Blue,1C - Little Blue River,"Blue River, Little",33.000000000000000,0.470000000000000,CFS,2/10/1975 0:00:00,-97.032859363851827,40.041162076640077
68,1,1549,A-16493,SE SE S06 T01N-R16W,16,6,1,16,2,102500160402.000000000000000,Active,IR - Irrigation from Natural Stream,,,Franklin,Lower Republican,1B - Republican River,Republican River,30.000000000000000,0.430000000000000,CFS,6/5/1986 0:00:00,-99.161542467254890,40.077175765791338
69,1,4173,A-16563,SE NW S29 T01N-R09E,4,29,1,9,1,102702050103.000000000000000,Active,IR - Irrigation from Natural Stream,,,Pawnee,Lower Big Blue,1D - Big Blue River,Mission Creek,75.000000000000000,1.070000000000000,CFS,6/22/1987 0:00:00,-96.437082907970705,40.024166101317036
70,1,5026,A-15668,SW NE S34 T01N-R12E,7,34,1,12,1,102400070301.000000000000000,Active,ST - Storage,,,Pawnee,Nemaha,1F - Nemaha River and Lower Missouri River,"Negro Branch, Trib. To",,6.500000000000000,AF,6/26/1980 0:00:00,-96.056661797267708,40.011500811530595
71,1,1586,A-3079,SE SE S01 T01N-R16W,16,1,1,16,2,102500160404.000000000000000,Active,IR - Irrigation from Natural Stream,,,Franklin,Lower Republican,1B - Republican River,Republican River,45.799999999999997,0.250000000000000,CFS,1/19/1940 0:00:00,-99.069748762329255,40.077252526232137
72,1,1642,A-15647,SW SE S03 T01N-R14W,15,3,1,14,2,102500160409.000000000000000,Active,IR - Irrigation from Natural Stream,,,Franklin,Lower Republican,1B - Republican River,Republican River,60.299999999999997,0.860000000000000,CFS,5/16/1980 0:00:00,-98.885785825052878,40.075621467448734
73,1,1626,A-17073,SW SE S05 T01N-R14W,15,5,1,14,2,102500160407.000000000000000,Active,IR - Irrigation from Natural Stream,,,Franklin,Lower Republican,1B - Republican River,Calumet Creek,22.000000000000000,0.310000000000000,CFS,5/13/1991 0:00:00,-98.921023995524337,40.076180023658836
74,1,1789,A-5404,SW NE S08 T01N-R09W,7,8,1,9,2,102500160604.000000000000000,Active,IR - Irrigation from Natural Stream,,,Webster,Lower Republican,1B - Republican River,Republican River,211.000000000000000,0.310000000000000,CFS,7/21/1953 0:00:00,-98.354193535440913,40.069435750433044
75,1,1490,A-3950,NE SE S02 T01N-R19W,14,2,1,19,2,102500090905.000000000000000,Active,ST - Storage,,,Harlan,Lower Republican,1B - Republican River,"Republican River, Trib. To",,105.000000000000000,AF,8/30/1946 0:00:00,-99.425577882435647,40.080012308662852
76,1,1727,A-3244,NW NE S07 T01N-R10W,5,7,1,10,2,102500160507.000000000000000,Active,IR - Irrigation from Natural Stream,,,Webster,Lower Republican,1B - Republican River,Republican River,22.899999999999999,0.190000000000000,CFS,8/28/1940 0:00:00,-98.489362518821082,40.071423338199040
77,1,4171,A-13262,SE NW S27 T01N-R09E,4,27,1,9,1,102702050103.000000000000000,Active,ST - Storage,,,Pawnee,Lower Big Blue,1D - Big Blue River,"Mission Creek, Trib. To",,188.300000000000011,AF,11/6/1974 0:00:00,-96.402477279385963,40.024076606048432
78,1,2550,A-11454,NW NE S24 T01N-R03E,5,24,1,3,1,102702070302.000000000000000,Active,IR - Irrigation from Natural Stream,,,Jefferson,Little Blue,1C - Little Blue River,"Blue River, Little",58.000000000000000,0.830000000000000,CFS,6/20/1968 0:00:00,-97.035238636178931,40.044698413961953
79,1,1648,A-10631,SW SW S06 T01N-R13W,11,6,1,13,2,102500160409.000000000000000,Active,IR - Irrigation from Natural Stream,,,Franklin,Lower Republican,1B - Republican River,Republican River,92.500000000000000,1.320000000000000,CFS,5/19/1965 0:00:00,-98.836397088698874,40.077806287617818
80,1,4031,A-12266,SW NE S21 T01N-R05E,7,21,1,5,1,102702020503.000000000000000,Active,ST - Storage,,,Gage,Lower Big Blue,1D - Big Blue River,"Indian Creek, Big, Trib. To",,103.500000000000000,AF,5/18/1971 0:00:00,-96.867218777441423,40.040378009406517
81,1,2484,A-7629,SE NE S17 T01N-R01W,8,17,1,1,2,102702070203.000000000000000,Active,IR - Irrigation from Natural Stream,,,Thayer,Little Blue,1C - Little Blue River,Spring Branch,52.000000000000000,0.370000000000000,CFS,6/4/1955 0:00:00,-97.447914425022844,40.055640944740361
82,1,1702,A-12858,NE SW S05 T01N-R12W,10,5,1,12,2,102500160503.000000000000000,Active,IR - Irrigation from Natural Stream,,,Webster,Lower Republican,1B - Republican River,Republican River,256.699999999999989,2.000000000000000,CFS,4/18/1973 0:00:00,-98.700688952432756,40.078431018983181
83,1,1611,A-15562,NW SW S01 T01N-R15W,9,1,1,15,2,102500160406.000000000000000,Active,IR - Irrigation from Natural Stream,,,Franklin,Lower Republican,1B - Republican River,Republican River,81.299999999999997,0.780000000000000,CFS,8/20/1979 0:00:00,-98.969636496139302,40.081229554207120
84,1,2482,A-11681,NE NW S17 T01N-R01W,2,17,1,1,2,102702070203.000000000000000,Active,IR - Irrigation from Natural Stream,,,Thayer,Little Blue,1C - Little Blue River,Spring Branch,7.000000000000000,0.100000000000000,CFS,4/2/1969 0:00:00,-97.454663846335819,40.057593181621918
85,1,2503,A-14267,SE NE S18 T01N-R01E,8,18,1,1,1,102702070206.000000000000000,Active,IR - Irrigation from Natural Stream,,,Jefferson,Little Blue,1C - Little Blue River,Rose Creek,111.000000000000000,1.590000000000000,CFS,6/11/1976 0:00:00,-97.354712159816799,40.055394969139869
86,1,1714,A-12884,NW SW S04 T01N-R12W,9,4,1,12,2,102500160504.000000000000000,Active,IR - Irrigation from Natural Stream,,,Webster,Lower Republican,1B - Republican River,Republican River,22.600000000000001,0.320000000000000,CFS,6/7/1973 0:00:00,-98.686195296103946,40.079001213067016
87,1,1696,A-3558,NW SE S05 T01N-R12W,13,5,1,12,2,102500160503.000000000000000,Active,IR - Irrigation from Natural Stream,,,Webster,Lower Republican,1B - Republican River,Republican River,38.700000000000003,0.070000000000000,CFS,3/11/1942 0:00:00,-98.697300519996176,40.079135755423842
88,1,1698,A-12486B,NW SE S05 T01N-R12W,13,5,1,12,2,102500160503.000000000000000,Active,IR - Irrigation from Natural Stream,,,Webster,Lower Republican,1B - Republican River,Republican River,23.000000000000000,0.320000000000000,CFS,1/19/1972 0:00:00,-98.697375153827991,40.079165070118442
89,1,1697,A-12486A,NW SE S05 T01N-R12W,13,5,1,12,2,102500160503.000000000000000,Active,IR - Irrigation from Natural Stream,,,Webster,Lower Republican,1B - Republican River,Republican River,38.700000000000003,0.420000000000000,CFS,1/19/1972 0:00:00,-98.697357489890607,40.079178236268525
90,1,1695,A-2318,NW SE S05 T01N-R12W,13,5,1,12,2,102500160503.000000000000000,Active,IR - Irrigation from Natural Stream,,,Webster,Lower Republican,1B - Republican River,Republican River,38.700000000000003,0.060000000000000,CFS,4/17/1933 0:00:00,-98.697374629422058,40.079191805256684
91,1,1736,A-2357,SE SW S03 T01N-R10W,12,3,1,10,2,102500160507.000000000000000,Active,IR - Irrigation from Natural Stream,,,Webster,Lower Republican,1B - Republican River,Republican River,71.400000000000006,1.020000000000000,CFS,1/24/1934 0:00:00,-98.437468422086098,40.076091756297835
92,1,1593,A-4445,SW NE S06 T01N-R15W,7,6,1,15,2,102500160404.000000000000000,Active,IR - Irrigation from Natural Stream,,,Franklin,Lower Republican,1B - Republican River,"Cottonwood Creek, Little",28.199999999999999,0.050000000000000,CFS,3/3/1949 0:00:00,-99.055198290507462,40.083477111280764
93,1,1594,A-1647,SW NE S06 T01N-R15W,7,6,1,15,2,102500160404.000000000000000,Active,IR - Irrigation from Natural Stream,,,Franklin,Lower Republican,1B - Republican River,"Cottonwood Creek, Little",28.199999999999999,0.210000000000000,CFS,3/20/1922 0:00:00,-99.055176502932653,40.083476928387768
