AllocationNativeID,MethodUUID,OrganizationUUID,SiteUUID,VariableSpecificUUID,AllocationApplicationDate,AllocationAssociatedConsumptiveUseSiteIDs,AllocationAssociatedWithdrawalSiteIDs,AllocationBasisCV,AllocationChangeApplicationIndicator,AllocationCommunityWaterSupplySystem,AllocationCropDutyAmount,AllocationExpirationDate,AllocationFlow_CFS,AllocationLegalStatusCV,AllocationOwner,AllocationPriorityDate,AllocationSDWISIdentifierCV,AllocationTimeframeEnd,AllocationTimeframeStart,AllocationTypeCV,AllocationVolume_AF,BeneficialUseCategory,CommunityWaterSupplySystem,CropTypeCV,CustomerTypeCV,DataPublicationDate,DataPublicationDOI,ExemptOfVolumeFlowPriority,GeneratedPowerCapacityMW,IrrigatedAcreage,IrrigationMethodCV,LegacyAllocationIDs,OwnerClassificationCVPopulationServed,PowerType,PrimaryUseCategory,WaterAllocationNativeURL,OwnerClassificationCV,PopulationServed
A-10066,NEDNR_Water Rights,NEDNR,"NEwr_S2991,NEwr_S2990",NEDNR_Allocation,,,,,,,,,,Active,,1962-05-24,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10068A,NEDNR_Water Rights,NEDNR,NEwr_S10598,NEDNR_Allocation,,,,,,,,,,Active,,1962-05-29,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10068B,NEDNR_Water Rights,NEDNR,NEwr_S10599,NEDNR_Allocation,,,,,,,,,,Active,,1962-05-29,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10070,NEDNR_Water Rights,NEDNR,NEwr_S1940,NEDNR_Allocation,,,,,,,,,,Active,,1962-05-31,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10073A,NEDNR_Water Rights,NEDNR,NEwr_S1005,NEDNR_Allocation,,,,,,,,,,Active,,1962-06-05,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10073B,NEDNR_Water Rights,NEDNR,"NEwr_S1007,NEwr_S1006",NEDNR_Allocation,,,,,,,,,,Active,,1962-06-05,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10075,NEDNR_Water Rights,NEDNR,"NEwr_S1816,NEwr_S1815",NEDNR_Allocation,,,,,,,,,,Active,,1962-06-06,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10076,NEDNR_Water Rights,NEDNR,"NEwr_S1813,NEwr_S1814",NEDNR_Allocation,,,,,,,,,,Active,,1962-06-06,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10077,NEDNR_Water Rights,NEDNR,"NEwr_S1812,NEwr_S1811",NEDNR_Allocation,,,,,,,,,,Active,,1962-06-06,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10078,NEDNR_Water Rights,NEDNR,NEwr_S7544,NEDNR_Allocation,,,,,,,,,,Active,,1962-06-07,,09/30,04/01,,6.81,Storage,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10082,NEDNR_Water Rights,NEDNR,NEwr_S1872,NEDNR_Allocation,,,,,,,,,,Active,,1962-06-20,,09/30,04/01,,30.78,Storage,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10084,NEDNR_Water Rights,NEDNR,NEwr_S7152,NEDNR_Allocation,,,,,,,,,,Active,,1962-06-28,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10086,NEDNR_Water Rights,NEDNR,NEwr_S1823,NEDNR_Allocation,,,,,,,,,,Active,,1962-07-03,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10087,NEDNR_Water Rights,NEDNR,NEwr_S1979,NEDNR_Allocation,,,,,,,,,,Active,,1962-07-10,,09/30,04/01,,3.55,Storage,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10091,NEDNR_Water Rights,NEDNR,NEwr_S7489,NEDNR_Allocation,,,,,,,,,,Active,,1962-07-30,,09/30,04/01,,21.77,Storage,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10096,NEDNR_Water Rights,NEDNR,NEwr_S1792,NEDNR_Allocation,,,,,,,,,,Active,,1962-08-10,,09/30,04/01,,51.4,Storage,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10098,NEDNR_Water Rights,NEDNR,NEwr_S1808,NEDNR_Allocation,,,,,,,,,,Active,,1962-09-04,,09/30,04/01,,7.2,Storage,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10100,NEDNR_Water Rights,NEDNR,NEwr_S1790,NEDNR_Allocation,,,,,,,,,,Active,,1962-09-06,,09/30,04/01,,47.32,Storage,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10103,NEDNR_Water Rights,NEDNR,NEwr_S5356,NEDNR_Allocation,,,,,,,,,,Active,,1962-09-11,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10104,NEDNR_Water Rights,NEDNR,NEwr_S5357,NEDNR_Allocation,,,,,,,,,,Active,,1962-09-11,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10107,NEDNR_Water Rights,NEDNR,NEwr_S1770,NEDNR_Allocation,,,,,,,,,,Active,,1962-09-21,,09/30,04/01,,66.59,Storage,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10109,NEDNR_Water Rights,NEDNR,"NEwr_S9015,NEwr_S9014",NEDNR_Allocation,,,,,,,,,,Active,,1962-10-01,,09/30,04/01,,0,Temporary Transfer to In-Stream Use,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10110,NEDNR_Water Rights,NEDNR,"NEwr_S5615,NEwr_S5616",NEDNR_Allocation,,,,,,,,,,Active,,1962-10-02,,09/30,04/01,,39.46,Storage Use-only,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10112,NEDNR_Water Rights,NEDNR,NEwr_S12129,NEDNR_Allocation,,,,,,,,,,Active,,1962-10-09,,09/30,04/01,,63.7,Storage,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10114,NEDNR_Water Rights,NEDNR,"NEwr_S3937,NEwr_S3938",NEDNR_Allocation,,,,,,,,,,Active,,1962-10-10,,09/30,04/01,,44.2,Supplemental Irrigation,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10115,NEDNR_Water Rights,NEDNR,"NEwr_S5627,NEwr_S5626",NEDNR_Allocation,,,,,,,,,,Active,,1962-10-05,,09/30,04/01,,51.4,Storage Use-only,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10117,NEDNR_Water Rights,NEDNR,NEwr_S7582,NEDNR_Allocation,,,,,,,,,,Active,,1962-10-17,,09/30,04/01,,24.9,Storage Use-only,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10119,NEDNR_Water Rights,NEDNR,NEwr_S1908,NEDNR_Allocation,,,,,,,,,,Active,,1962-11-06,,09/30,04/01,,1900.0,Storage,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10120,NEDNR_Water Rights,NEDNR,NEwr_S1904,NEDNR_Allocation,,,,,,,,,,Active,,1962-11-06,,09/30,04/01,,1410.0,Storage,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10121,NEDNR_Water Rights,NEDNR,NEwr_S1913,NEDNR_Allocation,,,,,,,,,,Active,,1962-11-06,,09/30,04/01,,2700.0,Storage,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10123,NEDNR_Water Rights,NEDNR,NEwr_S1862,NEDNR_Allocation,,,,,,,,,,Active,,1962-11-15,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10125,NEDNR_Water Rights,NEDNR,"NEwr_S6420,NEwr_S5850",NEDNR_Allocation,,,,,,,,,,Active,,1962-11-26,,09/30,04/01,,29.1,"Storage Use-only,Supplemental Irrigation",,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10126,NEDNR_Water Rights,NEDNR,NEwr_S1817,NEDNR_Allocation,,,,,,,,,,Active,,1962-11-28,,09/30,04/01,,22.2,Storage,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10127,NEDNR_Water Rights,NEDNR,"NEwr_S7108,NEwr_S7109",NEDNR_Allocation,,,,,,,,,,Active,,1962-12-04,,09/30,04/01,,0,Temporary Transfer to In-Stream Use,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10129,NEDNR_Water Rights,NEDNR,NEwr_S11719,NEDNR_Allocation,,,,,,,,,,Active,,1962-12-13,,09/30,04/01,,178.9,Storage,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10132,NEDNR_Water Rights,NEDNR,NEwr_S10427,NEDNR_Allocation,,,,,,,,,,Active,,1962-12-26,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10135,NEDNR_Water Rights,NEDNR,NEwr_S1857,NEDNR_Allocation,,,,,,,,,,Active,,1963-01-04,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10136A,NEDNR_Water Rights,NEDNR,NEwr_S3796,NEDNR_Allocation,,,,,,,,,,Active,,1963-01-07,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10136B,NEDNR_Water Rights,NEDNR,NEwr_S1004,NEDNR_Allocation,,,,,,,,,,Active,,1963-01-07,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10139,NEDNR_Water Rights,NEDNR,"NEwr_S1878,NEwr_S1879",NEDNR_Allocation,,,,,,,,,,Active,,1963-01-10,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10140,NEDNR_Water Rights,NEDNR,NEwr_S10415,NEDNR_Allocation,,,,,,,,,,Active,,1963-01-15,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10141,NEDNR_Water Rights,NEDNR,"NEwr_S10241,NEwr_S10240",NEDNR_Allocation,,,,,,,,,,Active,,1963-01-15,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10142,NEDNR_Water Rights,NEDNR,NEwr_S1871,NEDNR_Allocation,,,,,,,,,,Active,,1963-01-21,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10143,NEDNR_Water Rights,NEDNR,NEwr_S11013,NEDNR_Allocation,,,,,,,,,,Active,,1963-01-31,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10145,NEDNR_Water Rights,NEDNR,"NEwr_S4422,NEwr_S4421,NEwr_S4420",NEDNR_Allocation,,,,,,,,,,Active,,1963-02-18,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10146,NEDNR_Water Rights,NEDNR,"NEwr_S1995,NEwr_S1994,NEwr_S1993",NEDNR_Allocation,,,,,,,,,,Active,,1963-02-18,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10151,NEDNR_Water Rights,NEDNR,NEwr_S8846,NEDNR_Allocation,,,,,,,,,,Active,,1963-02-27,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10153,NEDNR_Water Rights,NEDNR,"NEwr_S1910,NEwr_S1909",NEDNR_Allocation,,,,,,,,,,Active,,1963-03-06,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10154,NEDNR_Water Rights,NEDNR,NEwr_S1911,NEDNR_Allocation,,,,,,,,,,Active,,1963-03-06,,09/30,04/01,,5.16,Storage,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10155,NEDNR_Water Rights,NEDNR,"NEwr_S32,NEwr_S31",NEDNR_Allocation,,,,,,,,,,Active,,1963-03-06,,09/30,04/01,,0.0,Supplemental Irrigation,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10156,NEDNR_Water Rights,NEDNR,NEwr_S5652,NEDNR_Allocation,,,,,,,,,,Active,,1963-03-07,,09/30,04/01,,7.2,Storage Use-only,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10159,NEDNR_Water Rights,NEDNR,NEwr_S11005,NEDNR_Allocation,,,,,,,,,,Active,,1963-03-13,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10161A,NEDNR_Water Rights,NEDNR,NEwr_S4939,NEDNR_Allocation,,,,,,,,,,Active,,1963-03-15,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10161R,NEDNR_Water Rights,NEDNR,NEwr_S4940,NEDNR_Allocation,,,,,,,,,,Active,,1963-03-15,,09/30,04/01,,0,Irrigation and Incidental Underground Storage,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10164,NEDNR_Water Rights,NEDNR,NEwr_S7443,NEDNR_Allocation,,,,,,,,,,Active,,1963-03-22,,09/30,04/01,,20.62,Storage,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10165,NEDNR_Water Rights,NEDNR,NEwr_S1921,NEDNR_Allocation,,,,,,,,,,Active,,1963-03-25,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10166,NEDNR_Water Rights,NEDNR,NEwr_S7451,NEDNR_Allocation,,,,,,,,,,Active,,1963-04-01,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10167,NEDNR_Water Rights,NEDNR,NEwr_S5952,NEDNR_Allocation,,,,,,,,,,Active,,1963-04-04,,09/30,04/01,,1.39,Storage,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10173,NEDNR_Water Rights,NEDNR,NEwr_S7491,NEDNR_Allocation,,,,,,,,,,Active,,1963-04-11,,09/30,04/01,,7.03,Storage,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10175,NEDNR_Water Rights,NEDNR,NEwr_S4941,NEDNR_Allocation,,,,,,,,,,Active,,1963-04-12,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10176,NEDNR_Water Rights,NEDNR,NEwr_S3821,NEDNR_Allocation,,,,,,,,,,Active,,1963-04-12,,09/30,04/01,,8600.0,Storage,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10178,NEDNR_Water Rights,NEDNR,NEwr_S5358,NEDNR_Allocation,,,,,,,,,,Active,,1963-04-17,,09/30,04/01,,29.1,Storage,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10179,NEDNR_Water Rights,NEDNR,"NEwr_S1922,NEwr_S1923",NEDNR_Allocation,,,,,,,,,,Active,,1963-04-19,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10184,NEDNR_Water Rights,NEDNR,"NEwr_S5840,NEwr_S5841,NEwr_S5839",NEDNR_Allocation,,,,,,,,,,Active,,1963-05-02,,09/30,04/01,,49.9,Storage Use-only,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10185,NEDNR_Water Rights,NEDNR,"NEwr_S5843,NEwr_S5842",NEDNR_Allocation,,,,,,,,,,Active,,1963-05-02,,09/30,04/01,,0.0,"Storage Use-only,Supplemental Irrigation",,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10186,NEDNR_Water Rights,NEDNR,NEwr_S1970,NEDNR_Allocation,,,,,,,,,,Active,,1963-05-06,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10187,NEDNR_Water Rights,NEDNR,NEwr_S7472,NEDNR_Allocation,,,,,,,,,,Active,,1963-05-06,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10193,NEDNR_Water Rights,NEDNR,NEwr_S6798,NEDNR_Allocation,,,,,,,,,,Active,,1963-05-23,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10193R,NEDNR_Water Rights,NEDNR,NEwr_S6799,NEDNR_Allocation,,,,,,,,,,Active,,1963-05-23,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10195,NEDNR_Water Rights,NEDNR,NEwr_S7681,NEDNR_Allocation,,,,,,,,,,Active,,1963-05-27,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10196,NEDNR_Water Rights,NEDNR,NEwr_S7691,NEDNR_Allocation,,,,,,,,,,Active,,1963-05-27,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10197,NEDNR_Water Rights,NEDNR,"NEwr_S10363,NEwr_S10364",NEDNR_Allocation,,,,,,,,,,Active,,1963-05-27,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10201,NEDNR_Water Rights,NEDNR,NEwr_S8848,NEDNR_Allocation,,,,,,,,,,Active,,1963-06-12,,09/30,04/01,,6.08,Storage,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10204,NEDNR_Water Rights,NEDNR,"NEwr_S3828,NEwr_S3829,NEwr_S3830",NEDNR_Allocation,,,,,,,,,,Active,,1963-06-14,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10207,NEDNR_Water Rights,NEDNR,NEwr_S1966,NEDNR_Allocation,,,,,,,,,,Active,,1963-06-18,,09/30,04/01,,35.1,Storage,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10209,NEDNR_Water Rights,NEDNR,"NEwr_S1854,NEwr_S1853",NEDNR_Allocation,,,,,,,,,,Active,,1963-06-26,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10211,NEDNR_Water Rights,NEDNR,NEwr_S1951,NEDNR_Allocation,,,,,,,,,,Active,,1963-07-05,,09/30,04/01,,179.8,Storage,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10214AR,NEDNR_Water Rights,NEDNR,NEwr_S11484,NEDNR_Allocation,,,,,,,,,,Active,,1963-07-09,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10214BR,NEDNR_Water Rights,NEDNR,NEwr_S11486,NEDNR_Allocation,,,,,,,,,,Active,,1963-07-09,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10216,NEDNR_Water Rights,NEDNR,NEwr_S1596,NEDNR_Allocation,,,,,,,,,,Active,,1963-07-10,,09/30,04/01,,20.1,Storage,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10220,NEDNR_Water Rights,NEDNR,"NEwr_S1587,NEwr_S1588",NEDNR_Allocation,,,,,,,,,,Active,,1963-07-22,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10222,NEDNR_Water Rights,NEDNR,NEwr_S1562,NEDNR_Allocation,,,,,,,,,,Active,,1963-07-25,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10223,NEDNR_Water Rights,NEDNR,"NEwr_S1572,NEwr_S1573",NEDNR_Allocation,,,,,,,,,,Active,,1963-07-26,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10234,NEDNR_Water Rights,NEDNR,NEwr_S7426,NEDNR_Allocation,,,,,,,,,,Active,,1963-08-13,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
