FID_1,WRENAME,WRNAME,DWNAME,SYSTEMTYPE,WATERRESID,WRID,DWSYSNUM,WRLINK,WHOLESALER,LABEL,STATE,COUNTY,BASIN,SUBAREA,SUBAREANAM,LANUM,LANAME,ENDYEAR,DATASOURCE,SOURCEDATE,EDITOR,EDITDATE,SHAPE_Leng,Shape__Are,Shape__Len,Shape_Length,Shape_Area,Longitude,Latitude
20,Little Plains,Little Plains,Big Plains SW SSD - Apple Valley,C,2156,11014,UTAH27069,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11014, , ,Utah,Washington,Kanab Creek/Virgin River,10/1/2005,St. George,10-01-05e,St. George,2005, ,1/1/1970 0:00,ADAMCLARK,6/1/2017 0:00,5625.30083,1631274.56,5625.30083,5625.30083,1631274.561,-113.1241863,37.10453071
21,East Kanab Water Co.,East Kanab Water Company,East Kanab Water Company,NP,638,1450,UTAH13045,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1450, , ,Utah,Kane,Kanab Creek/Virgin River,10/2/2001,Johnson Wash,10-02-01a,Johnson Wash,2005, ,1/1/1970 0:00,ADAMCLARK,5/31/2017 0:00,23809.4921,12812708.71,23809.4921,23809.4921,12812708.71,-112.4215975,37.02885346
22,Canyon Country Subdivision,Kane County Water Conservancy District (Johnson Canyon),Kane County WCD - Johnson Canyon,C,656,10869,UTAH13038,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=10869, , ,Utah,Kane,Kanab Creek/Virgin River,10/2/2001,Johnson Wash,10-02-01a,Johnson Wash,1997, ,1/1/1970 0:00,ADAMCLARK,6/1/2017 0:00,7787.629569,2371911.973,7787.629569,7787.629569,2371911.973,-112.3902026,37.03029886
23,Spring Creek Water Co., ,Spring Creek Service Area,NP,1172,0,UTAH22123,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,Summit,Weber River,2/1/2006,East Canyon,02-01-06a,East Canyon,1992, ,1/1/1970 0:00,ADAMCLARK,6/1/2017 0:00,423.34,11089.00488,423.34,423.34,11089.005,-111.5716737,40.71094418
24,Herriman Pipeline Co.,Herriman City,Herriman Pipeline Company,NP,790,1050,UTAH18008,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1050, , ,Utah,Salt Lake,Jordan River,3/1/2001,Salt Lake Valley,03-01-01a,Salt Lake Valley,2003, ,1/1/1970 0:00,ADAMCLARK,6/1/2017 0:00,38554.73893,24478065.5,38554.73893,38554.73893,24478065.5,-112.0282196,40.49149154
25,McDonald Condominiums, ,McDonald Condominiums,NP,863,0,UTAH18099,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,Salt Lake,Jordan River,3/1/2001,Salt Lake Valley,03-01-01a,Salt Lake Valley,1999, ,1/1/1970 0:00,ADAMCLARK,6/1/2017 0:00,817.0239347,20770.86499,817.0239347,817.0239347,20770.865,-111.883642,40.59929987
26,Young Oak Water Corp.,Emigration Improvement District,Young Oak Water Corp,NTNC,898,10999,UTAH18148,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=10999, , ,Utah,Salt Lake,Jordan River,3/1/2003,Emigration Creek,03-01-03a,Emigration Creek,2005, ,1/1/1970 0:00,ADAMCLARK,5/31/2017 0:00,1015.746023,68596.79871,1015.746023,1015.746023,68596.7987,-111.7542765,40.77146231
27,Shadow Mountain Estates Subdivision,Shadow Mountain Estates Subdivision,Shadow Mountain Estates Subdivision,C,2302,11124,UTAH21050,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11124, , ,Utah,Sevier,Sevier River,5/4/2002,Richfield,05-04-02a,Richfield,1996, ,1/1/1970 0:00,ADAMCLARK,5/31/2017 0:00,4129.365399,582673.3657,4129.365399,4129.365399,582673.3656,-112.097464,38.67878221
28,Abbey of the Holy Trinity, ,Abbey Of The Holy Trinity,NP,1672,0,UTAH29039,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,Weber,Weber River,2/1/2008,Ogden Valley,02-01-08a,Ogden Valley,2005, ,1/1/1970 0:00,ADAMCLARK,5/31/2017 0:00,1443.810007,117180.8003,1443.810007,1443.810007,117180.8,-111.7112009,41.2399293
29,Castle Valley SSD,Castle Valley Special Service District,Castle Valley Special Service District,C,352,1136,UTAH08047,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1136, , ,Utah,Emery,West Colorado River,8/2/2003,Ferron Creek,08-02-03a,Ferron Creek,2005, ,1/1/1970 0:00,ADAMCLARK,11/9/2017 0:00,73963.4057,20794418.4,73963.4057,73963.4057,20794418.4,-111.13479,39.08975372
30,Durfee Creek Subdivision, ,Durfee Creek Subdivision,NP,1716,0,UTAH29100,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,Weber,Weber River,2/1/2008,Ogden Valley,02-01-08a,Ogden Valley,2005, ,1/1/1970 0:00,ADAMCLARK,6/1/2017 0:00,4385.1414,811221.3682,4385.1414,4385.1414,811221.368,-111.900407,41.38185093
31,Eldorado Hills Mutual Co.,Eldorado Hills Mutual Company,Eldorado Hills Mutual Co,NTNC,1581,0,UTAH27076,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,Washington,Kanab Creek/Virgin River,10/1/2005,St. George,10-01-05e,St. George,2005, ,1/1/1970 0:00,ADAMCLARK,6/1/2017 0:00,5258.355341,1652962.04,5258.355341,5258.355341,1652962.04,-113.3515498,37.25550526
32,Glen Canyon N.R.A. - Hite Marina,"National Park Service, Glen Canyon Hite Marina",Glen Canyon NRA - Hite Marina,NC,947,1351,UTAH19047,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1351, , ,Utah,San Juan,West Colorado River,9/3/2002,Lake Powell,09-03-02a,Lake Powell WColo,2000,DWRe/DWRi/Supplier,7/31/2019 0:00,ADAMCLARK,7/31/2019 0:00,3994.977834,147083.6323,3994.977834,3994.977834,147083.6328,-110.3880374,37.8746953
33,Summit Park SSD,Summit Park Water S.S.D.,Summit Park SSD,NP,1084,1121,UTAH22015,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1121, , ,Utah,Summit,Weber River,2/1/2006,East Canyon,02-01-06a,East Canyon,2001, ,1/1/1970 0:00,ADAMCLARK,6/1/2017 0:00,787.4,36774.11987,787.4,787.4,36774.12,-111.6215325,40.74055439
34,"Silver Springs Water, Inc.",Silver Springs Water Inc.,Mountain Regional - Silver Springs,NP,2310,1239,UTAH22095,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1239, , ,Utah,Summit,Weber River,2/1/2006,East Canyon,02-01-06a,East Canyon,1992, ,1/1/1970 0:00,ADAMCLARK,5/31/2017 0:00,1952.640912,130579.3727,1952.640912,1952.640912,130579.3728,-111.5645243,40.70028951
35,River View Water Co.,Price Municipal Water System,River View Water Company,NP,222,1335,UTAH04050,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1335, , ,Utah,Carbon,West Colorado River,8/1/2003,Price River,08-01-03a,Price A,1996,DWRe/Supplier,4/7/2020 0:00,ADAMCLARK,4/7/2020 0:00,3276.971017,624438.9775,3276.971017,3276.971017,624438.9775,-110.8046993,39.59000746
36,Bloomington, , , ,2473,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Idaho,Bear Lake,Bear River,1/1/2001,Bear Lake,01-01-01b,Bear Lake ID,0,DWRe,1/1/1970 0:00,ADAMCLARK,6/1/2017 0:00,7002.660035,2334272.368,7002.660035,7002.660035,2334272.368,-111.4049381,42.19096134
37,Clifton, , , ,2474,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Idaho,Franklin,Bear River,1/1/2004,Cache Valley,01-01-04b,Cache Valley ID,0,DWRe,1/1/1970 0:00,ADAMCLARK,6/1/2017 0:00,11652.77586,5836602.738,11652.77586,11652.77586,5836602.738,-112.0050749,42.18726513
38,Dayton, , , ,2475,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Idaho,Franklin,Bear River,1/1/2004,Cache Valley,01-01-04b,Cache Valley ID,0,DWRe,1/1/1970 0:00,ADAMCLARK,6/1/2017 0:00,27974.26035,16985755.36,27974.26035,27974.26035,16985755.36,-111.9783559,42.11223158
39,Franklin, , , ,2476,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Idaho,Franklin,Bear River,1/1/2004,Cache Valley,01-01-04b,Cache Valley ID,0,DWRe,1/1/1970 0:00,ADAMCLARK,6/1/2017 0:00,6794.272367,1975088.026,6794.272367,6794.272367,1975088.027,-111.8032431,42.01797751
40,Georgetown, , , ,2477,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Idaho,Bear Lake,Bear River,1/1/2002,Soda Springs,01-01-02a,Soda Springs,0,DWRe,1/1/1970 0:00,ADAMCLARK,6/1/2017 0:00,10509.94286,1931608.076,10509.94286,10509.94286,1931608.076,-111.3654747,42.47847791
41,Grace, , , ,2478,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Idaho,Caribou,Bear River,1/1/2003,Oneida,01-01-03a,Oneida,0,DWRe,1/1/1970 0:00,ADAMCLARK,6/1/2017 0:00,9574.271105,2542917.528,9574.271105,9574.271105,2542917.528,-111.7306436,42.57539878
42,Malad, , , ,2479,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Idaho,Oneida,Bear River,1/1/2005,Malad,01-01-05a,Malad,0,DWRe,1/1/1970 0:00,ADAMCLARK,6/1/2017 0:00,14263.20907,4302351.885,14263.20907,14263.20907,4302351.884,-112.2499254,42.19033562
43,Montpelier, , , ,2480,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Idaho,Bear Lake,Bear River,1/1/2001,Bear Lake,01-01-01b,Bear Lake ID,0,DWRe,1/1/1970 0:00,ADAMCLARK,6/1/2017 0:00,17560.2005,5790752.747,17560.2005,17560.2005,5790752.744,-111.2987195,42.32559546
44,Oxford, , , ,2481,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Idaho,Franklin,Bear River,1/1/2004,Cache Valley,01-01-04b,Cache Valley ID,0,DWRe,1/1/1970 0:00,ADAMCLARK,6/1/2017 0:00,3433.733754,653212.6759,3433.733754,3433.733754,653212.676,-112.0181863,42.26002478
45,Paris, , , ,2482,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Idaho,Bear Lake,Bear River,1/1/2001,Bear Lake,01-01-01b,Bear Lake ID,0,DWRe,1/1/1970 0:00,ADAMCLARK,6/1/2017 0:00,12092.98986,9085214.468,12092.98986,12092.98986,9085214.469,-111.4031421,42.22733912
46,Preston, , , ,2483,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Idaho,Franklin,Bear River,1/1/2004,Cache Valley,01-01-04b,Cache Valley ID,0,DWRe,1/1/1970 0:00,ADAMCLARK,6/1/2017 0:00,39967.27672,17230236.25,39967.27672,39967.27672,17230236.26,-111.878722,42.09870868
47,Saint Charles, , , ,2484,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Idaho,Bear Lake,Bear River,1/1/2001,Bear Lake,01-01-01b,Bear Lake ID,0,DWRe,1/1/1970 0:00,ADAMCLARK,6/1/2017 0:00,7814.627855,1622933.821,7814.627855,7814.627855,1622933.821,-111.3901773,42.11214889
48,Soda Springs, , , ,2485,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Idaho,Caribou,Bear River,1/1/2002,Soda Springs,01-01-02a,Soda Springs,0,DWRe,1/1/1970 0:00,ADAMCLARK,6/1/2017 0:00,23690.61415,11856069.71,23690.61415,23690.61415,11856069.71,-111.5875208,42.65885639
49,Weston, , , ,2486,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Idaho,Franklin,Bear River,1/1/2004,Cache Valley,01-01-04b,Cache Valley ID,0,DWRe,1/1/1970 0:00,ADAMCLARK,6/1/2017 0:00,9062.443266,5112908.073,9062.443266,9062.443266,5112908.073,-111.9783667,42.03728574
50,Cokeville, , , ,2488,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Wyoming,Lincoln,Bear River,1/2/2001,Cokeville,01-02-01a,Cokeville,0,DWRe,1/1/1970 0:00,ADAMCLARK,6/1/2017 0:00,9901.777874,1912873.741,9901.777874,9901.777874,1912873.741,-110.9544195,42.08406726
51,Evanston, , , ,2487,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Wyoming,Uinta,Bear River,1/3/2001,Evanston,01-03-01b,Evanston,0,DWRe,1/1/1970 0:00,ADAMCLARK,6/1/2017 0:00,36036.83573,26723090.14,36036.83573,36036.83573,26723090.14,-110.9647495,41.26020912
52,"Legacy Sweetwater, Inc.",Legacy Sweetwater Inc., ,NC,2417,11156, ,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11156, , ,Utah,Sanpete,Sevier River,5/1/2000,Gunnison,05-01-00a,Gunnison,0,AGRC,3/17/2015 0:00,ADAMCLARK,5/5/2020 0:00,16738.98169,5235086.059,16738.98169,16738.98169,5235086.059,-111.3843405,39.60179634
53,Monument Valley High School, ,Monument Valley High School,NP,941,0,UTAH19038,https://waterlink.utah.gov/deqWater/reports.html?systemId=992, , ,Utah,San Juan,Southeast Colorado River,9/3/2001,San Juan River,09-03-01a,San Juan River,2010, ,1/1/1970 0:00,ADAMCLARK,10/19/2020 0:00,1723.189542,191794.0649,1723.189542,1723.189542,191794.065,-110.1784433,37.00518965
54,"Fredonia, AZ",Fredonia Water Conservation District, ,C,2152,1433, ,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1433, , ,Arizona,Coconino,Kanab Creek/Virgin River,10/2/2002,Kanab Creek,10-02-02a,Lower Kanab Creek,2017, ,1/1/1970 0:00,ADAMCLARK,4/30/2019 0:00,21549.82322,17922459.04,21549.82322,21549.82322,17922459.04,-112.5194081,36.97002499
55,Hildale - Colorado City,"Hildale, Town of",Hildale - Colorado City,C,1527,1443,UTAH27006,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1443, , ,Utah,Washington,Kanab Creek/Virgin River,10/1/2005,St. George,10-01-05c,Hilldale,2019,AGRC/DWRe,1/1/1970 0:00,ADAMCLARK,10/19/2020 0:00,47400.81289,44923218.17,47400.81289,47400.81289,44923218.17,-112.9813591,36.99046171
56,Oljato Community, ,Olijato Community,C,2191,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,San Juan,Southeast Colorado River,9/3/2001,San Juan River,09-03-01a,San Juan River,2010, ,1/1/1970 0:00,ADAMCLARK,1/5/2016 0:00,4114.000784,901545.9656,4114.000784,4114.000784,901545.965,-110.3138242,37.03533557
57,Kane County WCD - Johnson Canyon,Kane County Water Conservancy District (Johnson Canyon),Kane County WCD - Johnson Canyon,C,631,10869,UTAH13038,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=10869, , ,Utah,Kane,Kanab Creek/Virgin River,10/2/2001,Johnson Wash,10-02-01a,Johnson Wash,2019,DWRe/Supplier,4/29/2019 0:00,ADAMCLARK,10/19/2020 0:00,78816.65818,27676834.26,78816.65818,78816.65818,27676834.26,-112.3807559,37.04203558
58,Red Mesa Community, ,Red Mesa Community,C,2192,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,San Juan,Southeast Colorado River,9/3/2001,San Juan River,09-03-01a,San Juan River,2010, ,1/1/1970 0:00,ADAMCLARK,1/5/2016 0:00,1428.341685,125780.98,1428.341685,1428.341685,125780.98,-109.3645538,37.06461654
59,Glen Canyon SSD Of Big Water,Glen Canyon Special Service District of Big Water,Glen Canyon SSD Of Big Water,C,606,1199,UTAH13003,https://www.waterrights.utah.gov/asp_apps/viewEditPWS/pwsView.asp?SYSTEM_ID=1199, , ,Utah,Kane,Southeast Colorado River,9/4/2000,Wahweep Creek,09-04-00a,Wahweep Creek,2019,DWRe/Supplier,4/16/2020 0:00,ADAMCLARK,10/19/2020 0:00,15346.18318,4219266.839,15346.18318,15346.18318,4219266.839,-111.6643172,37.08013079
60,Kanab City,Kanab Municipal Water System,Kanab City,C,608,1176,UTAH13005,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1176, , ,Utah,Kane,Kanab Creek/Virgin River,10/2/2002,Kanab Creek,10-02-02a,Lower Kanab Creek,2019,AGRC/DWRe/Supplier,4/29/2019 0:00,ADAMCLARK,10/19/2020 0:00,43668.36805,41350892.21,43668.36805,43668.36805,41350892.21,-112.523473,37.02707165
61,Church Wells SSD,Church Wells S.S.D,Church Wells Ssd,C,605,1920,UTAH13002,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1920, , ,Utah,Kane,Southeast Colorado River,9/4/2000,Wahweep Creek,09-04-00a,Wahweep Creek,2019,AGRC/DWRe,1/1/1970 0:00,ADAMCLARK,10/19/2020 0:00,6538.014469,2656826.63,6538.014469,6538.014469,2656826.63,-111.7697968,37.09974445
62,Big Plains - Apple Valley,Big Plains Water & Sewer Special Service Dist - Apple Valley,Big Plains SW SSD - Apple Valley,C,1574,10986,UTAH27069,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=10986, , ,Utah,Washington,Kanab Creek/Virgin River,10/1/2005,St. George,10-01-05e,St. George,2019, ,1/1/1970 0:00,ADAMCLARK,10/19/2020 0:00,5835.643676,1593045.149,5835.643676,5835.643676,1593045.149,-113.1241339,37.10465606
63,Mexican Hat/Halchita Community, ,Mexican Hat Halchita Sys,NP,919,0,UTAH19009,https://waterlink.utah.gov/deqWater/reports.html?systemId=946, , ,Utah,San Juan,Southeast Colorado River,9/3/2001,San Juan River,09-03-01a,San Juan River,2010, ,1/1/1970 0:00,ADAMCLARK,5/31/2017 0:00,5164.636802,1713748.885,5164.636802,5164.636802,1713748.885,-109.8836721,37.12834321
64,Mexican Hat SSD (San Juan SSD #1),San Juan Special Service District #1 (Mexican Hat SSD),Mexican Hat SSD,C,2065,1123,UTAH19008,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1123, , ,Utah,San Juan,Southeast Colorado River,9/3/2001,San Juan River,09-03-01a,San Juan River,2019,DWRe/Supplier,4/29/2019 0:00,ADAMCLARK,10/19/2020 0:00,6688.689509,850762.7268,6688.689509,6688.689509,850762.7278,-109.8598759,37.14937945
