"Year","CategoryC","CategoryD","HR","CategoryA","KAcreFt"
2004,"Return Flow to Nevada","AG9B","Central Coast","Agriculture",0
2004,"Return Flow to Mexico","AG9C","Central Coast","Agriculture",0
2004,"Deep Percolation to Oregon","AG9D","Central Coast","Agriculture",0
2004,"Deep Percolation to Nevada","AG9E","Central Coast","Agriculture",0
2004,"Deep Percolation to Mexico","AG9F","Central Coast","Agriculture",0
2004,"Applied Water Use","AWUAG","Central Coast","Agriculture",1260.8
2004,"Conveyance Applied Water Use","AWUAGC","Central Coast","Agriculture",10.7
2004,"Depletion","DEPAG","Central Coast","Agriculture",909.4
2004,"Conveyance Depletion","DEPAGC","Central Coast","Agriculture",6.9
2004,"Net Water Use (Applied Water - Reuse)","NW1AG","Central Coast","Agriculture",909.4
2004,"Conveyance Net Water Use (Applied Water - Reuse)","NW1AGC","Central Coast","Agriculture",6.9
2004,"Net Water Use (ETAW + Flow/Salt Sink + Outflow)","NW2AG","Central Coast","Agriculture",909.4
2004,"Conveyance Net Water Use (ETAW + Flow/Salt Sink + Outflow)","NW2AGC","Central Coast","Agriculture",6.9
2004,"Applied Water Use","AWUIFR","Central Coast","Instream Flow Requirements",26
2004,"Depletion","DEPIFR","Central Coast","Instream Flow Requirements",20.2
2004,"Applied Water","IFR1","Central Coast","Instream Flow Requirements",26
2004,"Reuse of Return Flows within DAUCO","IFR2","Central Coast","Instream Flow Requirements",5.8
2004,"Return Flow to Salt Sink","IFR3A","Central Coast","Instream Flow Requirements",20.2
2004,"Return Flow to Oregon - Mexico - Nevada","IFR3B","Central Coast","Instream Flow Requirements",0
2004,"Return Flow for Delta Outflow","IFR3C","Central Coast","Instream Flow Requirements",0
2004,"Return Flow to Developed Supply (Other DAUCO within PA)","IFR4A","Central Coast","Instream Flow Requirements",0
2004,"Return Flow to Developed Supply (Other PA)","IFR4B","Central Coast","Instream Flow Requirements",0
2004,"Return Flow to Developed Supply (Other Region)","IFR4C","Central Coast","Instream Flow Requirements",0
2004,"Net Water Use (Applied Water - Reuse)","NW1IFR","Central Coast","Instream Flow Requirements",20.2
2004,"Net Water Use (ETAW + Flow/Salt Sink + Outflow)","NW2IFR","Central Coast","Instream Flow Requirements",20.2
2004,"Applied Water Use","AWUMW","Central Coast","Managed Wetlands",0.4
2004,"Conveyance Applied Water Use","AWUMWC","Central Coast","Managed Wetlands",0
2004,"Depletion","DEPMW","Central Coast","Managed Wetlands",0.1
2004,"Conveyance Depletion","DEPMWC","Central Coast","Managed Wetlands",0
2004,"Applied Water","MW1","Central Coast","Managed Wetlands",0.4
2004,"Return Flows Evaporation and Evapotranspiration","MW10","Central Coast","Managed Wetlands",0
2004,"Conveyance Evaporation and ETAW","MW15","Central Coast","Managed Wetlands",0
2004,"Conveyance Return Flow to Oregon","MW16A","Central Coast","Managed Wetlands",0
2004,"Conveyance Return Flow to Nevada","MW16B","Central Coast","Managed Wetlands",0
2004,"Conveyance Return Flow to Mexico","MW16C","Central Coast","Managed Wetlands",0
2004,"Conveyance Deep Percolation to Oregon","MW16D","Central Coast","Managed Wetlands",0
2004,"Conveyance Deep Percolation to Nevada","MW16E","Central Coast","Managed Wetlands",0
2004,"Conveyance Deep Percolation to Mexico","MW16F","Central Coast","Managed Wetlands",0
2004,"Conveyance Return Flows to Salt Sink","MW17A","Central Coast","Managed Wetlands",0
2004,"Conveyance Return Flow for Delta Outflow","MW17B","Central Coast","Managed Wetlands",0
2004,"Conveyance Return Flow to Developed Supply (Other DAUCO within PA)","MW18A","Central Coast","Managed Wetlands",0
2004,"Conveyance Return Flow to Developed Supply (Other PA)","MW18B","Central Coast","Managed Wetlands",0
2004,"Conveyance Return Flow to Developed Supply (Other Region)","MW18C","Central Coast","Managed Wetlands",0
2004,"Conveyance Seepage","MW19","Central Coast","Managed Wetlands",0
2004,"Evapotranspiration of Applied Water","MW2","Central Coast","Managed Wetlands",0.1
2004,"Conveyance Deep Percolation","MW20","Central Coast","Managed Wetlands",0
2004,"Conveyance Deep Percolation to Salt Sink","MW21","Central Coast","Managed Wetlands",0
2004,"Deep Percolation of Applied Water","MW3","Central Coast","Managed Wetlands",0.3
2004,"Deep Percolation of Applied Water to Salt Sink","MW4","Central Coast","Managed Wetlands",0
2004,"Deep Percolation of Groundwater Recharge","MW5","Central Coast","Managed Wetlands",0
2004,"Reuse of Return Flows within DAUCO","MW6","Central Coast","Managed Wetlands",0
2004,"Return Flow to Oregon","MW7A","Central Coast","Managed Wetlands",0
2004,"Return Flow to Nevada","MW7B","Central Coast","Managed Wetlands",0
2004,"Return Flow to Mexico","MW7C","Central Coast","Managed Wetlands",0
2004,"Deep Percolation to Oregon","MW7D","Central Coast","Managed Wetlands",0
2004,"Deep Percolation to Nevada","MW7E","Central Coast","Managed Wetlands",0
2004,"Deep Percolation to Mexico","MW7F","Central Coast","Managed Wetlands",0
2004,"Return Flow to Salt Sink","MW8A","Central Coast","Managed Wetlands",0
2004,"Return Flow for Delta Outflow","MW8B","Central Coast","Managed Wetlands",0
2004,"Return Flow to Developed Supply (Other DAUCO within PA)","MW9A","Central Coast","Managed Wetlands",0
2004,"Return Flow to Developed Supply (Other PA)","MW9B","Central Coast","Managed Wetlands",0
2004,"Return Flow to Developed Supply (Other Region)","MW9C","Central Coast","Managed Wetlands",0
2004,"Return Flow to Carryover Storage for Next Water Year within DAU","MW9D","Central Coast","Managed Wetlands",0
2004,"Net Water Use (Applied Water - Reuse)","NW1MW","Central Coast","Managed Wetlands",0.1
2004,"Conveyance Net Water Use (Applied Water - Reuse)","NW1MWC","Central Coast","Managed Wetlands",0
2004,"Net Water Use (ETAW + Flow/Salt Sink + Outflow)","NW2MW","Central Coast","Managed Wetlands",0.1
2004,"Conveyance Net Water Use (ETAW + Flow/Salt Sink + Outflow)","NW2MWC","Central Coast","Managed Wetlands",0
2004,"Applied Water Use","AWURDO","Central Coast","Required Delta Outflow",0
2004,"Depletion","DEPRDO","Central Coast","Required Delta Outflow",0
2004,"Net Water Use (Applied Water - Reuse)","NW1RDO","Central Coast","Required Delta Outflow",0
2004,"Net Water Use (ETAW + Flow/Salt Sink + Outflow)","NW2RDO","Central Coast","Required Delta Outflow",0
2004,"Applied Water","RDO1","Central Coast","Required Delta Outflow",0
2004,"Return Flow for Delta Outflow","RDO2","Central Coast","Required Delta Outflow",0
2004,"Applied Water Use","AWUURB","Central Coast","Urban",322.2
2004,"Conveyance Applied Water Use","AWUURBC","Central Coast","Urban",6.7
2004,"Depletion","DEPURB","Central Coast","Urban",192.3
2004,"Conveyance Depletion","DEPURBC","Central Coast","Urban",6.7
2004,"Net Water Use (Applied Water - Reuse)","NW1URB","Central Coast","Urban",192.3
2004,"Conveyance Net Water Use (Applied Water - Reuse)","NW1URBC","Central Coast","Urban",6.7
2004,"Net Water Use (ETAW + Flow/Salt Sink + Outflow)","NW2URB","Central Coast","Urban",192.3
2004,"Conveyance Net Water Use (ETAW + Flow/Salt Sink + Outflow)","NW2URBC","Central Coast","Urban",6.7
2004,"Applied Water - Residential - Single Family Interior","URB1","Central Coast","Urban",60
2004,"Evapotranspiration of Applied Water","URB10","Central Coast","Urban",92.1
2004,"Evaporation and Evapotranspiration of Groundwater Recharge","URB11","Central Coast","Urban",0.9
2004,"Deep Percolation of Applied Water","URB12","Central Coast","Urban",88.6
2004,"Deep Percolation of Applied Water to Salt Sink","URB13","Central Coast","Urban",20.4
2004,"Deep Percolation of Groundwater Recharge","URB14","Central Coast","Urban",18.7
2004,"Reuse of Return Flows within DAUCO","URB15A","Central Coast","Urban",13.3
2004,"Urban - Wastewater Recycling","URB15B","Central Coast","Urban",4.7
2004,"Urban - Desalination","URB15C","Central Coast","Urban",0
2004,"Evaporation and Evapotranspiration of Wastewater","URB16","Central Coast","Urban",0.7
2004,"Return Flow to Oregon","URB17A","Central Coast","Urban",0
2004,"Return Flow to Nevada","URB17B","Central Coast","Urban",0
2004,"Return Flow to Mexico","URB17C","Central Coast","Urban",0
2004,"Deep Percolation to Oregon","URB17D","Central Coast","Urban",0
2004,"Deep Percolation to Nevada","URB17E","Central Coast","Urban",0
2004,"Deep Percolation to Mexico","URB17F","Central Coast","Urban",0
2004,"Return Flow to Salt Sink","URB18A","Central Coast","Urban",77.9
2004,"Return Flow for Delta Outflow","URB18B","Central Coast","Urban",0
2004,"Return Flow to Developed Supply (Other DAUCO within PA)","URB19A","Central Coast","Urban",0
2004,"Return Flow to Developed Supply (Other PA)","URB19B","Central Coast","Urban",4.6
2004,"Return Flow to Developed Supply (Other Region)","URB19C","Central Coast","Urban",0
2004,"Return Flow to Carryover Storage for Next Water Year within DAU","URB19D","Central Coast","Urban",0
2004,"Applied Water - Residential - Single Family Exterior","URB2","Central Coast","Urban",101
2004,"Return Flows Evaporation and Evapotranspiration","URB20","Central Coast","Urban",0.3
2004,"Conveyance Evaporation and ETAW","URB25","Central Coast","Urban",6.7
2004,"Conveyance Return Flow to Oregon","URB26A","Central Coast","Urban",0
2004,"Conveyance Return Flow to Nevada","URB26B","Central Coast","Urban",0
2004,"Conveyance Return Flow to Mexico","URB26C","Central Coast","Urban",0
2004,"Conveyance Deep Percolation to Oregon","URB26D","Central Coast","Urban",0
2004,"Conveyance Deep Percolation to Nevada","URB26E","Central Coast","Urban",0
2004,"Conveyance Deep Percolation to Mexico","URB26F","Central Coast","Urban",0
2004,"Conveyance Return Flows to Salt Sink","URB27A","Central Coast","Urban",0
2004,"Conveyance Return Flow for Delta Outflow","URB27B","Central Coast","Urban",0
2004,"Conveyance Return Flow to Developed Supply (Other DAUCO within PA)","URB28A","Central Coast","Urban",0
2004,"Conveyance Return Flow to Developed Supply (Other PA)","URB28B","Central Coast","Urban",0
2004,"Conveyance Return Flow to Developed Supply (Other Region)","URB28C","Central Coast","Urban",0
2004,"Conveyance Seepage","URB29","Central Coast","Urban",0
2004,"Applied Water - Residential - Multi Family Interior","URB3","Central Coast","Urban",27.9
2004,"Conveyance Deep Percolation","URB30","Central Coast","Urban",0
2004,"Conveyance Deep Percolation to Salt Sink","URB31","Central Coast","Urban",0
2004,"Applied Water - Residential - Multi Family Exterior","URB4","Central Coast","Urban",22
2004,"Applied Water - Commercial Use","URB5","Central Coast","Urban",41.3
2004,"Applied Water - Industrial Use","URB6","Central Coast","Urban",17
2004,"Applied Water - Urban Large Landscape","URB7","Central Coast","Urban",20
2004,"Applied Water - Energy Production","URB8","Central Coast","Urban",14.3
2004,"Applied Water - Groundwater","URB9","Central Coast","Urban",18.7
2004,"Applied Water Use","AWUWSR","Central Coast","Wild and Scenic River",46.1
2004,"Depletion","DEPWSR","Central Coast","Wild and Scenic River",0
2004,"Net Water Use (Applied Water - Reuse)","NW1WSR","Central Coast","Wild and Scenic River",0
2004,"Net Water Use (ETAW + Flow/Salt Sink + Outflow)","NW2WSR","Central Coast","Wild and Scenic River",0
2004,"Applied Water","WSR1","Central Coast","Wild and Scenic River",46.1
2004,"Reuse of Return Flows within DAUCO","WSR2","Central Coast","Wild and Scenic River",46.1
2004,"Return Flow to Salt Sink","WSR3A","Central Coast","Wild and Scenic River",0
2004,"Return Flow to Oregon - Mexico - Nevada","WSR3B","Central Coast","Wild and Scenic River",0
2004,"Return Flow for Delta Outflow","WSR3C","Central Coast","Wild and Scenic River",0
2004,"Return Flow to Developed Supply (Other DAUCO within PA)","WSR4A","Central Coast","Wild and Scenic River",0
2004,"Return Flow to Developed Supply (Other PA)","WSR4B","Central Coast","Wild and Scenic River",0
2004,"Return Flow to Developed Supply (Other Region)","WSR4C","Central Coast","Wild and Scenic River",0
2004,"Applied Water","AG1","Colorado River","Agriculture",3402
2004,"Return Flow to Salt Sink","AG10A","Colorado River","Agriculture",801.9
2004,"Return Flow for Delta Outflow","AG10B","Colorado River","Agriculture",0
2004,"Return Flow to Developed Supply (Other DAUCO within PA)","AG11A","Colorado River","Agriculture",63.4
2004,"Return Flow to Developed Supply (Other PA)","AG11B","Colorado River","Agriculture",188
2004,"Return Flow to Developed Supply (Other Region)","AG11C","Colorado River","Agriculture",0
2004,"Return Flow to Carryover Storage for Next Water Year within DAU","AG11D","Colorado River","Agriculture",0
2004,"Return Flows Evaporation and Evapotranspiration","AG12","Colorado River","Agriculture",0
2004,"Conveyance Evaporation and ETAW","AG17","Colorado River","Agriculture",347.2
2004,"Conveyance Return Flow to Oregon","AG18A","Colorado River","Agriculture",0
2004,"Conveyance Return Flow to Nevada","AG18B","Colorado River","Agriculture",0
2004,"Conveyance Return Flow to Mexico","AG18C","Colorado River","Agriculture",0
2004,"Conveyance Deep Percolation to Oregon","AG18D","Colorado River","Agriculture",0
2004,"Conveyance Deep Percolation to Nevada","AG18E","Colorado River","Agriculture",0
2004,"Conveyance Deep Percolation to Mexico","AG18F","Colorado River","Agriculture",0
2004,"Conveyance Return Flows to Salt Sink","AG19A","Colorado River","Agriculture",0
2004,"Conveyance Return Flow for Delta Outflow","AG19B","Colorado River","Agriculture",0
2004,"Applied Water - Groundwater Recharge","AG2","Colorado River","Agriculture",0
2004,"Conveyance Return Flow to Developed Supply (Other DAUCO within PA)","AG20A","Colorado River","Agriculture",0
2004,"Conveyance Return Flow to Developed Supply (Other PA)","AG20B","Colorado River","Agriculture",0
2004,"Conveyance Return Flow to Developed Supply (Other Region)","AG20C","Colorado River","Agriculture",0
2004,"Conveyance Seepage","AG21","Colorado River","Agriculture",360.3
2004,"Conveyance Deep Percolation","AG22","Colorado River","Agriculture",0
2004,"Conveyance Deep Percolation to Salt Sink","AG23","Colorado River","Agriculture",0
2004,"Evapotranspiration of Applied Water","AG3","Colorado River","Agriculture",2333.2
2004,"Evaporation and Evapotranspiration of Groundwater Recharge","AG4","Colorado River","Agriculture",0
2004,"Deep Percolation of Applied Water","AG5","Colorado River","Agriculture",15.5
2004,"Deep Percolation of Applied Water to Salt Sink","AG6","Colorado River","Agriculture",0
2004,"Deep Percolation of Groundwater Recharge","AG7","Colorado River","Agriculture",0
2004,"Reuse of Return Flows within DAUCO","AG8","Colorado River","Agriculture",0
2004,"Return Flow to Oregon","AG9A","Colorado River","Agriculture",0
2004,"Return Flow to Nevada","AG9B","Colorado River","Agriculture",0
2004,"Return Flow to Mexico","AG9C","Colorado River","Agriculture",0
2004,"Deep Percolation to Oregon","AG9D","Colorado River","Agriculture",0
2004,"Deep Percolation to Nevada","AG9E","Colorado River","Agriculture",0
2004,"Deep Percolation to Mexico","AG9F","Colorado River","Agriculture",0
2004,"Applied Water Use","AWUAG","Colorado River","Agriculture",3402
2004,"Conveyance Applied Water Use","AWUAGC","Colorado River","Agriculture",707.5
2004,"Depletion","DEPAG","Colorado River","Agriculture",3135.1
2004,"Conveyance Depletion","DEPAGC","Colorado River","Agriculture",347.2
2004,"Net Water Use (Applied Water - Reuse)","NW1AG","Colorado River","Agriculture",3135.1
2004,"Conveyance Net Water Use (Applied Water - Reuse)","NW1AGC","Colorado River","Agriculture",347.2
2004,"Net Water Use (ETAW + Flow/Salt Sink + Outflow)","NW2AG","Colorado River","Agriculture",3135.1
2004,"Conveyance Net Water Use (ETAW + Flow/Salt Sink + Outflow)","NW2AGC","Colorado River","Agriculture",347.2
2004,"Applied Water Use","AWUIFR","Colorado River","Instream Flow Requirements",0
2004,"Depletion","DEPIFR","Colorado River","Instream Flow Requirements",0
2004,"Applied Water","IFR1","Colorado River","Instream Flow Requirements",0
2004,"Reuse of Return Flows within DAUCO","IFR2","Colorado River","Instream Flow Requirements",0
2004,"Return Flow to Salt Sink","IFR3A","Colorado River","Instream Flow Requirements",0
2004,"Return Flow to Oregon - Mexico - Nevada","IFR3B","Colorado River","Instream Flow Requirements",0
2004,"Return Flow for Delta Outflow","IFR3C","Colorado River","Instream Flow Requirements",0
2004,"Return Flow to Developed Supply (Other DAUCO within PA)","IFR4A","Colorado River","Instream Flow Requirements",0
2004,"Return Flow to Developed Supply (Other PA)","IFR4B","Colorado River","Instream Flow Requirements",0
2004,"Return Flow to Developed Supply (Other Region)","IFR4C","Colorado River","Instream Flow Requirements",0
2004,"Net Water Use (Applied Water - Reuse)","NW1IFR","Colorado River","Instream Flow Requirements",0
2004,"Net Water Use (ETAW + Flow/Salt Sink + Outflow)","NW2IFR","Colorado River","Instream Flow Requirements",0
2004,"Applied Water Use","AWUMW","Colorado River","Managed Wetlands",30.3
2004,"Conveyance Applied Water Use","AWUMWC","Colorado River","Managed Wetlands",0
2004,"Depletion","DEPMW","Colorado River","Managed Wetlands",30.3
2004,"Conveyance Depletion","DEPMWC","Colorado River","Managed Wetlands",0
2004,"Applied Water","MW1","Colorado River","Managed Wetlands",30.3
2004,"Return Flows Evaporation and Evapotranspiration","MW10","Colorado River","Managed Wetlands",0
2004,"Conveyance Evaporation and ETAW","MW15","Colorado River","Managed Wetlands",0
2004,"Conveyance Return Flow to Oregon","MW16A","Colorado River","Managed Wetlands",0
2004,"Conveyance Return Flow to Nevada","MW16B","Colorado River","Managed Wetlands",0
2004,"Conveyance Return Flow to Mexico","MW16C","Colorado River","Managed Wetlands",0
2004,"Conveyance Deep Percolation to Oregon","MW16D","Colorado River","Managed Wetlands",0
2004,"Conveyance Deep Percolation to Nevada","MW16E","Colorado River","Managed Wetlands",0
2004,"Conveyance Deep Percolation to Mexico","MW16F","Colorado River","Managed Wetlands",0
2004,"Conveyance Return Flows to Salt Sink","MW17A","Colorado River","Managed Wetlands",0
2004,"Conveyance Return Flow for Delta Outflow","MW17B","Colorado River","Managed Wetlands",0
2004,"Conveyance Return Flow to Developed Supply (Other DAUCO within PA)","MW18A","Colorado River","Managed Wetlands",0
2004,"Conveyance Return Flow to Developed Supply (Other PA)","MW18B","Colorado River","Managed Wetlands",0
2004,"Conveyance Return Flow to Developed Supply (Other Region)","MW18C","Colorado River","Managed Wetlands",0
2004,"Conveyance Seepage","MW19","Colorado River","Managed Wetlands",0
2004,"Evapotranspiration of Applied Water","MW2","Colorado River","Managed Wetlands",30.3
2004,"Conveyance Deep Percolation","MW20","Colorado River","Managed Wetlands",0
2004,"Conveyance Deep Percolation to Salt Sink","MW21","Colorado River","Managed Wetlands",0
2004,"Deep Percolation of Applied Water","MW3","Colorado River","Managed Wetlands",0
2004,"Deep Percolation of Applied Water to Salt Sink","MW4","Colorado River","Managed Wetlands",0
2004,"Deep Percolation of Groundwater Recharge","MW5","Colorado River","Managed Wetlands",0
2004,"Reuse of Return Flows within DAUCO","MW6","Colorado River","Managed Wetlands",0
2004,"Return Flow to Oregon","MW7A","Colorado River","Managed Wetlands",0
2004,"Return Flow to Nevada","MW7B","Colorado River","Managed Wetlands",0
2004,"Return Flow to Mexico","MW7C","Colorado River","Managed Wetlands",0
2004,"Deep Percolation to Oregon","MW7D","Colorado River","Managed Wetlands",0
2004,"Deep Percolation to Nevada","MW7E","Colorado River","Managed Wetlands",0
2004,"Deep Percolation to Mexico","MW7F","Colorado River","Managed Wetlands",0
2004,"Return Flow to Salt Sink","MW8A","Colorado River","Managed Wetlands",0
2004,"Return Flow for Delta Outflow","MW8B","Colorado River","Managed Wetlands",0
2004,"Return Flow to Developed Supply (Other DAUCO within PA)","MW9A","Colorado River","Managed Wetlands",0
2004,"Return Flow to Developed Supply (Other PA)","MW9B","Colorado River","Managed Wetlands",0
2004,"Return Flow to Developed Supply (Other Region)","MW9C","Colorado River","Managed Wetlands",0
2004,"Return Flow to Carryover Storage for Next Water Year within DAU","MW9D","Colorado River","Managed Wetlands",0
2004,"Net Water Use (Applied Water - Reuse)","NW1MW","Colorado River","Managed Wetlands",30.3
2004,"Conveyance Net Water Use (Applied Water - Reuse)","NW1MWC","Colorado River","Managed Wetlands",0
2004,"Net Water Use (ETAW + Flow/Salt Sink + Outflow)","NW2MW","Colorado River","Managed Wetlands",30.3
2004,"Conveyance Net Water Use (ETAW + Flow/Salt Sink + Outflow)","NW2MWC","Colorado River","Managed Wetlands",0
2004,"Applied Water Use","AWURDO","Colorado River","Required Delta Outflow",0
2004,"Depletion","DEPRDO","Colorado River","Required Delta Outflow",0
2004,"Net Water Use (Applied Water - Reuse)","NW1RDO","Colorado River","Required Delta Outflow",0
2004,"Net Water Use (ETAW + Flow/Salt Sink + Outflow)","NW2RDO","Colorado River","Required Delta Outflow",0
2004,"Applied Water","RDO1","Colorado River","Required Delta Outflow",0
2004,"Return Flow for Delta Outflow","RDO2","Colorado River","Required Delta Outflow",0
2004,"Applied Water Use","AWUURB","Colorado River","Urban",648.1
2004,"Conveyance Applied Water Use","AWUURBC","Colorado River","Urban",12.8
2004,"Depletion","DEPURB","Colorado River","Urban",451.9
2004,"Conveyance Depletion","DEPURBC","Colorado River","Urban",12.8
2004,"Net Water Use (Applied Water - Reuse)","NW1URB","Colorado River","Urban",451.9
2004,"Conveyance Net Water Use (Applied Water - Reuse)","NW1URBC","Colorado River","Urban",12.8
2004,"Net Water Use (ETAW + Flow/Salt Sink + Outflow)","NW2URB","Colorado River","Urban",451.9
2004,"Conveyance Net Water Use (ETAW + Flow/Salt Sink + Outflow)","NW2URBC","Colorado River","Urban",12.8
2004,"Applied Water - Residential - Single Family Interior","URB1","Colorado River","Urban",42.4
2004,"Evapotranspiration of Applied Water","URB10","Colorado River","Urban",227.2
2004,"Evaporation and Evapotranspiration of Groundwater Recharge","URB11","Colorado River","Urban",0
2004,"Deep Percolation of Applied Water","URB12","Colorado River","Urban",176.5
2004,"Deep Percolation of Applied Water to Salt Sink","URB13","Colorado River","Urban",0
2004,"Deep Percolation of Groundwater Recharge","URB14","Colorado River","Urban",0
2004,"Reuse of Return Flows within DAUCO","URB15A","Colorado River","Urban",0
2004,"Urban - Wastewater Recycling","URB15B","Colorado River","Urban",12.2
2004,"Urban - Desalination","URB15C","Colorado River","Urban",0
2004,"Evaporation and Evapotranspiration of Wastewater","URB16","Colorado River","Urban",0
2004,"Return Flow to Oregon","URB17A","Colorado River","Urban",0
2004,"Return Flow to Nevada","URB17B","Colorado River","Urban",0
2004,"Return Flow to Mexico","URB17C","Colorado River","Urban",0
2004,"Deep Percolation to Oregon","URB17D","Colorado River","Urban",0
2004,"Deep Percolation to Nevada","URB17E","Colorado River","Urban",0
2004,"Deep Percolation to Mexico","URB17F","Colorado River","Urban",0
2004,"Return Flow to Salt Sink","URB18A","Colorado River","Urban",224.7
2004,"Return Flow for Delta Outflow","URB18B","Colorado River","Urban",0
2004,"Return Flow to Developed Supply (Other DAUCO within PA)","URB19A","Colorado River","Urban",1
2004,"Return Flow to Developed Supply (Other PA)","URB19B","Colorado River","Urban",6.5
2004,"Return Flow to Developed Supply (Other Region)","URB19C","Colorado River","Urban",0
2004,"Return Flow to Carryover Storage for Next Water Year within DAU","URB19D","Colorado River","Urban",0
2004,"Applied Water - Residential - Single Family Exterior","URB2","Colorado River","Urban",147.2
2004,"Return Flows Evaporation and Evapotranspiration","URB20","Colorado River","Urban",0
2004,"Conveyance Evaporation and ETAW","URB25","Colorado River","Urban",12.8
2004,"Conveyance Return Flow to Oregon","URB26A","Colorado River","Urban",0
2004,"Conveyance Return Flow to Nevada","URB26B","Colorado River","Urban",0
2004,"Conveyance Return Flow to Mexico","URB26C","Colorado River","Urban",0
2004,"Conveyance Deep Percolation to Oregon","URB26D","Colorado River","Urban",0
2004,"Conveyance Deep Percolation to Nevada","URB26E","Colorado River","Urban",0
2004,"Conveyance Deep Percolation to Mexico","URB26F","Colorado River","Urban",0
2004,"Conveyance Return Flows to Salt Sink","URB27A","Colorado River","Urban",0
2004,"Conveyance Return Flow for Delta Outflow","URB27B","Colorado River","Urban",0
2004,"Conveyance Return Flow to Developed Supply (Other DAUCO within PA)","URB28A","Colorado River","Urban",0
2004,"Conveyance Return Flow to Developed Supply (Other PA)","URB28B","Colorado River","Urban",0
2004,"Conveyance Return Flow to Developed Supply (Other Region)","URB28C","Colorado River","Urban",0
2004,"Conveyance Seepage","URB29","Colorado River","Urban",0
2004,"Applied Water - Residential - Multi Family Interior","URB3","Colorado River","Urban",8.4
2004,"Conveyance Deep Percolation","URB30","Colorado River","Urban",0
2004,"Conveyance Deep Percolation to Salt Sink","URB31","Colorado River","Urban",0
2004,"Applied Water - Residential - Multi Family Exterior","URB4","Colorado River","Urban",20.7
2004,"Applied Water - Commercial Use","URB5","Colorado River","Urban",37.2
2004,"Applied Water - Industrial Use","URB6","Colorado River","Urban",1.3
2004,"Applied Water - Urban Large Landscape","URB7","Colorado River","Urban",301
2004,"Applied Water - Energy Production","URB8","Colorado River","Urban",76.7
2004,"Applied Water - Groundwater","URB9","Colorado River","Urban",13.2
2004,"Applied Water Use","AWUWSR","Colorado River","Wild and Scenic River",0
2004,"Depletion","DEPWSR","Colorado River","Wild and Scenic River",0
2004,"Net Water Use (Applied Water - Reuse)","NW1WSR","Colorado River","Wild and Scenic River",0
2004,"Net Water Use (ETAW + Flow/Salt Sink + Outflow)","NW2WSR","Colorado River","Wild and Scenic River",0
2004,"Applied Water","WSR1","Colorado River","Wild and Scenic River",0
2004,"Reuse of Return Flows within DAUCO","WSR2","Colorado River","Wild and Scenic River",0
2004,"Return Flow to Salt Sink","WSR3A","Colorado River","Wild and Scenic River",0
2004,"Return Flow to Oregon - Mexico - Nevada","WSR3B","Colorado River","Wild and Scenic River",0
