"Year","CategoryC","CategoryD","PA","CategoryA","KAcreFt"
2012,"Conveyance Net Water Use (ETAW + Flow/Salt Sink + Outflow)","NW2MWC",101,"Managed Wetlands",8.8
2012,"Applied Water Use","AWURDO",101,"Required Delta Outflow",0
2012,"Depletion","DEPRDO",101,"Required Delta Outflow",0
2012,"Net Water Use (Applied Water - Reuse)","NW1RDO",101,"Required Delta Outflow",0
2012,"Net Water Use (ETAW + Flow/Salt Sink + Outflow)","NW2RDO",101,"Required Delta Outflow",0
2012,"Applied Water","RDO1",101,"Required Delta Outflow",0
2012,"Return Flow for Delta Outflow","RDO2",101,"Required Delta Outflow",0
2012,"Applied Water Use","AWUURB",101,"Urban",9.7
2012,"Conveyance Applied Water Use","AWUURBC",101,"Urban",0
2012,"Depletion","DEPURB",101,"Urban",5.4
2012,"Conveyance Depletion","DEPURBC",101,"Urban",0
2012,"Net Water Use (Applied Water - Reuse)","NW1URB",101,"Urban",5.4
2012,"Conveyance Net Water Use (Applied Water - Reuse)","NW1URBC",101,"Urban",0
2012,"Net Water Use (ETAW + Flow/Salt Sink + Outflow)","NW2URB",101,"Urban",5.4
2012,"Conveyance Net Water Use (ETAW + Flow/Salt Sink + Outflow)","NW2URBC",101,"Urban",0
2012,"Applied Water - Residential - Single Family Interior","URB1",101,"Urban",3.2
2012,"Evapotranspiration of Applied Water","URB10",101,"Urban",4.9
2012,"Evaporation and Evapotranspiration of Groundwater Recharge","URB11",101,"Urban",0
2012,"Deep Percolation of Applied Water","URB12",101,"Urban",2.8
2012,"Deep Percolation of Applied Water to Salt Sink","URB13",101,"Urban",0
2012,"Deep Percolation of Groundwater Recharge","URB14",101,"Urban",0
2012,"Reuse of Return Flows within DAUCO","URB15A",101,"Urban",1.5
2012,"Urban - Wastewater Recycling","URB15B",101,"Urban",0
2012,"Urban - Desalination","URB15C",101,"Urban",0
2012,"Evaporation and Evapotranspiration of Wastewater","URB16",101,"Urban",0.4
2012,"Return Flow to Oregon","URB17A",101,"Urban",0
2012,"Return Flow to Nevada","URB17B",101,"Urban",0
2012,"Return Flow to Mexico","URB17C",101,"Urban",0
2012,"Deep Percolation to Oregon","URB17D",101,"Urban",0
2012,"Deep Percolation to Nevada","URB17E",101,"Urban",0
2012,"Deep Percolation to Mexico","URB17F",101,"Urban",0
2012,"Return Flow to Salt Sink","URB18A",101,"Urban",0.1
2012,"Return Flow for Delta Outflow","URB18B",101,"Urban",0
2012,"Return Flow to Developed Supply (Other DAUCO within PA)","URB19A",101,"Urban",0
2012,"Return Flow to Developed Supply (Other PA)","URB19B",101,"Urban",0
2012,"Return Flow to Developed Supply (Other Region)","URB19C",101,"Urban",0
2012,"Return Flow to Carryover Storage for Next Water Year within DAU","URB19D",101,"Urban",0
2012,"Applied Water - Residential - Single Family Exterior","URB2",101,"Urban",3.2
2012,"Return Flows Evaporation and Evapotranspiration","URB20",101,"Urban",0
2012,"Conveyance Evaporation and ETAW","URB25",101,"Urban",0
2012,"Conveyance Return Flow to Oregon","URB26A",101,"Urban",0
2012,"Conveyance Return Flow to Nevada","URB26B",101,"Urban",0
2012,"Conveyance Return Flow to Mexico","URB26C",101,"Urban",0
2012,"Conveyance Deep Percolation to Oregon","URB26D",101,"Urban",0
2012,"Conveyance Deep Percolation to Nevada","URB26E",101,"Urban",0
2012,"Conveyance Deep Percolation to Mexico","URB26F",101,"Urban",0
2012,"Conveyance Return Flows to Salt Sink","URB27A",101,"Urban",0
2012,"Conveyance Return Flow for Delta Outflow","URB27B",101,"Urban",0
2012,"Conveyance Return Flow to Developed Supply (Other DAUCO within PA)","URB28A",101,"Urban",0
2012,"Conveyance Return Flow to Developed Supply (Other PA)","URB28B",101,"Urban",0
2012,"Conveyance Return Flow to Developed Supply (Other Region)","URB28C",101,"Urban",0
2012,"Conveyance Seepage","URB29",101,"Urban",0
2012,"Applied Water - Residential - Multi Family Interior","URB3",101,"Urban",0.4
2012,"Conveyance Deep Percolation","URB30",101,"Urban",0
2012,"Conveyance Deep Percolation to Salt Sink","URB31",101,"Urban",0
2012,"Applied Water - Residential - Multi Family Exterior","URB4",101,"Urban",0.1
2012,"Applied Water - Commercial Use","URB5",101,"Urban",1
2012,"Applied Water - Industrial Use","URB6",101,"Urban",0.5
2012,"Applied Water - Urban Large Landscape","URB7",101,"Urban",1.2
2012,"Applied Water - Energy Production","URB8",101,"Urban",0.1
2012,"Applied Water - Groundwater","URB9",101,"Urban",0
2012,"Applied Water Use","AWUWSR",101,"Wild and Scenic River",0
2012,"Depletion","DEPWSR",101,"Wild and Scenic River",0
2012,"Net Water Use (Applied Water - Reuse)","NW1WSR",101,"Wild and Scenic River",0
2012,"Net Water Use (ETAW + Flow/Salt Sink + Outflow)","NW2WSR",101,"Wild and Scenic River",0
2012,"Applied Water","WSR1",101,"Wild and Scenic River",0
2012,"Reuse of Return Flows within DAUCO","WSR2",101,"Wild and Scenic River",0
2012,"Return Flow to Salt Sink","WSR3A",101,"Wild and Scenic River",0
2012,"Return Flow to Oregon - Mexico - Nevada","WSR3B",101,"Wild and Scenic River",0
2012,"Return Flow for Delta Outflow","WSR3C",101,"Wild and Scenic River",0
2012,"Return Flow to Developed Supply (Other DAUCO within PA)","WSR4A",101,"Wild and Scenic River",0
2012,"Return Flow to Developed Supply (Other PA)","WSR4B",101,"Wild and Scenic River",0
2012,"Return Flow to Developed Supply (Other Region)","WSR4C",101,"Wild and Scenic River",0
2012,"Applied Water","AG1",102,"Agriculture",34.3
2012,"Return Flow to Salt Sink","AG10A",102,"Agriculture",0.3
2012,"Return Flow for Delta Outflow","AG10B",102,"Agriculture",0
2012,"Return Flow to Developed Supply (Other DAUCO within PA)","AG11A",102,"Agriculture",0
2012,"Return Flow to Developed Supply (Other PA)","AG11B",102,"Agriculture",0
2012,"Return Flow to Developed Supply (Other Region)","AG11C",102,"Agriculture",0
2012,"Return Flow to Carryover Storage for Next Water Year within DAU","AG11D",102,"Agriculture",0
2012,"Return Flows Evaporation and Evapotranspiration","AG12",102,"Agriculture",0.8
2012,"Conveyance Evaporation and ETAW","AG17",102,"Agriculture",0
2012,"Conveyance Return Flow to Oregon","AG18A",102,"Agriculture",0
2012,"Conveyance Return Flow to Nevada","AG18B",102,"Agriculture",0
2012,"Conveyance Return Flow to Mexico","AG18C",102,"Agriculture",0
2012,"Conveyance Deep Percolation to Oregon","AG18D",102,"Agriculture",0
2012,"Conveyance Deep Percolation to Nevada","AG18E",102,"Agriculture",0
2012,"Conveyance Deep Percolation to Mexico","AG18F",102,"Agriculture",0
2012,"Conveyance Return Flows to Salt Sink","AG19A",102,"Agriculture",0
2012,"Conveyance Return Flow for Delta Outflow","AG19B",102,"Agriculture",0
2012,"Applied Water - Groundwater Recharge","AG2",102,"Agriculture",0
2012,"Conveyance Return Flow to Developed Supply (Other DAUCO within PA)","AG20A",102,"Agriculture",0
2012,"Conveyance Return Flow to Developed Supply (Other PA)","AG20B",102,"Agriculture",0
2012,"Conveyance Return Flow to Developed Supply (Other Region)","AG20C",102,"Agriculture",0
2012,"Conveyance Seepage","AG21",102,"Agriculture",0
2012,"Conveyance Deep Percolation","AG22",102,"Agriculture",0.1
2012,"Conveyance Deep Percolation to Salt Sink","AG23",102,"Agriculture",0
2012,"Evapotranspiration of Applied Water","AG3",102,"Agriculture",28.8
2012,"Evaporation and Evapotranspiration of Groundwater Recharge","AG4",102,"Agriculture",0
2012,"Deep Percolation of Applied Water","AG5",102,"Agriculture",3.9
2012,"Deep Percolation of Applied Water to Salt Sink","AG6",102,"Agriculture",0
2012,"Deep Percolation of Groundwater Recharge","AG7",102,"Agriculture",0
2012,"Reuse of Return Flows within DAUCO","AG8",102,"Agriculture",0.5
2012,"Return Flow to Oregon","AG9A",102,"Agriculture",0
2012,"Return Flow to Nevada","AG9B",102,"Agriculture",0
2012,"Return Flow to Mexico","AG9C",102,"Agriculture",0
2012,"Deep Percolation to Oregon","AG9D",102,"Agriculture",0
2012,"Deep Percolation to Nevada","AG9E",102,"Agriculture",0
2012,"Deep Percolation to Mexico","AG9F",102,"Agriculture",0
2012,"Applied Water Use","AWUAG",102,"Agriculture",34.3
2012,"Conveyance Applied Water Use","AWUAGC",102,"Agriculture",0.1
2012,"Depletion","DEPAG",102,"Agriculture",29.9
2012,"Conveyance Depletion","DEPAGC",102,"Agriculture",0
2012,"Net Water Use (Applied Water - Reuse)","NW1AG",102,"Agriculture",29.9
2012,"Conveyance Net Water Use (Applied Water - Reuse)","NW1AGC",102,"Agriculture",0
2012,"Net Water Use (ETAW + Flow/Salt Sink + Outflow)","NW2AG",102,"Agriculture",29.9
2012,"Conveyance Net Water Use (ETAW + Flow/Salt Sink + Outflow)","NW2AGC",102,"Agriculture",0
2012,"Applied Water Use","AWUIFR",102,"Instream Flow Requirements",1348.6
2012,"Depletion","DEPIFR",102,"Instream Flow Requirements",1348.6
2012,"Applied Water","IFR1",102,"Instream Flow Requirements",1348.6
2012,"Reuse of Return Flows within DAUCO","IFR2",102,"Instream Flow Requirements",0
2012,"Return Flow to Salt Sink","IFR3A",102,"Instream Flow Requirements",1348.6
2012,"Return Flow to Oregon - Mexico - Nevada","IFR3B",102,"Instream Flow Requirements",0
2012,"Return Flow for Delta Outflow","IFR3C",102,"Instream Flow Requirements",0
2012,"Return Flow to Developed Supply (Other DAUCO within PA)","IFR4A",102,"Instream Flow Requirements",0
2012,"Return Flow to Developed Supply (Other PA)","IFR4B",102,"Instream Flow Requirements",0
2012,"Return Flow to Developed Supply (Other Region)","IFR4C",102,"Instream Flow Requirements",0
2012,"Net Water Use (Applied Water - Reuse)","NW1IFR",102,"Instream Flow Requirements",1348.6
2012,"Net Water Use (ETAW + Flow/Salt Sink + Outflow)","NW2IFR",102,"Instream Flow Requirements",1348.6
2012,"Applied Water Use","AWUMW",102,"Managed Wetlands",0
2012,"Conveyance Applied Water Use","AWUMWC",102,"Managed Wetlands",0
2012,"Depletion","DEPMW",102,"Managed Wetlands",0
2012,"Conveyance Depletion","DEPMWC",102,"Managed Wetlands",0
2012,"Applied Water","MW1",102,"Managed Wetlands",0
2012,"Return Flows Evaporation and Evapotranspiration","MW10",102,"Managed Wetlands",0
2012,"Conveyance Evaporation and ETAW","MW15",102,"Managed Wetlands",0
2012,"Conveyance Return Flow to Oregon","MW16A",102,"Managed Wetlands",0
2012,"Conveyance Return Flow to Nevada","MW16B",102,"Managed Wetlands",0
2012,"Conveyance Return Flow to Mexico","MW16C",102,"Managed Wetlands",0
2012,"Conveyance Deep Percolation to Oregon","MW16D",102,"Managed Wetlands",0
2012,"Conveyance Deep Percolation to Nevada","MW16E",102,"Managed Wetlands",0
2012,"Conveyance Deep Percolation to Mexico","MW16F",102,"Managed Wetlands",0
2012,"Conveyance Return Flows to Salt Sink","MW17A",102,"Managed Wetlands",0
2012,"Conveyance Return Flow for Delta Outflow","MW17B",102,"Managed Wetlands",0
2012,"Conveyance Return Flow to Developed Supply (Other DAUCO within PA)","MW18A",102,"Managed Wetlands",0
2012,"Conveyance Return Flow to Developed Supply (Other PA)","MW18B",102,"Managed Wetlands",0
2012,"Conveyance Return Flow to Developed Supply (Other Region)","MW18C",102,"Managed Wetlands",0
2012,"Conveyance Seepage","MW19",102,"Managed Wetlands",0
2012,"Evapotranspiration of Applied Water","MW2",102,"Managed Wetlands",0
2012,"Conveyance Deep Percolation","MW20",102,"Managed Wetlands",0
2012,"Conveyance Deep Percolation to Salt Sink","MW21",102,"Managed Wetlands",0
2012,"Deep Percolation of Applied Water","MW3",102,"Managed Wetlands",0
2012,"Deep Percolation of Applied Water to Salt Sink","MW4",102,"Managed Wetlands",0
2012,"Deep Percolation of Groundwater Recharge","MW5",102,"Managed Wetlands",0
2012,"Reuse of Return Flows within DAUCO","MW6",102,"Managed Wetlands",0
2012,"Return Flow to Oregon","MW7A",102,"Managed Wetlands",0
2012,"Return Flow to Nevada","MW7B",102,"Managed Wetlands",0
2012,"Return Flow to Mexico","MW7C",102,"Managed Wetlands",0
2012,"Deep Percolation to Oregon","MW7D",102,"Managed Wetlands",0
2012,"Deep Percolation to Nevada","MW7E",102,"Managed Wetlands",0
2012,"Deep Percolation to Mexico","MW7F",102,"Managed Wetlands",0
2012,"Return Flow to Salt Sink","MW8A",102,"Managed Wetlands",0
2012,"Return Flow for Delta Outflow","MW8B",102,"Managed Wetlands",0
2012,"Return Flow to Developed Supply (Other DAUCO within PA)","MW9A",102,"Managed Wetlands",0
2012,"Return Flow to Developed Supply (Other PA)","MW9B",102,"Managed Wetlands",0
2012,"Return Flow to Developed Supply (Other Region)","MW9C",102,"Managed Wetlands",0
2012,"Return Flow to Carryover Storage for Next Water Year within DAU","MW9D",102,"Managed Wetlands",0
2012,"Net Water Use (Applied Water - Reuse)","NW1MW",102,"Managed Wetlands",0
2012,"Conveyance Net Water Use (Applied Water - Reuse)","NW1MWC",102,"Managed Wetlands",0
2012,"Net Water Use (ETAW + Flow/Salt Sink + Outflow)","NW2MW",102,"Managed Wetlands",0
2012,"Conveyance Net Water Use (ETAW + Flow/Salt Sink + Outflow)","NW2MWC",102,"Managed Wetlands",0
2012,"Applied Water Use","AWURDO",102,"Required Delta Outflow",0
2012,"Depletion","DEPRDO",102,"Required Delta Outflow",0
2012,"Net Water Use (Applied Water - Reuse)","NW1RDO",102,"Required Delta Outflow",0
2012,"Net Water Use (ETAW + Flow/Salt Sink + Outflow)","NW2RDO",102,"Required Delta Outflow",0
2012,"Applied Water","RDO1",102,"Required Delta Outflow",0
2012,"Return Flow for Delta Outflow","RDO2",102,"Required Delta Outflow",0
2012,"Applied Water Use","AWUURB",102,"Urban",10.3
2012,"Conveyance Applied Water Use","AWUURBC",102,"Urban",0
2012,"Depletion","DEPURB",102,"Urban",6.3
2012,"Conveyance Depletion","DEPURBC",102,"Urban",0
2012,"Net Water Use (Applied Water - Reuse)","NW1URB",102,"Urban",6.3
2012,"Conveyance Net Water Use (Applied Water - Reuse)","NW1URBC",102,"Urban",0
2012,"Net Water Use (ETAW + Flow/Salt Sink + Outflow)","NW2URB",102,"Urban",6.3
2012,"Conveyance Net Water Use (ETAW + Flow/Salt Sink + Outflow)","NW2URBC",102,"Urban",0
2012,"Applied Water - Residential - Single Family Interior","URB1",102,"Urban",3.5
2012,"Evapotranspiration of Applied Water","URB10",102,"Urban",3.4
2012,"Evaporation and Evapotranspiration of Groundwater Recharge","URB11",102,"Urban",0
2012,"Deep Percolation of Applied Water","URB12",102,"Urban",4
2012,"Deep Percolation of Applied Water to Salt Sink","URB13",102,"Urban",0
2012,"Deep Percolation of Groundwater Recharge","URB14",102,"Urban",0
2012,"Reuse of Return Flows within DAUCO","URB15A",102,"Urban",0
2012,"Urban - Wastewater Recycling","URB15B",102,"Urban",0
2012,"Urban - Desalination","URB15C",102,"Urban",0
2012,"Evaporation and Evapotranspiration of Wastewater","URB16",102,"Urban",0
2012,"Return Flow to Oregon","URB17A",102,"Urban",0
2012,"Return Flow to Nevada","URB17B",102,"Urban",0
2012,"Return Flow to Mexico","URB17C",102,"Urban",0
2012,"Deep Percolation to Oregon","URB17D",102,"Urban",0
2012,"Deep Percolation to Nevada","URB17E",102,"Urban",0
2012,"Deep Percolation to Mexico","URB17F",102,"Urban",0
2012,"Return Flow to Salt Sink","URB18A",102,"Urban",2.9
2012,"Return Flow for Delta Outflow","URB18B",102,"Urban",0
2012,"Return Flow to Developed Supply (Other DAUCO within PA)","URB19A",102,"Urban",0
2012,"Return Flow to Developed Supply (Other PA)","URB19B",102,"Urban",0
2012,"Return Flow to Developed Supply (Other Region)","URB19C",102,"Urban",0
2012,"Return Flow to Carryover Storage for Next Water Year within DAU","URB19D",102,"Urban",0
2012,"Applied Water - Residential - Single Family Exterior","URB2",102,"Urban",3.1
2012,"Return Flows Evaporation and Evapotranspiration","URB20",102,"Urban",0
2012,"Conveyance Evaporation and ETAW","URB25",102,"Urban",0
2012,"Conveyance Return Flow to Oregon","URB26A",102,"Urban",0
2012,"Conveyance Return Flow to Nevada","URB26B",102,"Urban",0
2012,"Conveyance Return Flow to Mexico","URB26C",102,"Urban",0
2012,"Conveyance Deep Percolation to Oregon","URB26D",102,"Urban",0
2012,"Conveyance Deep Percolation to Nevada","URB26E",102,"Urban",0
2012,"Conveyance Deep Percolation to Mexico","URB26F",102,"Urban",0
2012,"Conveyance Return Flows to Salt Sink","URB27A",102,"Urban",0
2012,"Conveyance Return Flow for Delta Outflow","URB27B",102,"Urban",0
2012,"Conveyance Return Flow to Developed Supply (Other DAUCO within PA)","URB28A",102,"Urban",0
2012,"Conveyance Return Flow to Developed Supply (Other PA)","URB28B",102,"Urban",0
2012,"Conveyance Return Flow to Developed Supply (Other Region)","URB28C",102,"Urban",0
2012,"Conveyance Seepage","URB29",102,"Urban",0
2012,"Applied Water - Residential - Multi Family Interior","URB3",102,"Urban",0
2012,"Conveyance Deep Percolation","URB30",102,"Urban",0
2012,"Conveyance Deep Percolation to Salt Sink","URB31",102,"Urban",0
2012,"Applied Water - Residential - Multi Family Exterior","URB4",102,"Urban",0
2012,"Applied Water - Commercial Use","URB5",102,"Urban",2.8
2012,"Applied Water - Industrial Use","URB6",102,"Urban",0.3
2012,"Applied Water - Urban Large Landscape","URB7",102,"Urban",0.6
2012,"Applied Water - Energy Production","URB8",102,"Urban",0
2012,"Applied Water - Groundwater","URB9",102,"Urban",0
2012,"Applied Water Use","AWUWSR",102,"Wild and Scenic River",11746.1
2012,"Depletion","DEPWSR",102,"Wild and Scenic River",11746.1
2012,"Net Water Use (Applied Water - Reuse)","NW1WSR",102,"Wild and Scenic River",11746.1
2012,"Net Water Use (ETAW + Flow/Salt Sink + Outflow)","NW2WSR",102,"Wild and Scenic River",11746.1
2012,"Applied Water","WSR1",102,"Wild and Scenic River",11746.1
2012,"Reuse of Return Flows within DAUCO","WSR2",102,"Wild and Scenic River",0
2012,"Return Flow to Salt Sink","WSR3A",102,"Wild and Scenic River",11746.1
2012,"Return Flow to Oregon - Mexico - Nevada","WSR3B",102,"Wild and Scenic River",0
2012,"Return Flow for Delta Outflow","WSR3C",102,"Wild and Scenic River",0
2012,"Return Flow to Developed Supply (Other DAUCO within PA)","WSR4A",102,"Wild and Scenic River",0
2012,"Return Flow to Developed Supply (Other PA)","WSR4B",102,"Wild and Scenic River",0
2012,"Return Flow to Developed Supply (Other Region)","WSR4C",102,"Wild and Scenic River",0
2012,"Applied Water","AG1",103,"Agriculture",88.5
2012,"Return Flow to Salt Sink","AG10A",103,"Agriculture",1
2012,"Return Flow for Delta Outflow","AG10B",103,"Agriculture",0
2012,"Return Flow to Developed Supply (Other DAUCO within PA)","AG11A",103,"Agriculture",0
2012,"Return Flow to Developed Supply (Other PA)","AG11B",103,"Agriculture",0
2012,"Return Flow to Developed Supply (Other Region)","AG11C",103,"Agriculture",0
2012,"Return Flow to Carryover Storage for Next Water Year within DAU","AG11D",103,"Agriculture",0
2012,"Return Flows Evaporation and Evapotranspiration","AG12",103,"Agriculture",1.8
2012,"Conveyance Evaporation and ETAW","AG17",103,"Agriculture",0.1
2012,"Conveyance Return Flow to Oregon","AG18A",103,"Agriculture",0
2012,"Conveyance Return Flow to Nevada","AG18B",103,"Agriculture",0
2012,"Conveyance Return Flow to Mexico","AG18C",103,"Agriculture",0
2012,"Conveyance Deep Percolation to Oregon","AG18D",103,"Agriculture",0
2012,"Conveyance Deep Percolation to Nevada","AG18E",103,"Agriculture",0
2012,"Conveyance Deep Percolation to Mexico","AG18F",103,"Agriculture",0
2012,"Conveyance Return Flows to Salt Sink","AG19A",103,"Agriculture",0
2012,"Conveyance Return Flow for Delta Outflow","AG19B",103,"Agriculture",0
2012,"Applied Water - Groundwater Recharge","AG2",103,"Agriculture",0
2012,"Conveyance Return Flow to Developed Supply (Other DAUCO within PA)","AG20A",103,"Agriculture",0
2012,"Conveyance Return Flow to Developed Supply (Other PA)","AG20B",103,"Agriculture",0
2012,"Conveyance Return Flow to Developed Supply (Other Region)","AG20C",103,"Agriculture",0
2012,"Conveyance Seepage","AG21",103,"Agriculture",0
