Water System No,Water System Name,Principal County Served,Federal Water System Type CODE,Federal Water System Type,State Water System Type CODE,State Water System Type,Water System Status CODE,System Status,Owner Type CODE,Owner Type,Primary Water Source Type CODE,Primary Water Source Type,Residential Population,Non-Transient Population,Transient Population,Total Population,Number of Agricultural Service Connections (AG),Number of Combined Service Connections (CB),Number of Commercial Service Connections (CM),Number of Institutional Service Connections (IN),Number of Residential Service Connections (RS),Total Number of Service Connections,Fee Code,Fee Code Description,Date of Sanitary Survey visit (SNSV Visit Date),CITY,Treatment Plant Class CODE,Treatment Plant Class,Distribution System Class CODE,Distribution System Class
CA0110006,CITY OF HAYWARD,ALAMEDA,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,151600,NULL,NULL,151600,NULL,34205,NULL,NULL,NULL,34205,C1,Large Water System,7/24/2019,HAYWARD,NULL,,D5,Distribution Operator Level 5
CA0110008,CITY OF PLEASANTON,ALAMEDA,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,79201,NULL,NULL,79201,NULL,22220,NULL,NULL,NULL,22220,C1,Large Water System,7/19/2017,PLEASANTON,T1,Treatment Operator Level 1,D5,Distribution Operator Level 5
CA0110009,DUBLIN SAN RAMON SERVICES DISTRICT,ALAMEDA,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,86895,NULL,NULL,86895,NULL,24923,NULL,NULL,NULL,24923,C1,Large Water System,9/19/2018,DUBLIN,NULL,,D5,Distribution Operator Level 5
CA0110010,ZONE 7 WATER AGENCY,ALAMEDA,C,Community,C,Community,A,Active,L,Local,SW,Surface Water,40,NULL,NULL,226840,NULL,13,NULL,NULL,NULL,13,WH,Wholesaler,11/6/2017,LIVERMORE,T5,Treatment Operator Level 5,D4,Distribution Operator Level 4
CA0110011,CITY OF LIVERMORE,ALAMEDA,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,30000,NULL,NULL,30000,NULL,9698,NULL,NULL,NULL,9698,C1,Large Water System,10/24/2018,LIVERMORE,NULL,,D4,Distribution Operator Level 4
CA0110012,TOWN OF SUNOL-SFPUC,ALAMEDA,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,352,NULL,NULL,352,NULL,124,NULL,NULL,NULL,124,SC,Small Community,2/13/2018,SUNOL,NULL,,D1,Distribution Operator Level 1
CA0110016,ALAMEDA POINT,ALAMEDA,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,500,NULL,1000,1500,NULL,412,NULL,NULL,NULL,412,SC,Small Community,9/17/2019,ALAMEDA,NULL,,D1,Distribution Operator Level 1
CA0110018,SFPUC-PLEASANTON WELLS,ALAMEDA,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,1,NULL,NULL,500,NULL,1,NULL,NULL,NULL,1,WH,Wholesaler,8/22/2018,PLEASANTON,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CA0110019,GOLDEN GATE CHURCH,ALAMEDA,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,50,50,NULL,1,NULL,NULL,NULL,1,N1,Transient Non-Community Water System,8/12/2016,FREEMONT,TD,Treatment or distribution operator of any grade,NR,Not Required
CA0110650,USBR-SLDMWA - CVP JONES PUMPING PLANT,ALAMEDA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,F,Federal Government,SW,Surface Water,NULL,90,NULL,90,NULL,1,NULL,NULL,NULL,1,SP,Non-Transient Non-Community Water System,9/18/2019,BYRON,T2,Treatment Operator Level 2,D1,Distribution Operator Level 1
CA0110701,LAWRENCE LIVERMORE NATIONAL LAB SITE 200,ALAMEDA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,F,Federal Government,SWP,Surface Water Purchased,NULL,8000,NULL,8000,NULL,NULL,NULL,2,NULL,2,SP,Non-Transient Non-Community Water System,NULL,NULL,NULL,,D2,Distribution Operator Level 2
CA0202501,DIAMOND VALLEY SCHOOL,ALPINE,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,100,NULL,100,NULL,4,NULL,NULL,NULL,4,SP,Non-Transient Non-Community Water System,8/25/2020,MARKLEEVILLE,NULL,,NR,Not Required
CA0202502,WOODFORDS STATION,ALPINE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,135,135,NULL,2,NULL,NULL,NULL,2,N1,Transient Non-Community Water System,6/16/2020,WOODFORDS,NULL,,NR,Not Required
CA0202503,WOODFORDS MUTUAL WATER COMPANY,ALPINE,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,50,NULL,NULL,50,NULL,16,NULL,NULL,NULL,16,SC,Small Community,5/18/2020,MARKLEEVILLE,NULL,,D1,Distribution Operator Level 1
CA0202504,MARKLEEVILLE WATER CO.,ALPINE,C,Community,C,Community,A,Active,P,Private,SW,Surface Water,25,NULL,NULL,25,NULL,167,NULL,NULL,NULL,167,SC,Small Community,6/30/2020,MARKLEEVILLE,T2,Treatment Operator Level 2,NR,Not Required
CA0202505,PACIFIC VALLEY CAMPGROUND,ALPINE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,F,Federal Government,GW,Groundwater,NULL,NULL,50,50,NULL,1,NULL,NULL,NULL,1,NULL,,8/7/2020,HATHAWAY PINES,NULL,,NR,Not Required
CA0202506,CAPLES LAKE RESORT,ALPINE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,25,25,NULL,10,NULL,NULL,NULL,10,N1,Transient Non-Community Water System,6/25/2019,KIRKWOOD,NULL,,NR,Not Required
CA0202507,CHARITY VALLEY RANCH,ALPINE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,50,50,NULL,20,NULL,NULL,NULL,20,NULL,,8/1/2018,NULL,NULL,,NULL,
CA0202509,LAKE ALPINE IMP. ASSOC.,ALPINE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,25,25,NULL,26,NULL,NULL,NULL,26,N1,Transient Non-Community Water System,11/8/2016,RENO,NULL,,NR,Not Required
CA0202512,SORENSON S RESORT,ALPINE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,25,25,NULL,28,NULL,NULL,NULL,28,N1,Transient Non-Community Water System,5/2/2018,HOPE VALLEY,NULL,,NR,Not Required
CA0202513,SHAY CREEK SUMMER HOME TRACT,ALPINE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,32,32,NULL,32,NULL,NULL,NULL,32,N1,Transient Non-Community Water System,8/8/2017,MARKLEEVILLE,NULL,,NR,Not Required
CA0202515,CARSON RIVER RESORT,ALPINE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,30,30,NULL,28,NULL,NULL,NULL,28,N1,Transient Non-Community Water System,4/24/2019,MARKLEEVILLE,NULL,,NR,Not Required
CA0202516,SORENSON S HOA,ALPINE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,25,25,NULL,22,NULL,NULL,NULL,22,N1,Transient Non-Community Water System,6/1/2020,WALNUT CREEK,NULL,,NR,Not Required
CA0202517,LAKE ALPINE REC. AREA,ALPINE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,50,50,NULL,45,NULL,NULL,NULL,45,N1,Transient Non-Community Water System,8/7/2019,SONORA,NULL,,NR,Not Required
CA0202519,TURTLE ROCK COUNTY PARK,ALPINE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,L,Local,GW,Groundwater,NULL,NULL,25,25,NULL,15,NULL,NULL,NULL,15,N1,Transient Non-Community Water System,5/26/2020,MARKLEEVILLE,NULL,,NR,Not Required
CA0202520,HOPE VALLEY RESORT,ALPINE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,25,25,NULL,8,NULL,NULL,NULL,8,SC,Small Community,2/11/2020,HOPE VALLEY,NULL,,NR,Not Required
CA0202522,SIERRA PINES MOBILE HOME PARK,ALPINE,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,70,NULL,NULL,70,NULL,32,NULL,NULL,NULL,32,SC,Small Community,3/3/2020,MARKLEEVILLE,NULL,,D1,Distribution Operator Level 1
CA0202523,BLOOMFIELD CG #1,ALPINE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,F,Federal Government,GW,Groundwater,NULL,NULL,25,25,NULL,1,NULL,NULL,NULL,1,N1,Transient Non-Community Water System,8/7/2020,SONORA,NULL,,NR,Not Required
CA0202524,HIGHLAND LKS #1,ALPINE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,F,Federal Government,GW,Groundwater,NULL,NULL,25,25,NULL,1,NULL,NULL,NULL,1,N1,Transient Non-Community Water System,8/7/2020,SONORA,NULL,,NR,Not Required
CA0202525,HIGHLAND LAKES #2,ALPINE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,F,Federal Government,GW,Groundwater,NULL,NULL,26,26,NULL,1,NULL,NULL,NULL,1,N1,Transient Non-Community Water System,8/1/2018,SONORA,NULL,,NR,Not Required
CA0202529,HOPE VALLEY CG,ALPINE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,F,Federal Government,GW,Groundwater,NULL,NULL,25,25,NULL,7,NULL,NULL,NULL,7,N1,Transient Non-Community Water System,9/11/2019,CARSON CITY,NULL,,NR,Not Required
CA0202530,SILVER CREEK CG,ALPINE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,F,Federal Government,GW,Groundwater,NULL,NULL,25,25,NULL,15,NULL,NULL,NULL,15,SC,Small Community,8/1/2018,CARSON CITY,NULL,,NR,Not Required
CA0202532,CRYSTAL SPRINGS CG,ALPINE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,F,Federal Government,GW,Groundwater,NULL,NULL,25,25,NULL,7,NULL,NULL,NULL,7,N1,Transient Non-Community Water System,6/1/2020,CARSON CITY,NULL,,NR,Not Required
CA0202542,WOODS LAKE REC. AREA,ALPINE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,F,Federal Government,GW,Groundwater,NULL,NULL,25,25,NULL,8,NULL,NULL,NULL,8,SC,Small Community,8/10/2020,PLACERVILLE,NULL,,NR,Not Required
CA0202543,INDIAN CREEK RES. CG (BLM),ALPINE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,F,Federal Government,GW,Groundwater,NULL,NULL,30,30,NULL,26,NULL,NULL,NULL,26,N1,Transient Non-Community Water System,5/20/2019,CARSON CITY,NULL,,NR,Not Required
CA0202547,CAMP LIAHONA,ALPINE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,25,25,NULL,8,NULL,NULL,NULL,8,N1,Transient Non-Community Water System,8/2/2019,TWAIN HARTE,NULL,,NR,Not Required
CA0202548,CAMP PEACEFUL PINES,ALPINE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,25,25,NULL,13,NULL,NULL,NULL,13,N1,Transient Non-Community Water System,8/2/2019,DARDANELLE,NULL,,NR,Not Required
CA0202549,BEAR VALLEY SKI COMPANY,ALPINE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,25,25,NULL,2,NULL,NULL,NULL,2,N1,Transient Non-Community Water System,11/8/2017,BEAR VALLEY,NULL,,NR,Not Required
CA0202550,ALPINE COUNTY HEALTH AND HUMAN SERVICES,ALPINE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,L,Local,GW,Groundwater,NULL,NULL,25,25,NULL,1,NULL,NULL,NULL,1,N1,Transient Non-Community Water System,1/13/2020,NULL,NULL,,NR,Not Required
CA0202552,BLUE LAKES C.G. DAM & MID,ALPINE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,25,25,NULL,5,NULL,NULL,NULL,5,N1,Transient Non-Community Water System,9/4/2018,SACRAMENTO,NULL,,NR,Not Required
CA0202554,BLUE LAKES C.G. - LOWER,ALPINE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,25,25,NULL,1,NULL,NULL,NULL,1,N1,Transient Non-Community Water System,9/4/2018,SACRAMENTO,NULL,,NR,Not Required
CA0202556,BLUE LAKES C.G. - UPPER,ALPINE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,25,25,NULL,5,NULL,NULL,NULL,5,N1,Transient Non-Community Water System,9/4/2018,SACRAMENTO,NULL,,NR,Not Required
CA0202557,BLUE LAKES C.G. HAND PUMP,ALPINE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,25,25,NULL,1,NULL,NULL,NULL,1,N1,Transient Non-Community Water System,NULL,SACRAMENTO,NULL,,NR,Not Required
CA0202562,SAND FLAT # 1,ALPINE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,F,Federal Government,GW,Groundwater,NULL,NULL,25,25,NULL,6,NULL,NULL,NULL,6,N1,Transient Non-Community Water System,8/2/2019,PINECREST,NULL,,NR,Not Required
CA0202563,SAND FLAT # 2,ALPINE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,F,Federal Government,GW,Groundwater,NULL,NULL,25,25,NULL,6,NULL,NULL,NULL,6,N1,Transient Non-Community Water System,8/2/2019,PINECREST,NULL,,NR,Not Required
CA0202564,SAND FLAT # 3,ALPINE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,F,Federal Government,GW,Groundwater,NULL,NULL,25,25,NULL,6,NULL,NULL,NULL,6,N1,Transient Non-Community Water System,8/1/2019,PINECREST,NULL,,NR,Not Required
CA0202565,SAND FLAT # 4,ALPINE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,F,Federal Government,GW,Groundwater,NULL,NULL,25,25,NULL,6,NULL,NULL,NULL,6,N1,Transient Non-Community Water System,8/1/2019,PINECREST,NULL,,NR,Not Required
CA0202566,SAND FLAT # 5,ALPINE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,F,Federal Government,GW,Groundwater,NULL,NULL,25,25,NULL,6,NULL,NULL,NULL,6,N1,Transient Non-Community Water System,8/2/2019,PINECREST,NULL,,NR,Not Required
CA0202570,KIRKWOOD SUNRISE GRILL,ALPINE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,500,500,NULL,1,NULL,NULL,NULL,1,NULL,,8/13/2020,KIRKWOOD,NULL,,NR,Not Required
CA0202599,EARLY LEARNING CENTER,ALPINE,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,35,NULL,35,NULL,3,NULL,NULL,NULL,3,N1,Transient Non-Community Water System,6/25/2019,MARKLEEVILLE,NULL,,NULL,
CA0205425,ALPINE CO COMMUNITY DEVELOPMENT,ALPINE,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,L,Local,GW,Groundwater,NULL,30,NULL,30,NULL,10,NULL,NULL,NULL,10,NULL,,12/10/2019,MARKLEEVILLE,NULL,,NULL,
CA0210001,LAKE ALPINE WATER COMPANY,ALPINE,C,Community,C,Community,A,Active,P,Private,SW,Surface Water,125,NULL,500,625,NULL,488,NULL,NULL,NULL,488,SC,Small Community,7/29/2020,BEAR VALLEY,T2,Treatment Operator Level 2,D2,Distribution Operator Level 2
CA0210002,KIRKWOOD MEADOWS PUBLIC UTILITY DISTRICT,ALPINE,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,101,150,7600,7851,NULL,863,NULL,NULL,NULL,863,SC,Small Community,10/22/2019,KIRKWOOD,T1,Treatment Operator Level 1,D2,Distribution Operator Level 2
CA0210300,CA STATE PARKS - GROVER HOT SPRINGS,ALPINE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,S,State Government,SW,Surface Water,19,NULL,1000,1019,NULL,14,NULL,NULL,NULL,14,N1,Transient Non-Community Water System,8/19/2020,MARKLEEVILLE,T2,Treatment Operator Level 2,NR,Not Required
CA0300006,CAMP RITCHIE,AMADOR,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,200,200,NULL,4,NULL,NULL,NULL,4,N1,Transient Non-Community Water System,6/2/2016,PIONEER,NULL,,NR,Not Required
CA0300007,STOCKTON SILVER LAKE FAMILY CAMP,AMADOR,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,L,Local,GW,Groundwater,NULL,NULL,100,100,NULL,18,NULL,NULL,NULL,18,N1,Transient Non-Community Water System,8/1/2016,SILVER LAKE,NULL,,NR,Not Required
CA0300010,DRYTOWN COUNTY WATER DISTRICT,AMADOR,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,136,NULL,NULL,136,NULL,65,NULL,NULL,NULL,65,SC,Small Community,8/28/2018,DRYTOWN,NULL,,D1,Distribution Operator Level 1
CA0300011,SUTTER PINES MHP,AMADOR,C,Community,C,Community,A,Active,P,Private,GU,Groundwater UDI Surface Water,40,NULL,NULL,40,NULL,19,NULL,NULL,NULL,19,SC,Small Community,3/31/2016,JACKSON,T2,Treatment Operator Level 2,D1,Distribution Operator Level 1
CA0300016,VOLCANO COMMUNITY SERVICE DIST,AMADOR,C,Community,C,Community,A,Active,L,Local,GU,Groundwater UDI Surface Water,160,NULL,NULL,160,NULL,72,NULL,NULL,NULL,72,SC,Small Community,10/23/2017,VOLCANO,T2,Treatment Operator Level 2,D1,Distribution Operator Level 1
CA0300019,FIDDLETOWN COMMUNITY SERVICE,AMADOR,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,100,NULL,NULL,100,NULL,65,NULL,NULL,NULL,65,SC,Small Community,10/31/2018,FIDDLETOWN,NULL,,D1,Distribution Operator Level 1
CA0300022,CAMP WINTON,AMADOR,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,200,200,NULL,19,NULL,NULL,NULL,19,N1,Transient Non-Community Water System,6/14/2018,PIONEER,NULL,,NR,Not Required
CA0300024,TABEAU MOBILE HOME PARK,AMADOR,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,25,NULL,NULL,25,NULL,22,NULL,NULL,NULL,22,SC,Small Community,6/12/2018,PINE GROVE,NULL,,D1,Distribution Operator Level 1
CA0300025,HAM'S STATION,AMADOR,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,25,25,NULL,5,NULL,NULL,NULL,5,N1,Transient Non-Community Water System,5/14/2018,PIONEER,NULL,,NR,Not Required
CA0300028,AMADOR HARVEST INN,AMADOR,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,83,83,NULL,4,NULL,NULL,NULL,4,N1,Transient Non-Community Water System,6/27/2017,PLYMOUTH,NULL,,NR,Not Required
CA0300032,SILVER LAKE CAMPGROUND,AMADOR,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,F,Federal Government,GW,Groundwater,NULL,NULL,500,500,NULL,23,NULL,NULL,NULL,23,N1,Transient Non-Community Water System,8/3/2017,PIONEER,NULL,,NR,Not Required
CA0300033,BEAR RIVER CAMP--SOUTH SHORE,AMADOR,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,F,Federal Government,GW,Groundwater,NULL,NULL,200,200,NULL,12,NULL,NULL,NULL,12,N1,Transient Non-Community Water System,6/14/2016,PIONEER,NULL,,NR,Not Required
CA0300034,BEAR RIVER GROUP CAMPGROUND,AMADOR,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,F,Federal Government,GW,Groundwater,NULL,NULL,125,125,NULL,23,NULL,NULL,NULL,23,N1,Transient Non-Community Water System,6/14/2016,PIONEER,NULL,,NR,Not Required
CA0300036,BEAR RIVER LAKE RESORT,AMADOR,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,568,568,NULL,142,NULL,NULL,NULL,142,N1,Transient Non-Community Water System,7/16/2018,PIONEER,NULL,,NR,Not Required
CA0300037,JACKSON VALLEY IRRIGATION DISTRICT,AMADOR,C,Community,C,Community,A,Active,P,Private,SW,Surface Water,1303,NULL,2250,3553,NULL,331,NULL,NULL,NULL,331,SC,Small Community,4/25/2018,IONE,T3,Treatment Operator Level 3,D1,Distribution Operator Level 1
CA0300043,OK CORRAL,AMADOR,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,25,25,NULL,7,NULL,NULL,NULL,7,N1,Transient Non-Community Water System,1/18/2017,PIONEER,NULL,,NR,Not Required
CA0300048,PEARL'S,AMADOR,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,25,25,NULL,1,NULL,NULL,NULL,1,N1,Transient Non-Community Water System,9/25/2018,PIONEER,NULL,,NR,Not Required
CA0300049,PLASSE HOMESTEAD WATER ASSOCIATION,AMADOR,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,28,28,NULL,27,NULL,NULL,NULL,27,N1,Transient Non-Community Water System,6/11/2014,PIONEER,NULL,,NR,Not Required
