OID_,SABL_PWSID,BOUNDARY_T,WATER_SYST,WATER_SY_1,CREATED_US,CREATED_DA,LAST_EDITE,LAST_EDI_1,OBJECTID,ACTIVITY_S,ACTIVITY_D,OWNER_TYPE,COUNTY,POPULATION,REGULATING,FEDERAL_CL,STATE_CLAS,ADDR_LINE_,ADDR_LINE1,ADDRESS_CI,ADDRESS_ST,ADDRESS_ZI,SERVICE_CO,GLOBALID,AC_PHONE_N,AC_EMAIL,BOUNDARY_F,DT_VERIFIE,VERIFIED_S,VERIFIED_N,VERIFIED_T,Shape__Are,Shape__Len,Lat,Long
10,CA4901165,Water Service Area,CA4901165,JEHOVAH S WITNESSES HALL,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,145,A,12/8/1992 0:00:00,P,SONOMA,650,DISTRICT 18 - SONOMA,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,292 Millbrae Avenue, ,SANTA ROSA,CA,95407,1,{3E647399-928D-492D-A195-91801D362826},707-695-3785,sspencer@hotmail.com,WBT Tool,9/2/2019 0:00:00,Verified,J. Oakley,District / LPA staff member,14097.618399499999214,509.089411883000025,38.368899787700002,-122.723195763999996
11,CA0707577,Water Service Area,CA0707577,RIVERVIEW WATER ASSOCIATION,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,146,A,5/10/2016 0:00:00,P,CONTRA COSTA,230,LPA37 - CONTRA COSTA COUNTY,COMMUNITY,COMMUNITY,3753 WILLOW RD, ,BETHEL ISLAND,CA,94511,89,{562C051D-9005-450A-A6C9-79D29911FDBC},925-684-2129,pzmartin@kiteisland.com,WBT Tool,,Not Verified, , ,80541.045866800006479,2370.758952619999945,38.036365616700003,-121.625710128999998
12,CA2010800,Water Service Area,CA2010800,CENTRAL CA WOMENS FACILITY,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,147,A,8/3/1990 0:00:00,S,MADERA,2374,DISTRICT 11 - MERCED,COMMUNITY,COMMUNITY,23370 ROAD 22,P.O. BOX 1501,CHOWCHILLA,CA,93610,656,{66E1099C-8AA2-4C54-8240-C7AF10B7362A},559-665-5531,elias.montoya@cdcr.ca.gov,WBT Tool,,Not Verified, , ,4212049.414060000330210,8184.979977570000301,37.090797921899998,-120.156514376000004
13,CA1910036,Water Service Area,CA1910036,CALIFORNIA WATER SERVICE CO. - ELA,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,148,A,1/1/1976 0:00:00,P,LOS ANGELES,151576,DISTRICT 22 - ANGELES,COMMUNITY,COMMUNITY,2000 SOUTH TUBEWAY AVE, ,COMMERCE,CA,90040,24371,{5AEB92F1-7CB0-4D8C-8B78-22E878B08216},408-367-8593,sjames@calwater.com,WBT Tool,,Pending, , ,28132505.734000001102686,32183.843250199999602,34.032674287299997,-118.169188998999999
14,CA1400504,Water Service Area,CA1400504,BOULDER CREEK TRAILER PARK,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,151,A,4/30/2015 0:00:00,P,INYO,50,DISTRICT 13 - SAN BERNARDINO,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY, , ,LONE PINE,CA,93545,20,{FF45EC87-0CCF-4CCC-9B5F-871AC073F230},760-876-8700,KPMOSI@MSN.COM,WBT Tool,,Not Verified, , ,150883.938332999998238,1612.209676709999940,36.544973214999999,-118.045951688000002
15,CA5410801,Water Service Area,CA5410801,PORTERVILLE DEVELOPMENTAL CENTER,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,152,A,1/1/1976 0:00:00,S,TULARE,1327,DISTRICT 24 - TULARE,COMMUNITY,COMMUNITY,26501 AVENUE 140, ,PORTERVILLE,CA,93258,99,{CD67775B-07CA-430C-90DB-E0C1100BFF24},559-782-2677,Frank.Chandler@pdc.dds.ca.gov,WBT Tool,,Not Verified, , ,1698183.584719999926165,5894.000244109999585,36.038495043099999,-118.984233154999998
16,CA4901143,Water Service Area,CA4901143,SENECA FAMILY OF AGENCIES,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,153,A,3/6/1990 0:00:00,P,SONOMA,40,DISTRICT 18 - SONOMA,NON-TRANSIENT NON-COMMUNITY,NON-TRANSIENT NON-COMMUNITY,365 Kuck Lane, ,PETALUMA,CA,94952,5,{497B5AE4-768F-4DB9-AC1C-DEEFDFC1F30D},510-377-7114,SHANE_PATTERSON@SENECACENTER.ORG,WBT Tool,9/2/2019 0:00:00,Verified,J. Oakley,District / LPA staff member,22074.709668999999849,623.960242486999960,38.257039831900002,-122.713014239000003
17,CA5400631,Water Service Area,CA5400631,LINNELL FARM LABOR CENTER,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,154,A,4/28/2014 0:00:00,P,TULARE,694,DISTRICT 24 - TULARE,COMMUNITY,COMMUNITY,1436-3 N. MARIPOSA AVE., ,VISALIA,CA,93292,195,{D92EF809-AB86-469C-B77D-521680B8A924},559-627-3700,ken@hatc.net,WBT Tool,,Not Verified, , ,447615.389390999975149,2747.048621280000134,36.309688337600001,-119.221855778999995
18,CA3301943,Water Service Area,CA3301943,PLANTATION ON THE LAKE PARK,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,155,A,3/28/1986 0:00:00,P,RIVERSIDE,891,DISTRICT 20 - RIVERSIDE,COMMUNITY,COMMUNITY,10961 DESERT LAWN DRIVE, ,CALIMESA,CA,92320,554,{67E2C534-BDC0-43A4-87B4-3F8A0C380898},909-795-4503,mgr@plantationonthelake.com,WBT Tool,,Not Verified, , ,911455.263685000012629,3821.912928069999907,33.957600449099999,-117.030005563000003
19,CA0707617,Water Service Area,CA0707617,WILDWOOD ACRES RESORT,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,156,A,5/10/2016 0:00:00,P,CONTRA COSTA,90,LPA37 - CONTRA COSTA COUNTY,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,1055 HUNSAKER CANYON RD, ,LAFAYETTE,CA,94549,2,{3CB57CCE-8C85-40B8-9F72-3DA4979077FD},925-283-2600,accounts@wildwoodacres.com,WBT Tool,,Not Verified, , ,14438.292388800000481,567.262932620000015,37.850594674200003,-122.080145490999996
20,CA4901206,Water Service Area,CA4901206,ARMIDA WINERY,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,157,A,1/21/1994 0:00:00,P,SONOMA,40,DISTRICT 18 - SONOMA,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,2201 Westside Road, ,HEALDSBURG,CA,95448,4,{C9F6B142-4295-4096-9FA1-517B9DA38BF7},707-433-2222,bruce@armida.com,WBT Tool,9/2/2019 0:00:00,Verified,J. Oakley,District / LPA staff member,87747.209317700006068,1417.654546900000014,38.589897152100001,-122.882334967999995
21,CA2702180,Water Service Area,CA2702180,GRAVES SCHOOL WS,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,158,A,12/22/1995 0:00:00,L,MONTEREY,56,LPA57 - MONTEREY COUNTY,NON-TRANSIENT NON-COMMUNITY,NON-TRANSIENT NON-COMMUNITY, , ,SALINAS,CA,93907,2,{7BD8B324-9ED8-4545-9604-18CF463D6B77},831-422-6392,locontre@monterey.k12.ca.us,WBT Tool,,Not Verified, , ,10653.445488299999852,451.520653558999982,36.696536784000003,-121.701033326000001
22,CA3710037,Water Service Area,CA3710037,PADRE DAM MWD,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,159,A,1/1/1976 0:00:00,L,SAN DIEGO,92045,DISTRICT 14 - SAN DIEGO,COMMUNITY,COMMUNITY,9300 Fanita Parkway, ,SANTEE,CA,92071,23163,{624065B9-E0BE-4198-A314-CA8CEB9467F4},619-258-4746,PCLARKE@PADRE.ORG,WBT Tool,,Not Verified, , ,268963992.139999985694885,168151.656503000005614,32.838130462999999,-116.869332063000002
23,CA4810026,Water Service Area,CA4810026,SID - PEABODY,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,160,A,8/30/1999 0:00:00,L,SOLANO,66,DISTRICT 04 - SAN FRANCISCO,COMMUNITY,COMMUNITY,4958 PEABODY RD, ,FAIRFIELD,CA,94533,17,{0D5E034C-41A2-4451-8718-8D6CB24B0B22},707-455-4009,ckeaten@sidwater.org,WBT Tool,,Not Verified, , ,3036913.309890000149608,9613.893385370000033,38.297510457999998,-121.978041832000002
24,CA3400101,Water Service Area,CA3400101,HOOD WATER MAINTENCE DIST [SWS],SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,161,A,8/8/2016 0:00:00,L,SACRAMENTO,100,LPA64 - SACRAMENTO COUNTY,COMMUNITY,COMMUNITY,10775 3RD ST, ,HOOD,CA,95639,82,{02038431-BEE4-4C24-8256-DAFF8713E990},916-875-6882,underwoodd@saccounty.net,WBT Tool,,Not Verified, , ,266771.453292999998666,3066.974571700000070,38.367994788700003,-121.517028363999998
25,CA0202562,Water Service Area,CA0202562,SAND FLAT # 1,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,162,A,6/3/1997 0:00:00,F,ALPINE,25,LPA32 - ALPINE COUNTY,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY, , ,PINECREST,CA,95364,1,{6AC93791-8C92-4258-9E40-EDF02D3368CD},209-288-6329,timothy.hughes@usda.gov,WBT Tool,,Not Verified, , ,81047.203596499995911,1176.809490780000033,38.403720489000001,-119.791207388999993
26,CA0202563,Water Service Area,CA0202563,SAND FLAT # 2,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,163,A,10/29/2014 0:00:00,F,ALPINE,25,LPA32 - ALPINE COUNTY,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY, , ,PINECREST,CA,95364,1,{E1DB9745-F9B6-4DB2-A991-ED3DF2670887},209-288-6329,timothy.hughes@usda.gov,WBT Tool,,Not Verified, , ,20514.704272200000560,685.169282282000040,38.404124163500001,-119.789465562999993
27,CA4400710,Water Service Area,CA4400710,CAMP ST FRANCIS,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,165,A,1/29/2015 0:00:00,P,SANTA CRUZ,57,LPA74 - SANTA CRUZ COUNTY,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,2320 Sumner Ave, ,APTOS,CA,95003,16,{E57C951C-DEB9-4417-9990-965FC6AC8AD9},831-441-7144,MHerbers@Hughes.net,WBT Tool,,Not Verified, , ,28434.370570300001418,834.730837588999975,36.945744358500001,-121.872003590000006
28,CA2702229,Water Service Area,CA2702229,MANZANITA PARK WS,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,166,A,8/1/2016 0:00:00,L,MONTEREY,302,LPA57 - MONTEREY COUNTY,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY, , ,SALINAS,CA,93902,6,{B0C3D79F-A0A8-42C3-8D61-F04541840023},831-755-5462,MERKLEN@CO.MONTEREY.CA.US,WBT Tool,,Not Verified, , ,2639528.163490000180900,13824.908713700000590,36.776243872000002,-121.697631384000005
29,CA0310005,Water Service Area,CA0310005,PINE GROVE COMM SERV DIST,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,167,A,1/1/1976 0:00:00,L,AMADOR,907,DISTRICT 10 - STOCKTON,COMMUNITY,COMMUNITY,19840 State Hwy 88, ,PINE GROVE,CA,95665,388,{2D9AFD4C-5F52-43FB-A0D9-69DE81725B3D},209-296-7188,pgcomser@volcano.net,WBT Tool,,Not Verified, , ,29438611.637400001287460,31884.136378600000171,38.407385358699997,-120.660607209000005
30,CA2600547,Water Service Area,CA2600547,CROWLEY LAKE TRAILER PARK,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,168,A,8/2/2016 0:00:00,P,MONO,230,LPA56 - MONO COUNTY,COMMUNITY,COMMUNITY,515 South Landing Rd., ,CROWLEY LAKE,CA,93546,108,{B73EA0BC-1216-44AC-B371-9465FBB536B0},760-935-4221,crowleylakerv@gmail.com,WBT Tool,,Not Verified, , ,29919.791494400000374,846.772023231000048,37.567826338099998,-118.742486174999996
31,CA1210007,Water Service Area,CA1210007,DEL ORO WATER CO-FERNDALE,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,169,A,1/1/1976 0:00:00,P,HUMBOLDT,1998,DISTRICT 01 - KLAMATH,COMMUNITY,COMMUNITY,DRAWER 5172,"995 EUGENE STREET, FERNDALE CA 95536",CHICO,CA,95927,785,{18C0ACBF-348D-48C5-906F-5ABBA598E2D7},530-809-3958,corp.ceo@corporatecenter.us,WBT Tool,,Not Verified, , ,8989724.264180000871420,17924.227421899999172,40.582734084899997,-124.259869194000004
32,CA1400506,Water Service Area,CA1400506,HIGH SIERRA WATER COMPANY,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,170,A,4/30/2015 0:00:00,P,INYO,200,DISTRICT 13 - SAN BERNARDINO,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY, , ,BISHOP,CA,93514,49,{1915BFE2-F74E-4A92-B86C-AA26A9DDA64D},760-873-4483,nbs277v@yahoo.com,WBT Tool,,Not Verified, , ,32846.104114599998866,805.079606412999965,37.235881327800001,-118.565217352999994
33,CA1200793,Water Service Area,CA1200793,MERRYMAN'S RESTAURANT,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,171,A,6/21/1985 0:00:00,P,HUMBOLDT,125,DISTRICT 01 - KLAMATH,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,100 MOONSTONE BEACH RD.,100 MOONSTONE BEACH RD.,TRINIDAD,CA,95570,1,{1B9AD960-C15C-45D0-A142-BDE0A42E2CAA},707-616-6711,mmerrymankinder@hotmail.com,WBT Tool,,Not Verified, , ,10503.104602199999135,461.281182661999992,41.028833088600003,-124.110305608000004
34,CA2702679,Water Service Area,CA2702679,AMERICAN LEGION #593 WS,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,172,A,8/1/2016 0:00:00,P,MONTEREY,25,LPA57 - MONTEREY COUNTY,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY, , ,SALINAS,CA,93907,2,{98CA0AEC-595D-4B9B-9400-94B57683A60C},831-737-6113,race_place@juno.com,WBT Tool,,Not Verified, , ,23102.474493099998654,710.961414710999975,36.796993692999997,-121.668172150000004
35,CA3310017,Water Service Area,CA3310017,SOUTH MESA WC,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,173,A,1/1/1976 0:00:00,P,RIVERSIDE,11953,DISTRICT 20 - RIVERSIDE,COMMUNITY,COMMUNITY,391 WEST AVENUE L, ,CALIMESA,CA,92320,2978,{D63F11A5-0D96-47B2-A191-7D687EB5BD1F},909-795-2401,darmstrong@southmesawater.com,WBT Tool,,Not Verified, , ,16126935.023099999874830,20528.359915900000487,34.005963579000003,-117.044618736000004
36,CA0810303,Water Service Area,CA0810303,JEDEDIAH SMITH STATE PARK,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,174,A,1/1/1976 0:00:00,S,DEL NORTE,2202,DISTRICT 01 - KLAMATH,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,1375 ELK VALLEY RD.,1440 HWY 199,CRESCENT CITY,CA,95531,3,{F24E73D1-CC86-4587-BB6F-7A5FF9C30C95},707-465-7386,ken.long@parks.ca.gov,WBT Tool,,Not Verified, , ,111393228.274000003933907,81247.474193200003356,41.772463025199997,-124.107722965999997
37,CA1400037,Water Service Area,CA1400037,FOOTHILL MOBILE HOME PARK,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,175,A,4/30/2015 0:00:00,P,INYO,60,DISTRICT 13 - SAN BERNARDINO,COMMUNITY,COMMUNITY, , ,LONE PINE,CA,93545,48,{349B8535-33AE-45A9-8469-798F958AB8E9},760-876-4120,kevin@lpmhrv.com,WBT Tool,,Not Verified, , ,57940.157914900002652,1247.801007250000112,36.544662636100000,-118.048531948000004
38,CA4410001,Water Service Area,CA4410001,BIG BASIN WATER COMPANY,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,176,A,3/22/1979 0:00:00,P,SANTA CRUZ,1120,DISTRICT 05 - MONTEREY,COMMUNITY,COMMUNITY,16575 JAMISON CREEK ROAD, ,BOULDER CREEK ROAD,CA,95006,482,{F4C972E5-4793-41AE-B21D-40D72E35CD01},831-332-6236,bbwater197@yahoo.com,WBT Tool,,Not Verified, , ,49274672.151199996471405,27563.284045199998218,37.163845459299999,-122.179294092000006
39,CA3700041,Water Service Area,CA3700041,BARRETT LAKE MH AND RV LLC,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,178,A,8/2/2016 0:00:00,P,SAN DIEGO,150,LPA67 - SAN DIEGO COUNTY,COMMUNITY,COMMUNITY,PO Box 310033, ,GUATAY,CA,91931,58,{0F44BF1F-D006-4961-B592-9D1EF2CA4FC5},619-631-0135,anthonymwindle@yahoo.com,WBT Tool,,Not Verified, , ,119771.049064000006183,1383.004173040000069,32.622292889699999,-116.691292438999994
40,CA3910020,Water Service Area,CA3910020,STOCKTON VERDE MOBILE HOME PARK,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,179,A,1/1/1976 0:00:00,P,SAN JOAQUIN,712,DISTRICT 10 - STOCKTON,COMMUNITY,COMMUNITY,4900 CA-99, ,STOCKTON,CA,95212,293,{5EA93535-791C-4C86-AD25-DCE93A03BE3F},714-754-1133,brian00brian@yahoo.com,WBT Tool,,Not Verified, , ,495965.178960999997798,3056.005339740000181,38.008866904800001,-121.253915004999996
41,CA3900927,Water Service Area,CA3900927,SPRING CREEK ESTATES PWS,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,180,A,8/8/2016 0:00:00,L,SAN JOAQUIN,90,LPA69 - SAN JOAQUIN COUNTY,COMMUNITY,COMMUNITY,16306 S MILGEO RD, ,RIPON,CA,95366,36,{187EB072-0C5F-47FE-9014-56E67DA50436},209-468-3090,bguzman@sjgov.org,WBT Tool,,Not Verified, , ,90472.028573999996297,1601.971654120000039,37.745999273700001,-121.108235898999993
42,CA3900586,Water Service Area,CA3900586,B&G MOBILE HOME PARK LLC WS,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,181,A,8/8/2016 0:00:00,P,SAN JOAQUIN,50,LPA69 - SAN JOAQUIN COUNTY,COMMUNITY,COMMUNITY,24064 N HWY 99, ,ACAMPO,CA,95220,22,{8F024AA2-DA28-49F4-A2A9-AA0C21B56D35},209-368-0433,loujerr1944@sbcglobal.net,WBT Tool,,Not Verified, , ,14541.767467300000135,458.083307984999976,38.205294875400000,-121.262251496000005
43,CA1000003,Water Service Area,CA1000003,BEAR CREEK WATER IMPROVEMENT,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,182,A,3/22/1979 0:00:00,P,FRESNO,66,DISTRICT 23 - FRESNO,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,HUNTINGTON LAKE AT BEAR C, ,HUNTINGTON LAKE,CA,93629,53,{84C37BEF-6873-4878-88D9-00CA26E99FD6},559-804-7600,cindyfelts@hotmail.com,WBT Tool,,Not Verified, , ,597761.652848000056110,4369.910974549999992,37.250866080199998,-119.184980315999994
44,CA1900599,Water Service Area,CA1900599,VALHALLA WATER ASSOCIATION,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,183,A,8/8/2016 0:00:00,P,LOS ANGELES,25,LPA49 - LA COUNTY,COMMUNITY,COMMUNITY,2356 stonyvale road, ,TUJUNGA,CA,91042,9,{1D6D69F1-5714-4852-8E96-E0C98B8B3117},818-353-0102,BGOULD2466@GMAIL.COM,WBT Tool,,Pending, , ,532111.009206000017002,3526.831146949999948,34.288679387199998,-118.230658883999993
45,CA3510002,Water Service Area,CA3510002,"SAN JUAN BAUTISTA, CITY OF",SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,186,A,1/1/1976 0:00:00,L,SAN BENITO,2335,DISTRICT 05 - MONTEREY,COMMUNITY,COMMUNITY,OFF MISSION VINEYARD RD, ,SAN JUAN BAUTISTA,CA,95045,834,{C410C64D-C6F1-4EDF-AF4E-EBDB0F69C98E},831-623-4661,citymanager@san-juan-bautista.ca.us,WBT Tool,,Not Verified, , ,2893610.810269999783486,10725.056827799999155,36.845625849999998,-121.538225792999995
