OID_,BasinID,BasinName,SubAreaNam,Designated,DesigStatu,DesigOrder,PreferUse,HydRegID,HydRegName,Shape_STAr,Shape_STLe
34,189C,Thousand Springs Valley,Rocky Butte Area,Yes,D,853, ,11,Great Salt Lake Basin,485117681.577000021934509,105638.658932999998797
35,069,Paradise Valley, ,Yes,PUID,1259,1259,4,Humboldt River Basin,1558756898.829999923706055,200343.770890999992844
36,025,High Rock Lake Valley, ,No, , , ,2,Black Rock Desert Region,1726429279.269999980926514,231279.976351999997860
37,030B,Kings River Valley,Sod House Subarea,Yes,ID,740,743,2,Black Rock Desert Region,300295434.050000011920929,99225.046760900004301
38,027,Summit Lake Valley, ,No, , , ,2,Black Rock Desert Region,149003757.240999996662140,63403.674394900001062
39,044,North Fork Area, ,Yes,D,744, ,4,Humboldt River Basin,2853408357.210000038146973,303208.058008000021800
40,036,Independence Valley, ,No, , , ,3,Snake River Basin,895752847.447999954223633,156366.200157000013860
41,026,Mud Meadow, ,No, , , ,2,Black Rock Desert Region,1288045540.190000057220459,207627.667084999993676
42,189A,Thousand Springs Valley, ,Yes,D,853, ,11,Great Salt Lake Basin,401538432.292999982833862,102267.224650999996811
43,031,Desert Valley, ,Yes,PU,535,1269,2,Black Rock Desert Region,2743738393.309999942779541,249249.903187999996589
44,015,Boulder Valley, ,No, , , ,1,Northwest Region,225146199.071999996900558,71054.671399500002735
45,032,Silver State Valley, ,Yes,D,285, ,2,Black Rock Desert Region,729986771.014000058174133,135164.330190999986371
46,063,Willow Creek Valley, ,Yes,D,1261, ,4,Humboldt River Basin,1054324623.580000042915344,164027.307127999985823
47,032,Silver State Valley, ,No, , , ,2,Black Rock Desert Region,97847952.346399992704391,191682.349102000007406
48,016,Duck Lake Valley, ,No, , , ,1,Northwest Region,1390149743.230000019073486,187218.795937999995658
49,066,Kelly Creek Area, ,Yes,D,536, ,4,Humboldt River Basin,781948389.603999972343445,145667.155903000006219
50,064,Clovers Area, ,Yes,D,700, ,4,Humboldt River Basin,1832973329.390000104904175,240797.585561000014422
51,188,Independence Valley, ,Yes,D,873, ,10,Central Region,1459589925.069999933242798,205009.233945000014501
52,051,Maggie Creek Area, ,Yes,D,863, ,4,Humboldt River Basin,1012740581.629999995231628,177139.197408000007272
53,191,Pilot Creek Valley, ,Yes,D,841, ,11,Great Salt Lake Basin,852998627.845999956130981,148291.757123999996111
54,042,Marys River Area, ,Yes,PU,837,838,4,Humboldt River Basin,302521620.860000014305115,80626.703118799996446
55,187,Goshute Valley, ,Yes,PUID,842,842,10,Central Region,1141242196.680000066757202,170978.672167000011541
56,062,Rock Creek Valley, ,Yes,D,1260, ,4,Humboldt River Basin,1145373681.380000114440918,183434.672565999993822
57,070,Winnemucca Segment, ,Yes,PU,1246,1246,4,Humboldt River Basin,1103638177.490000009536743,241039.731491999991704
58,061,Boulder Flat, ,Yes,D,799, ,4,Humboldt River Basin,1411463729.019999980926514,235124.982304000004660
59,192,Great Salt Lake Desert, ,No, , , ,11,Great Salt Lake Basin,1327796590.990000009536743,237417.779531999985920
60,050,Susie Creek Area, ,Yes,D,866, ,4,Humboldt River Basin,573540492.103999972343445,141936.441363999998430
61,065,Pumpernickel Valley, ,Yes,D,1241, ,4,Humboldt River Basin,800179703.735000014305115,153504.118523000011919
62,021,Smoke Creek Desert, ,No, , , ,2,Black Rock Desert Region,2527933502.139999866485596,266265.634612999972887
63,017,Pilgrim Flat, ,No, , , ,2,Black Rock Desert Region,25381310.430300001055002,27085.331167100001039
64,018,Painter Flat, ,No, , , ,2,Black Rock Desert Region,85924626.502399995923042,52860.435660700000881
65,048,Dixie Creek-Tenmile Creek Area, ,Yes,D,848, ,4,Humboldt River Basin,635565545.157999992370605,216786.517890999995871
66,072,Imlay Area, ,Yes,D,702, ,4,Humboldt River Basin,1974024958.450000047683716,226530.546558000001824
67,048,Dixie Creek-Tenmile Creek Area, ,Yes,PUID,848,1120,4,Humboldt River Basin,373560903.667999982833862,127892.621234999998705
68,023,Granite Basin, ,No, , , ,2,Black Rock Desert Region,23143156.364700000733137,25945.188369700001203
69,131,Buffalo Valley, ,Yes,D,1281, ,10,Central Region,1294169465.990000009536743,172310.974417999997968
70,052,Marys Creek Area, ,Yes,PU,868,1295,4,Humboldt River Basin,156029573.444999992847443,64386.175420599996869
71,051,Maggie Creek Area, ,Yes,PU,863,872,4,Humboldt River Basin,7491043.228520000353456,14141.798596299999190
72,050,Susie Creek Area, ,Yes,PU,866,872,4,Humboldt River Basin,1127179.183110000099987,8176.322619939999640
73,052,Marys Creek Area, ,Yes,PU,868,"872,1295",4,Humboldt River Basin,10635191.343800000846386,13877.576853900000060
74,187,Goshute Valley, ,Yes,D,842, ,10,Central Region,1336169632.079999923706055,191633.781767999986187
75,059,Lower Reese River Valley, ,Yes,D,739, ,4,Humboldt River Basin,1517400691.059999942779541,226575.232901000010315
76,060,Whirlwind Valley, ,Yes,D,799, ,4,Humboldt River Basin,253946945.231000006198883,76419.569276099995477
77,022,San Emidio Desert, ,Yes,D,746, ,2,Black Rock Desert Region,790128524.506000041961670,142840.802694000012707
78,061,Boulder Flat, ,Yes,PU,799,839,4,Humboldt River Basin,3839329.595949999988079,11291.971703999999590
79,064,Clovers Area, ,Yes,PU,700,839,4,Humboldt River Basin,36483878.968999996781349,26762.972524100001465
80,079,Kumiva Valley, ,No, , , ,5,West Central Region,857610501.208999991416931,145859.793964000011329
81,059,Lower Reese River Valley, ,Yes,PU,739,839,4,Humboldt River Basin,22027045.048099998384714,23002.267528100001073
82,053,Pine Valley, ,Yes,D,862, ,4,Humboldt River Basin,2592377145.030000209808350,273952.485890000010841
83,078,Granite Springs Valley, ,No, , , ,5,West Central Region,2504304811.329999923706055,267387.828149000008125
84,129,Buena Vista Valley, ,Yes,PU,732,1276,10,Central Region,1909292090.730000019073486,200525.831704000011086
85,054,Crescent Valley, ,Yes,D,755, ,4,Humboldt River Basin,1943299766.400000095367432,223431.807969999994384
86,186B,Antelope Valley,Northern Part,No, , , ,10,Central Region,707836282.855999946594238,122501.327267999993637
87,098,Skedaddle Creek Valley, ,No, , , ,7,Western Region,110181225.930999994277954,53192.329265799999121
88,130,Pleasant Valley, ,Yes,D,715, ,10,Central Region,729496118.014999985694885,135947.556313999986742
89,073,Lovelock Valley, ,Yes,D,1253, ,4,Humboldt River Basin,1631579812.940000057220459,198613.498113000008743
90,080,Winnemucca Lake Valley, ,No,D,1312, ,6,Truckee River Basin,958807673.133000016212463,160264.597654999990482
91,019,Dry Valley, ,No, , , ,2,Black Rock Desert Region,107279187.357999995350838,44918.544646700000158
92,081,Pyramid Lake Valley, ,No,D,1311, ,6,Truckee River Basin,1753439741.400000095367432,254129.787187999987509
93,179,Steptoe Valley, ,Yes,PU,731,821,10,Central Region,4741527717.060000419616699,588408.634924000012688
94,020,Sano Valley, ,No, , , ,2,Black Rock Desert Region,27030691.901700001209974,32071.247865199999069
95,097,Honey Lake Valley, ,Yes,D,849, ,7,Western Region,500139197.800999999046326,110400.233185999997659
96,132,Jersey Valley, ,Yes,D,715, ,10,Central Region,349484721.990000009536743,85358.873761900002137
97,055,Carico Lake Valley, ,Yes,D,1254, ,4,Humboldt River Basin,977322332.815999984741211,173525.118780999997398
98,186A,Antelope Valley,Southern Part,No, , , ,10,Central Region,326885274.560999989509583,85015.035333399995579
99,101A,Carson Desert,Packard Valley,Yes,D,716, ,8,Carson River Basin,437595838.240000009536743,116077.591480000002775
100,058,Middle Reese River Valley, ,Yes,PU,1257, ,4,Humboldt River Basin,827433597.414999961853027,158698.049888999987161
101,193,Deep Creek Valley, ,No, , , ,11,Great Salt Lake Basin,548270841.220000028610229,134542.904567999998108
102,153,Diamond Valley, ,Yes,PUID,815,1226,10,Central Region,1932406037.529999971389771,234327.061971999995876
103,128,Dixie Valley, ,Yes,D,715, ,10,Central Region,3384580792.949999809265137,338688.988897999981418
104,057,Antelope Valley, ,Yes,PU,1256,1256,4,Humboldt River Basin,1170998564.920000076293945,198363.473047000006773
105,138,Grass Valley, ,Yes,D,1282A, ,10,Central Region,1537186792.690000057220459,199973.970142000005580
106,095,Dry Valley, ,No, , , ,7,Western Region,212371250.955000013113022,78825.745011399994837
107,185,Tippett Valley, ,No, , , ,10,Central Region,896691975.934999942779541,141126.723538999998709
108,096,Newcomb Lake Valley, ,No,D,1313, ,7,Western Region,19185489.516800001263618,21923.176766699998552
109,074,White Plains, ,Yes,D,716, ,4,Humboldt River Basin,429271730.177999973297119,104942.504010999997263
110,184,Spring Valley, ,No, , , ,10,Central Region,4318108810.350000381469727,490004.697375999996439
111,101,Carson Desert, ,Yes,PUID,716,1116,8,Carson River Basin,5214858762.890000343322754,376507.964748000027612
112,077,Fireball Valley, ,No, , , ,5,West Central Region,149426322.972999989986420,56460.940910099998291
113,075,Bradys Hot Springs Area, ,Yes,D,915, ,5,West Central Region,461855575.234000027179718,108645.081026999992901
114,056,Upper Reese River Valley, ,Yes,D,1255, ,4,Humboldt River Basin,2960756522.300000190734863,375954.477147000026889
115,099,Red Rock Valley, ,Yes,D,718, ,7,Western Region,109096721.649000003933907,52471.262539099996502
116,094,Bedell Flat, ,Yes,D,718, ,7,Western Region,130923390.281000003218651,56102.289823899998737
117,139,Kobeh Valley, ,Yes,D,816, ,10,Central Region,2233714880.489999771118164,247400.829908999992767
118,093,Antelope Valley, ,Yes,PU,718,1212,7,Western Region,42322299.437700003385544,30116.733930499998678
119,194,Pleasant Valley, ,No, , , ,11,Great Salt Lake Basin,193119420.166999995708466,71488.262999900005525
120,133,Edwards Creek Valley, ,No, , , ,10,Central Region,1083002116.589999914169312,160165.106926000007661
121,195,Snake Valley, ,No, , , ,11,Great Salt Lake Basin,2031002677.619999885559082,272403.817893999977969
122,076,Fernley Area, ,Yes,D,699, ,5,West Central Region,67049989.298600003123283,71425.851769600005355
123,134,Smith Creek, ,No, , , ,10,Central Region,1509474641.579999923706055,210454.614430999994511
124,137B,Big Smoky Valley,Northern Part,Yes,D,852, ,10,Central Region,3406456955.559999942779541,316892.360662000020966
125,174,Jakes Valley, ,No, , , ,10,Central Region,1094686468.220000028610229,161716.609510000009323
126,126,Cowkick Valley, ,Yes,D,715, ,10,Central Region,280339379.920000016689301,119573.800159000005806
127,127,Eastgate Valley Area, ,Yes,D,715, ,10,Central Region,554174091.605999946594238,115198.147018999996362
128,152,Stevens Basin, ,No, , , ,10,Central Region,43290913.489699997007847,31497.930805700001656
129,151,Antelope Valley, ,No, , , ,10,Central Region,1161933925.690000057220459,172872.351456000003964
130,124,Fairview Valley, ,Yes,D,715, ,10,Central Region,743860883.440000057220459,146458.931771000003209
131,155A,Little Smoky Valley,Northern Part,No, , , ,10,Central Region,1503314349.619999885559082,206700.962528000003658
132,140A,Monitor Valley,Northern Part,No, , , ,10,Central Region,1362650343.500000000000000,195492.690335999999661
133,179,Steptoe Valley, ,Yes,PUID,731,754,10,Central Region,299369849.350000023841858,77572.973573800001759
134,125,Stingaree Valley, ,Yes,D,715, ,10,Central Region,122067203.740999996662140,49375.439566300003207
135,207,White River Valley, ,Yes,D,1219, ,13,Colorado River Basin,4140189384.199999809265137,383279.051954999973532
136,173B,Railroad Valley,Northern Part,No, , , ,10,Central Region,5543004143.220000267028809,448612.753367000026628
137,123,Rawhide Flats, ,No, , , ,10,Central Region,588209910.042999982833862,134676.295508999988670
138,110A,Walker Lake Valley,Schurz Subarea,No, , , ,9,Walker River Basin,1358570997.049999952316284,213468.361788999987766
139,122,Gabbs Valley, ,Yes,ID,825,825,10,Central Region,3312564076.920000076293945,285460.827013999980409
140,150,Little Fish Lake Valley, ,No, , , ,10,Central Region,1118941364.400000095367432,175806.572249999997439
141,155C,Little Smoky Valley,Southern part,No, , , ,10,Central Region,1315657291.920000076293945,215060.090078999986872
142,135,Ione Valley, ,No, , , ,10,Central Region,1177805033.819999933242798,172032.948563000012655
143,140B,Monitor Valley,Southern Part,No, , , ,10,Central Region,1320180122.279999971389771,166637.092547999985982
144,156,Hot Creek, ,No, , , ,10,Central Region,2664959113.000000000000000,341230.225275999982841
145,155B,Little Smoky Valley,Central Part,No, , , ,10,Central Region,155921448.175000011920929,65261.730172900002799
146,196,Hamlin Valley, ,No, , , ,11,Great Salt Lake Basin,1058846177.590000033378601,204933.369788000010885
147,180,Cave Valley, ,No, , , ,10,Central Region,931358367.455000042915344,167179.933003000012832
148,183,Lake Valley, ,Yes,D,726, ,10,Central Region,1456223590.279999971389771,196236.970480999996653
149,110B,Walker Lake Valley,Lake Subarea,No, , , ,9,Walker River Basin,771607088.973000049591064,135913.345279000001028
150,137A,Big Smoky Valley,Tonopah Flat,Yes,PU,725,1300,10,Central Region,4141813186.769999980926514,361632.397847999993246
151,110C,Walker Lake Valley,Whiskey Flat-Hawthorne Subarea,Yes,PUID,823,823,9,Walker River Basin,1394143386.190000057220459,226529.388131999992765
152,149,Stone Cabin Valley, ,Yes,D,720, ,10,Central Region,2535453470.019999980926514,300042.010106000001542
153,141,Ralston Valley, ,Yes,D,742, ,10,Central Region,2481762773.760000228881836,352396.876175999990664
154,121A,Soda Spring Valley,Eastern Part,Yes,ID,824,824,10,Central Region,650872071.483999967575073,131027.028265000000829
155,121B,Soda Spring Valley,Western Part,Yes,ID,824,824,10,Central Region,333091417.398999989032745,74478.409753999992972
156,136,Monte Cristo Valley, ,No, , , ,10,Central Region,716020848.616000056266785,124273.593475000001490
157,181,Dry Lake Valley, ,No, , , ,10,Central Region,2278781523.869999885559082,271000.566288999980316
158,120,Garfield Flat, ,No, , , ,10,Central Region,242791801.886999994516373,76071.811513499997091
159,201,Spring Valley, ,No, , , ,13,Colorado River Basin,749707527.014999985694885,125279.167591000004904
160,119,Rhodes Salt Marsh Valley, ,No, , , ,10,Central Region,482357383.981000006198883,99508.524830800000927
161,172,Garden Valley, ,No, , , ,10,Central Region,1295503100.329999923706055,193688.815346999996109
162,111A,Alkali Valley,Northern Part,No, , , ,10,Central Region,47206201.495099999010563,31090.546981899999082
163,118,Columbus Salt Marsh Valley, ,No, , , ,10,Central Region,986066570.407999992370605,179188.445158999995328
164,208,Pahroc Valley, ,No, , , ,13,Colorado River Basin,1331402207.880000114440918,219265.981469999998808
165,202,Patterson Valley, ,No, , , ,13,Colorado River Basin,1068306991.759999990463257,163187.138624999992317
166,111B,Alkali Valley,Southern Part,No, , , ,10,Central Region,165580780.347999989986420,70141.708361800003331
167,114,Teels Marsh Valley, ,No, , , ,10,Central Region,829656445.044000029563904,132506.589143999997759
168,113,Huntoon Valley, ,No, , , ,10,Central Region,260452154.233999997377396,79112.143540999997640
169,141,Ralston Valley, ,Yes,PU,742,752,10,Central Region,55389526.165200002491474,38603.024208900002122
170,171,Coal Valley, ,No, , , ,10,Central Region,1169839757.109999895095825,180751.723085000005085
171,112,Mono Valley, ,No, , , ,10,Central Region,75479940.979200005531311,44082.828013999998802
172,173A,Railroad Valley,Southern Part,No, , , ,10,Central Region,1559830586.509999990463257,190560.934272000013152
173,196,Hamlin Valley, ,No, , , ,11,Great Salt Lake Basin,1341456.552730000112206,7306.007111070000065
174,200,Eagle Valley, ,No, , , ,13,Colorado River Basin,132749233.613000005483627,53785.340816600000835
175,170,Penoyer Valley, ,Yes,D,712, ,10,Central Region,1798354067.130000114440918,218323.364266999997199
176,115,Adobe Valley, ,No, , , ,10,Central Region,37598965.210600003600121,33335.388843699998688
177,196,Hamlin Valley, ,No, , , ,11,Great Salt Lake Basin,2340247.112300000153482,9613.756832180000856
178,142,Alkali Spring Valley, ,Yes,D,1274, ,10,Central Region,793377611.865000009536743,127693.581053999994765
179,199,Rose Valley, ,No, , , ,13,Colorado River Basin,28973817.842300001531839,29135.797271999999793
180,198,Dry Valley, ,No, , , ,13,Colorado River Basin,309726943.092999994754791,94321.600282100000186
181,143,Clayton Valley, ,Yes,D,1275, ,10,Central Region,1442342372.309999942779541,198317.368840999988606
182,116,Queen Valley, ,No, , , ,10,Central Region,170229531.752000004053116,59228.655410500003200
183,117,Fish Lake Valley, ,Yes,PUID,704,1221,10,Central Region,1837710616.130000114440918,256804.446032000007108
184,197,Escalante Desert, ,No, , , ,12,Escalante Desert,272910063.611000001430511,85224.298504000005778
185,148,Cactus Flat, ,No, , , ,10,Central Region,1023206659.289999961853027,152554.406213000009302
186,147,Gold Flat, ,No, , , ,10,Central Region,1766173371.099999904632568,245166.649586999992607
187,145,Stonewall Flat, ,No, , , ,10,Central Region,968526373.868999958038330,148326.760519000003114
188,209,Pahranagat Valley, ,Yes,PUID,1199,1199,13,Colorado River Basin,1988910197.759999990463257,260073.996748000005027
189,144,Lida Valley, ,No, , , ,10,Central Region,1378190556.890000104904175,166627.100196000013966
190,182,Delamar Valley, ,No, , , ,10,Central Region,992824568.315000057220459,151419.177094999991823
191,157,Kawich Valley, ,No, , , ,10,Central Region,906927463.297999978065491,157020.360615000012331
192,169A,Tikapoo Valley,Northern Part,No, , , ,10,Central Region,1608866200.759999990463257,223089.669017999985954
193,158A,Emigrant Valley,Groom Lake Valley,No, , , ,10,Central Region,1698520361.619999885559082,222029.236915999994380
194,146,Sarcobatus Flat, ,Yes,D,999, ,10,Central Region,2075804450.190000057220459,235338.066628000000492
195,206,Kane Springs Valley, ,No, , , ,13,Colorado River Basin,610198981.396000027656555,133590.461597999994410
196,232,Oriental Wash, ,No, , , ,14,Death Valley Basin,466392949.828000009059906,128794.538889999996172
197,228,Oasis Valley, ,No, , , ,14,Death Valley Basin,787503765.939000010490417,153390.938907000003383
198,169B,Tikapoo Valley,Southern Part,No, , , ,10,Central Region,956856083.202999949455261,178587.932792000006884
199,227B,Fortymile Canyon,Buckboard Mesa,No, , , ,14,Death Valley Basin,613255452.465000033378601,123044.933680000001914
200,159,Yucca Flat, ,No, , , ,10,Central Region,786373808.254999995231628,130363.459719000005862
201,231,Grapevine Canyon, ,No, , , ,14,Death Valley Basin,449688806.095000028610229,122197.835919000004651
202,158B,Emigrant Valley,Papoose Lake Valley,No, , , ,10,Central Region,264426625.400000005960464,85736.785679499997059
203,168,Three Lakes Valley, ,No, , , ,10,Central Region,747924010.363999962806702,151836.930090000008931
204,160,Frenchman Flat, ,No, , , ,10,Central Region,1183844809.220000028610229,199297.203291999991052
205,228,Oasis Valley, ,Yes,D,741, ,14,Death Valley Basin,405385090.763999998569489,99987.874996200000169
206,161,Indian Springs Valley, ,No, , , ,10,Central Region,1124326449.339999914169312,193247.121294000011403
207,227A,Fortymile Canyon,Jackass Flats,No, , , ,14,Death Valley Basin,691307952.588999986648560,121066.513827000002493
208,229,Crater Flat, ,No, , , ,14,Death Valley Basin,470008416.787999987602234,99424.712477099994430
209,230,Amargosa Desert, ,No, , , ,14,Death Valley Basin,201261075.235000014305115,63245.639774399998714
210,230,Amargosa Desert, ,Yes,D,724, ,14,Death Valley Basin,2330644697.880000114440918,281444.231144000019412
211,226,Rock Valley, ,No, , , ,14,Death Valley Basin,155727815.844999998807907,64920.979687699997157
212,211,Three Lakes Valley, ,No, , , ,13,Colorado River Basin,571016616.708999991416931,130691.372541000004276
213,225,Mercury Valley, ,No, , , ,14,Death Valley Basin,164550896.145999997854233,62035.285559800002375
214,224,Greasewood Basin, ,No, , , ,13,Colorado River Basin,291287337.508000016212463,120161.358527999997023
215,161,Indian Springs Valley, ,Yes,D,728, ,10,Central Region,613962898.797999978065491,126990.011501999993925
216,211,Three Lakes Valley, ,Yes,PU,745,1036,13,Colorado River Basin,257646192.231999993324280,86705.315504300000612
217,213,Colorado Valley, ,Yes,ID,790,790,13,Colorado River Basin,1446957616.269999980926514,307727.739569999976084
218,164A,Ivanpah Valley,Northern Part,Yes,ID,792,792,10,Central Region,663020407.894000053405762,149183.509508999995887
219,165,Jean Lake Valley, ,Yes,D,966, ,10,Central Region,234698971.992000013589859,88947.388454500003718
220,166,Hidden Valley, ,Yes,D,967, ,10,Central Region,83982576.160400003194809,43767.463106399998651
221,164B,Ivanpah Valley,Southern Part,Yes,ID,792,792,10,Central Region,199000808.791999995708466,95273.301992199994856
222,214,Piute Valley, ,Yes,D,964, ,13,Colorado River Basin,873457337.661999940872192,156739.263575999997556
223,091,Truckee Canyon Segment, ,Yes,PU,706,1213,6,Truckee River Basin,203344234.826999992132187,85079.737025299997185
224,090,Lake Tahoe Basin, ,Yes,D,956, ,6,Truckee River Basin,353463715.489000022411346,103781.123988999999710
225,102,Churchill Valley, ,Yes,PUID,689,1287,8,Carson River Basin,1283765895.809999942779541,223993.288065000000643
226,089,Washoe Valley, ,Yes,D,707, ,6,Truckee River Basin,216826917.953999996185303,79562.087840699998196
227,105,Carson Valley, ,Yes,PU,684,904,8,Carson River Basin,33515137.861900001764297,27171.450727499999630
228,086,Sun Valley, ,Yes,D,708, ,6,Truckee River Basin,23931606.065299998968840,22311.205981099999917
229,088,Pleasant Valley, ,Yes,D,709, ,6,Truckee River Basin,101216010.006999999284744,57793.040234499996586
230,109,East Walker Area, ,No, , , ,9,Walker River Basin,1534920903.950000047683716,232988.929383000009693
231,221,Tule Desert, ,No, , , ,13,Colorado River Basin,500283678.176999986171722,130980.878643999996711
232,162,Pahrump Valley, ,Yes,PU,1252,1252,10,Central Region,2027994393.720000028610229,230972.130979000008665
233,105,Carson Valley, ,Yes,D,684, ,8,Carson River Basin,1041739142.159999966621399,203552.696282999997493
234,104,Eagle Valley, ,Yes,PUID,874,1119,8,Carson River Basin,163524916.882999986410141,62665.421102400003292
235,104,Eagle Valley, ,Yes,D,874, ,8,Carson River Basin,21283505.453699998557568,32365.624785799998790
236,103,Dayton Valley, ,Yes,D,688, ,8,Carson River Basin,944502730.059999942779541,174406.268169999995735
237,087,Truckee Meadows, ,Yes,D,708, ,6,Truckee River Basin,528108768.921000003814697,144043.794147999986308
238,085,Spanish Springs Valley, ,Yes,D,533, ,6,Truckee River Basin,189355973.897000014781952,86209.127767300000414
239,092A,Lemmon Valley,Western Part,Yes,D,391, ,7,Western Region,147913374.136000007390976,69246.829068299994105
240,092B,Lemmon Valley,Eastern Part,Yes,D,391, ,7,Western Region,105667118.452000007033348,57798.493929299998854
241,100,Cold Spring Valley, ,Yes,D,606, ,7,Western Region,76410900.619000002741814,53550.604073100003006
242,084,Warm Springs Valley, ,Yes,PU,607,1205,6,Truckee River Basin,648396966.547000050544739,166117.744173999992199
243,076,Fernley Area, ,Yes,PUID,699,1081,5,West Central Region,253849879.157000005245209,79655.587251300006756
244,024,Hualapai Flat, ,Yes,PUID,1172,1298,2,Black Rock Desert Region,814986078.611999988555908,139664.328952999989269
245,210,Coyote spring Valley, ,Yes,PU,905,905,13,Colorado River Basin,1594675923.839999914169312,245521.667301000008592
246,167,Eldorado Valley, ,Yes,D,965, ,10,Central Region,1376857168.599999904632568,208836.070881999999983
247,163,Mesquite Valley, ,Yes,PU,701,1310,10,Central Region,609259098.616000056266785,153527.874064000003273
248,108,Mason Valley, ,Yes,PUID,691,1270,9,Walker River Basin,1311032260.029999971389771,221908.771214999986114
249,107,Smith Valley, ,Yes,PUID,1177,1271,9,Walker River Basin,1202013606.599999904632568,215542.420182000001660
250,071,Grass Valley, ,Yes,PU,1247,1247,4,Humboldt River Basin,1352707614.140000104904175,199863.915892999997595
251,203,Panaca Valley, ,Yes,D,734, ,13,Colorado River Basin,891356417.531999945640564,183170.522341000003507
252,204,Clover Valley, ,No, , , ,13,Colorado River Basin,943496715.529000043869019,165618.346393999992870
253,216,Garnet Valley, ,Yes,PUID,1025,1025,13,Colorado River Basin,411329029.100000023841858,138076.951896000013221
254,217,Hidden Valley, ,Yes,PUID,1024,1024,13,Colorado River Basin,212128813.976000010967255,74743.609516600001371
255,219,Muddy River Springs Area, ,Yes,PUID,1023,1023,13,Colorado River Basin,375592162.336000025272369,128976.792902000001050
256,212,Las Vegas Valley, ,Yes,PUID,833,1054,13,Colorado River Basin,3998415642.420000076293945,369028.089313999982551
