surveyNo,yr,pwsCode2,pwsName
370191,2020,TX1012362,HARRIS COUNTY MUD 191
1105007,2020,TX1013599,VILLAS OF WILLOWBROOK
200475,2020,TX1011522,CY CHAMP PUD
369957,2020,TX1010233,CHAMPIONS MUD
201240,2020,TX1010919,CYPRESS FOREST PUD
371116,2020,TX1010507,HARRIS COUNTY WCID 116
377275,2020,TX1010548,HEATHERLOCH MUD
1105147,2020,TX1013688,HARRIS COUNTY MUD 551
370064,2020,TX1011513,HARRIS COUNTY MUD 64
370065,2020,TX1011678,HARRIS COUNTY MUD 65
370432,2020,TX1013378,HARRIS COUNTY MUD 432
929303,2020,TX1013356,WEST HARRIS COUNTY MUD 5
514898,2020,TX1011870,LOUETTA NORTH PUD
611034,2020,TX1012071,NORTHWEST HARRIS COUNTY MUD 24
611029,2020,TX1011746,NORTHWEST HARRIS COUNTY MUD 23
611027,2020,TX1011744,NORTHWEST HARRIS COUNTY MUD 21
611028,2020,TX1011745,NORTHWEST HARRIS COUNTY MUD 22
300950,2020,TX1010435,FOUNTAINHEAD MUD
51012,2020,TX1010365,BAMMEL UTILITY DISTRICT
370044,2020,TX1010718,HARRIS COUNTY MUD 44
370016,2020,TX1011705,HARRIS COUNTY MUD 16
847506,2020,TX1011226,TERRANOVA WEST MUD
514900,2020,TX1010536,LOUETTA ROAD UTILITY DISTRICT
467715,2020,TX1011143,KLEIN PUD
203100,2020,TX1010432,CYPRESSWOOD UTILITY DISTRICT
371132,2020,TX1010413,HARRIS COUNTY WCID 132
371119,2020,TX1010509,HARRIS COUNTY WCID 119
371114,2020,TX1010317,HARRIS COUNTY WCID 114
370383,2020,TX1013213,HARRIS COUNTY MUD 383
370367,2020,TX1013040,HARRIS COUNTY MUD 367
611017,2020,TX1010884,NORTHWEST HARRIS COUNTY MUD 5
1103158,2020,TX1013468,SHAW ACRES
370468,2020,TX1013369,HARRIS COUNTY MUD 468
370286,2020,TX1012532,HARRIS COUNTY MUD 286
533430,2020,TX1010495,MALCOMSON ROAD UTILITY DISTRICT
611032,2020,TX1011998,NORTHWEST HARRIS COUNTY MUD 20
370233,2020,TX1012498,HARRIS COUNTY MUD 233
370211,2020,TX1012145,HARRIS COUNTY MUD 211
611016,2020,TX1011008,NORTHWEST HARRIS COUNTY MUD 6
370202,2020,TX1012356,HARRIS COUNTY MUD 202
371110,2020,TX1010482,HARRIS COUNTY WCID 110
370104,2020,TX1011534,HARRIS COUNTY MUD 104
370086,2020,TX1012953,HARRIS COUNTY MUD 86
371091,2020,TX1010063,HARRIS COUNTY WCID 91
370058,2020,TX1011704,HARRIS COUNTY MUD 58
689500,2020,TX1010384,PONDEROSA FOREST UTILITY DISTRICT
51000,2020,TX1010096,BAMMEL FOREST UTILITY
371109,2020,TX1010359,HARRIS COUNTY WCID 109
370048,2020,TX1010896,HARRIS COUNTY MUD 48
370024,2020,TX1010572,HARRIS COUNTY MUD 24
370018,2020,TX1010512,HARRIS COUNTY MUD 18 HEATHERWOOD HUNTERS
338798,2020,TX1011991,GRANT ROAD PUD
480900,2020,TX1010494,LAKE FOREST UTILITY DISTRICT
370118,2020,TX1010897,HARRIS COUNTY MUD 118
370119,2020,TX1010626,HARRIS COUNTY MUD 119
611036,2020,TX1012848,NORTHWEST HARRIS COUNTY MUD 36
611015,2020,TX1013258,NORTHWEST HARRIS COUNTY MUD 28
236500,2020,TX1010387,MEADOWHILL REGIONAL MUD
790875,2020,TX1010388,SHASLA PUD
467725,2020,TX1010440,KLEINWOOD MUD
201900,2020,TX1010431,CYPRESS KLEIN UTILITY DISTRICT WIMBLETON
370316,2020,TX1012804,HARRIS COUNTY MUD 316
282850,2020,TX1011602,FAULKEY GULLY MUD
927500,2020,TX1010277,WESTADOR MUD
163450,2020,TX1010429,CNP UTILITY DISTRICT
147630,2020,TX1010632,CHARTERWOOD MUD
132275,2020,TX1010532,CANDLELIGHT HILLS SUBDIVISION
611039,2020,TX1012951,NORTHWEST HARRIS COUNTY MUD 30
98065,2020,TX1011550,BRIDGESTONE MUD
75655,2020,TX1011872,BILMA PUD
370096,2020,TX1013343,HARRIS COUNTY MUD 96
370148,2020,TX1010938,HARRIS COUNTY MUD 148 KINGSLAKE
370158,2020,TX1012297,HARRIS COUNTY MUD 158
370023,2020,TX1010649,HARRIS COUNTY MUD 23
370220,2020,TX1013321,HARRIS COUNTY MUD 220
370006,2020,TX1010496,HARRIS COUNTY MUD 6 CARRIAGE LANE
740825,2020,TX1010357,ROLLING FORK PUD
370261,2020,TX1012866,HARRIS COUNTY MUD 261
944490,2020,TX1010924,WINDFERN FOREST UTILITY DISTRICT
370278,2020,TX1012835,HARRIS COUNTY MUD 278
370344,2020,TX1012974,HARRIS COUNTY MUD 344
370342,2020,TX1012973,HARRIS COUNTY MUD 342
370369,2020,TX1013123,HARRIS COUNTY MUD 361
370370,2020,TX1013141,HARRIS COUNTY MUD 372
370402,2020,TX1013387,GENERATION PARK MANAGEMENT DISTRICT
370412,2020,TX1013354,HARRIS COUNTY MUD 412
1104084,2020,TX1013522,HARRIS COUNTY MUD 504
370420,2020,TX1013399,HARRIS COUNTY MUD 420
370999,2020,TX1010249,HARRIS COUNTY WCID FONDREN ROAD
809929,2020,TX1011911,SOUTHWEST HARRIS COUNTY MUD 1
371096,2020,TX1013175,HARRIS COUNTY WCID 96
390700,2020,TX1012987,CITY OF HILSHIRE VILLAGE
402000,2020,TX1010014,CITY OF HUMBLE
718057,2020,TX1011528,RAMBLEWOOD UTILITY & WSC
432000,2020,TX1010015,CITY OF JACINTO CITY
437500,2020,TX1010016,CITY OF JERSEY VILLAGE
555700,2020,TX1010148,MEMORIAL VILLAGES WATER AUTHORITY
576098,2020,TX1700746,MONTGOMERY COUNTY MUD 98
370013,2020,TX1010418,CLEAR BROOK CITY MUD
652600,2020,TX0200008,CITY OF PEARLAND
807400,2020,TX1010294,CITY OF SOUTH HOUSTON
809000,2020,TX1010023,CITY OF SOUTHSIDE PLACE
922000,2020,TX1010226,CITY OF WEBSTER
937600,2020,TX1010027,CITY OF WEST UNIVERSITY PLACE
651900,2020,TX1010293,CITY OF PASADENA
485600,2020,TX1010018,CITY OF LA PORTE
159000,2020,TX1010056,CLEAR LAKE CITY WATER AUTHORITY
1104073,2020,TX1013612,HARRIS COUNTY WCID 161
370156,2020,TX1013147,HARRIS COUNTY WCID 156
593050,2020,TX1010152,CITY OF NASSAU BAY
809104,2020,TX1011184,SOUTH TAYLOR LAKE VILLAGE WSC
778800,2020,TX1010062,CITY OF SEABROOK
315800,2020,TX1010009,CITY OF GALENA PARK
578600,2020,TX1010087,CITY OF MORGANS POINT
370008,2020,TX1010712,HARRIS COUNTY MUD 8
1102701,2020,TX0790511,NORTH FORT BEND WATER AUTHORITY
1104563,2020,TX0790548,FORT BEND COUNTY MUD 206 VICTORIAN GARDE
295294,2020,TX0790382,FORT BEND COUNTY MUD 119
295241,2020,TX0790229,FORT BEND COUNTY MUD 41
821000,2020,TX0790004,FORT BEND COUNTY WCID 2
286225,2020,TX0790309,5TH STREET WATER SYSTEM
370122,2020,TX1012391,HARRIS COUNTY MUD 122
285641,2020,TX0790477,FORT BEND COUNTY MUD 134A
1104562,2020,TX0790532,FORT BEND COUNTY MUD 134B
1103455,2020,TX0790533,FORT BEND COUNTY MUD 134C
370421,2020,TX1013376,HARRIS COUNTY MUD 421
827301,2020,TX1010098,BEAUMONT PLACE
1103489,2020,TX1013449,NORTHEAST HARRIS COUNTY MUD 1 EDGEWOOD V
683262,2020,TX1010901,PINE VILLAGE PUD
829457,2020,TX1010117,SUNBELT FWSD NORTHLINE TERRACE
829462,2020,TX1010022,SUNBELT FWSD OAKWILDE SUBDIVISION
829465,2020,TX1010758,SUNBELT FWSD WOODLAND OAKS SUBDIVISION
1100619,2020,TX1013092,NORTH CHANNEL WATER AUTHORITY
371021,2020,TX1010769,HARRIS COUNTY WCID 21
369930,2020,TX1010260,HARRIS COUNTY FWSD 47
371036,2020,TX1010239,HARRIS COUNTY WCID 36
369956,2020,TX1010238,HARRIS COUNTY FWSD 51
370285,2020,TX1012677,HARRIS COUNTY MUD 285
370053,2020,TX1010720,HARRIS COUNTY MUD 53
371084,2020,TX1010113,HARRIS COUNTY WCID 84
370055,2020,TX1010678,HARRIS COUNTY MUD 55 HERITAGE PARK
371089,2020,TX1012370,HARRIS COUNTY WCID 89
60110,2020,TX1011742,BAYTOWN AREA WATER AUTHORITY
369200,2020,TX1010082,HARRIS COUNTY FWSD 1A
481310,2020,TX1011741,LAKE MUD
60000,2020,TX1010003,CITY OF BAYTOWN
820192,2020,TX1013261,SPRING MEADOWS MUD
146120,2020,TX0360104,CHAMBERS COUNTY MUD 1
188072,2020,TX1011260,COUNTRY TERRACE SUBDIVISION
369300,2020,TX1010590,HARRIS COUNTY FWSD 1B
369900,2020,TX1010261,HARRIS COUNTY FWSD 27
371001,2020,TX1010159,HARRIS COUNTY WCID 1
140850,2020,TX1010112,CEDAR BAYOU PARK
253900,2020,TX2200048,TOWN OF EDGECLIFF VILLAGE
1102874,2020,TX0610235,TOWN OF NORTHLAKE
889641,2020,TX2200332,NAVAL AIR STN JOINT RESERVE BASE
873200,2020,TX1070004,CITY OF TRINIDAD
823819,2020,TX1070150,CITY OF STAR HARBOR
753700,2020,TX2490017,CITY OF RUNAWAY BAY
1103469,2020,TX2490064,HIDEAWAY BAY LAKE SHORES WSC
1102072,2020,TX2490070,GRAND HARBOR WSC
533400,2020,TX1070002,CITY OF MALAKOFF
432810,2020,TX1190002,CITY OF JACKSBORO
928700,2020,TX1070190,WEST CEDAR CREEK MUD
461465,2020,TX1290004,CITY OF KEMP
521625,2020,TX1290005,CITY OF MABANK
187427,2020,TX1290038,COUNTRY CLUB WSC
179010,2020,TX2200044,COMMUNITY WSC
921600,2020,TX1840005,CITY OF WEATHERFORD
399432,2020,TX1840006,CITY OF HUDSON OAKS
135252,2020,TX1070106,CAROLYNN ESTATES
98060,2020,TX2490003,CITY OF BRIDGEPORT
69600,2020,TX2200029,BENBROOK WATER AUTHORITY
44500,2020,TX2200002,CITY OF AZLE
481380,2020,TX2200028,TOWN OF LAKESIDE
820180,2020,TX1840003,CITY OF SPRINGTOWN
722751,2020,TX1840049,CITY OF RENO
916900,2020,TX1840008,WALNUT CREEK SUD
92000,2020,TX2490002,CITY OF BOYD
1103442,2020,TX2490060,CHISHOLM SPRINGS
651000,2020,TX2490010,CITY OF PARADISE
723400,2020,TX2490007,CITY OF RHOME
41860,2020,TX2490051,AURORA VISTA
937660,2020,TX2490016,WEST WISE SUD
148200,2020,TX2490004,CITY OF CHICO
186300,2020,TX1750002,CITY OF CORSICANA
29000,2020,TX1750010,ANGUS WSC
60175,2020,TX1750028,B & B WSC
55200,2020,TX1750006,CITY OF BARRY
60336,2020,TX1750035,BEATON LAKE ESTATES WATER SYSTEM
80800,2020,TX1750001,CITY OF BLOOMING GROVE
147675,2020,TX1750012,CHATFIELD WSC
332000,2020,TX1750032,CITY OF GOODLOW
177950,2020,TX1750038,NORTHCREST WATER SYSTEM
177958,2020,TX1750031,RETREAT WATER SYSTEM
184400,2020,TX1750013,CORBET WSC
692700,2020,TX1090030,POST OAK SUD
172125,2020,TX1470001,CITY OF COOLIDGE
399000,2020,TX1090002,CITY OF HUBBARD
215800,2020,TX1750003,CITY OF DAWSON
266600,2020,TX1750014,EMHOUSE WATER SYSTEM
309600,2020,TX1750004,CITY OF FROST
463200,2020,TX1750005,CITY OF KERENS
557300,2020,TX1750015,M E N WSC
596500,2020,TX1750024,NAVARRO MILLS WSC
703290,2020,TX1750018,PURDON WATER
725500,2020,TX1750020,CITY OF RICHLAND
1102104,2020,TX1750037,NORTH TOWN ACRES
723950,2020,TX1750019,RICE WSC
268600,2020,TX0700001,CITY OF ENNIS
