ReasonRemoved,SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUIDs,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID,WaDEUUID,IncompleteField,index
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,Centroid of Section,Digitized,"Mariposa,Tuolumne",4326,,,,,37.8541,-120.205,,,POD,,wadeId101188,,Well,CA,,"cnra1029082,cnra1026739,cnra1026994,cnra352616,cnra1027857","Mariposa,Tuolumne",1323.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,,Digitized,"Contra Costa,Amador",4326,,,,,,,,,POD,B7,wadeId10120,,Well,CA,,"cnra46586,cnra106966","Contra Costa,Amador",1337.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,Centroid of Section,Digitized,"Mariposa,Merced",4326,,,,,37.5863,-120.008,,,POD,,wadeId101224,,Well,CA,,"cnra378726,cnra352719","Mariposa,Merced",1364.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,Centroid of Section,Digitized,"Mariposa,Merced,Stanislaus",4326,,,,,37.441,-120.84,,,POD,,wadeId101268,,Well,CA,,"cnra393714,cnra377732,cnra382109,cnra384958,cnra388988,cnra394155,cnra384077,cnra393264,cnra376975,cnra377458,cnra390729,cnra390695,cnra393288,cnra388997,cnra393248,cnra387282,cnra394386,cnra394454,cnra380893,cnra391303,cnra956868,cnra381009,cnra384093,cnra385475,cnra388980,cnra388986,cnra379057,cnra391571,cnra387877,cnra394169,cnra377996,cnra377983,cnra386049,cnra377318,cnra392705,cnra394985,cnra385791,cnra352835,cnra390458,cnra395006,cnra380446,cnra379829,cnra389946,cnra390706,cnra377973,cnra377401,cnra378389","Mariposa,Merced,Stanislaus",1412.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,Unknown,Digitized,"Mariposa,Mendocino",4326,,,,,,,,,POD,9961,wadeId101276,,Well,CA,,"cnra364247,cnra352860","Mariposa,Mendocino",1421.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,Centroid of Section,Digitized,"Mariposa,Stanislaus",4326,,,,,37.4712,-120.913,,,POD,,wadeId101291,,Well,CA,,"cnra959662,cnra958713,cnra956939,cnra352896,cnra357392","Mariposa,Stanislaus",1438.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,,Digitized,"Amador,Tuolumne",4326,,,,,,,,,POD,B13,wadeId10191,,Well,CA,,"cnra1031253,cnra46721","Amador,Tuolumne",2125.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,Centroid of Section,Digitized,"El Dorado,Amador",4326,,,,,38.5184,-120.843,,,POD,,wadeId10219,,Well,CA,,"cnra131657,cnra46773","El Dorado,Amador",2436.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,Centroid of Section,Digitized,"Amador,Calaveras",4326,,,,,38.3739,-120.569,,,POD,,wadeId10233,,Well,CA,,"cnra72920,cnra79710,cnra72133,cnra79534,cnra77054,cnra74661,cnra74766,cnra78922,cnra78314,cnra76909,cnra73330,cnra46812,cnra71699","Amador,Calaveras",2592.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,Centroid of Section,Digitized,"Sonoma,Mendocino",4326,,,,,39.0289,-123.391,,,POD,,wadeId102683,,Well,CA,,"cnra935549,cnra367699,cnra363526,cnra373228,cnra371598,cnra376553,cnra359048,cnra371217,cnra363771,cnra365111,cnra373209,cnra376336,cnra358998,cnra357727,cnra369469,cnra363138,cnra366743,cnra364013,cnra369905,cnra375907,cnra365839,cnra922876,cnra360060,cnra360924,cnra365626,cnra371542,cnra357890,cnra370090,cnra358996,cnra367404,cnra362867,cnra363257","Sonoma,Mendocino",2984.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,Unknown,Digitized,"Monterey,Amador,Tuolumne",4326,,,,,,,,,POD,B11,wadeId10270,,Well,CA,,"cnra402900,cnra46869,cnra1030645","Monterey,Amador,Tuolumne",3003.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,Centroid of Section,Digitized,"Sonoma,Mendocino",4326,,,,,39.4225,-123.78,,,POD,,wadeId102748,,Well,CA,,"cnra358914,cnra367884,cnra361553,cnra361565,cnra365675,cnra372406,cnra358707,cnra373838,cnra370619,cnra364092,cnra372688,cnra362608,cnra369084,cnra374227,cnra358156,cnra369716,cnra375854,cnra366573,cnra358748,cnra366257,cnra370733,cnra357820,cnra371570,cnra372927,cnra370351,cnra365669,cnra368441,cnra376298,cnra368674,cnra369284,cnra362901,cnra376074,cnra364108,cnra365582,cnra364152,cnra361809,cnra374534,cnra375396,cnra363537,cnra373341,cnra363463,cnra360720,cnra376628,cnra367384,cnra366752,cnra367078,cnra373105,cnra362909,cnra361647,cnra362022,cnra917936,cnra359245,cnra366982,cnra366913,cnra362841,cnra360014,cnra363835,cnra359152,cnra361037,cnra371343,cnra368175,cnra363759,cnra375147,cnra367468,cnra376795,cnra360658,cnra372764,cnra358891,cnra359825,cnra372249,cnra359423,cnra364774,cnra360111,cnra373805,cnra370075,cnra376165,cnra361715,cnra373941,cnra362828,cnra359484","Sonoma,Mendocino",3056.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,Centroid of Section,Digitized,"Sonoma,Mendocino",4326,,,,,38.841,-123.616,,,POD,,wadeId102757,,Well,CA,,"cnra363543,cnra376032,cnra366279,cnra366436,cnra369135,cnra361656,cnra937062,cnra366233,cnra360907,cnra361627,cnra368810,cnra366220,cnra363755,cnra365927,cnra364719,cnra359747,cnra368461,cnra372928,cnra372736,cnra365015,cnra366124,cnra366956,cnra366168,cnra370950,cnra376292,cnra357832,cnra373674,cnra364913","Sonoma,Mendocino",3066.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,Centroid of Section,Digitized,"Sonoma,Mendocino",4326,,,,,39.4376,-123.779,,,POD,,wadeId102765,,Well,CA,,"cnra368829,cnra371962,cnra367505,cnra369729,cnra358696,cnra366936,cnra365620,cnra366278,cnra365089,cnra370831,cnra360594,cnra374468,cnra363703,cnra362356,cnra362926,cnra362642,cnra359024,cnra361514,cnra358686,cnra372523,cnra357843,cnra358383,cnra362308,cnra359489,cnra375499,cnra370671,cnra376222,cnra374286,cnra365661,cnra369632,cnra926804,cnra372076,cnra360932,cnra368721,cnra362988,cnra371757,cnra360062,cnra369044,cnra373950,cnra361930,cnra366333","Sonoma,Mendocino",3075.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,Centroid of Section,Digitized,"Sonoma,Mendocino",4326,,,,,38.948,-123.714,,,POD,,wadeId102786,,Well,CA,,"cnra934664,cnra357879,cnra942593,cnra364349","Sonoma,Mendocino",3098.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,Centroid of Section,Digitized,"Santa Clara,Alameda",4326,,,,,37.5129,-121.923,,,POD,,wadeId103,,Well,CA,,"cnra14480,cnra20285,cnra36637,cnra33978,cnra831829,cnra799196,cnra825573,cnra214,cnra1471,cnra32774,cnra25178,cnra37312,cnra12415,cnra770391","Santa Clara,Alameda",3335.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,Centroid of Section,Digitized,"Sonoma,Mendocino",4326,,,,,38.9044,-123.64,,,POD,,wadeId103055,,Well,CA,,"cnra365385,cnra364947,cnra366592,cnra368701,cnra364622,cnra370906,cnra375279,cnra374366,cnra369306,cnra362601,cnra369970,cnra921114,cnra373037,cnra369640,cnra358391","Sonoma,Mendocino",3398.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,,Digitized,"Amador,Tuolumne",4326,,,,,,,,,POD,LOT 9,wadeId10328,,Well,CA,,"cnra47008,cnra1031373","Amador,Tuolumne",3647.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,Centroid of Section,Digitized,"Amador,Calaveras",4326,,,,,38.5324,-120.771,,,POD,1,wadeId10376,,Well,CA,,"cnra47141,cnra73985","Amador,Calaveras",4180.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,Centroid of Section,Digitized,"Sonoma,Mendocino",4326,,,,,38.875,-123.586,,,POD,,wadeId103790,,Well,CA,,"cnra937865,cnra360267","Sonoma,Mendocino",4214.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,Centroid of Section,Digitized,"Sonoma,Mendocino",4326,,,,,39.0722,-123.428,,,POD,,wadeId104026,,Well,CA,,"cnra371262,cnra362604,cnra364861,cnra374247,cnra932464,cnra360997,cnra361323,cnra368176,cnra923566,cnra363472,cnra371139,cnra362153,cnra365558,cnra367671,cnra362918","Sonoma,Mendocino",4477.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,,Digitized,"Sonoma,Mendocino",4326,,,,,,,,,POD,9737,wadeId104180,,Well,CA,,"cnra938668,cnra361452","Sonoma,Mendocino",4648.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,,Digitized,"Sacramento,Mendocino",4326,,,,,,,,,POD,EX5,wadeId104447,,Well,CA,,"cnra362421,cnra559950","Sacramento,Mendocino",4944.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,Unknown,Digitized,"Tulare,Mendocino",4326,,,,,,,,,POD,192,wadeId104535,,Well,CA,,"cnra1013698,cnra362742","Tulare,Mendocino",5042.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,Unknown,Digitized,"Monterey,Merced,Mendocino,San Luis Obispo",4326,,,,,,,,,POD,# 1,wadeId104557,,Well,CA,,"cnra372333,cnra726359,cnra383418,cnra365535,cnra362820,cnra369339,cnra402572","Monterey,Merced,Mendocino,San Luis Obispo",5066.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,Centroid of Section,Digitized,"El Dorado,Amador",4326,,,,,38.5177,-120.771,,,POD,,wadeId10458,,Well,CA,,"cnra119072,cnra47848,cnra47378,cnra47359","El Dorado,Amador",5091.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,,Digitized,"San Mateo,Los Angeles,Alameda",4326,,,,,,,,,POD,MW1B,wadeId1047,,Well,CA,,"cnra24665,cnra740413,cnra3867,cnra20149,cnra319237,cnra11596","San Mateo,Los Angeles,Alameda",5224.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,Unknown,Digitized,"Nevada,Fresno,Stanislaus,Los Angeles,Yolo,San Joaquin,Sacramento,Amador",4326,,,,,,,,,POD,8,wadeId10481,,Well,CA,,"cnra146006,cnra253232,cnra1051766,cnra683018,cnra430309,cnra954051,cnra47404,cnra556900","Nevada,Fresno,Stanislaus,Los Angeles,Yolo,San Joaquin,Sacramento,Amador",5347.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,,Digitized,"Santa Clara,Mendocino",4326,,,,,,,,,POD,9117,wadeId104834,,Well,CA,,"cnra789928,cnra782570,cnra363929","Santa Clara,Mendocino",5374.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,,Digitized,"Sacramento,Mendocino",4326,,,,,,,,,POD,3466,wadeId105401,,Well,CA,,"cnra559182,cnra366012","Sacramento,Mendocino",6005.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,,Digitized,"Santa Clara,Mendocino",4326,,,,,,,,,POD,IW5,wadeId105533,,Well,CA,,"cnra366624,cnra834127","Santa Clara,Mendocino",6151.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,,Digitized,"Yolo,Mendocino",4326,,,,,,,,,POD,9137,wadeId105574,,Well,CA,,"cnra1048613,cnra370777,cnra366734","Yolo,Mendocino",6196.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,Unknown,Digitized,"Nevada,Kern,Fresno,Stanislaus,Alameda",4326,,,,,,,,,POD,12,wadeId1057,,Well,CA,,"cnra428558,cnra3891,cnra961464,cnra157631,cnra207769","Nevada,Kern,Fresno,Stanislaus,Alameda",6335.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,,Digitized,"Orange,Amador",4326,,,,,,,,,POD,MW14A,wadeId10643,,Well,CA,,"cnra47778,cnra477262","Orange,Amador",7147.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,Unknown,Digitized,"San Mateo,Sacramento,Mendocino",4326,,,,,,,,,POD,SEE ATTACHED,wadeId106678,,Well,CA,,"cnra733080,cnra371168,cnra580655","San Mateo,Sacramento,Mendocino",7422.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,Centroid of Section,Digitized,"Placer,Mendocino",4326,,,,,39.2224,-120.747,,,POD,,wadeId106685,,Well,CA,,"cnra483133,cnra486094,cnra496222,cnra371252","Placer,Mendocino",7430.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,,Digitized,"Santa Clara,Mendocino",4326,,,,,,,,,POD,IW12,wadeId107178,,Well,CA,,"cnra810042,cnra373435","Santa Clara,Mendocino",7978.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,Centroid of Section,Digitized,"Nevada,Mendocino",4326,,,,,39.1661,-121.256,,,POD,,wadeId107444,,Well,CA,,"cnra431501,cnra374627,cnra451738,cnra444165,cnra430974","Nevada,Mendocino",8274.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,,Digitized,"Amador,San Francisco",4326,,,,,,,,,POD,B15,wadeId10785,,Well,CA,,"cnra666987,cnra48053","Amador,San Francisco",8724.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,Centroid of Section,Digitized,"Stanislaus,Merced",4326,,,,,37.4111,-120.604,,,POD,,wadeId107975,,Well,CA,,"cnra376986,cnra393886,cnra383227,cnra386793,cnra389604,cnra388708,cnra390454,cnra946431,cnra382116,cnra386335,cnra380414,cnra377966,cnra379034,cnra386327,cnra392682,cnra390476,cnra384368,cnra380960,cnra382622,cnra394157,cnra393261,cnra377757,cnra380650,cnra391613,cnra391295","Stanislaus,Merced",8863.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,Centroid of Section,Digitized,"Stanislaus,Merced",4326,,,,,37.4701,-120.712,,,POD,,wadeId108017,,Well,CA,,"cnra955671,cnra390973,cnra390324,cnra948901,cnra385695,cnra951927,cnra946808,cnra377039,cnra377308,cnra947905,cnra394340,cnra377521,cnra958079,cnra953758,cnra962330,cnra955334,cnra389445,cnra963125,cnra947310,cnra393189,cnra961763,cnra388423,cnra379559,cnra958437,cnra383660,cnra392084,cnra949143,cnra386162,cnra385212,cnra946448,cnra957332,cnra391436,cnra383756","Stanislaus,Merced",8911.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,Centroid of Section,Digitized,"Stanislaus,Merced",4326,,,,,37.456,-120.804,,,POD,,wadeId108080,,Well,CA,,"cnra388031,cnra393171,cnra378947,cnra956341,cnra384473,cnra379255,cnra378086,cnra377857,cnra377901,cnra387155,cnra392778,cnra391165,cnra377275,cnra391128,cnra388695,cnra377122","Stanislaus,Merced",8981.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,Centroid of Section,Digitized,"Stanislaus,Merced",4326,,,,,37.3823,-120.714,,,POD,,wadeId108124,,Well,CA,,"cnra394576,cnra380447,cnra386070,cnra390983,cnra379885,cnra377181,cnra382098,cnra378561,cnra392719,cnra381767,cnra952623,cnra383806,cnra393493,cnra394755,cnra388399,cnra390693,cnra380156,cnra387264,cnra383242,cnra387132,cnra390010,cnra392969,cnra394175,cnra380448,cnra385462,cnra383769,cnra380116,cnra386365","Stanislaus,Merced",9030.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,Centroid of Section,Digitized,"Stanislaus,Merced",4326,,,,,37.4703,-120.731,,,POD,,wadeId108198,,Well,CA,,"cnra389506,cnra946415,cnra378479,cnra387157,cnra381175,cnra394934,cnra381394,cnra963217,cnra962702,cnra391461,cnra948659,cnra393802,cnra390356,cnra383038,cnra388403,cnra954333,cnra389710,cnra385329,cnra391437,cnra394387,cnra379491,cnra950870,cnra956311,cnra385330,cnra382588,cnra385682,cnra947514,cnra377306,cnra956029,cnra393549,cnra377672,cnra945869,cnra388366,cnra387824,cnra392849","Stanislaus,Merced",9111.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,Centroid of Section,Digitized,"Stanislaus,Merced",4326,,,,,37.4694,-120.622,,,POD,1,wadeId108241,,Well,CA,,"cnra962668,cnra377371,cnra952272","Stanislaus,Merced",9160.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,Centroid of Section,Digitized,"Stanislaus,Merced",4326,,,,,37.5284,-120.621,,,POD,,wadeId108277,,Well,CA,,"cnra952732,cnra377422,cnra379545,cnra951715,cnra957536","Stanislaus,Merced",9199.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,Centroid of Section,Digitized,"Santa Clara,Merced",4326,,,,,37.3684,-120.441,,,POD,,wadeId108282,,Well,CA,,"cnra382051,cnra379265,cnra377428,cnra381452,cnra388849,cnra393106,cnra392048,cnra393399,cnra804604,cnra389823,cnra385671,cnra392612,cnra387472,cnra383495,cnra382576","Santa Clara,Merced",9205.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,Centroid of Section,Digitized,"Stanislaus,Merced",4326,,,,,37.0925,-120.844,,,POD,,wadeId108350,,Well,CA,,"cnra394389,cnra393675,cnra391624,cnra383742,cnra386381,cnra390313,cnra387359,cnra393130,cnra386151,cnra385186,cnra380043,cnra378536,cnra377541,cnra944810,cnra386887","Stanislaus,Merced",9281.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,Centroid of Section,Digitized,"Merced,Tuolumne",4326,,,,,37.2656,-120.461,,,POD,,wadeId108450,,Well,CA,,"cnra381468,cnra379499,cnra377696,cnra390600,cnra393444,cnra392225,cnra1026058,cnra382516","Merced,Tuolumne",9392.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,Centroid of Section,Digitized,"Stanislaus,Merced",4326,,,,,37.368,-120.86,,,POD,,wadeId108469,,Well,CA,,"cnra382065,cnra389311,cnra384700,cnra391849,cnra382908,cnra393232,cnra381921,cnra384385,cnra390937,cnra394348,cnra954301,cnra388713,cnra387854,cnra377733,cnra379483,cnra394285,cnra384701,cnra382885,cnra380711,cnra392423,cnra385808,cnra380685,cnra957316,cnra386897","Stanislaus,Merced",9412.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,Centroid of Section,Digitized,"Stanislaus,Merced",4326,,,,,37.3969,-120.841,,,POD,,wadeId108471,,Well,CA,,"cnra377736,cnra388181,cnra389887,cnra390680,cnra389456,cnra380120,cnra963388,cnra385033,cnra388994,cnra379382,cnra382101,cnra379361,cnra383149,cnra386016,cnra388603,cnra387396,cnra389603,cnra389762,cnra391591,cnra386338,cnra383691,cnra387876,cnra390947,cnra394321,cnra379875,cnra394442,cnra393704","Stanislaus,Merced",9415.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,Centroid of Section,Digitized,"Stanislaus,Merced",4326,,,,,37.4547,-120.603,,,POD,,wadeId108513,,Well,CA,,"cnra961974,cnra385208,cnra957235,cnra956676,cnra391987,cnra958814,cnra947536,cnra951213,cnra377817,cnra394849,cnra380305,cnra959257,cnra949736,cnra962382","Stanislaus,Merced",9462.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,Centroid of Section,Digitized,"Stanislaus,Merced",4326,,,,,37.4551,-120.64,,,POD,,wadeId108699,,Well,CA,,"cnra954063,cnra387669,cnra379741,cnra378131,cnra385976,cnra381068,cnra956294,cnra388035","Stanislaus,Merced",9667.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,Centroid of Section,Digitized,"Stanislaus,Merced",4326,,,,,37.4843,-120.658,,,POD,,wadeId108705,,Well,CA,,"cnra380367,cnra386504,cnra956163,cnra946673,cnra378449,cnra388625,cnra957794,cnra380318,cnra948043,cnra948747,cnra391649,cnra948492,cnra378139,cnra949049","Stanislaus,Merced",9675.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,Unknown,Digitized,"Monterey,Merced,Placer",4326,,,,,,,,,POD,22,wadeId108719,,Well,CA,,"cnra485616,cnra378162,cnra401447","Monterey,Merced,Placer",9690.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,Centroid of Section,Digitized,"Stanislaus,Merced",4326,,,,,37.4849,-120.731,,,POD,,wadeId108720,,Well,CA,,"cnra381783,cnra383018,cnra947055,cnra955513,cnra392202,cnra949365,cnra381397,cnra382706,cnra959900,cnra945407,cnra961758,cnra948449,cnra378163,cnra956590,cnra382034","Stanislaus,Merced",9692.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,Centroid of Section,Digitized,"Stanislaus,Merced",4326,,,,,37.47,-120.694,,,POD,,wadeId108733,,Well,CA,,"cnra388072,cnra380652,cnra378926,cnra378186,cnra391547,cnra392619,cnra386811,cnra385668,cnra947768,cnra962236,cnra947338,cnra945525,cnra384662,cnra380876,cnra381294,cnra958154,cnra390835","Stanislaus,Merced",9706.0
