Year,Basin,BasinID,GWDP_Annual,SWDTotal_Annual,GWCTotal_Annual,SWDemandTotal_Annual,TotalNonConsumptiveUse_Annual,NetSurfaceWaterLoss_Annual,,PrecipitationRate_NonPeak,PrecipitationRate_Peak,PrecipitationRate_Annual,PrecipitationVolume_NonPeak,PrecipitationVolume_Peak,PrecipitationVolume_Annual,TotalRecharge,TotalRunoff,TotalET,SuppyTotal_NonPeak,SupplyTotal_Peak,SupplyTotal_Annual,StreamflowAF_NonPeak,StreamflowAF_Peak,StreamflowAF_Annual,StreamflowAFUncapped_NonPeak,StreamflowAFUncapped_Peak,StreamflowAFUncapped_Annual,SWDTotal_NonPeak,SWDTotal_Peak,GWDP_NonPeak,GWDP_Peak,BasinInflows_NonPeak,BasinInflows_Peak,BasinInflows_Annual,LongTermDemandTotal_NonPeak,LongTermDemandTotal_Peak,LongTermDemandTotal_Annual,NearTermDemandTotal_NonPeak,NearTermDemandTotal_Peak,NearTermDemandTotal_Annual,ProjectedLongTermDemandTotal_NonPeak,ProjectedLongTermDemandTotal_Peak,ProjectedLongTermDemandTotal_Annual,SWDemandTotal_NonPeak,SWDemandTotal_Peak,SWDemandTotal_Annual,SWDemand_NonPeak,SWDemand_Peak,SWDemand_Annual,SWDEvaporation_NonPeak,SWDEvaporation_Peak,SWDEvaporation_Annual,GWCIrrigation_NonPeak,GWCIrrigation_Peak,GWCIrrigation_Annual,GWCMunicipal_NonPeak,GWCMunicipal_Peak,GWCMunicipal_Annual,GWCIndustrial_NonPeak,GWCIndustrial_Peak,GWCIndustrial_Annual,GWCTotal_NonPeak,GWCTotal_Peak,GWCTotal_Annual,NetSurfaceWaterLoss_NonPeak,NetSurfaceWaterLoss_Peak,NetSurfaceWaterLoss_Annual,TotalNonConsumptiveUse_NonPeak,TotalNonConsumptiveUse_Peak,TotalNonConsumptiveUse_Annual,InducedGWRecharge_NonPeak,InducedGWRecharge_Peak,InducedGWRecharge_Annual,InstreamFlow_NonPeak,InstreamFlow_Peak,InstreamFlow_Annual,Hydropower_NonPeak,Hydropower_Peak,Hydropower_Annual,BasinOutflows_NonPeak,BasinOutflows_Peak,BasinOutflows_Annual,GWIAcres,SWIAcres,COIAcres,NearTermBalanceNonPeak,NearTermBalance_Peak,NearTermBalance_Annual,LongTermBalance_NonPeak,LongTermBalance_Peak,LongTermBalance_Annual,ProjectedLongTermBalance_NonPeak,ProjectedLongTermBalance_Peak,ProjectedLongTermBalance_Annual
1998,BIG BLUE,1,208007,27738,253425,30665,0,0,,21,14,35,5117388,3368857,8486245,426255,558168,7501821,638350,346072,984422,481013,267664,748677,530256,307779,838035,5934,21804,151403,56604,0,0,0,186574,97516,284090,158130,80542,238672,195903,102392,298295,6727,23938,30665,6727,23938,30665,0,0,0,167698,71870,239568,9495,1426,10921,2655,281,2936,179848,73577,253425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1167355,29517,23580,480220,265529,745750,451776,248556,700332,442447,243680,686127
1999,BIG BLUE,1,215007,23753,190180,26406,0,0,,20,13,33,4868834,3057108,7925942,430487,563710,6931745,612574,381623,994197,453808,301629,755437,540829,342477,883306,1943,21810,156823,58184,0,0,0,137772,78815,216587,158994,82419,241413,144661,82756,227416,2171,24235,26406,2171,24235,26406,0,0,0,123337,52859,176195,9608,1440,11048,2656,281,2937,135601,54580,190180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1177168,29863,23715,453580,299204,752784,474802,302808,777610,467913,298868,766781
2000,BIG BLUE,1,207880,68997,455364,74803,0,0,,9,10,19,2211758,2464465,4676223,253029,331334,4091860,341442,242921,584363,176293,131193,307486,176293,148300,324593,6675,62322,158474,49406,0,0,0,328357,201810,530167,165587,117096,282683,344775,211901,556676,7113,67690,74803,7113,67690,74803,0,0,0,308913,132391,441304,9675,1448,11123,2657,281,2938,321244,134120,455364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1188394,29833,24162,175855,125825,301680,13085,41111,54196,-3333,31020,27687
2001,BIG BLUE,1,191063,36199,343646,38057,0,0,,21,10,31,5076804,2378803,7455607,348555,456422,6650630,522050,282927,804977,380459,197256,577715,479974,278436,758410,928,35271,140663,50400,0,0,0,244020,137684,381704,141605,87516,229120,256221,144568,400789,942,37116,38057,942,37116,38057,0,0,0,230566,98814,329380,9703,1451,11153,2810,304,3114,243078,100568,343646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1206678,30016,24651,380445,195412,575857,278030,145243,423273,265829,138359,404188
2002,BIG BLUE,1,193285,59005,461219,64817,0,0,,17,7,24,4234075,1658500,5892575,252175,330216,5310184,411790,170602,582392,270771,59331,330102,310965,59331,370296,963,58042,140056,53229,0,0,0,326387,199648,526036,141036,117066,258102,342707,209631,552337,980,63837,64817,980,63837,64817,0,0,0,312770,134044,446814,9717,1452,11169,2921,314,3236,325408,135811,461219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228570,30684,25488,270754,53536,324290,85403,-29046,56357,69083,-39029,30055
2003,BIG BLUE,1,197826,59445,488710,66423,0,0,,16,8,23,3825370,1878846,5704216,213436,279488,5211292,306555,186368,492923,158515,77137,235652,159841,90541,250382,428,59017,147612,50214,0,0,0,345264,209869,555133,148044,116204,264249,362527,220362,582889,432,65990,66423,432,65990,66423,0,0,0,331317,141993,473310,9717,1452,11169,3798,434,4232,344832,143878,488710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1250979,30529,26323,158511,70163,228675,-38709,-23501,-62209,-55972,-33994,-89966
2004,BIG BLUE,1,190014,40613,333630,43645,0,0,,20,8,28,4830153,1892378,6722531,264958,346954,6110619,403225,208687,611912,254361,126924,381285,326057,130033,456090,6057,34556,142807,47207,0,0,0,242784,134492,377275,149210,84450,233659,254923,141216,396139,6403,37243,43645,6403,37243,43645,0,0,0,222510,95361,317871,9724,1454,11178,4147,434,4581,236381,97249,333630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1272473,30048,27239,254016,124237,378253,160442,74195,234637,148302,67471,215773
2005,BIG BLUE,1,194530,60901,523585,65906,0,0,,16,10,27,3957420,2521252,6478672,213681,279808,5985183,318835,174653,493488,165791,72266,238057,192086,72266,264352,13533,47368,139511,55019,0,0,0,383819,205672,589491,153977,106459,260436,403010,215956,618966,14466,51440,65906,14466,51440,65906,0,0,0,355467,152343,507811,9738,1456,11193,4147,434,4581,369352,154233,523585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1288735,29745,27830,164858,68194,233052,-64983,-31019,-96003,-84174,-41303,-125477
2006,BIG BLUE,1,203277,40061,354165,45984,0,0,,14,12,26,3308424,2980271,6288695,183574,240384,5864738,256962,166996,423958,101218,79402,180620,101218,85164,186382,718,39343,155026,48251,0,0,0,251496,148653,400149,155761,93500,249261,264071,156085,420157,735,45249,45984,735,45249,45984,0,0,0,236863,101513,338375,9752,1458,11209,4147,434,4581,250761,103404,354165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1297540,28843,28484,101200,73497,174697,5465,18344,23809,-7110,10911,3801
2007,BIG BLUE,1,191851,33488,268968,35739,0,0,,23,13,36,5484812,3214139,8698951,300695,393750,8004506,454313,240131,694444,311531,157574,469105,442706,161277,603983,612,32876,142170,49681,0,0,0,191773,112934,304707,142790,84800,227590,201361,118581,319942,620,35119,35739,620,35119,35739,0,0,0,177098,75899,252997,9790,1465,11255,4265,450,4715,191153,77815,268968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1302819,27294,30159,311523,155330,466853,262540,127197,389737,252951,121550,374501
2008,BIG BLUE,1,211051,27372,221573,29071,0,0,,23,13,36,5557079,3206903,8763982,446793,585062,7732128,612222,419632,1031854,462126,331305,793431,537505,553659,1091164,0,27372,150096,60955,0,0,0,158003,92641,250644,150096,90026,240122,165903,97273,263177,0,29071,29071,0,29071,29071,0,0,0,143856,61652,205508,9815,1467,11283,4332,450,4782,158003,63570,221573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1307178,27178,30486,462126,329606,791732,454219,326991,781210,446319,322358,768677
2009,BIG BLUE,1,217261,42325,362352,44497,0,0,,16,11,27,3791769,2764646,6556415,298115,390372,5867927,468200,220288,688488,302067,126835,428902,350577,131844,482421,4653,37672,161480,55781,0,0,0,261519,145330,406849,166448,95310,261758,274595,152597,427191,4968,39529,44497,4968,39529,44497,0,0,0,242389,103881,346270,9829,1469,11298,4333,451,4783,256551,105801,362352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1315447,27162,30591,301752,124978,426730,206681,74958,281639,193605,67691,261297
2010,BIG BLUE,1,222180,32146,296808,33556,0,0,,18,15,33,4483350,3546776,8030126,392075,513410,7124641,565429,340056,905485,394218,256941,651159,447836,343566,791402,7642,24504,163569,58611,0,0,0,218702,111662,330364,171597,84138,255736,229637,117245,346882,8028,25527,33556,8028,25527,33556,0,0,0,196497,84213,280710,9842,1471,11313,4334,451,4784,210673,86135,296808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1323044,27264,31090,393832,255918,649750,346728,228394,575121,335793,222810,558603
2011,BIG BLUE,1,219660,22655,194163,23104,0,0,,16,13,29,3949730,3124066,7073796,287606,376611,6409577,434005,230212,664217,269167,152735,421902,298946,152735,451681,1446,21209,163392,56268,0,0,0,140278,76988,217267,164846,77918,242764,147292,80838,228130,1454,21650,23104,1454,21650,23104,0,0,0,124634,53414,178048,9857,1474,11330,4334,451,4784,138824,55339,194163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1327608,28173,31483,269158,152294,421453,293726,153224,446950,286713,149374,436087
2012,BIG BLUE,1,214200,41430,606865,77595,0,0,,14,6,20,3382691,1473067,4855758,214334,280664,4360759,358841,136157,494998,197491,41877,239368,207866,41877,249743,211,41219,161139,53061,0,0,0,427938,256522,684460,161360,130435,291795,449335,269348,718683,221,77374,77595,221,77374,77595,0,0,0,413517,177221,590738,9862,1474,11335,4339,453,4792,427717,179148,606865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1327608,28173,31483,197481,5722,203203,-69097,-120365,-189462,-90494,-133191,-223685
1988,ELKHORN,2,171401,29873,410125,32997,125692,0,,14,7,21,5248161,3017871,8266032,650639,376094,7239298,807197,219535,1026732,712212,113246,825458,712216,113246,825462,164,29709,94821,76580,0,0,0,384451,184364,568814,189621,140469,330090,403673,193582,597255,185,32812,32997,185,32812,32997,0,0,0,277082,118749,395831,9177,1372,10549,3392,354,3746,289650,120475,410125,0,0,0,94615,31077,125692,0,0,0,0,0,0,0,0,0,94615,31077,125692,564135,27042,7674,617576,79066,696642,422747,35171,457918,403524,25953,429477
1989,ELKHORN,2,161267,20020,312752,21487,129991,0,,11,8,19,4259234,3156564,7415798,440471,254853,6720474,537149,158174,695324,436940,77097,514037,446573,77097,523670,17,20002,100192,61075,0,0,0,328795,135437,464231,207467,105278,312746,345234,142208,487443,18,21469,21487,18,21469,21487,0,0,0,208792,89482,298274,9178,1371,10549,3550,380,3930,221519,91233,312752,0,0,0,107257,22734,129991,0,0,0,0,0,0,0,0,0,107257,22734,129991,576866,27621,8141,329682,52896,382578,208355,22738,231092,191915,15966,207881
1990,ELKHORN,2,145871,16358,257824,17127,165603,0,,13,12,25,5166927,4862613,10029540,491223,285146,9253172,454023,322344,776367,361455,252683,614138,368979,429905,798884,624,15734,91944,53927,0,0,0,266570,173985,440554,175432,153169,328601,279898,182684,462582,654,16474,17127,654,16474,17127,0,0,0,170353,73008,243361,9067,1346,10413,3662,388,4050,183082,74742,257824,0,0,0,82835,82769,165603,0,0,0,0,0,0,0,0,0,82835,82769,165603,601999,28511,8798,278591,169175,447766,187453,148360,335813,174125,139660,313785
1991,ELKHORN,2,165591,29747,492570,30902,120749,0,,15,7,22,5989898,2863108,8853006,618879,357844,7876284,600731,375992,976723,501470,279915,781385,505113,376909,882022,2730,27017,96531,69060,0,0,0,434722,209499,644222,183848,133394,317242,456459,219974,676433,2830,28072,30902,2830,28072,30902,0,0,0,334619,143408,478028,9100,1366,10466,3686,390,4077,347405,145165,492570,0,0,0,84487,36262,120749,0,0,0,0,0,0,0,0,0,84487,36262,120749,611039,28221,8771,416883,242597,659481,166009,166492,332501,144273,156017,300290
1992,ELKHORN,2,117083,4383,95867,4502,417510,0,,16,14,30,6467209,5476364,11943573,616159,355467,10971947,608585,363040,971624,521656,328502,850158,529875,369765,899640,298,4086,86631,30452,0,0,0,356809,161071,517880,373693,165403,539096,374649,169125,543774,309,4193,4502,309,4193,4502,0,0,0,56795,24341,81136,9226,1385,10611,3725,395,4120,69747,26120,95867,0,0,0,286753,130758,417510,0,0,0,0,0,0,0,0,0,286753,130758,417510,618961,27914,8975,234892,197637,432528,251776,201968,453744,233935,193915,427850
1993,ELKHORN,2,76280,5501,118920,5579,572084,0,,18,17,35,7260302,6763524,14023826,1305833,758573,11959422,1329110,735294,2064404,1268568,714055,1982623,1606505,1162934,2769439,2871,2630,57671,18609,0,0,0,510931,185653,696584,482690,171253,653943,536477,194936,731413,2913,2666,5579,2913,2666,5579,0,0,0,72835,31215,104050,9332,1399,10731,3744,395,4139,85911,33009,118920,0,0,0,422107,149978,572084,0,0,0,0,0,0,0,0,0,422107,149978,572084,625914,27989,9085,846420,564041,1410461,818180,549641,1367821,792633,540358,1332992
1994,ELKHORN,2,91374,11586,193200,11940,436597,0,,10,14,24,4068659,5578717,9647376,1012918,585594,8048865,1127520,470992,1598511,1071869,423682,1495551,1130887,476073,1606960,795,10792,54856,36518,0,0,0,450127,191610,641737,367058,172853,539911,472633,201191,673824,807,11133,11940,807,11133,11940,0,0,0,124746,53463,178209,9404,1408,10812,3774,405,4179,137924,55275,193200,0,0,0,311395,125202,436597,0,0,0,0,0,0,0,0,0,311395,125202,436597,634250,28050,9205,760461,298139,1058600,677393,279381,956774,654887,269801,924688
1995,ELKHORN,2,153958,25038,335750,25858,291324,0,,21,8,29,8434661,3192717,11627378,1072458,618134,9936786,1219144,471447,1690591,1138745,372850,1511595,1491819,555486,2047305,266,24772,80133,73825,0,0,0,502972,149960,652932,345376,125764,471140,528120,157458,685578,277,25580,25858,277,25580,25858,0,0,0,224467,96200,320667,9460,1416,10876,3803,405,4208,237729,98021,335750,0,0,0,264966,26358,291324,0,0,0,0,0,0,0,0,0,264966,26358,291324,635844,27697,9067,873768,345684,1219452,716172,321487,1037660,691024,313989,1005013
1996,ELKHORN,2,132064,12574,239832,13003,417467,0,,16,10,26,6205537,4030599,10236136,1056957,613860,8565319,1115093,555723,1670816,1024511,501667,1526178,1077635,726699,1804334,2044,10530,88538,43526,0,0,0,486517,183785,670302,404463,158071,562534,510843,192974,703817,2132,10871,13003,2132,10871,13003,0,0,0,157277,67404,224681,9446,1409,10855,3869,427,4296,170592,69240,239832,0,0,0,313794,103673,417467,0,0,0,0,0,0,0,0,0,313794,103673,417467,648330,27495,9219,710630,397653,1108283,628576,371939,1000514,604250,362749,966999
1997,ELKHORN,2,138327,20361,372408,20904,249429,0,,14,8,22,5738582,3251384,8989966,967879,563931,7458155,1129692,402118,1531810,1043850,329272,1373122,1100959,360710,1461669,3694,16667,82148,56179,0,0,0,465909,176832,642741,284656,124005,408661,489205,185674,674878,3787,17117,20904,3787,17117,20904,0,0,0,250077,107176,357252,9394,1401,10795,3930,430,4360,263401,109007,372408,0,0,0,198721,50709,249429,0,0,0,0,0,0,0,0,0,198721,50709,249429,655591,26707,9302,845036,278113,1123150,663783,225286,889069,640488,216444,856932
1998,ELKHORN,2,112396,9285,231623,9485,325273,0,,17,15,32,6655153,6053196,12708349,1061795,620246,11026307,1075980,606062,1682042,994754,565607,1560361,1019961,788139,1808100,2065,7220,79161,33235,0,0,0,369184,197197,566381,283476,163678,447154,387643,207057,594700,2109,7376,9485,2109,7376,9485,0,0,0,151437,64902,216338,9411,1409,10820,4021,444,4465,164869,66754,231623,0,0,0,202206,123067,325273,0,0,0,0,0,0,0,0,0,202206,123067,325273,677110,26861,9584,792505,442384,1234888,706796,408865,1115661,688337,399005,1087342
1999,ELKHORN,2,113367,10772,256165,10947,419099,0,,18,13,31,7097115,5118892,12216007,1266966,743516,10205525,1347346,663137,2010483,1277244,609100,1886344,1394890,827224,2222114,580,10192,69522,43845,0,0,0,497925,188285,686210,385378,158035,543413,522821,197699,720521,589,10358,10947,589,10358,10947,0,0,0,168566,72243,240808,9406,1404,10810,4098,449,4547,182069,74095,256165,0,0,0,315267,103832,419099,0,0,0,0,0,0,0,0,0,315267,103832,419099,678522,26794,9668,961968,505102,1467070,849421,474851,1324272,824525,465437,1289962
2000,ELKHORN,2,145406,24460,416136,25033,143495,0,,9,8,17,3643970,3346807,6990777,716211,421514,5853052,759416,378310,1137726,669878,297982,967860,669878,360124,1030002,3753,20707,85785,59621,0,0,0,374731,209933,584664,166458,147476,313934,393467,220430,613897,3874,21159,25033,3874,21159,25033,0,0,0,280503,120215,400718,9438,1413,10852,4117,449,4566,294058,122078,416136,0,0,0,76799,66696,143495,0,0,0,0,0,0,0,0,0,76799,66696,143495,694678,26980,10295,592958,230834,823792,384685,168377,553062,365949,157880,523829
2001,ELKHORN,2,148529,16981,273637,17141,394546,0,,19,10,29,7432745,3965135,11397880,877769,510387,10009723,971287,416869,1388156,875550,347096,1222646,1017417,372559,1389976,1657,15324,94080,54449,0,0,0,462390,222933,685323,362151,198065,560215,485510,234080,719590,1662,15478,17141,1662,15478,17141,0,0,0,180713,77448,258161,9469,1415,10884,4138,454,4592,194320,79317,273637,0,0,0,266408,128137,394546,0,0,0,0,0,0,0,0,0,266408,128137,394546,712228,27618,10782,609136,218805,827941,508897,193936,702833,485777,182790,668567
2002,ELKHORN,2,167107,23817,442618,24529,279404,0,,13,8,21,5303443,3253164,8556607,705686,414766,7436155,857222,263230,1120451,759817,169710,929527,761949,187732,949681,1264,22554,96141,70966,0,0,0,544315,202236,746551,327827,143213,471040,571531,212347,783878,1272,23257,24529,1272,23257,24529,0,0,0,298901,128100,427001,9517,1425,10942,4212,463,4675,312629,129988,442618,0,0,0,230414,48990,279404,0,0,0,0,0,0,0,0,0,230414,48990,279404,726767,27963,11287,529394,120017,649411,312906,60994,373901,285690,50883,336573
2003,ELKHORN,2,195521,22447,381540,23196,257811,0,,14,8,22,5598276,3209285,8807561,602864,352760,7851937,661250,294374,955624,546046,191610,737656,565488,197309,762797,466,21981,114738,80783,0,0,0,461396,201151,662547,306224,170304,476527,484466,211208,695674,467,22729,23196,467,22729,23196,0,0,0,255999,109714,365714,9663,1453,11116,4248,463,4711,269910,111630,381540,0,0,0,191019,66792,257811,0,0,0,0,0,0,0,0,0,191019,66792,257811,742851,27843,11337,355026,124070,479096,199854,93223,293077,176784,83165,259950
2004,ELKHORN,2,188304,19203,355011,19739,364211,0,,17,7,24,6722365,2992187,9714552,689446,407851,8617255,727475,369822,1097297,604116,285674,889790,660540,291670,952210,4377,14826,118982,69322,0,0,0,521544,217418,738961,389166,183088,572255,547621,228289,775909,4429,15311,19739,4429,15311,19739,0,0,0,237377,101733,339111,9733,1455,11188,4249,463,4712,251359,103651,355011,0,0,0,265756,98456,364211,0,0,0,0,0,0,0,0,0,265756,98456,364211,764205,27239,11691,338309,186734,525043,205931,152405,358336,179854,141534,321388
2005,ELKHORN,2,188804,29207,483258,29763,281322,0,,18,10,28,7167275,4091142,11258417,767162,441414,10049841,785622,422954,1208576,662935,327630,990565,682092,368953,1051045,7098,22109,115589,73215,0,0,0,544645,249698,794343,319054,180835,499889,571877,262183,834060,7238,22525,29763,7238,22525,29763,0,0,0,326943,140119,467062,9746,1457,11203,4491,503,4993,341180,142078,483258,0,0,0,196227,85095,281322,0,0,0,0,0,0,0,0,0,196227,85095,281322,795579,26661,12308,466568,242118,708686,240977,173255,414232,213745,160770,374515
