System Name_Sys,System ID_Sys,System Type_Sys,System Status_Sys,History Year_Sys,Date Received_Sys,County_Sys,Use Cooling Percent_Sys,Use Process Percent_Sys,Use Domestic Percent_Sys,Use Miscellaneous Percent_Sys,Irrigation (Lawn and Garden) Percent_Sys,Acres Irrigated_Sys,Irrigation (Agriculture)_Sys,Acres Irrigated.1_Sys,DEQ ID_Sys,Population_Sys,Domestic Use_Sys,Commercial Use_Sys,Industrial Use_Sys,Institutional Use_Sys,Total Use_Sys,Domestic Connections_Sys,Commercial Connections_Sys,Industrial Connections_Sys,Institutional Connections_Sys,Total Connections_Sys,Peak Date_Sys,Peak Demand_Sys,Peak Demand Units_Sys,Peak Use Include_Sys,Peak Measurement Type_Sys,Peak Wholesale Volume_Sys,Peak Wholesale Volume Units_Sys,SystemID_Year_ID,System Name_Sour,System ID_Sour,Source Name_Sour,Source ID_Sour,Source Status_Sour,Lat NAD83_Sour,Lon NAD83_Sour,Source Type_Sour,Diversion Type_Sour,Use Type_Sour,Year_Sour,Units_Sour,Jan_Sour,Feb_Sour,Mar_Sour,Apr_Sour,May_Sour,Jun_Sour,Jul_Sour,Aug_Sour,Sep_Sour,Oct_Sour,Nov_Sour,Dec_Sour,Total_Sour,Unnamed: 25,Unnamed: 26,Unnamed: 27,TimeframeEnd,TimeframeStart
South Robinson Spring Water Users,1011,Public,Active,2008,3/3/2009,Morgan,,,,,,,,,15018,40.0,9672.201,0.0,0.0,0.0,9672.201,12.0,0.0,0.0,0.0,12.0,,,,,,,,10112008,South Robinson Spring Water Users,1011,So. Robinson Spring (WS001),10110001,Active,41.05113675,-111.6711419,Spring,Withdrawal,Water Supplier,2008,kgallons,821.475,741.972,821.475,794.9760000000001,821.475,794.9760000000001,821.475,821.475,794.9760000000001,821.475,794.9760000000001,821.475,9672.201,,,,2008-12-31,2008-01-01
South Robinson Spring Water Users,1011,Public,Active,2007,3/4/2008,Morgan,,,,,,,,,15018,40.0,9672.201,0.0,0.0,0.0,9672.201,12.0,0.0,0.0,0.0,12.0,,,,,,,,10112007,South Robinson Spring Water Users,1011,So. Robinson Spring (WS001),10110001,Active,41.05113675,-111.6711419,Spring,Withdrawal,Water Supplier,2007,kgallons,821.475,741.972,821.475,794.9760000000001,821.475,794.9760000000001,821.475,821.475,794.9760000000001,821.475,794.9760000000001,821.475,9672.201,,,,2007-12-31,2007-01-01
South Robinson Spring Water Users,1011,Public,Active,2006,1/31/2007,Morgan,,,,,,,,,15018,40.0,9672.201,0.0,0.0,0.0,9672.201,12.0,0.0,0.0,0.0,12.0,,,,,,,,10112006,South Robinson Spring Water Users,1011,So. Robinson Spring (WS001),10110001,Active,41.05113675,-111.6711419,Spring,Withdrawal,Water Supplier,2006,kgallons,821.475,741.972,821.475,794.9760000000001,821.475,794.9760000000001,821.475,821.475,794.9760000000001,821.475,794.9760000000001,821.475,9672.201,,,,2006-12-31,2006-01-01
South Robinson Spring Water Users,1011,Public,Active,2003,1/23/2004,Morgan,,,,,,,,,15018,40.0,9672.872727,0.0,0.0,,9672.872727,12.0,0.0,0.0,,12.0,,,,,,,,10112003,South Robinson Spring Water Users,1011,So. Robinson Spring (WS001),10110001,Active,41.05113675,-111.6711419,Spring,Withdrawal,Water Supplier,2003,kgallons,821.5320508,742.0235294,821.5320508,795.0312105,821.5320508,795.0312105,821.5320508,821.5320508,795.0312105,821.5320508,795.0312105,821.5320508,9672.872727,,,,2003-12-31,2003-01-01
South Robinson Spring Water Users,1011,Public,Active,2002,3/27/2003,Morgan,,,,,,,,,15018,38.0,9672.872727,0.0,0.0,,9672.872727,12.0,0.0,0.0,,0.0,,,,,,,,10112002,South Robinson Spring Water Users,1011,So. Robinson Spring (WS001),10110001,Active,41.05113675,-111.6711419,Spring,Withdrawal,Water Supplier,2002,kgallons,821.5320508,742.0235294,821.5320508,795.0312105,821.5320508,795.0312105,821.5320508,821.5320508,795.0312105,821.5320508,795.0312105,821.5320508,9672.872727,,,,2002-12-31,2002-01-01
South Robinson Spring Water Users,1011,Public,Active,2001,3/21/2002,Morgan,,,,,,,,,15018,40.0,9672.872727,0.0,0.0,,9672.872727,12.0,0.0,0.0,,0.0,,,,,,,,10112001,South Robinson Spring Water Users,1011,So. Robinson Spring (WS001),10110001,Active,41.05113675,-111.6711419,Spring,Withdrawal,Water Supplier,2001,kgallons,821.1456,742.9412571,821.1456,795.0774857000001,821.1456,795.0774857000001,821.1456,821.1456,795.0774857000001,821.1456,795.0774857000001,821.1456,9671.2704,,,,2001-12-31,2001-01-01
South Robinson Spring Water Users,1011,Public,Active,2000,1/11/2001,Morgan,,,,,,,,,15018,40.0,9672.671713,0.0,0.0,,9672.671713,12.0,0.0,0.0,,12.0,,,,,,,,10112000,South Robinson Spring Water Users,1011,So. Robinson Spring (WS001),10110001,Active,41.05113675,-111.6711419,Spring,Withdrawal,Water Supplier,2000,kgallons,821.5333632,742.0223561,821.5333632,795.028608,821.5333632,795.0318665,821.5333632,821.5333632,795.0318665,821.5333632,795.0318665,821.5333632,9672.880106,,,,2000-12-31,2000-01-01
South Robinson Spring Water Users,1011,Public,Active,1999,3/15/2000,Morgan,,,,,,,,,15018,30.0,9672.671713,0.0,0.0,,9672.671713,12.0,0.0,0.0,,12.0,,,,,,,,10111999,South Robinson Spring Water Users,1011,So. Robinson Spring (WS001),10110001,Active,41.05113675,-111.6711419,Spring,Withdrawal,Water Supplier,1999,kgallons,821.5561727999999,742.0516827,821.5561727999999,795.0546760999999,821.5561727999999,795.0546760999999,821.5561727999999,821.5561727999999,795.0546760999999,821.5561727999999,795.0546760999999,821.5561727999999,9673.163597,,,,1999-12-31,1999-01-01
South Robinson Spring Water Users,1011,Public,Active,1998,3/10/1999,Morgan,,,,,,,,,15018,0.0,9672.671713,0.0,0.0,,9672.671713,0.0,0.0,0.0,,0.0,,,,,,,,10111998,South Robinson Spring Water Users,1011,So. Robinson Spring (WS001),10110001,Active,41.05113675,-111.6711419,Spring,Withdrawal,Water Supplier,1998,kgallons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9672.873589,,,,1998-12-31,1998-01-01
South Robinson Spring Water Users,1011,Public,Active,1997,3/6/1998,Morgan,,,,,,,,,15018,30.0,9672.671713,0.0,0.0,,9672.671713,12.0,0.0,0.0,,12.0,,,,,,,,10111997,South Robinson Spring Water Users,1011,So. Robinson Spring (WS001),10110001,Active,41.05113675,-111.6711419,Spring,Withdrawal,Water Supplier,1997,kgallons,821.5561727999999,742.0516827,821.5561727999999,795.0546760999999,821.5561727999999,795.0546760999999,821.5561727999999,821.5561727999999,795.0546760999999,821.5561727999999,795.0546760999999,821.5561727999999,9673.163597,,,,1997-12-31,1997-01-01
South Robinson Spring Water Users,1011,Public,Active,1996,3/12/1997,Morgan,,,,,,,,,15018,30.0,9672.671713,0.0,0.0,,9672.671713,12.0,0.0,0.0,,12.0,,,,,,,,10111996,South Robinson Spring Water Users,1011,So. Robinson Spring (WS001),10110001,Active,41.05113675,-111.6711419,Spring,Withdrawal,Water Supplier,1996,kgallons,821.5333632,742.0223561,821.5333632,795.0318665,821.5333632,795.0318665,821.5333632,821.5333632,795.0318665,821.5333632,795.0318665,821.5333632,9673.173372,,,,1996-12-31,1996-01-01
Monte Vista Comm. & Water Company,1012,Public,Active,2015,1/6/2016,Iron,,,,,,,,,11036,150.0,13798.0,0.0,0.0,0.0,13798.0,47.0,0.0,0.0,0.0,47.0,,,,,,,,10122015,Monte Vista Comm. & Water Company,1012,MONTE VISTA Well #1& 2 (WS001)(WS002),108541924,Active,37.69076997,-113.12496399999999,Well,Withdrawal,Water Supplier,2015,kgallons,700.0,700.0,700.0,1000.0,1400.0,1700.0,2100.0,1900.0,1700.0,1100.0,900.0,700.0,14600.0,,,,2015-12-31,2015-01-01
Ogden City Division of Water Utilities,1018,Public,Active,2019,3/12/2020,Weber,,,,,,,,,29011,91380.0,2289260.1,748066.0,955288.7,524537.2,4517152.0,24468.0,1570.0,102.0,351.0,26491.0,,,,,,,,10182019,Ogden City Division of Water Utilities,1018,Ogden Bench Canal,10180009,Active,41.25286713,-111.8422382,Reservoir,Withdrawal,Water Supplier,2019,kgallons,0.0,0.0,0.0,0.0,3405.147429,102154.4229,97934.64686000001,96468.31543,77797.02857000001,0.0,0.0,0.0,377759.5611,,,,2019-12-31,2019-01-01
Ogden City Division of Water Utilities,1018,Public,Active,2018,4/30/2019,Weber,,,,,,,,,29011,87031.0,2410200.0,1514300.0,472100.0,246000.0,4642600.0,22020.0,1537.0,245.0,192.0,23994.0,,,,,,,,10182018,Ogden City Division of Water Utilities,1018,Ogden Bench Canal,10180009,Active,41.25286713,-111.8422382,Reservoir,Withdrawal,Water Supplier,2018,kgallons,0.0,0.0,0.0,0.0,0.0,93048.3,96149.91,96149.91,93048.3,0.0,0.0,0.0,378396.42,,,,2018-12-31,2018-01-01
Ogden City Division of Water Utilities,1018,Public,Active,2013,1/8/2014,Weber,,,,,,,,,29011,83793.0,0.0,0.0,0.0,0.0,472484.5714,33000.0,0.0,0.0,0.0,33001.0,,,,,,,,10182013,Ogden City Division of Water Utilities,1018,Pine View Reservoir (WS001),10180002,Active,41.25432213,-111.84225690000001,Reservoir,Withdrawal,Water Supplier,2013,kgallons,0.0,0.0,0.0,86001.96754,127101.6082,178094.0983,229790.4274,223801.2782,148001.7189,28498.96594,0.0,0.0,1021290.064,,,,2013-12-31,2013-01-01
Ogden City Division of Water Utilities,1018,Public,Active,2013,1/8/2014,Weber,,,,,,,,,29011,83793.0,0.0,0.0,0.0,0.0,472484.5714,33000.0,0.0,0.0,0.0,33001.0,,,,,,,,10182013,Ogden City Division of Water Utilities,1018,Cold Water Creek,10180006,Active,41.24113871,-111.89179229999999,Stream,Withdrawal,Water Supplier,2013,kgallons,0.0,0.0,0.0,3704.930743,1955.108571,361.6950857,2121.2928,2522.090057,87.97988571,0.0,0.0,0.0,10753.09714,,,,2013-12-31,2013-01-01
Woodland Mutual Water Company,1019,Public,Active,2019,5/27/2020,Summit,,,,,,,,,22018,285.0,26959.0,259.0,0.0,29.5,27247.5,86.0,2.0,0.0,2.0,90.0,,,,,,,,10192019,Woodland Mutual Water Company,1019,Woodland Spring (WS001),10190001,Active,40.56936575,-111.2123078,Spring,Withdrawal,Water Supplier,2019,kgallons,0.0,0.0,0.0,0.0,1589.4375,1589.4375,1589.4375,1589.4375,1589.4375,1589.4375,0.0,0.0,9536.625,,,,2019-12-31,2019-01-01
Woodland Mutual Water Company,1019,Public,Active,2019,5/27/2020,Summit,,,,,,,,,22018,285.0,26959.0,259.0,0.0,29.5,27247.5,86.0,2.0,0.0,2.0,90.0,,,,,,,,10192019,Woodland Mutual Water Company,1019,Woodland Well 1 (WS002),10190002,Active,40.58207602,-111.2184994,Well,Withdrawal,Water Supplier,2019,kgallons,2951.8125,2951.8125,2951.8125,2951.8125,0.0,0.0,0.0,0.0,0.0,0.0,2951.8125,2951.8125,17710.875,,,,2019-12-31,2019-01-01
Manderfield Municipal Water System,1020,Public,Active,2019,4/27/2020,Beaver,,,,,,,,,1005,35.0,12056.502859999999,0.0,0.0,0.0,12056.502859999999,17.0,0.0,0.0,0.0,17.0,,,,,,,,10202019,Manderfield Municipal Water System,1020,Manderfield Well (WS001),10200001,Active,38.36410605,-112.6390211,Well,Withdrawal,Water Supplier,2019,kgallons,977.5542857,977.5542857,977.5542857,977.5542857,977.5542857,977.5542857,1303.405714,977.5542857,977.5542857,977.5542857,977.5542857,977.5542857,12056.502859999999,,,,2019-12-31,2019-01-01
Leamington Town Water,1024,Public,Active,1998,3/15/1999,Millard,,,,,,,,,14012,250.0,24001.66678,0.0,0.0,,29002.014030000002,65.0,0.0,0.0,,83.0,,,,,,,,10241998,Leamington Town Water,1024,Town Well (WS001),10240001,Active,39.52974717,-112.2830618,Well,Withdrawal,Water Supplier,1998,kgallons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1998-12-31,1998-01-01
Leamington Town Water,1024,Public,Active,1998,3/15/1999,Millard,,,,,,,,,14012,250.0,24001.66678,0.0,0.0,,29002.014030000002,65.0,0.0,0.0,,83.0,,,,,,,,10241998,Leamington Town Water,1024,Fool Creek Canyon Springs Group (SS026),10240002,Active,39.42934976,-112.23629809999998,Spring,Withdrawal,Water Supplier,1998,kgallons,3000.2086,3000.2086,4300.300405,4500.31127,4500.31127,4250.295245,4000.2792189999996,4000.2792189999996,4000.2792189999996,3500.2439090000003,3500.2439090000003,3000.2086,45553.16947,,,,1998-12-31,1998-01-01
Leamington Town Water,1024,Public,Active,1997,2/12/1998,Millard,,,,,,,,,14012,250.0,24001.66678,0.0,0.0,,29002.014030000002,65.0,0.0,0.0,,83.0,,,,,,,,10241997,Leamington Town Water,1024,Town Well (WS001),10240001,Active,39.52974717,-112.2830618,Well,Withdrawal,Water Supplier,1997,kgallons,0.0,0.0,0.0,0.0,0.0,0.0,504.0335067,1728.120466,576.0401554,0.0,0.0,0.0,2808.194128,,,,1997-12-31,1997-01-01
Leamington Town Water,1024,Public,Active,1997,2/12/1998,Millard,,,,,,,,,14012,250.0,24001.66678,0.0,0.0,,29002.014030000002,65.0,0.0,0.0,,83.0,,,,,,,,10241997,Leamington Town Water,1024,Fool Creek Canyon Springs Group (SS026),10240002,Active,39.42934976,-112.23629809999998,Spring,Withdrawal,Water Supplier,1997,kgallons,3000.2086,3000.2086,4300.300405,4500.31127,4500.31127,4250.295245,4000.2792189999996,3500.2439090000003,3500.2439090000003,3000.2086,3000.2086,3000.2086,43553.02823,,,,1997-12-31,1997-01-01
Leamington Town Water,1024,Public,Active,1996,3/17/1997,Millard,,,,,,,,,14012,250.0,24001.66678,0.0,0.0,,29002.014030000002,65.0,0.0,0.0,,83.0,,,,,,,,10241996,Leamington Town Water,1024,Town Well (WS001),10240001,Active,39.52974717,-112.2830618,Well,Withdrawal,Water Supplier,1996,kgallons,0.0,0.0,0.0,0.0,0.0,0.0,504.0335067,1728.120466,576.0401554,0.0,0.0,0.0,2808.194128,,,,1996-12-31,1996-01-01
Leamington Town Water,1024,Public,Active,1996,3/17/1997,Millard,,,,,,,,,14012,250.0,24001.66678,0.0,0.0,,29002.014030000002,65.0,0.0,0.0,,83.0,,,,,,,,10241996,Leamington Town Water,1024,Fool Creek Canyon Springs Group (SS026),10240002,Active,39.42934976,-112.23629809999998,Spring,Withdrawal,Water Supplier,1996,kgallons,3000.2086,3000.2086,4300.300405,4500.31127,4500.31127,4250.295245,4000.2792189999996,3500.2439090000003,3500.2439090000003,3000.2086,3000.2086,3000.2086,43553.02823,,,,1996-12-31,1996-01-01
Covered Bridge Canyon,1029,Public,Active,2002,4/2/2003,Utah,,,,,,,,,25024,275.0,18692.29808,0.0,0.0,,18692.29808,67.0,0.0,0.0,,68.0,,,,,,,,10292002,Covered Bridge Canyon,1029,Well No. 1 (WS002),10290002,Active,40.02362309,-111.570109,Well,Withdrawal,Water Supplier,2002,kgallons,,,,,,,,,,,,,20769.44232,,,,2002-12-31,2002-01-01
Covered Bridge Canyon,1029,Public,Active,2001,4/15/2002,Utah,,,,,,,,,25024,275.0,19361.94458,0.0,0.0,,21298.17904,67.0,0.0,0.0,,68.0,,,,,,,,10292001,Covered Bridge Canyon,1029,Well No. 1 (WS002),10290002,Active,40.02362309,-111.570109,Well,Withdrawal,Water Supplier,2001,kgallons,,,,,,,,,,,,,21298.17904,,,,2001-12-31,2001-01-01
Covered Bridge Canyon,1029,Public,Active,1998,3/2/1999,Utah,,,,,,,,,25024,250.0,13429.932630000001,0.0,0.0,,13429.932630000001,67.0,0.0,0.0,,67.0,,,,,,,,10291998,Covered Bridge Canyon,1029,Well No. 1 (WS002),10290002,Active,40.02362309,-111.570109,Well,Withdrawal,Water Supplier,1998,kgallons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13429.93404,,,,1998-12-31,1998-01-01
Pleasant View City Culinary Water,1033,Public,Active,2019,4/24/2020,Weber,,,,,,,,,29014,7820.0,163178.0,1211.0,794.0,5232.0,170415.0,2207.0,9.0,1.0,22.0,2239.0,,,,,,,,10332019,Pleasant View City Culinary Water,1033,Little Missouri Spring (WS001),10330006,Active,41.33343532,-111.99655690000002,Spring,Withdrawal,Water Supplier,2019,kgallons,4410.3,4296.7,7697.7,3794.5,11154.4,3702.9,10631.0,6804.9,6651.4,7084.7,6400.0,6200.0,78828.5,,,,2019-12-31,2019-01-01
Pleasant View City Culinary Water,1033,Public,Active,2018,2/28/2019,Weber,,,,,,,,,29014,7880.0,157284.0,1225.0,1071.0,4907.0,164487.0,2091.0,7.0,2.0,18.0,2118.0,,,,,,,,10332018,Pleasant View City Culinary Water,1033,Little Missouri Spring (WS001),10330006,Active,41.33343532,-111.99655690000002,Spring,Withdrawal,Water Supplier,2018,kgallons,3241.2,3241.2,3241.2,3241.2,3241.2,3241.2,3241.2,3241.2,3241.2,3241.2,3241.2,3241.2,38894.4,,,,2018-12-31,2018-01-01
Pleasant View City Culinary Water,1033,Public,Active,2017,3/5/2018,Weber,,,,,,,,,29014,7360.0,155419.0,4744.0,779.0,6273.0,167215.0,2020.0,7.0,1.0,8.0,2036.0,7/15/2017,825.334,kgallons,Indoor and Outdoor,Estimated,,,10332017,Pleasant View City Culinary Water,1033,Little Missouri Spring (WS001),10330006,Active,41.33343532,-111.99655690000002,Spring,Withdrawal,Water Supplier,2017,kgallons,0.0,0.0,0.0,0.0,0.0,0.0,3576.96,3705.12,3196.8,3303.36,3196.8,3303.36,20282.4,,,,2017-12-31,2017-01-01
Pleasant View City Culinary Water,1033,Public,Active,2006,2/27/2007,Weber,,,,,,,,,29014,4719.0,208359.961,0.0,0.0,0.0,208359.961,1570.0,0.0,0.0,0.0,1570.0,,,,,,,,10332006,Pleasant View City Culinary Water,1033,Little Missouri Spring (WS001),10330006,Active,41.33343532,-111.99655690000002,Spring,Withdrawal,Water Supplier,2006,kgallons,892.8,806.4,892.8,864.0,892.8,864.0,892.8,892.8,864.0,892.8,864.0,892.8,10512.0,,,,2006-12-31,2006-01-01
Pleasant View City Culinary Water,1033,Public,Active,2005,2/7/2006,Weber,,,,,,,,,29014,4500.0,232120.0034,0.0,0.0,0.0,232120.0034,1509.0,0.0,0.0,0.0,1509.0,,,,,,,,10332005,Pleasant View City Culinary Water,1033,Little Missouri Spring (WS001),10330006,Active,41.33343532,-111.99655690000002,Spring,Withdrawal,Water Supplier,2005,kgallons,1314.0912560000002,1314.0912560000002,1314.0912560000002,1314.0912560000002,1314.0912560000002,1314.0912560000002,1314.0912560000002,1314.0912560000002,1314.0912560000002,1314.0912560000002,1314.0912560000002,1314.0912560000002,15769.095080000001,,,,2005-12-31,2005-01-01
