System Name_Sys,System ID_Sys,System Type_Sys,System Status_Sys,History Year_Sys,Date Received_Sys,County_Sys,Use Cooling Percent_Sys,Use Process Percent_Sys,Use Domestic Percent_Sys,Use Miscellaneous Percent_Sys,Irrigation (Lawn and Garden) Percent_Sys,Acres Irrigated_Sys,Irrigation (Agriculture)_Sys,Acres Irrigated.1_Sys,DEQ ID_Sys,Population_Sys,Domestic Use_Sys,Commercial Use_Sys,Industrial Use_Sys,Institutional Use_Sys,Total Use_Sys,Domestic Connections_Sys,Commercial Connections_Sys,Industrial Connections_Sys,Institutional Connections_Sys,Total Connections_Sys,Peak Date_Sys,Peak Demand_Sys,Peak Demand Units_Sys,Peak Use Include_Sys,Peak Measurement Type_Sys,Peak Wholesale Volume_Sys,Peak Wholesale Volume Units_Sys,SystemID_Year_ID,System Name_Sour,System ID_Sour,Source Name_Sour,Source ID_Sour,Source Status_Sour,Lat NAD83_Sour,Lon NAD83_Sour,Source Type_Sour,Diversion Type_Sour,Use Type_Sour,Year_Sour,Units_Sour,Jan_Sour,Feb_Sour,Mar_Sour,Apr_Sour,May_Sour,Jun_Sour,Jul_Sour,Aug_Sour,Sep_Sour,Oct_Sour,Nov_Sour,Dec_Sour,Total_Sour,Unnamed: 25,Unnamed: 26,Unnamed: 27,ReasonRemoved,index,TimeframeEnd,TimeframeStart
Eureka City Corporation (Culinary),1036,Public,Active,1996,3/31/1997,Juab,,,,,,,,,12004,640.0,17745.23231,2188.1519550000003,0.0,2188.1519550000003,22121.536219999998,300.0,11.0,0.0,4.0,315.0,,,,,,,,10361996,Eureka City Corporation (Culinary),1036,Dolinar Well,10360002,Inactive,,,Well,Withdrawal,Water Supplier,1996,kgallons,375.2667977,341.5444334,375.2667977,364.0249234,375.2667977,364.0249234,375.2667977,375.2667977,364.0249234,375.2667977,364.0249234,375.2667977,4424.511711,,,,Null Lat NAD83,85.0,1996-12-31,1996-01-01
Eureka City Corporation (Culinary),1036,Public,Active,1996,3/31/1997,Juab,,,,,,,,,12004,640.0,17745.23231,2188.1519550000003,0.0,2188.1519550000003,22121.536219999998,300.0,11.0,0.0,4.0,315.0,,,,,,,,10361996,Eureka City Corporation (Culinary),1036,Eureka Hill Well (WS002),10360003,Inactive,,,Well,Withdrawal,Water Supplier,1996,kgallons,375.2667977,341.5444334,375.2667977,364.0249234,375.2667977,364.0249234,375.2667977,375.2667977,364.0249234,375.2667977,364.0249234,375.2667977,4424.511711,,,,Null Lat NAD83,86.0,1996-12-31,1996-01-01
Eureka City Corporation (Culinary),1036,Public,Active,1996,3/31/1997,Juab,,,,,,,,,12004,640.0,17745.23231,2188.1519550000003,0.0,2188.1519550000003,22121.536219999998,300.0,11.0,0.0,4.0,315.0,,,,,,,,10361996,Eureka City Corporation (Culinary),1036,Eagle Well (WS005),10360005,Inactive,,,Well,Withdrawal,Water Supplier,1996,kgallons,375.2667977,341.5444334,375.2667977,364.0249234,375.2667977,364.0249234,375.2667977,375.2667977,364.0249234,375.2667977,364.0249234,375.2667977,4424.511711,,,,Null Lat NAD83,88.0,1996-12-31,1996-01-01
River Heights City Water System,1037,Public,Active,2005,4/18/2006,Cache,,,,,,,,,3019,1525.0,94991.6998,0.0,0.0,11731.799729999999,106723.4999,527.0,0.0,0.0,5.0,536.0,,,,,,,,10372005,River Heights City Water System,1037,Bought from Providence-Logan Irr. Co,10370005,Inactive,,,Stream,Transfer In,Irrigation,2005,kgallons,,,,,28674.925710000003,32259.29143,25742.26286,24113.005709999998,18573.531430000003,977.5542857,,,130340.5714,,,,Null Lat NAD83,89.0,2005-12-31,2005-01-01
River Heights City Water System,1037,Public,Active,2001,4/2/2002,Cache,,,,,,,,,3019,1495.0,181579.0097,0.0,0.0,9150.035419,190729.0451,501.0,0.0,0.0,1.0,502.0,,,,,,,,10372001,River Heights City Water System,1037,Bought from Providence-Logan Irr. Co,10370005,Inactive,,,Stream,Transfer In,Irrigation,2001,kgallons,0.0,0.0,0.0,0.0,87654.03429,106227.5657,101991.4971,91890.10286,72664.86857,17270.12571,0.0,0.0,477698.1943,,,,Null Lat NAD83,90.0,2001-12-31,2001-01-01
River Heights City Water System,1037,Public,Active,2000,5/2/2001,Cache,,,,,,,,,3019,1500.0,182867.6991,0.0,0.0,20001.38899,202869.0881,508.0,0.0,0.0,2.0,510.0,,,,,,,,10372000,River Heights City Water System,1037,Bought from Providence-Logan Irr. Co,10370005,Inactive,,,Stream,Transfer In,Irrigation,2000,kgallons,0.0,0.0,0.0,0.0,82114.56,100036.3886,103294.9029,100688.0914,38450.46857,0.0,0.0,0.0,424584.4114,,,,Null Lat NAD83,91.0,2000-12-31,2000-01-01
Sunridge Subdivision Water,1042,Public,Active,2009,3/24/2010,Weber,,,,,,,,,29108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0,,,,,,,,10422009,Sunridge Subdivision Water,1042,Sunridge System 3 Spring (WS001),10420003,Active,,,Spring,Withdrawal,Water Supplier,2009,kgallons,0.0,0.0,0.0,2.6,2.6,2.6,2.6,2.6,2.6,2.6,0.0,0.0,18.2,,,,Null Lat NAD83,99.0,2009-12-31,2009-01-01
Sunridge Subdivision Water,1042,Public,Active,2002,2/10/2003,Weber,,,,,,,,,29108,0.0,195.0135426,0.0,0.0,,195.0135426,200.0,0.0,0.0,,200.0,,,,,,,,10422002,Sunridge Subdivision Water,1042,Undeveloped Spring,10420002,Inactive,,,Spring,Withdrawal,Water Supplier,2002,kgallons,,,,,8.000555571,12.50086811,12.50086811,12.50086811,12.50086811,9.000625017,8.000555571,,75.00520867,,,,Null Lat NAD83,102.0,2002-12-31,2002-01-01
Sunridge Subdivision Water,1042,Public,Active,2002,2/10/2003,Weber,,,,,,,,,29108,0.0,195.0135426,0.0,0.0,,195.0135426,200.0,0.0,0.0,,200.0,,,,,,,,10422002,Sunridge Subdivision Water,1042,Sunridge System 3 Spring (WS001),10420003,Active,,,Spring,Withdrawal,Water Supplier,2002,kgallons,,,,,3.000208339,5.000347232,5.000347232,5.000347232,5.000347232,4.000277785,3.000208339,,30.00208339,,,,Null Lat NAD83,103.0,2002-12-31,2002-01-01
Sunridge Subdivision Water,1042,Public,Active,2001,1/22/2002,Weber,,,,,,,,,29108,0.0,195.0135426,0.0,0.0,,195.0135426,0.0,0.0,0.0,,260.0,,,,,,,,10422001,Sunridge Subdivision Water,1042,Undeveloped Spring,10420002,Inactive,,,Spring,Withdrawal,Water Supplier,2001,kgallons,,,,,,,,,,,,,75.00520867,,,,Null Lat NAD83,106.0,2001-12-31,2001-01-01
Sunridge Subdivision Water,1042,Public,Active,2001,1/22/2002,Weber,,,,,,,,,29108,0.0,195.0135426,0.0,0.0,,195.0135426,0.0,0.0,0.0,,260.0,,,,,,,,10422001,Sunridge Subdivision Water,1042,Sunridge System 3 Spring (WS001),10420003,Active,,,Spring,Withdrawal,Water Supplier,2001,kgallons,,,,,,,,,,,,,30.00208346,,,,Null Lat NAD83,107.0,2001-12-31,2001-01-01
Sunridge Subdivision Water,1042,Public,Active,2000,2/22/2001,Weber,,,,,,,,,29108,0.0,195.0135426,0.0,0.0,,195.0135426,200.0,0.0,0.0,,200.0,,,,,,,,10422000,Sunridge Subdivision Water,1042,Undeveloped Spring,10420002,Inactive,,,Spring,Withdrawal,Water Supplier,2000,kgallons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.00448183,,,,Null Lat NAD83,110.0,2000-12-31,2000-01-01
Sunridge Subdivision Water,1042,Public,Active,2000,2/22/2001,Weber,,,,,,,,,29108,0.0,195.0135426,0.0,0.0,,195.0135426,200.0,0.0,0.0,,200.0,,,,,,,,10422000,Sunridge Subdivision Water,1042,Sunridge System 3 Spring (WS001),10420003,Active,,,Spring,Withdrawal,Water Supplier,2000,kgallons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.00114103,,,,Null Lat NAD83,111.0,2000-12-31,2000-01-01
Sunridge Subdivision Water,1042,Public,Active,1999,1/21/2000,Weber,,,,,,,,,29108,0.0,195.0135426,0.0,0.0,,195.0135426,330.0,0.0,0.0,,330.0,,,,,,,,10421999,Sunridge Subdivision Water,1042,Undeveloped Spring,10420002,Inactive,,,Spring,Withdrawal,Water Supplier,1999,kgallons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.00448183,,,,Null Lat NAD83,114.0,1999-12-31,1999-01-01
Sunridge Subdivision Water,1042,Public,Active,1999,1/21/2000,Weber,,,,,,,,,29108,0.0,195.0135426,0.0,0.0,,195.0135426,330.0,0.0,0.0,,330.0,,,,,,,,10421999,Sunridge Subdivision Water,1042,Sunridge System 3 Spring (WS001),10420003,Active,,,Spring,Withdrawal,Water Supplier,1999,kgallons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.00114103,,,,Null Lat NAD83,115.0,1999-12-31,1999-01-01
Sunridge Subdivision Water,1042,Public,Active,1998,2/10/1999,Weber,,,,,,,,,29108,0.0,76.00527814,0.0,0.0,,76.00527814,260.0,0.0,0.0,,260.0,,,,,,,,10421998,Sunridge Subdivision Water,1042,Undeveloped Spring,10420002,Inactive,,,Spring,Withdrawal,Water Supplier,1998,kgallons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.00190171,,,,Null Lat NAD83,118.0,1998-12-31,1998-01-01
Sunridge Subdivision Water,1042,Public,Active,1998,2/10/1999,Weber,,,,,,,,,29108,0.0,76.00527814,0.0,0.0,,76.00527814,260.0,0.0,0.0,,260.0,,,,,,,,10421998,Sunridge Subdivision Water,1042,Sunridge System 3 Spring (WS001),10420003,Active,,,Spring,Withdrawal,Water Supplier,1998,kgallons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.501099886,,,,Null Lat NAD83,119.0,1998-12-31,1998-01-01
Sunridge Subdivision Water,1042,Public,Active,1997,2/17/1998,Weber,,,,,,,,,29108,0.0,76.00527814,0.0,0.0,,76.00527814,260.0,0.0,0.0,,260.0,,,,,,,,10421997,Sunridge Subdivision Water,1042,Undeveloped Spring,10420002,Inactive,,,Spring,Withdrawal,Water Supplier,1997,kgallons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.00190171,,,,Null Lat NAD83,122.0,1997-12-31,1997-01-01
Sunridge Subdivision Water,1042,Public,Active,1997,2/17/1998,Weber,,,,,,,,,29108,0.0,76.00527814,0.0,0.0,,76.00527814,260.0,0.0,0.0,,260.0,,,,,,,,10421997,Sunridge Subdivision Water,1042,Sunridge System 3 Spring (WS001),10420003,Active,,,Spring,Withdrawal,Water Supplier,1997,kgallons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.501099886,,,,Null Lat NAD83,123.0,1997-12-31,1997-01-01
Sunridge Subdivision Water,1042,Public,Active,1996,1/29/1997,Weber,,,,,,,,,29108,0.0,77.00534759,0.0,0.0,,77.00534759,90.0,0.0,0.0,,90.0,,,,,,,,10421996,Sunridge Subdivision Water,1042,Undeveloped Spring,10420002,Inactive,,,Spring,Withdrawal,Water Supplier,1996,kgallons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.00297691,,,,Null Lat NAD83,126.0,1996-12-31,1996-01-01
Sunridge Subdivision Water,1042,Public,Active,1996,1/29/1997,Weber,,,,,,,,,29108,0.0,77.00534759,0.0,0.0,,77.00534759,90.0,0.0,0.0,,90.0,,,,,,,,10421996,Sunridge Subdivision Water,1042,Sunridge System 3 Spring (WS001),10420003,Active,,,Spring,Withdrawal,Water Supplier,1996,kgallons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.501099886,,,,Null Lat NAD83,127.0,1996-12-31,1996-01-01
Herriman City (Culinary),1050,Public,Active,2001,2/7/2002,Salt Lake,,,,,,,,,18157,1550.0,87243.65858999999,0.0,0.0,,113556.1858,0.0,0.0,0.0,,327.0,,,,,,,,10502001,Herriman City (Culinary),1050,Purchased from Jordan Valley WCD (WS001),10500008,Active,,,Drain,Transfer In,Water Supplier,2001,kgallons,,,,,,,,,,,,,1929.040961,,,,Null Lat NAD83,163.0,2001-12-31,2001-01-01
Hyrum City Water System,1051,Public,Active,2007,6/10/2008,Cache,,,,,,,,,3008,6700.0,815569.0,145461.0,584718.0,0.0,1571065.0,2125.0,83.0,9.0,0.0,2230.0,,,,,,,,10512007,Hyrum City Water System,1051,Dry Canyon Spring (Culinary),10510001,Active,,,Spring,Withdrawal,Water Supplier,2007,kgallons,577.0,517.0,488.0,614.0,515.0,531.0,347.0,281.0,228.0,138.0,131.0,112.0,4479.0,,,,Null Lat NAD83,165.0,2007-12-31,2007-01-01
Hyrum City Water System,1051,Public,Active,2007,6/10/2008,Cache,,,,,,,,,3008,6700.0,815569.0,145461.0,584718.0,0.0,1571065.0,2125.0,83.0,9.0,0.0,2230.0,,,,,,,,10512007,Hyrum City Water System,1051,Box Elder Spring (Culinary),10510003,Active,,,Spring,Withdrawal,Water Supplier,2007,kgallons,114.0,158.0,172.0,201.0,216.0,187.2,172.0,158.0,114.0,138.0,112.0,95.0,1837.2,,,,Null Lat NAD83,167.0,2007-12-31,2007-01-01
High Creek Culinary Water System,1066,Public,Active,2008,2/26/2009,Cache,,,,,,,,,3086,38.0,17270.12571,0.0,0.0,0.0,17921.828569999998,38.0,0.0,0.0,0.0,38.0,,,,,,,,10662008,High Creek Culinary Water System,1066,High Creek Springs,10660001,Inactive,,,Spring,Withdrawal,Water Supplier,2008,kgallons,,,,,,,,,,,,,17270.12571,,,,Null Lat NAD83,198.0,2008-12-31,2008-01-01
High Creek Culinary Water System,1066,Public,Active,2007,3/3/2008,Cache,,,,,,,,,3086,122.0,17726.31771,0.0,0.0,0.0,20170.20343,34.0,0.0,0.0,0.0,42.0,,,,,,,,10662007,High Creek Culinary Water System,1066,High Creek Springs,10660001,Inactive,,,Spring,Withdrawal,Water Supplier,2007,kgallons,,,,,,,,,,,,,39916.8,,,,Null Lat NAD83,199.0,2007-12-31,2007-01-01
High Creek Culinary Water System,1066,Public,Active,2006,2/14/2007,Cache,,,,,,,,,3086,120.0,18573.531430000003,0.0,0.0,0.0,19489.17394,35.0,0.0,0.0,0.0,38.0,,,,,,,,10662006,High Creek Culinary Water System,1066,High Creek Springs,10660001,Inactive,,,Spring,Withdrawal,Water Supplier,2006,kgallons,,,,,,,,,,,,,44641.645710000004,,,,Null Lat NAD83,200.0,2006-12-31,2006-01-01
High Creek Culinary Water System,1066,Public,Active,2005,2/1/2006,Cache,,,,,,,,,3086,101.0,17270.12571,0.0,0.0,0.0,17270.12571,36.0,0.0,0.0,0.0,36.0,,,,,,,,10662005,High Creek Culinary Water System,1066,High Creek Springs,10660001,Inactive,,,Spring,Withdrawal,Water Supplier,2005,kgallons,,,,,,,,,,,,,17270.12571,,,,Null Lat NAD83,201.0,2005-12-31,2005-01-01
High Creek Culinary Water System,1066,Public,Active,2004,2/14/2005,Cache,,,,,,,,,3086,95.0,11300.78478,0.0,0.0,,11305.78512,29.0,0.0,0.0,,31.0,,,,,,,,10662004,High Creek Culinary Water System,1066,High Creek Springs,10660001,Inactive,,,Spring,Withdrawal,Water Supplier,2004,kgallons,87.00604209,80.00555594,87.00604209,87.00604209,100.00694490000001,110.0076394,120.00833390000001,100.00694490000001,100.00694490000001,90.00625043,87.00604209,87.00604209,1135.078825,,,,Null Lat NAD83,202.0,2004-12-31,2004-01-01
High Creek Culinary Water System,1066,Public,Active,2003,3/3/2004,Cache,,,,,,,,,3086,120.0,10298.71519,0.0,0.0,,10308.71588,29.0,0.0,0.0,,30.0,,,,,,,,10662003,High Creek Culinary Water System,1066,High Creek Springs,10660001,Inactive,,,Spring,Withdrawal,Water Supplier,2003,kgallons,58.00402806,58.00402806,58.00402806,58.00402806,1260.087506,2000.1388989999998,2000.1388989999998,1800.125009,1500.104174,1400.097229,58.00402806,58.00402806,10308.71588,,,,Null Lat NAD83,203.0,2003-12-31,2003-01-01
High Creek Culinary Water System,1066,Public,Active,2002,1/31/2003,Cache,,,,,,,,,3086,100.0,9920.688937,10.00069446,0.0,,9935.689978,29.0,2.0,0.0,,32.0,,,,,,,,10662002,High Creek Culinary Water System,1066,High Creek Springs,10660001,Inactive,,,Spring,Withdrawal,Water Supplier,2002,kgallons,580.0399817000001,580.0399817000001,580.0399817000001,580.0399817000001,1000.0693160000001,1200.083114,1300.090176,1300.090176,1000.0693160000001,600.0413941,600.0413941,600.0413941,9920.688937,,,,Null Lat NAD83,204.0,2002-12-31,2002-01-01
High Creek Culinary Water System,1066,Public,Active,2001,2/8/2002,Cache,,,,,,,,,3086,95.0,4607.5392,101.0139429,0.0,,4757.430857,25.0,2.0,0.0,,31.0,,,,,,,,10662001,High Creek Culinary Water System,1066,High Creek Springs,10660001,Inactive,,,Spring,Withdrawal,Water Supplier,2001,kgallons,39.10217143,35.84365714,35.84365714,400.7972571,599.5666286000001,700.5805713999999,749.4582857,749.4582857,700.5805713999999,599.5666286000001,39.10217143,39.10217143,4689.002057,,,,Null Lat NAD83,205.0,2001-12-31,2001-01-01
