System Name,System ID,Source Name,Source ID,Source Status,Lat NAD83,Lon NAD83,Source Type,Diversion Type,Use Type,Year,Units,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,,,
Murray City Corporation (Culinary),1009,Reservoir #9 Well (WS011),10090011,Active,40.62557788,-111.8494754,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Murray City Corporation (Culinary),1009,Whitmore West #10 Well (WS012),10090012,Active,40.62634998,-111.8293663,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Murray City Corporation (Culinary),1009,Whitmore East #11 Well (WS013),10090013,Active,40.62636084,-111.8278528,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Murray City Corporation (Culinary),1009,McGhie Springs (WS002),10090014,Active,40.62100153,-111.7933816,Spring,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Murray City Corporation (Culinary),1009,McGhie Spring Well No.16,10090015,Inactive,40.62089167,-111.7934938,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Murray City Corporation (Culinary),1009,Well 15 - Germania,10090016,Inactive,40.65362702,-111.9229216,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Murray City Corporation (Culinary),1009,Millrace Well #14 (WS015),10090017,Active,40.66883134,-111.8742472,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Murray City Corporation (Culinary),1009,360 West #13 Well (WS013),10090018,Active,40.66333511,-111.902235,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Murray City Corporation (Culinary),1009,45th South Well,10090020,Inactive,40.67344337,-111.8993036,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Murray City Corporation (Culinary),1009,Park #15 Well,10090021,Inactive,40.66075646,-111.8824149,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Murray City Corporation (Culinary),1009,Highland Dairy Well (WS020),10090022,Active,40.65380381,-111.872477,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Murray City Corporation (Culinary),1009,Monroc Well (WS021),10090023,Active,40.63061362,-111.8152643,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Murray City Corporation (Culinary),1009,Grant Park Well (WS023),108540863,Active,40.6370836,-111.7783775,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Murray City Corporation (Culinary),1009,McGhie Springs Well (WS025),108543249,Active,40.62137718,-111.7947644,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Provo City Water Resources Division (Culinary),1010,"Mary`s/Springdell Comm Springs WS012, 34",10100001,Active,40.3225641,-111.6207535,Spring,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Provo City Water Resources Division (Culinary),1010,Well 5600 North (WS006),10100004,Active,40.30737406,-111.6575512,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Provo City Water Resources Division (Culinary),1010,Edgemont Well (WS004),10100005,Active,40.28192182,-111.6528718,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Provo City Water Resources Division (Culinary),1010,Rock Canyon Well (WS003),10100006,Active,40.26213215,-111.6418062,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Provo City Water Resources Division (Culinary),1010,Brough Well (WS002),10100007,Active,40.25503974,-111.6730662,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Provo City Water Resources Division (Culinary),1010,Provost Well,10100008,Inactive,,,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Provo City Water Resources Division (Culinary),1010,North Well (WS001),10100009,Active,40.26375333,-111.663504,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Provo City Water Resources Division (Culinary),1010,City Center Well,10100010,Inactive,40.23276874,-111.6642168,Well,Withdrawal,Industrial,,,,,,,,,,,,,,,,,,
Provo City Water Resources Division (Culinary),1010,City Center Well,10100010,Inactive,40.23276874,-111.6642168,Well,Withdrawal,Industrial,2002,kgallons,17270.12571,16292.57143,17270.12571,16618.42286,17270.12571,16618.42286,17270.12571,10753.09714,0,0,16618.42286,17270.12571,163251.5657,,,
Provo City Water Resources Division (Culinary),1010,City Center Well,10100010,Inactive,40.23276874,-111.6642168,Well,Withdrawal,Industrial,1999,kgallons,17270.12571,16292.57143,17270.12571,16618.42286,17270.12571,16618.42286,17270.12571,17270.12571,16618.42286,17270.12571,16618.42286,17270.12571,203657.1429,,,
Provo City Water Resources Division (Culinary),1010,City Center Well,10100010,Inactive,40.23276874,-111.6642168,Well,Withdrawal,Industrial,1998,kgallons,17270.12571,16292.57143,17270.12571,16618.42286,17270.12571,16618.42286,17270.12571,17270.12571,16618.42286,17270.12571,16618.42286,17270.12571,203657.1429,,,
Provo City Water Resources Division (Culinary),1010,Spring Dell Spring (WS013),10100011,Active,40.32923708,-111.6272553,Spring,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Provo City Water Resources Division (Culinary),1010,Big Pipe Spring,10100012,Inactive,,,Spring,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Provo City Water Resources Division (Culinary),1010,Smith Springs Exchange,10100013,Inactive,,,Spring,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Provo City Water Resources Division (Culinary),1010,South Fork Springs (OLD),10100015,Inactive,,,Spring,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Provo City Water Resources Division (Culinary),1010,Slate Canyon Well  (WS005),10100016,Active,40.22422985,-111.6301865,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Provo City Water Resources Division (Culinary),1010,Rock Canyon Springs (WS024),10100017,Active,40.26548076,-111.623018,Spring,Withdrawal,Water Supplier,2019,kgallons,1798,1601,1788,11016,68077,82768,67610,30793,14832,11202,8524,1433,301442,,,
Provo City Water Resources Division (Culinary),1010,"Parkside,Nunn Springs (WS015), (WS016)",10100018,Active,40.33265227,-111.6176668,Spring,Withdrawal,Water Supplier,2019,kgallons,43823,40471,36798,63852,44892,92913,92650,130635,129498,96308,66844,62329,901013,,,
Provo City Water Resources Division (Culinary),1010,"Parkside,Nunn Springs (WS015), (WS016)",10100018,Active,40.33265227,-111.6176668,Spring,Withdrawal,Water Supplier,2018,kgallons,62044.2,48097.685,49448.329,43092.015,42378.5,33682.328,35280.503,40450.757,47390.843,47082.479,45801.343,43431.657,538180.639,,,
Provo City Water Resources Division (Culinary),1010,"Parkside,Nunn Springs (WS015), (WS016)",10100018,Active,40.33265227,-111.6176668,Spring,Withdrawal,Water Supplier,2017,kgallons,108981,93018,150558,150772,171362,194915,274089,251884,177209,144664,125779,114917,1958148,,,
Provo City Water Resources Division (Culinary),1010,South Fork Springs (Group 6),10100019,Active,40.33973634,-111.6048562,Spring,Withdrawal,Water Supplier,2019,kgallons,189204,170938,193310,196831,206183,201780,223938,249656,237404,239098,176947,219224,2504513,,,
Provo City Water Resources Division (Culinary),1010,Partridge Spring,10100020,Inactive,,,Spring,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Provo City Water Resources Division (Culinary),1010,Searle Property Spring,10100021,Inactive,,,Spring,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Provo City Water Resources Division (Culinary),1010,Yellow Jacket Spring (WS011),10100022,Active,40.32304628,-111.6238607,Spring,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Provo City Water Resources Division (Culinary),1010,Well 3700 North (WS027),10100025,Active,40.28274251,-111.6682444,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Provo City Water Resources Division (Culinary),1010,Well 4800 North (WS026),10100026,Active,40.29789309,-111.6614794,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Provo City Water Resources Division (Culinary),1010,Utilities Well (WS008),10100027,Active,40.24262035,-111.6629113,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Provo City Water Resources Division (Culinary),1010,BYU Well (WS025),10100028,Active,40.25297927,-111.6514974,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Provo City Water Resources Division (Culinary),1010,Metro`s Thorn Well (WS031),10100029,Active,40.2239035,-111.6301082,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Provo City Water Resources Division (Culinary),1010,Well `88` (WS029),10100030,Active,40.24494547,-111.6735398,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Provo City Water Resources Division (Culinary),1010,Deer Creek & Provo River  (CUWCD) WS037,10100031,Active,40.32093186,-111.6702987,Reservoir,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Provo City Water Resources Division (Culinary),1010,Lost Lake Reservoir,10100034,Inactive,,,Reservoir,Transfer Out,Water Supplier,,,,,,,,,,,,,,,,,,
Provo City Water Resources Division (Culinary),1010,Lost Lake Reservoir,10100034,Inactive,,,Reservoir,Transfer Out,Water Supplier,2002,kgallons,,,,,,,,,,,,,,,,
Provo City Water Resources Division (Culinary),1010,Lost Lake Reservoir,10100034,Inactive,,,Reservoir,Transfer Out,Water Supplier,2001,kgallons,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Provo City Water Resources Division (Culinary),1010,Lost Lake Reservoir,10100035,Inactive,,,Reservoir,Withdrawal,Domestic,,,,,,,,,,,,,,,,,,
Provo City Water Resources Division (Culinary),1010,Provo River,10100036,Inactive,,,Stream,Delivery,Water Supplier,,,,,,,,,,,,,,,,,,
Provo City Water Resources Division (Culinary),1010,Timpview Well (Timp Kiwainis) (WS032),108540536,Active,40.27715679,-111.6463672,Well,Withdrawal,Domestic,,,,,,,,,,,,,,,,,,
Provo City Water Resources Division (Culinary),1010,Canyon Road Well (WS038),108541706,Active,40.27077597,-111.6533425,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Provo City Water Resources Division (Culinary),1010,Riverwoods Well (WS036),108541707,Active,40.29593387,-111.6568878,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Provo City Water Resources Division (Culinary),1010,"Thayer Flat/Rotary Park Springs WS017,18",108545265,Active,40.33644018,-111.6118517,Spring,Withdrawal,Water Supplier,2019,kgallons,67456,50857,73255,64812,128404,130504,138480,147188,120398,95904,95102,80908,1193268,,,
Provo City Water Resources Division (Culinary),1010,"Thayer Flat/Rotary Park Springs WS017,18",108545265,Active,40.33644018,-111.6118517,Spring,Withdrawal,Water Supplier,2018,kgallons,80351,68222,76570,75648,80551,72772,75501,80497,73899,70504,66362,66857,887734,,,
South Robinson Spring Water Users,1011,So. Robinson Spring (WS001),10110001,Active,41.05113675,-111.6711419,Spring,Withdrawal,Water Supplier,2019,kgallons,443.567,443.567,443.567,443.567,443.567,443.567,443.567,443.567,443.567,443.567,443.567,443.567,5322.804,,,
South Robinson Spring Water Users,1011,So. Robinson Spring (WS001),10110001,Active,41.05113675,-111.6711419,Spring,Withdrawal,Water Supplier,2009,kgallons,821.475,741.972,821.475,794.976,821.475,794.976,821.475,821.475,794.976,821.475,794.976,821.475,9672.201,,,
South Robinson Spring Water Users,1011,So. Robinson Spring (WS001),10110001,Active,41.05113675,-111.6711419,Spring,Withdrawal,Water Supplier,2008,kgallons,821.475,741.972,821.475,794.976,821.475,794.976,821.475,821.475,794.976,821.475,794.976,821.475,9672.201,,,
South Robinson Spring Water Users,1011,So. Robinson Spring (WS001),10110001,Active,41.05113675,-111.6711419,Spring,Withdrawal,Water Supplier,2007,kgallons,821.475,741.972,821.475,794.976,821.475,794.976,821.475,821.475,794.976,821.475,794.976,821.475,9672.201,,,
South Robinson Spring Water Users,1011,So. Robinson Spring (WS001),10110001,Active,41.05113675,-111.6711419,Spring,Withdrawal,Water Supplier,2006,kgallons,821.475,741.972,821.475,794.976,821.475,794.976,821.475,821.475,794.976,821.475,794.976,821.475,9672.201,,,
South Robinson Spring Water Users,1011,So. Robinson Spring (WS001),10110001,Active,41.05113675,-111.6711419,Spring,Withdrawal,Water Supplier,2003,kgallons,821.5320508,742.0235294,821.5320508,795.0312105,821.5320508,795.0312105,821.5320508,821.5320508,795.0312105,821.5320508,795.0312105,821.5320508,9672.872727,,,
South Robinson Spring Water Users,1011,So. Robinson Spring (WS001),10110001,Active,41.05113675,-111.6711419,Spring,Withdrawal,Water Supplier,2002,kgallons,821.5320508,742.0235294,821.5320508,795.0312105,821.5320508,795.0312105,821.5320508,821.5320508,795.0312105,821.5320508,795.0312105,821.5320508,9672.872727,,,
South Robinson Spring Water Users,1011,So. Robinson Spring (WS001),10110001,Active,41.05113675,-111.6711419,Spring,Withdrawal,Water Supplier,2001,kgallons,821.1456,742.9412571,821.1456,795.0774857,821.1456,795.0774857,821.1456,821.1456,795.0774857,821.1456,795.0774857,821.1456,9671.2704,,,
South Robinson Spring Water Users,1011,So. Robinson Spring (WS001),10110001,Active,41.05113675,-111.6711419,Spring,Withdrawal,Water Supplier,2000,kgallons,821.5333632,742.0223561,821.5333632,795.028608,821.5333632,795.0318665,821.5333632,821.5333632,795.0318665,821.5333632,795.0318665,821.5333632,9672.880106,,,
South Robinson Spring Water Users,1011,So. Robinson Spring (WS001),10110001,Active,41.05113675,-111.6711419,Spring,Withdrawal,Water Supplier,1999,kgallons,821.5561728,742.0516827,821.5561728,795.0546761,821.5561728,795.0546761,821.5561728,821.5561728,795.0546761,821.5561728,795.0546761,821.5561728,9673.163597,,,
South Robinson Spring Water Users,1011,So. Robinson Spring (WS001),10110001,Active,41.05113675,-111.6711419,Spring,Withdrawal,Water Supplier,1998,kgallons,0,0,0,0,0,0,0,0,0,0,0,0,9672.873589,,,
South Robinson Spring Water Users,1011,So. Robinson Spring (WS001),10110001,Active,41.05113675,-111.6711419,Spring,Withdrawal,Water Supplier,1997,kgallons,821.5561728,742.0516827,821.5561728,795.0546761,821.5561728,795.0546761,821.5561728,821.5561728,795.0546761,821.5561728,795.0546761,821.5561728,9673.163597,,,
South Robinson Spring Water Users,1011,So. Robinson Spring (WS001),10110001,Active,41.05113675,-111.6711419,Spring,Withdrawal,Water Supplier,1996,kgallons,821.5333632,742.0223561,821.5333632,795.0318665,821.5333632,795.0318665,821.5333632,821.5333632,795.0318665,821.5333632,795.0318665,821.5333632,9673.173372,,,
Monte Vista Comm. & Water Company,1012,Well 2 (WS002),10120001,Inactive,37.69082849,-113.1249172,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Monte Vista Comm. & Water Company,1012,MONTE VISTA Well #1& 2 (WS001)(WS002),108541924,Active,37.69076997,-113.124964,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Monte Vista Comm. & Water Company,1012,MONTE VISTA Well #1& 2 (WS001)(WS002),108541924,Active,37.69076997,-113.124964,Well,Withdrawal,Water Supplier,2015,kgallons,700,700,700,1000,1400,1700,2100,1900,1700,1100,900,700,14600,,,
Altamont Town Water,1013,"Well no.2 (8"")",10130001,Active,,,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Altamont Town Water,1013,Well no.1 (10`),10130002,Active,40.37390863,-110.2941007,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Altamont Town Water,1013,"Well no.5 (12"")",10130003,Active,,,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Altamont Town Water,1013,"Well no.3 (12"")",10130004,Active,,,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Altamont Town Water,1013,"Well no.4 (10"")",10130005,Active,,,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
East Carbon City and Sunnyside City,1015,Grassy Trail Creek Res. WS002),10150001,Active,39.62234769,-110.3958687,Reservoir,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
