WRNUM,RESERVOIR_IDNUM,RESERVOIR_NAME,RESERVOIR_CAPACITY,DAM_HEIGHT,ACRES_INUNDATED,RES_BEG_DATE,RES_END_DATE,DAM_NUMBER,recordId
81-125,1,North Lytle Ranch Reservoir,1.46,0,0.408,101,1231,        ,73
81-125,2,South Lytle Ranch Reservoir,1.49,0,0.28,101,1231,        ,74
43-3589,2,Unnamed reservoir - lower,37.5,12,3.75,101,1231,        ,75
43-3589,1,Unnamed reservoir - upper,13.6,10,1.7,101,1231,        ,76
81-4819,7,Lake Scott,9.22,19,1.08468,101,1231,        ,77
71-5442,1,Temporary Pond,5.1,0,1.05,101,1231,        ,78
95-5361,1,Unnamed,3.3,0,0,101,1231,        ,79
49-2394,4,Pond No. 3,0.875,5,0.35,101,1231,        ,80
49-2394,2,Pond No. 1,1.25,5,0.5,101,1231,        ,81
49-2394,3,Pond No. 2,0.225,5,0.09,101,1231,        ,82
25-4311,6,Drain Pond,1,10,0.2,401,1031,        ,83
49-2399,4,#4,4.6,15,1.47,101,1231,        ,84
43-3032,6,Browns Draw Reservoir,5901,89,185,101,1231,        ,85
43-3032,4,Moon Lake Reservoir,49500,101,770,101,1231,        ,86
43-3032,7,Twin Potts Reservoir,4050,38,217,101,1231,        ,87
43-3065,5,Big Sand Wash Reservoir,25738,136,597,101,1231,        ,88
43-3065,6,Browns Draw Reservoir,5901,89,185,101,1231,        ,89
43-3065,4,Moon Lake Reservoir,49500,101,770,101,1231,        ,90
43-3065,7,Twin Potts Reservoir,4050,38,217,101,1231,        ,91
45-6427,3,Unnamed Reservoir,0.7,6,0.1,101,1231,        ,92
25-11400,1,Unnamed Pond,0.5,3,0.1,101,1231,        ,93
94-1136,6,Johnson Lower Oak Reservoir,37,22,3.3,101,1231,        ,94
94-1136,7,Johnson Upper Oak Reservoir,14.24,9,2.6,101,1231,        ,95
21-1101,5,Small Stock Pond,0,0,0.3,101,1231,        ,96
21-1101,1,Unnamed Reservoir (#1),0,0,2.8,101,1231,        ,97
29-3665,4,Reservoir #1,17,10,2.05,101,1231,        ,98
29-3665,5,Reservoir #2,31,10,5.11,101,1231,        ,99
92-633,1,Unnamed Pond,19.5,0,4.38,101,1231,        ,100
15-222,10,Rec Pond,0.4,3,0.13,101,1231,        ,101
67-1755,1,Duncan Dam,15,5,5,1201,301,        ,102
91-372,8,Dragerton Reservoir,52,20,4.1,101,1231,        ,103
91-372,6,Grassy Trail Reservoir,916,89,29,101,1231,        ,104
91-372,7,Sunnyside Cogeneration Associates,125,35,7.6,101,1231,        ,105
49-2393,2,State Line Guzzler and dugout pond,2,0,0.2,101,1231,        ,106
97-2373,12,Unnamed,0.33,2,0.11,101,1231,        ,107
00-3902,3,Bowman Pond,6,9,1,101,1231,        ,108
25-11376,1,Unnamed Resrvoir,1,0,0,101,1231,        ,109
43-12879,3,Unnamed Pond #1,2.8,0,1.1,101,1231,        ,110
43-12879,4,Unnamed Pond #2,2.8,0,0.49,101,1231,        ,111
43-12879,5,Unnamed Pond #3,2.8,0,0.26,101,1231,        ,112
43-3103,4,Twin Potts Reservoir,4050,38,217,101,1231,        ,113
43-3032,5,Big Sand Wash Reservoir,25738,136,597,101,1231,        ,114
91-5233,4,Unnamed,2000,30,100,101,1231,        ,115
35-13207,1,Unnamed Reservoir,5,4,5,501,1031,        ,116
55-7899,7,North Fork Lake No. 4,97.7,0,0,1001,701,        ,117
55-7899,12,Washington Lake No. 3,38,0,0,1001,630,        ,118
55-7899,14,Trial Lake,1660,0,0,1101,701,        ,119
05-1523,3,Ken`s Lake,2820,98,86,101,1231,        ,12298
05-1523,4,Lake Oowah,27,27,4,101,1231,        ,12299
05-1523,5,Warner Lake,10.56,3,1.32,101,1231,        ,12300
May-88,4,Frog Pond,0.26,2,0.13,101,1231,        ,12302
May-88,3,Heron Pond,4.27,7,0.61,101,1231,,12303
May-88,2,North Pond,3.7,5,0.74,101,1231,        ,12304
43-12914,3,Unnamed Pong,0,0,0.448,101,1231,        ,12307
43-12927,3,Red Creek Reservoir,5700,107,139.1,101,1231,        ,12308
45-6586,4,Unnamed Existing Pond,1.5,14,0.2,101,1231,        ,12311
43-12928,3,Red Creek Reservoir,5700,107,139.1,101,1231,        ,12310
65-3982,1,Unnamed,10,0,0,1101,401,        ,12319
43-13024,2,Little Pipe Spring Reservoir,0.37,0,0.04,101,1231,        ,13869
73-4049,2,Rush Lake,7000,6,890,101,1231,        ,12318
91-5171,3,Mud Pond #4,0.63,6,0.21,101,1231,        ,12328
55-12842,1,Jones Reservoir,176,36,10,401,1101,        ,12338
61-26,8,Dog Valley Reservoir,0,0,0,301,1101,        ,12322
71-5481,1,Temporary Pond,5.1,0,1.05,101,1231,        ,12333
55-12843,1,Jones Reservoir,176,36,10,401,1101,        ,12339
16-908,4,Pond #1,10.5,0,1.75,101,1231,        ,12340
16-908,5,Pond #2,6.96,0,1.16,101,1231,        ,12341
May-64,4,Unnamed Pond,1.08,9,0.12,101,1231,        ,12346
81-4950,1,Pond 1,0.0184,0,0.0109,101,1231,        ,12354
81-4950,2,Pond 2,0.0245,0,0.01573,101,1231,        ,12355
35-8280,3,Unnamed Pond,2.5,4,0.625,101,1231,        ,12356
35-5636,6,Unnamed Pond,2.5,4,0.625,101,1231,        ,12357
43-3187,5,Cleveland Lake,500,0,52,101,1231,        ,12366
43-3187,7,Whiterocks Lake,500,0,63,101,1231,        ,12368
43-3187,8,Cliff Lake,1250,0,72,101,1231,        ,12369
41-3171,5,Unnamed,10,10,3.5,101,1231,        ,12371
81-2723,12,Reservoir #2,4.83,7,1.726,101,1231,        ,12408
81-2723,14,Reservoir #4,7.38,12,1.591,101,1231,        ,12409
81-2723,15,Reservoir #5,11.69,10,3.013,101,1231,        ,12410
81-2723,16,Reservoir #6,5.79,9,1.609,101,1231,        ,12411
81-2723,17,Reservoir #7,7.64,10,1.949,101,1231,        ,12412
81-2723,18,Reservoir #8,7.22,9,2.006,101,1231,        ,12413
81-2723,21,Frehner Reservoir #1,19.913,15,1.925,101,1231,        ,12414
81-4788,4,Reservoir #4,7.38,12,1.591,101,1231,        ,12422
81-4788,5,Reservoir #5,11.69,10,3.013,101,1231,        ,12423
81-4788,6,Reservoir #6,5.79,9,1.609,101,1231,        ,12424
81-4788,7,Reservoir #7,7.64,10,1.949,101,1231,        ,12425
81-4788,8,Reservoir #8,7.22,9,2.006,101,1231,        ,12426
81-4789,7,Reservoir #7,7.64,10,1.949,101,1231,        ,12434
81-4789,12,Frehner Reservoir #2,19.2,22,1.226,101,1231,        ,12435
81-4789,13,Frehner Reservoir #3,0.428,10,0.107,101,1231,        ,12436
81-4789,8,Reservoir #8,7.22,9,2.006,101,1231,        ,12437
81-4789,10,Reservoir #10,1.47,5,0.818,101,1231,        ,12438
81-4790,4,Reservoir #4,7.38,12,1.591,101,1231,        ,12445
81-4790,5,Reservoir #5,11.69,10,3.013,101,1231,        ,12446
81-4790,6,Reservoir #6,5.79,9,1.609,101,1231,        ,12447
81-4790,7,Reservoir #7,7.64,10,1.949,101,1231,        ,12448
81-4790,10,Reservoir #10,1.47,5,0.818,101,1231,        ,12449
81-4790,13,Frehner Reservoir #3,0.428,10,0.107,101,1231,        ,12450
81-4791,12,Frehner Reservoir #2,19.2,22,1.226,101,1231,        ,12458
81-4791,10,Reservoir #10,1.47,5,0.818,101,1231,        ,12459
81-4791,13,Frehner Reservoir #3,0.428,10,0.107,101,1231,        ,12460
81-4791,9,Reservoir #9,0.84,6,0.364,101,1231,        ,12461
81-4791,8,Reservoir #8,7.22,9,2.006,101,1231,        ,12462
81-4792,18,Frehner Reservoir #2,19.2,22,1.226,101,1231,        ,12470
81-4792,9,Reservoir #2,4.83,7,1.726,101,1231,        ,12471
81-4792,12,Reservoir #6,5.79,9,1.609,101,1231,        ,12472
81-4792,11,Reservoir #5,11.69,10,3.013,101,1231,        ,12473
81-4792,16,Reservoir #10,1.47,5,0.818,101,1231,        ,12474
81-5080,1,Kolob Reservoir,5586,67,249.13,101,1231,        ,120
81-4833,1,Sawyer pond Reservoir,2.56,14,0.401,101,1231,        ,121
49-2396,2,Guzzler Pond,0.42,1,0.07,101,1231,        ,122
43-12898,2,Orson`s Pond,0.12,8,0.02,101,1231,        ,123
55-12818,1,Fox Reservoir,6.15,0,0,101,1231,        ,124
55-7899,4,North Fork Lake No. 1,116,0,0,1001,701,        ,125
55-7899,5,North Fork Lake No. 2,46,0,0,1001,701,        ,126
55-7899,11,Star Lake,313.9,0,0,1001,701,        ,127
13-3997,2,Water Tank,0.46,0,0,605,1231,        ,12335
61-3113,1,Log Pond,0.75,4,0,101,1231,        ,12345
73-4060,1,Amelia Palace Spring Reservoir,0.06,0,0,101,1231,        ,12347
09-438,10,Dry Wash Reservoir,535,65,26.5,101,1231,        ,13250
71-1571,6,Cotton Spring Reservoir,0.05,3,0.016,521,930,        ,13257
53-1761,1,West Ponds,4,20,1,101,1231,        ,12560
43-2513,144,Fish Hatchery Ponds (36 ponds),73.65,10,12.76,101,1231,        ,12569
43-2513,133,Johnson Bottom,267,5,146,1101,331,        ,12570
43-2513,138,L-01 (Leota Bottom),151,5,56,1101,331,        ,12571
43-2513,139,L-02 (Leota Bottom),225,5,86,1101,331,        ,12572
43-2513,140,L-03 (Leota Bottom),375,5,106,1101,331,        ,12573
43-2513,141,L-04 (Leota Bottom),335,5,84,1101,331,        ,12574
43-2513,142,L-05 (Leota Bottom),215,5,79,1101,331,        ,12575
43-2513,146,L-06 (Leota Bottom),355,5,98,1101,331,        ,12576
43-2513,147,L-07 (Leota Bottom),267,5,118,1101,331,        ,12577
43-2513,148,L-07A (Leota Bottom),39,5,20,1101,331,        ,12578
43-2513,149,L-08 (Leota Bottom),281,5,118,1101,331,        ,12579
43-2513,150,L-09 (Leota Bottom),221,5,91,1101,331,        ,12580
43-2513,151,L-10 (Leota Bottom),542,5,150,1101,331,        ,12581
43-2513,152,P-1 (Parker Tract),11,3,12,1101,331,        ,12582
43-2513,153,P-2 (Parker Tract),10,3,10,1101,331,        ,12583
43-2513,154,P-3 (Parker Tract),8,3,8,1101,331,        ,12584
43-2513,155,P-4 (Parker Tract),11,3,8,1101,331,        ,12585
43-2513,156,P-5 (Parker Tract),16,5,12,1101,331,        ,12586
43-2513,157,S-1 (Sheppard Bottom),177,7,95,1101,331,        ,12587
43-2513,158,S-2 (Sheppard Bottom),725,6,260,1101,331,        ,12588
43-2513,159,S-3 (Sheppard Bottom),282.2,7,65.2,1101,331,        ,12589
43-2513,160,S-4 (Sheppard Bottom),196,6,70,1101,331,        ,12590
43-2513,145,S-5 (Shephard Bottom),706.3,5,238.4,1101,331,        ,12591
43-2513,162,Woods Back,124,5,91,1101,331,        ,12592
43-2513,161,Woods Main Pond,850,5,309,1101,331,        ,12593
43-2513,1,Wyasket Lake,1156,4,792,1101,331,        ,12594
43-2513,143,Wyasket Pond,581,5,262,1101,331,        ,12595
43-3412,150,L-09 (Leota Bottom),221,5,91,1101,331,        ,12607
43-3412,154,P-3 (Parker Tract),8,3,8,1101,331,        ,12611
49-198,144,Fish Hatchery Ponds (36 ponds),73.65,10,12.76,101,1231,        ,12704
49-198,133,Johnson Bottom,267,5,146,1101,331,        ,12705
49-198,138,L-01 (Leota Bottom),151,5,56,1101,331,        ,12706
49-198,139,L-02 (Leota Bottom),225,5,86,1101,331,        ,12707
49-198,140,L-03 (Leota Bottom),375,5,106,1101,331,        ,12708
49-198,141,L-04 (Leota Bottom),335,5,84,1101,331,        ,12709
49-198,142,L-05 (Leota Bottom),215,5,79,1101,331,        ,12710
49-198,146,L-06 (Leota Bottom),355,5,98,1101,331,        ,12711
49-198,147,L-07 (Leota Bottom),267,5,118,1101,331,        ,12712
49-198,148,L-07A (Leota Bottom),39,5,20,1101,331,        ,12713
49-198,149,L-08 (Leota Bottom),281,5,118,1101,331,        ,12714
49-198,150,L-09 (Leota Bottom),221,5,91,1101,331,        ,12715
49-198,151,L-10 (Leota Bottom),542,5,150,1101,331,        ,12716
49-198,152,P-1 (Parker Tract),11,3,12,1101,331,        ,12717
49-198,153,P-2 (Parker Tract),10,3,10,1101,331,        ,12718
49-198,154,P-3 (Parker Tract),8,3,8,1101,331,        ,12719
49-198,155,P-4 (Parker Tract),11,3,8,1101,331,        ,12720
49-198,156,P-5 (Parker Tract),16,5,12,1101,331,        ,12721
49-198,157,S-1 (Sheppard Bottom),177,7,95,1101,331,        ,12722
49-198,158,S-2 (Sheppard Bottom),725,6,260,1101,331,        ,12723
49-198,159,S-3 (Sheppard Bottom),282.2,7,65.2,1101,331,        ,12724
49-198,160,S-4 (Sheppard Bottom),196,6,70,1101,331,        ,12725
49-198,145,S-5 (Shephard Bottom),706.3,5,238.4,1101,331,        ,12726
49-198,162,Woods Back,124,5,91,1101,331,        ,12727
49-198,161,Woods Main Pond,850,5,309,1101,331,        ,12728
49-198,1,Wyasket Lake,1156,4,792,1101,331,        ,12729
49-198,143,Wyasket Pond,581,5,262,1101,331,        ,12730
49-197,144,Fish Hatchery Ponds (36 ponds),73.65,10,12.76,101,1231,        ,12731
49-197,133,Johnson Bottom,267,5,146,1101,331,        ,12732
49-197,138,L-01 (Leota Bottom),151,5,56,1101,331,        ,12733
49-197,139,L-02 (Leota Bottom),225,5,86,1101,331,        ,12734
49-197,140,L-03 (Leota Bottom),375,5,106,1101,331,        ,12735
49-197,141,L-04 (Leota Bottom),335,5,84,1101,331,        ,12736
49-197,142,L-05 (Leota Bottom),215,5,79,1101,331,        ,12737
49-197,146,L-06 (Leota Bottom),355,5,98,1101,331,        ,12738
49-197,147,L-07 (Leota Bottom),267,5,118,1101,331,        ,12739
49-197,148,L-07A (Leota Bottom),39,5,20,1101,331,        ,12740
49-197,149,L-08 (Leota Bottom),281,5,118,1101,331,        ,12741
49-197,150,L-09 (Leota Bottom),221,5,91,1101,331,        ,12742
49-197,151,L-10 (Leota Bottom),542,5,150,1101,331,        ,12743
49-197,152,P-1 (Parker Tract),11,3,12,1101,331,        ,12744
49-197,153,P-2 (Parker Tract),10,3,10,1101,331,        ,12745
49-197,154,P-3 (Parker Tract),8,3,8,1101,331,        ,12746
49-197,155,P-4 (Parker Tract),11,3,8,1101,331,        ,12747
49-197,156,P-5 (Parker Tract),16,5,12,1101,331,        ,12748
43-11415,3,Cottonwood Reservoir,5680,70,180,101,1231,        ,14060
71-2304,6,Cottonwood Spring Reservoir,0.05,3,0.016,521,930,        ,13269
71-2304,4,Iron Peg Reservoir,1.032,3,0.344,521,930,        ,13270
71-2304,5,Pinto Spring Pond,0.152,0,0.0506,521,930,        ,13271
71-2374,6,Cottonwood Spring Reservior,0.05,3,0.016,521,930,        ,13281
71-2374,4,Iron Peg Reservior,1.032,3,0.344,521,930,        ,13282
71-2374,5,Pinto Spring Pond,0.152,0,0.0506,521,930,        ,13283
71-2890,6,Cottonwood Spring Reservoir,0.05,3,0.016,521,930,        ,13287
71-2890,4,Iron Peg Reservior,1.032,3,0.344,521,930,        ,13288
71-2890,5,Pinto Spring Pond,0.152,0,0.0506,521,930,        ,13289
71-3025,6,Cottonwood Spring Reservoir,0.05,3,0.016,521,930,        ,13293
71-3025,4,Iron Peg Reservoir,1.032,3,0.344,521,930,        ,13294
71-3025,5,Pinto Spring Pond,0.152,0,0.0506,521,930,        ,13295
71-3036,6,Cottonwood Spring Reservoir,0.05,3,0.016,521,930,        ,13299
71-3036,4,Iron Peg Reservoir,1.032,3,0.344,521,930,        ,13300
71-3036,5,Pinto Spring Pond,0.152,0,0.0506,521,930,        ,13301
71-952,10,Cove Hollow Reservoir,0.36,8,0.045,101,1231,        ,13318
71-952,9,Knell Reservoir,3,0,1.8365,101,1231,        ,13319
71-952,8,Little Grassy Pond,1.03,0,0.17,101,1231,        ,13320
71-952,7,Lower Kane Creek Watering Pond,0.33,0,0.08,101,1231,        ,13321
71-952,6,Page Ranch Reseeding Pond,0.27,6,0.05,101,1231,        ,13322
71-952,3,Telephone Line Reservoir,1.93,10,0.193,101,1231,        ,13323
71-952,4,Trail Spring Pond 1,0.54,0,0.18,101,1231,        ,13324
71-952,5,Trail Spring Pond 2,0.689,0,0.12,101,1231,        ,13325
71-1015,10,Cove Hollow Reservoir,0.36,8,0.045,101,1231,        ,13334
71-1015,9,Knell Reservoir,3,0,1.8365,101,1231,        ,13335
71-1015,8,Little Grassy Pond,1.03,0,0.17,101,1231,        ,13336
71-1015,7,Lower Kane Creek Watering Pond,0.33,0,0.08,101,1231,        ,13337
71-1015,6,Page Ranch Reseeding Pond,0.27,6,0.05,101,1231,        ,13338
71-1015,3,Telephone Line Reservoir,1.93,10,0.193,101,1231,        ,13339
71-1015,4,Trail Spring Pond 1,0.54,0,0.18,101,1231,        ,13340
71-1015,5,Trail Spring Pond 2,0.689,0,0.12,101,1231,        ,13341
71-1017,10,Cove Hollow Reservoir,0.36,8,0.045,101,1231,        ,13342
71-1017,9,Knell Reservoir,3,0,1.8365,101,1231,        ,13343
71-1017,8,Little Grassy Pond,1.03,0,0.17,101,1231,        ,13344
71-1017,7,Lower Kane Creek Watering Pond,0.33,0,0.08,101,1231,        ,13345
71-1017,6,Page Ranch Reseeding Pond,0.27,6,0.05,101,1231,        ,13346
71-1017,3,Telephone Line Reservoir,1.93,10,0.193,101,1231,        ,13347
71-1017,4,Trail Spring Pond 1,0.54,0,0.18,101,1231,        ,13348
71-1017,5,Trail Spring Pond 2,0.689,0,0.12,101,1231,        ,13349
71-1079,10,Cove Hollow Reservoir,0.36,8,0.045,101,1231,        ,13358
71-1079,9,Knell Reservoir,3,0,1.8365,101,1231,        ,13359
71-1079,8,Little Grassy Pond,1.03,0,0.17,101,1231,        ,13360
71-1079,7,Lower Kane Creek Watering Pond,0.33,0,0.08,101,1231,        ,13361
71-1079,6,Page Ranch Reseeding Pond,0.27,6,0.05,101,1231,        ,13362
71-1079,3,Telephone Line Reservoir,1.93,10,0.193,101,1231,        ,13363
71-1079,4,Trail Spring Pond 1,0.54,0,0.18,101,1231,        ,13364
71-1079,5,Trail Spring Pond 2,0.689,0,0.12,101,1231,        ,13365
71-1177,10,Cove Hollow Reservoir,0.36,8,0.045,101,1231,        ,13374
71-1177,9,Knell Reservoir,3,0,1.8365,101,1231,        ,13375
71-1177,8,Little Grassy Pond,1.03,0,0.17,101,1231,        ,13376
71-1177,7,Lower Kane Creek Watering Pond,0.33,0,0.08,101,1231,        ,13377
71-1177,6,Page Ranch Reseeding Pond,0.27,6,0.05,101,1231,        ,13378
71-1177,3,Telephone Line Reservoir,1.93,10,0.193,101,1231,        ,13379
71-1177,4,Trail Spring Pond 1,0.54,0,0.18,101,1231,        ,13380
71-1177,5,Trail Spring Pond 2,0.689,0,0.12,101,1231,        ,13381
71-1265,10,Cove Hollow Reservoir,0.36,8,0.045,101,1231,        ,13414
71-1265,9,Knell Reservoir,3,0,1.8365,101,1231,        ,13415
71-1265,8,Little Grassy Pond,1.03,0,0.17,101,1231,        ,13416
71-1265,7,Lower Kane Creek Watering Pond,0.33,0,0.08,101,1231,        ,13417
71-1265,6,Page Ranch Reseeding Pond,0.27,6,0.05,101,1231,        ,13418
71-1265,3,Telephone Line Reservoir,1.93,10,0.193,101,1231,        ,13419
71-1265,4,Trail Spring Pond 1,0.54,0,0.18,101,1231,        ,13420
71-1265,5,Trail Spring Pond 2,0.689,0,0.12,101,1231,        ,13421
71-1267,10,Cove Hollow Reservoir,0.36,8,0.045,101,1231,        ,13422
71-1267,9,Knell Reservoir,3,0,1.8365,101,1231,        ,13423
71-1267,8,Little Grassy Pond,1.03,0,0.17,101,1231,        ,13424
71-1267,7,Lower Kane Creek Watering Pond,0.33,0,0.08,101,1231,        ,13425
71-1267,6,Page Ranch Reseeding Pond,0.27,6,0.05,101,1231,        ,13426
71-1267,3,Telephone Line Reservoir,1.93,10,0.193,101,1231,        ,13427
71-1267,4,Trail Spring Pond 1,0.54,0,0.18,101,1231,        ,13428
71-1267,5,Trail Spring Pond 2,0.689,0,0.12,101,1231,        ,13429
71-1276,10,Cove Hollow Reservoir,0.36,8,0.045,101,1231,        ,13430
71-1276,9,Knell Reservoir,3,0,1.8365,101,1231,        ,13431
71-1276,8,Little Grassy Pond,1.03,0,0.17,101,1231,        ,13432
71-1276,7,Lower Kane Creek Watering Pond,0.33,0,0.08,101,1231,        ,13433
71-1276,6,Page Ranch Reseeding Pond,0.27,6,0.05,101,1231,        ,13434
71-1276,3,Telephone Line Reservoir,1.93,10,0.193,101,1231,        ,13435
71-1276,4,Trail Spring Pond 1,0.54,0,0.18,101,1231,        ,13436
71-1276,5,Trail Spring Pond 2,0.689,0,0.12,101,1231,        ,13437
71-1331,10,Cove Hollow Reservoir,0.36,8,0.045,101,1231,        ,13438
71-1331,9,Knell Reservoir,3,0,1.8365,101,1231,        ,13439
71-1331,8,Little Grassy Pond,1.03,0,0.17,101,1231,        ,13440
71-1331,7,Lower Kane Creek Watering Pond,0.33,0,0.08,101,1231,        ,13441
71-1331,6,Page Ranch Reseeding Pond,0.27,6,0.05,101,1231,        ,13442
71-1331,3,Telephone Line Reservoir,1.93,10,0.193,101,1231,        ,13443
71-1331,4,Trail Spring Pond 1,0.54,0,0.18,101,1231,        ,13444
71-1331,5,Trail Spring Pond 2,0.689,0,0.12,101,1231,        ,13445
71-1332,10,Cove Hollow Reservoir,0.36,8,0.045,101,1231,        ,13446
71-1332,9,Knell Reservoir,3,0,1.8365,101,1231,        ,13447
71-1332,8,Little Grassy Pond,1.03,0,0.17,101,1231,        ,13448
71-1332,7,Lower Kane Creek Watering Pond,0.33,0,0.08,101,1231,        ,13449
71-1332,6,Page Ranch Reseeding Pond,0.27,6,0.05,101,1231,        ,13450
71-1332,3,Telephone Line Reservoir,1.93,10,0.193,101,1231,        ,13451
71-1332,4,Trail Spring Pond 1,0.54,0,0.18,101,1231,        ,13452
71-1332,5,Trail Spring Pond 2,0.689,0,0.12,101,1231,        ,13453
71-1426,10,Cove Hollow Reservoir,0.36,8,0.045,101,1231,        ,13478
71-1426,9,Knell Reservoir,3,0,1.8365,101,1231,        ,13479
71-1426,8,Little Grassy Pond,1.03,0,0.17,101,1231,        ,13480
71-1426,7,Lower Kane Creek Watering Pond,0.33,0,0.08,101,1231,        ,13481
71-1426,6,Page Ranch Reseeding Pond,0.27,6,0.05,101,1231,        ,13482
71-1426,3,Telephone Line Reservoir,1.93,10,0.193,101,1231,        ,13483
71-1426,4,Trail Spring Pond 1,0.54,0,0.18,101,1231,        ,13484
71-1426,5,Trail Spring Pond 2,0.689,0,0.12,101,1231,        ,13485
71-1429,10,Cove Hollow Reservoir,0.36,8,0.045,101,1231,        ,13502
71-1429,9,Knell Reservoir,3,0,1.8365,101,1231,        ,13503
